t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784620722.445473,1784620722.445473,mixed,1,0,32,0.0001,29,1,
1784620722.445473,1784620722.445910,mixed,55,0,2096,0.0082,1628,55,
1784620722.445910,1784620722.446239,decode,55,0,2176,0.0086,0,55,
1784620722.446239,1784620722.446565,decode,55,0,2192,0.0086,0,55,
1784620722.446565,1784620722.446900,decode,55,0,2224,0.0087,0,55,
1784620722.446900,1784620722.447212,decode,55,0,2240,0.0088,0,55,
1784620722.447212,1784620722.447514,decode,55,0,2320,0.0091,0,55,
1784620722.447514,1784620722.447820,decode,55,0,2352,0.0092,0,55,
1784620722.447820,1784620722.448380,decode,55,0,2416,0.0095,0,55,
1784620722.448380,1784620722.469362,mixed,62,0,2736,0.0108,209,62,
1784620722.469362,1784620722.491314,mixed,64,0,2928,0.0115,78,64,
1784620722.491314,1784620722.509052,decode,64,0,3008,0.0118,0,64,
1784620722.509052,1784620722.519627,decode,64,0,3088,0.0121,0,64,
1784620722.519627,1784620722.530215,decode,64,0,3168,0.0125,0,64,
1784620722.530215,1784620722.540635,decode,64,0,3200,0.0126,0,64,
1784620722.540635,1784620722.551049,decode,64,0,3296,0.0130,0,64,
1784620722.551049,1784620722.561729,decode,64,0,3296,0.0130,0,64,
1784620722.561729,1784620722.572263,decode,64,0,3376,0.0133,0,64,
1784620722.572263,1784620722.582776,decode,64,0,3472,0.0137,0,64,
1784620722.582776,1784620722.593251,decode,64,0,3504,0.0138,0,64,
1784620722.593251,1784620722.603861,decode,64,0,3536,0.0139,0,64,
1784620722.603861,1784620722.614470,decode,64,0,3568,0.0140,0,64,
1784620722.614470,1784620722.625014,decode,64,0,3680,0.0145,0,64,
1784620722.625014,1784620722.635561,decode,64,0,3728,0.0147,0,64,
1784620722.635561,1784620722.646225,decode,63,0,3744,0.0147,0,64,
1784620722.646225,1784620722.660638,decode,63,0,3792,0.0149,0,63,
1784620722.660638,1784620722.671187,decode,63,0,3888,0.0153,0,63,
1784620722.671187,1784620722.681792,decode,62,0,3904,0.0154,0,63,
1784620722.681792,1784620722.694918,decode,62,0,3984,0.0157,0,62,
1784620722.694918,1784620722.705392,decode,62,0,4064,0.0160,0,62,
1784620722.705392,1784620722.715811,decode,62,0,4096,0.0161,0,62,
1784620722.715811,1784620722.726322,decode,62,0,4192,0.0165,0,62,
1784620722.726322,1784620722.736863,decode,62,0,4192,0.0165,0,62,
1784620722.736863,1784620722.747348,decode,62,0,4272,0.0168,0,62,
1784620722.747348,1784620722.757811,decode,62,0,4368,0.0172,0,62,
1784620722.757811,1784620722.768272,decode,62,0,4400,0.0173,0,62,
1784620722.768272,1784620722.778783,decode,61,0,4352,0.0171,0,62,
1784620722.778783,1784620722.791636,decode,61,0,4384,0.0172,0,61,
1784620722.791636,1784620722.802135,decode,61,0,4496,0.0177,0,61,
1784620722.802135,1784620722.812603,decode,61,0,4528,0.0178,0,61,
1784620722.812603,1784620722.823041,decode,61,0,4592,0.0181,0,61,
1784620722.823041,1784620722.833881,decode,61,0,4640,0.0182,0,61,
1784620722.833881,1784620722.844389,decode,61,0,4736,0.0186,0,61,
1784620722.844389,1784620722.854865,decode,61,0,4816,0.0189,0,61,
1784620722.854865,1784620722.865389,decode,61,0,4896,0.0193,0,61,
1784620722.865389,1784620722.875901,decode,61,0,4976,0.0196,0,61,
1784620722.875901,1784620722.886482,decode,61,0,5008,0.0197,0,61,
1784620722.886482,1784620722.896977,decode,60,0,5024,0.0198,0,61,
