t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1784620803.068516,0.2000,65.0583,3.589367e+11,6.494749e+11,6.492253e+11,3.585918e+11,3.449815e+08,6.488803e+11,3.449815e+08,17,21,21,17.0,6.488803e+11
1784620803.268516,0.2000,64.3352,3.594579e+11,1.111288e+12,1.110793e+12,3.585918e+11,8.661238e+08,1.109927e+12,8.661238e+08,27,38,21,27.0,1.109927e+12
1784620803.468516,0.2000,63.7321,3.263706e+11,2.873024e+12,2.870664e+12,3.244402e+11,1.930428e+09,2.868734e+12,1.930428e+09,94,74,19,94.0,2.868734e+12
1784620803.668516,0.2000,63.0105,3.631499e+11,4.294106e+12,4.290583e+12,3.585918e+11,4.558160e+09,4.286025e+12,4.558160e+09,114,137,21,114.0,4.286025e+12
1784620803.868516,0.2000,62.8795,3.303636e+11,3.765190e+12,3.762599e+12,3.244402e+11,5.923406e+09,3.756676e+12,5.923406e+09,69,151,19,69.0,3.756676e+12
1784620804.068516,0.2000,62.2845,3.673778e+11,4.399043e+12,4.397266e+12,3.585918e+11,8.786018e+09,4.388480e+12,8.786018e+09,43,214,21,43.0,4.388480e+12
1784620804.268516,0.2000,63.5565,4.036139e+11,3.801750e+12,3.801698e+12,3.927434e+11,1.087059e+10,3.790827e+12,1.087059e+10,0,222,23,0.0,3.790827e+12
1784620804.468516,0.2000,65.1221,3.531352e+11,5.001789e+12,4.997752e+12,3.415160e+11,1.161927e+10,4.986133e+12,1.161927e+10,77,215,20,77.0,4.986133e+12
1784620804.668516,0.2000,66.4423,3.914633e+11,5.088690e+12,5.087308e+12,3.756676e+11,1.579575e+10,5.071512e+12,1.579575e+10,24,273,22,24.0,5.071512e+12
1784620804.868516,0.2000,68.1651,3.762445e+11,5.895569e+12,5.891727e+12,3.585918e+11,1.765278e+10,5.874075e+12,1.765278e+10,62,282,21,62.0,5.874075e+12
1784620805.068516,0.2000,70.5150,3.965793e+11,5.367373e+12,5.365637e+12,3.756676e+11,2.091175e+10,5.344725e+12,2.091175e+10,24,289,22,24.0,5.344725e+12
1784620805.268516,0.2000,71.5675,3.985244e+11,5.009066e+12,5.008990e+12,3.756676e+11,2.285686e+10,4.986133e+12,2.285686e+10,0,292,22,0.0,4.986133e+12
1784620805.468516,0.2000,72.5164,3.986125e+11,4.599341e+12,4.599259e+12,3.756676e+11,2.294494e+10,4.576314e+12,2.294494e+10,0,268,22,0.0,4.576314e+12
1784620805.668516,0.2000,73.4632,3.972693e+11,4.428805e+12,4.427158e+12,3.756676e+11,2.160171e+10,4.405556e+12,2.160171e+10,17,241,22,17.0,4.405556e+12
1784620805.868516,0.2000,74.0144,3.933717e+11,4.066576e+12,4.064668e+12,3.756676e+11,1.770416e+10,4.046964e+12,1.770416e+10,21,216,22,21.0,4.046964e+12
1784620806.068516,0.2000,73.7826,4.075409e+11,3.653713e+12,3.651942e+12,3.927434e+11,1.479750e+10,3.637145e+12,1.479750e+10,22,191,23,22.0,3.637145e+12
1784620806.268517,0.2000,73.4074,3.854445e+11,3.598412e+12,3.595695e+12,3.756676e+11,9.776923e+09,3.585918e+12,9.776923e+09,44,166,22,44.0,3.585918e+12
1784620806.468516,0.2000,72.2593,3.855546e+11,2.929909e+12,2.929848e+12,3.756676e+11,9.887023e+09,2.919961e+12,9.887023e+09,0,171,22,0.0,2.919961e+12
1784620806.668517,0.2000,71.0621,4.040764e+11,3.393734e+12,3.392341e+12,3.927434e+11,1.133301e+10,3.381008e+12,1.133301e+10,23,175,23,23.0,3.381008e+12
1784620806.868516,0.2000,69.9535,3.883071e+11,4.815986e+12,4.810939e+12,3.756676e+11,1.263954e+10,4.798299e+12,1.263954e+10,82,199,22,82.0,4.798299e+12
1784620807.068517,0.2000,69.4464,3.877933e+11,4.299425e+12,4.298151e+12,3.756676e+11,1.212573e+10,4.286025e+12,1.212573e+10,22,229,22,22.0,4.286025e+12
1784620807.268517,0.2000,69.4109,4.053535e+11,3.940044e+12,3.940044e+12,3.927434e+11,1.261017e+10,3.927434e+12,1.261017e+10,0,230,23,0.0,3.927434e+12
1784620807.468517,0.2000,69.8201,3.884686e+11,4.557227e+12,4.554963e+12,3.756676e+11,1.280102e+10,4.542162e+12,1.280102e+10,39,227,22,39.0,4.542162e+12
1784620807.668517,0.2000,70.6798,3.898045e+11,3.770812e+12,3.770812e+12,3.756676e+11,1.413690e+10,3.756676e+12,1.413690e+10,0,220,22,0.0,3.756676e+12
1784620807.868517,0.2000,71.1304,2.493959e+11,3.154617e+12,3.152282e+12,2.390612e+11,1.033477e+10,3.141947e+12,1.033477e+10,35,149,14,35.0,3.141947e+12
1784620808.068517,0.2000,71.8352,5.552160e+11,7.682566e+12,7.675824e+12,5.293497e+11,2.586627e+10,7.649958e+12,2.586627e+10,95,353,31,95.0,7.649958e+12
1784620808.268517,0.2000,72.2636,3.949572e+11,4.904558e+12,4.902968e+12,3.756676e+11,1.928960e+10,4.883678e+12,1.928960e+10,23,263,22,23.0,4.883678e+12
1784620808.468517,0.2000,72.5496,3.594477e+11,6.412335e+12,6.404280e+12,3.415160e+11,1.793170e+10,6.386348e+12,1.793170e+10,118,256,20,118.0,6.386348e+12
1784620808.668517,0.2000,72.4218,3.781750e+11,5.777185e+12,5.774127e+12,3.585918e+11,1.958321e+10,5.754544e+12,1.958321e+10,46,291,21,46.0,5.754544e+12
1784620808.868517,0.2000,72.4929,3.995740e+11,6.259532e+12,6.256573e+12,3.756676e+11,2.390648e+10,6.232666e+12,2.390648e+10,38,327,22,38.0,6.232666e+12
1784620809.068517,0.2000,72.3623,3.813826e+11,6.944993e+12,6.938489e+12,3.585918e+11,2.279080e+10,6.915698e+12,2.279080e+10,92,313,21,92.0,6.915698e+12
1784620809.268517,0.2000,72.6232,3.958673e+11,5.365179e+12,5.364925e+12,3.756676e+11,2.019977e+10,5.344725e+12,2.019977e+10,0,313,22,0.0,5.344725e+12
1784620809.468517,0.2000,72.6155,3.765822e+11,6.546503e+12,6.540945e+12,3.585918e+11,1.799042e+10,6.522955e+12,1.799042e+10,91,291,21,91.0,6.522955e+12
1784620809.668517,0.2000,73.2252,3.789603e+11,5.776778e+12,5.774913e+12,3.585918e+11,2.036859e+10,5.754544e+12,2.036859e+10,28,309,21,28.0,5.754544e+12
1784620809.868517,0.2000,73.7007,3.975629e+11,8.175212e+12,8.167051e+12,3.756676e+11,2.189532e+10,8.145156e+12,2.189532e+10,132,345,22,132.0,8.145156e+12
1784620810.068517,0.2000,73.9075,3.834084e+11,6.120877e+12,6.120877e+12,3.585918e+11,2.481665e+10,6.096060e+12,2.481665e+10,0,357,21,0.0,6.096060e+12
1784620810.268517,0.2000,74.0152,4.010347e+11,6.516589e+12,6.514170e+12,3.756676e+11,2.536715e+10,6.488803e+12,2.536715e+10,32,348,22,32.0,6.488803e+12
1784620810.468517,0.2000,74.6375,3.847370e+11,6.192306e+12,6.190508e+12,3.585918e+11,2.614519e+10,6.164363e+12,2.614519e+10,23,338,21,23.0,6.164363e+12
1784620810.668518,0.2000,74.4981,3.481631e+11,7.459932e+12,7.451695e+12,3.244402e+11,2.372298e+10,7.427972e+12,2.372298e+10,112,323,19,112.0,7.427972e+12
1784620810.868517,0.2000,74.8396,3.856031e+11,6.893563e+12,6.891482e+12,3.585918e+11,2.701132e+10,6.864471e+12,2.701132e+10,27,375,21,27.0,6.864471e+12
1784620811.068518,0.2000,74.7993,4.043744e+11,7.067187e+12,7.063936e+12,3.756676e+11,2.870687e+10,7.035229e+12,2.870687e+10,41,371,22,41.0,7.035229e+12
1784620811.268517,0.2000,75.0720,3.874014e+11,6.947226e+12,6.944508e+12,3.585918e+11,2.880963e+10,6.915698e+12,2.880963e+10,35,370,21,35.0,6.915698e+12
1784620811.468518,0.2000,75.0765,3.866087e+11,7.632438e+12,7.626747e+12,3.585918e+11,2.801690e+10,7.598730e+12,2.801690e+10,75,370,21,75.0,7.598730e+12
1784620811.668518,0.2000,75.0726,3.845461e+11,6.260189e+12,6.258621e+12,3.585918e+11,2.595435e+10,6.232666e+12,2.595435e+10,21,344,21,21.0,6.232666e+12
1784620811.868518,0.2000,75.1275,3.846415e+11,6.345665e+12,6.344095e+12,3.585918e+11,2.604977e+10,6.318045e+12,2.604977e+10,19,351,21,19.0,6.318045e+12
1784620812.068518,0.2000,74.7821,3.859114e+11,5.764788e+12,5.764788e+12,3.585918e+11,2.731960e+10,5.737468e+12,2.731960e+10,0,336,21,0.0,5.737468e+12
1784620812.268518,0.2000,74.1989,3.999337e+11,6.157956e+12,6.154478e+12,3.756676e+11,2.426615e+10,6.130211e+12,2.426615e+10,41,318,22,41.0,6.130211e+12
1784620812.468518,0.2000,73.8169,3.967408e+11,5.864018e+12,5.860996e+12,3.756676e+11,2.107323e+10,5.839923e+12,2.107323e+10,43,299,22,43.0,5.839923e+12
1784620812.668518,0.2000,73.5701,3.807366e+11,7.305122e+12,7.296435e+12,3.585918e+11,2.214488e+10,7.274290e+12,2.214488e+10,119,307,21,119.0,7.274290e+12
1784620812.868518,0.2000,72.9049,3.821679e+11,8.143029e+12,8.134580e+12,3.585918e+11,2.357618e+10,8.111004e+12,2.357618e+10,126,349,21,126.0,8.111004e+12
1784620813.068518,0.2000,73.3956,3.805018e+11,6.837842e+12,6.835153e+12,3.585918e+11,2.191000e+10,6.813243e+12,2.191000e+10,41,358,21,41.0,6.813243e+12
1784620813.268518,0.2000,73.5749,3.796063e+11,7.727912e+12,7.722199e+12,3.585918e+11,2.101451e+10,7.701185e+12,2.101451e+10,98,353,21,98.0,7.701185e+12
1784620813.468518,0.2000,74.2271,3.819257e+11,6.615886e+12,6.614592e+12,3.585918e+11,2.333396e+10,6.591258e+12,2.333396e+10,19,367,21,19.0,6.591258e+12
1784620813.668518,0.2000,74.5414,3.973353e+11,6.238266e+12,6.237258e+12,3.756676e+11,2.166777e+10,6.215590e+12,2.166777e+10,16,348,22,16.0,6.215590e+12
1784620813.868518,0.2000,75.0952,3.967848e+11,5.553804e+12,5.553676e+12,3.756676e+11,2.111727e+10,5.532559e+12,2.111727e+10,0,324,22,0.0,5.532559e+12
1784620814.068518,0.2000,74.7051,3.994493e+11,5.899021e+12,5.897856e+12,3.756676e+11,2.378170e+10,5.874075e+12,2.378170e+10,17,327,22,17.0,5.874075e+12
1784620814.268518,0.2000,75.0125,4.030606e+11,6.227210e+12,6.225908e+12,3.756676e+11,2.739300e+10,6.198515e+12,2.739300e+10,17,346,22,17.0,6.198515e+12
