t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784620800.743840,1784620800.743840,mixed,2,0,64,0.0003,59,2,
1784620800.743840,1784620800.760501,decode,2,0,64,0.0003,0,2,
1784620800.760501,1784620800.768818,decode,2,0,64,0.0003,0,2,
1784620800.768818,1784620800.777752,decode,2,0,80,0.0003,0,2,
1784620800.777752,1784620800.786703,decode,2,0,96,0.0004,0,2,
1784620800.786703,1784620800.795315,decode,2,0,96,0.0004,0,2,
1784620800.795315,1784620800.803955,decode,2,0,96,0.0004,0,2,
1784620800.803955,1784620800.812229,decode,2,0,96,0.0004,0,2,
1784620800.812229,1784620800.820801,decode,2,0,96,0.0004,0,2,
1784620800.820801,1784620800.829389,decode,2,0,96,0.0004,0,2,
1784620800.829389,1784620800.838484,decode,2,0,96,0.0004,0,2,
1784620800.838484,1784620800.847011,decode,2,0,96,0.0004,0,2,
1784620800.847011,1784620800.855260,decode,2,0,96,0.0004,0,2,
1784620800.855260,1784620800.864098,decode,2,0,96,0.0004,0,2,
1784620800.864098,1784620800.872865,decode,2,0,96,0.0004,0,2,
1784620800.872865,1784620800.881083,decode,2,0,96,0.0004,0,2,
1784620800.881083,1784620800.889654,decode,2,0,96,0.0004,0,2,
1784620800.889654,1784620800.898735,decode,2,0,96,0.0004,0,2,
1784620800.898735,1784620800.907768,decode,2,0,96,0.0004,0,2,
1784620800.907768,1784620800.916677,decode,2,0,112,0.0004,0,2,
1784620800.916677,1784620800.925294,decode,2,0,128,0.0005,0,2,
1784620800.925294,1784620800.933928,decode,2,0,128,0.0005,0,2,
1784620800.933928,1784620800.942496,decode,2,0,128,0.0005,0,2,
1784620800.942496,1784620800.951119,decode,2,0,128,0.0005,0,2,
1784620800.951119,1784620800.959569,decode,2,0,128,0.0005,0,2,
1784620800.959569,1784620800.968729,decode,2,0,128,0.0005,0,2,
1784620800.968729,1784620800.977325,decode,2,0,128,0.0005,0,2,
1784620800.977325,1784620800.986075,decode,2,0,128,0.0005,0,2,
1784620800.986075,1784620800.994736,decode,2,0,128,0.0005,0,2,
1784620800.994736,1784620801.003615,decode,2,0,128,0.0005,0,2,
1784620801.003615,1784620801.012452,decode,2,0,128,0.0005,0,2,
1784620801.012452,1784620801.021129,decode,2,0,128,0.0005,0,2,
1784620801.021129,1784620801.030000,decode,2,0,128,0.0005,0,2,
1784620801.030000,1784620801.038693,decode,2,0,128,0.0005,0,2,
1784620801.038693,1784620801.047556,decode,2,0,128,0.0005,0,2,
1784620801.047556,1784620801.056406,decode,2,0,144,0.0006,0,2,
1784620801.056406,1784620801.065070,decode,2,0,160,0.0006,0,2,
1784620801.065070,1784620801.074205,decode,2,0,160,0.0006,0,2,
1784620801.074205,1784620801.083041,decode,2,0,160,0.0006,0,2,
1784620801.083041,1784620801.091409,decode,2,0,160,0.0006,0,2,
1784620801.091409,1784620801.100168,decode,2,0,160,0.0006,0,2,
1784620801.100168,1784620801.109228,decode,2,0,160,0.0006,0,2,
1784620801.109228,1784620801.118011,decode,2,0,160,0.0006,0,2,
1784620801.118011,1784620801.127029,decode,2,0,160,0.0006,0,2,
1784620801.127029,1784620801.135614,decode,2,0,160,0.0006,0,2,
1784620801.135614,1784620801.144636,decode,2,0,160,0.0006,0,2,
1784620801.144636,1784620801.153508,decode,2,0,160,0.0006,0,2,
1784620801.153508,1784620801.162018,decode,2,0,160,0.0006,0,2,
1784620801.162018,1784620801.170941,decode,2,0,160,0.0006,0,2,
1784620801.170941,1784620801.180021,decode,2,0,160,0.0006,0,2,
1784620801.180021,1784620801.188490,decode,2,0,160,0.0006,0,2,
1784620801.188490,1784620801.197816,decode,2,0,176,0.0007,0,2,
1784620801.197816,1784620801.206554,decode,2,0,192,0.0008,0,2,
1784620801.206554,1784620801.215337,decode,2,0,192,0.0008,0,2,
1784620801.215337,1784620801.224005,decode,2,0,192,0.0008,0,2,
1784620801.224005,1784620801.232586,decode,2,0,192,0.0008,0,2,
1784620801.232586,1784620801.241376,decode,2,0,192,0.0008,0,2,
1784620801.241376,1784620801.250410,decode,2,0,192,0.0008,0,2,
1784620801.250410,1784620801.259067,decode,2,0,192,0.0008,0,2,
1784620801.259067,1784620801.268203,decode,2,0,192,0.0008,0,2,
1784620801.268203,1784620801.276842,decode,2,0,192,0.0008,0,2,
1784620801.276842,1784620801.285727,decode,2,0,192,0.0008,0,2,
1784620801.285727,1784620801.294585,decode,2,0,192,0.0008,0,2,
1784620801.294585,1784620801.302970,decode,2,0,192,0.0008,0,2,
1784620801.302970,1784620801.311735,decode,2,0,192,0.0008,0,2,
1784620801.311735,1784620801.320549,decode,2,0,192,0.0008,0,2,
1784620801.320549,1784620801.329641,decode,2,0,192,0.0008,0,2,
1784620801.329641,1784620801.338435,decode,2,0,208,0.0008,0,2,
1784620801.338435,1784620801.347419,decode,2,0,224,0.0009,0,2,
1784620801.347419,1784620801.355861,decode,2,0,224,0.0009,0,2,
1784620801.355861,1784620801.364672,decode,2,0,224,0.0009,0,2,
1784620801.364672,1784620801.373452,decode,2,0,224,0.0009,0,2,
1784620801.373452,1784620801.382307,decode,2,0,224,0.0009,0,2,
1784620801.382307,1784620801.391454,decode,2,0,224,0.0009,0,2,
1784620801.391454,1784620801.400382,decode,2,0,224,0.0009,0,2,
1784620801.400382,1784620801.409184,decode,2,0,224,0.0009,0,2,
1784620801.409184,1784620801.418062,decode,2,0,224,0.0009,0,2,
1784620801.418062,1784620801.426857,decode,2,0,224,0.0009,0,2,
1784620801.426857,1784620801.435708,decode,2,0,224,0.0009,0,2,
1784620801.435708,1784620801.444143,decode,2,0,224,0.0009,0,2,
1784620801.444143,1784620801.452897,decode,2,0,224,0.0009,0,2,
1784620801.452897,1784620801.462374,decode,2,0,224,0.0009,0,2,
1784620801.462374,1784620801.471099,decode,2,0,224,0.0009,0,2,
1784620801.471099,1784620801.480129,decode,2,0,240,0.0009,0,2,
1784620801.480129,1784620801.488824,decode,2,0,256,0.0010,0,2,
1784620801.488824,1784620801.497584,decode,2,0,256,0.0010,0,2,
1784620801.497584,1784620801.506008,decode,2,0,256,0.0010,0,2,
1784620801.506008,1784620801.514591,decode,2,0,256,0.0010,0,2,
1784620801.514591,1784620801.523437,decode,2,0,256,0.0010,0,2,
1784620801.523437,1784620801.532477,decode,2,0,256,0.0010,0,2,
1784620801.532477,1784620801.540992,decode,2,0,256,0.0010,0,2,
1784620801.540992,1784620801.549752,decode,2,0,256,0.0010,0,2,
1784620801.549752,1784620801.558252,decode,2,0,256,0.0010,0,2,
1784620801.558252,1784620801.567059,decode,2,0,256,0.0010,0,2,
1784620801.567059,1784620801.575167,decode,2,0,256,0.0010,0,2,
1784620801.575167,1784620801.583864,decode,2,0,256,0.0010,0,2,
1784620801.583864,1784620801.592987,decode,2,0,256,0.0010,0,2,
1784620801.592987,1784620801.601618,decode,2,0,256,0.0010,0,2,
1784620801.601618,1784620801.610605,decode,2,0,256,0.0010,0,2,
1784620801.610605,1784620801.618826,decode,2,0,272,0.0011,0,2,
1784620801.618826,1784620801.627619,decode,2,0,288,0.0011,0,2,
1784620801.627619,1784620801.635743,decode,2,0,288,0.0011,0,2,
1784620801.635743,1784620801.644602,decode,2,0,288,0.0011,0,2,
1784620801.644602,1784620801.653440,decode,2,0,288,0.0011,0,2,
1784620801.653440,1784620801.661911,decode,2,0,288,0.0011,0,2,
1784620801.661911,1784620801.670736,decode,2,0,288,0.0011,0,2,
1784620801.670736,1784620801.679538,decode,2,0,288,0.0011,0,2,
1784620801.679538,1784620801.687816,decode,2,0,288,0.0011,0,2,
1784620801.687816,1784620801.696983,decode,2,0,288,0.0011,0,2,
1784620801.696983,1784620801.705265,decode,2,0,288,0.0011,0,2,
1784620801.705265,1784620801.713931,decode,2,0,288,0.0011,0,2,
1784620801.713931,1784620801.722900,decode,2,0,288,0.0011,0,2,
1784620801.722900,1784620801.731557,decode,2,0,288,0.0011,0,2,
1784620801.731557,1784620801.740021,decode,2,0,288,0.0011,0,2,
1784620801.740021,1784620801.748617,decode,2,0,288,0.0011,0,2,
1784620801.748617,1784620801.757225,decode,2,0,304,0.0012,0,2,
1784620801.757225,1784620801.765728,decode,2,0,320,0.0013,0,2,
1784620801.765728,1784620801.774393,decode,2,0,320,0.0013,0,2,
1784620801.774393,1784620801.783393,decode,2,0,320,0.0013,0,2,
1784620801.783393,1784620801.792109,decode,2,0,320,0.0013,0,2,
1784620801.792109,1784620801.800403,decode,2,0,320,0.0013,0,2,
1784620801.800403,1784620801.809352,decode,2,0,320,0.0013,0,2,
1784620801.809352,1784620801.817856,decode,2,0,320,0.0013,0,2,
1784620801.817856,1784620801.826264,decode,2,0,320,0.0013,0,2,
1784620801.826264,1784620801.834900,decode,2,0,320,0.0013,0,2,
1784620801.834900,1784620801.843491,decode,2,0,320,0.0013,0,2,
1784620801.843491,1784620801.852174,decode,2,0,320,0.0013,0,2,
1784620801.852174,1784620801.861123,decode,2,0,320,0.0013,0,2,
1784620801.861123,1784620801.869827,decode,2,0,320,0.0013,0,2,
1784620801.869827,1784620801.878458,decode,2,0,320,0.0013,0,2,
1784620801.878458,1784620801.886722,decode,2,0,320,0.0013,0,2,
1784620801.886722,1784620801.895579,decode,2,0,336,0.0013,0,2,
1784620801.895579,1784620801.904221,decode,2,0,352,0.0014,0,2,
1784620801.904221,1784620801.913009,decode,2,0,352,0.0014,0,2,
1784620801.913009,1784620801.921633,decode,2,0,352,0.0014,0,2,
1784620801.921633,1784620801.930264,decode,2,0,352,0.0014,0,2,
1784620801.930264,1784620801.938960,decode,2,0,352,0.0014,0,2,
1784620801.938960,1784620801.947240,decode,2,0,352,0.0014,0,2,
1784620801.947240,1784620801.955876,decode,2,0,352,0.0014,0,2,
1784620801.955876,1784620801.964947,decode,2,0,352,0.0014,0,2,
