t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784620800.711392,158.130,1980,3201,0.0,0.0,36.0
1784620800.721476,158.130,1980,3201,0.0,0.0,36.0
1784620800.731478,158.130,1980,3201,0.0,0.0,36.0
1784620800.741473,158.130,1980,3201,0.0,0.0,36.0
1784620800.751516,158.130,1980,3201,0.0,0.0,36.0
1784620800.761465,158.130,1980,3201,0.0,0.0,36.0
1784620800.771514,158.130,1980,3201,0.0,0.0,36.0
1784620800.781472,136.048,1980,3201,0.0,0.0,36.0
1784620800.791470,136.048,1980,3201,0.0,0.0,36.0
1784620800.801466,136.048,1980,3201,8.0,5.0,36.0
1784620800.811466,136.048,1980,3201,8.0,5.0,36.0
1784620800.821459,136.048,1980,3201,8.0,5.0,38.0
1784620800.831472,136.048,1980,3201,8.0,5.0,38.0
1784620800.841470,136.048,1980,3201,8.0,5.0,38.0
1784620800.851470,136.048,1980,3201,8.0,5.0,38.0
1784620800.861473,136.048,1980,3201,8.0,5.0,38.0
1784620800.871469,136.048,1980,3201,8.0,5.0,38.0
1784620800.881459,144.062,1980,3201,8.0,5.0,38.0
1784620800.891457,144.062,1980,3201,8.0,5.0,38.0
1784620800.901458,144.062,1980,3201,8.0,5.0,38.0
1784620800.911464,144.062,1980,3201,8.0,5.0,38.0
1784620800.921468,144.062,1980,3201,8.0,5.0,38.0
1784620800.931466,144.062,1980,3201,8.0,5.0,38.0
1784620800.941465,144.062,1980,3201,8.0,5.0,38.0
1784620800.951468,144.062,1980,3201,8.0,5.0,38.0
1784620800.961466,144.062,1980,3201,8.0,5.0,38.0
1784620800.971464,144.062,1980,3201,8.0,5.0,38.0
1784620800.981466,162.815,1980,3201,8.0,5.0,38.0
1784620800.991465,162.815,1980,3201,8.0,5.0,38.0
1784620801.001465,162.815,1980,3201,85.0,52.0,38.0
1784620801.011465,162.815,1980,3201,85.0,52.0,38.0
1784620801.021465,162.815,1980,3201,85.0,52.0,39.0
1784620801.031465,162.815,1980,3201,85.0,52.0,39.0
1784620801.041465,162.815,1980,3201,85.0,52.0,39.0
1784620801.051465,162.815,1980,3201,85.0,52.0,39.0
1784620801.061533,162.815,1980,3201,85.0,52.0,39.0
1784620801.071472,162.815,1980,3201,85.0,52.0,39.0
1784620801.081472,181.565,1980,3201,85.0,52.0,39.0
1784620801.091502,181.565,1980,3201,85.0,52.0,39.0
1784620801.101457,181.565,1980,3201,85.0,52.0,39.0
1784620801.111458,181.565,1980,3201,85.0,52.0,39.0
1784620801.121471,181.565,1980,3201,85.0,52.0,39.0
1784620801.131475,181.565,1980,3201,85.0,52.0,39.0
1784620801.141472,181.565,1980,3201,85.0,52.0,39.0
1784620801.151472,181.565,1980,3201,85.0,52.0,39.0
1784620801.161466,181.565,1980,3201,85.0,52.0,39.0
1784620801.171472,181.565,1980,3201,85.0,52.0,39.0
1784620801.181473,203.744,1980,3201,85.0,52.0,39.0
1784620801.191478,203.744,1980,3201,85.0,52.0,39.0
1784620801.201472,203.744,1980,3201,84.0,52.0,39.0
1784620801.211486,203.744,1980,3201,84.0,52.0,39.0
1784620801.221472,203.744,1980,3201,84.0,52.0,39.0
1784620801.231477,203.744,1980,3201,84.0,52.0,39.0
1784620801.241472,203.744,1980,3201,84.0,52.0,39.0
1784620801.251473,203.744,1980,3201,84.0,52.0,39.0
1784620801.261472,203.744,1980,3201,84.0,52.0,39.0
1784620801.271472,203.744,1980,3201,84.0,52.0,39.0
1784620801.281475,221.924,1980,3201,84.0,52.0,39.0
1784620801.291478,221.924,1980,3201,84.0,52.0,39.0
1784620801.301493,221.924,1980,3201,84.0,52.0,39.0
1784620801.311468,221.924,1980,3201,84.0,52.0,39.0
1784620801.321473,221.924,1980,3201,84.0,52.0,39.0
1784620801.331471,221.924,1980,3201,84.0,52.0,39.0
1784620801.341471,221.924,1980,3201,84.0,52.0,39.0
1784620801.351473,221.924,1980,3201,84.0,52.0,39.0
1784620801.361471,221.924,1980,3201,84.0,52.0,39.0
1784620801.371472,221.924,1980,3201,84.0,52.0,39.0
1784620801.381471,244.315,1980,3201,84.0,52.0,39.0
1784620801.391487,244.315,1980,3201,84.0,52.0,39.0
1784620801.401474,244.315,1980,3201,85.0,52.0,39.0
1784620801.411471,244.315,1980,3201,85.0,52.0,39.0
1784620801.421544,244.315,1980,3201,85.0,52.0,39.0
1784620801.431472,244.315,1980,3201,85.0,52.0,39.0
1784620801.441472,244.315,1980,3201,85.0,52.0,39.0
1784620801.451474,244.315,1980,3201,85.0,52.0,39.0
1784620801.461471,244.315,1980,3201,85.0,52.0,39.0
1784620801.471572,244.315,1980,3201,85.0,52.0,39.0
1784620801.481459,264.714,1980,3201,85.0,52.0,39.0
1784620801.491472,264.714,1980,3201,85.0,52.0,39.0
1784620801.501473,264.714,1980,3201,85.0,52.0,39.0
1784620801.511473,264.714,1980,3201,85.0,52.0,39.0
1784620801.521473,264.714,1980,3201,85.0,52.0,39.0
1784620801.531575,264.714,1980,3201,85.0,52.0,39.0
1784620801.541480,264.714,1980,3201,85.0,52.0,39.0
1784620801.551472,264.714,1980,3201,85.0,52.0,39.0
1784620801.561474,264.714,1980,3201,85.0,52.0,39.0
1784620801.571471,264.714,1980,3201,85.0,52.0,39.0
1784620801.581471,284.557,1980,3201,85.0,52.0,39.0
1784620801.591472,284.557,1980,3201,85.0,52.0,39.0
1784620801.601909,284.557,1980,3201,85.0,52.0,39.0
1784620801.611472,284.557,1980,3201,85.0,52.0,39.0
