t_rel_s,measured_w,predicted_w
0.000,325.29,353.02
0.200,321.68,353.36
0.400,318.66,307.02
0.600,315.05,343.92
0.800,314.40,321.26
1.000,311.42,346.52
1.200,317.78,395.42
1.400,325.61,324.41
1.600,332.21,374.84
1.800,340.83,352.03
2.000,352.57,378.17
2.200,357.84,391.92
2.400,362.58,391.98
2.600,367.32,378.69
2.800,370.07,376.12
3.000,368.91,385.99
3.200,367.04,358.80
3.400,361.30,383.02
3.600,355.31,383.68
3.800,349.77,336.40
4.000,347.23,372.43
4.200,347.05,396.61
4.400,349.10,372.87
4.600,353.40,385.94
4.800,355.65,277.33
5.000,359.18,474.94
5.200,361.32,377.18
5.400,362.75,328.08
5.600,362.11,353.19
5.800,362.46,380.14
6.000,361.81,355.20
6.200,363.12,390.10
6.400,363.08,339.94
6.600,366.13,366.18
6.800,368.50,354.06
7.000,369.54,381.55
7.200,370.08,381.14
7.400,373.19,369.83
7.600,372.49,319.66
7.800,374.20,370.40
8.000,374.00,370.79
8.200,375.36,371.63
8.400,375.38,358.52
8.600,375.36,369.74
8.800,375.64,369.75
9.000,373.91,383.27
9.200,370.99,367.95
9.400,369.08,365.94
9.600,367.85,354.79
9.800,364.52,330.80
10.000,366.98,354.71
10.200,367.87,354.10
10.400,371.14,368.05
10.600,372.71,378.74
10.800,375.48,390.73
11.000,373.53,380.13
11.200,375.06,382.47
11.400,373.74,359.45
11.600,373.46,385.29
11.800,374.54,371.49
12.000,375.41,358.12
12.200,375.17,378.59
12.400,373.46,376.88
12.600,372.50,374.69
12.800,371.33,373.00
13.000,367.87,385.29
13.200,364.26,385.50
13.400,359.43,372.19
13.600,356.84,359.99
13.800,353.17,397.84
14.000,352.52,398.65
14.200,351.64,384.56
14.400,350.78,370.67
14.600,347.22,382.22
14.800,342.71,358.22
15.000,339.98,359.69
15.200,340.41,361.07
15.400,342.70,361.62
15.600,350.01,363.03
15.800,358.31,373.88
16.000,362.31,374.22
16.200,363.70,352.09
16.400,365.26,342.19
16.600,367.62,394.71
16.800,370.08,357.20
17.000,374.38,346.32
17.200,379.37,372.35
17.400,383.41,345.69
17.600,384.43,385.09
17.800,385.68,386.22
18.000,386.67,358.84
18.200,386.01,395.78
18.400,383.42,332.09
18.600,382.76,381.12
18.800,380.62,390.14
19.000,377.04,339.27
19.200,375.88,340.90
19.400,376.32,328.98
