t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784620446.766167,152.842,1980,3201,0.0,0.0,34.0
1784620446.776267,152.842,1980,3201,0.0,0.0,34.0
1784620446.786242,152.842,1980,3201,0.0,0.0,34.0
1784620446.796264,152.842,1980,3201,0.0,0.0,34.0
1784620446.806244,152.842,1980,3201,0.0,0.0,34.0
1784620446.816253,152.842,1980,3201,0.0,0.0,34.0
1784620446.826248,118.910,1980,3201,0.0,0.0,34.0
1784620446.836280,118.910,1980,3201,0.0,0.0,34.0
1784620446.846274,118.910,1980,3201,0.0,0.0,34.0
1784620446.856258,118.910,1980,3201,0.0,0.0,34.0
1784620446.866249,118.910,1980,3201,0.0,0.0,34.0
1784620446.876250,118.910,1980,3201,0.0,0.0,34.0
1784620446.886240,118.910,1980,3201,0.0,0.0,34.0
1784620446.896295,118.910,1980,3201,0.0,0.0,34.0
1784620446.906272,118.910,1980,3201,0.0,0.0,34.0
1784620446.916250,118.910,1980,3201,0.0,0.0,34.0
1784620446.926279,118.313,1980,3201,0.0,0.0,34.0
1784620446.936292,118.313,1980,3201,0.0,0.0,34.0
1784620446.946249,118.313,1980,3201,0.0,0.0,34.0
1784620446.956251,118.313,1980,3201,0.0,0.0,34.0
1784620446.966264,118.313,1980,3201,0.0,0.0,34.0
1784620446.976249,118.313,1980,3201,0.0,0.0,34.0
1784620446.986239,118.313,1980,3201,0.0,0.0,34.0
1784620446.996277,118.313,1980,3201,0.0,0.0,34.0
1784620447.006281,118.313,1980,3201,0.0,0.0,34.0
1784620447.016306,118.313,1980,3201,0.0,0.0,34.0
1784620447.026290,118.431,1980,3201,0.0,0.0,34.0
1784620447.036293,118.431,1980,3201,0.0,0.0,34.0
1784620447.046249,118.431,1980,3201,0.0,0.0,34.0
1784620447.056291,118.431,1980,3201,0.0,0.0,34.0
1784620447.066265,118.431,1980,3201,0.0,0.0,34.0
1784620447.076289,118.431,1980,3201,0.0,0.0,34.0
1784620447.086240,118.431,1980,3201,0.0,0.0,34.0
1784620447.096251,118.431,1980,3201,0.0,0.0,34.0
1784620447.106251,118.431,1980,3201,0.0,0.0,34.0
1784620447.116287,118.431,1980,3201,0.0,0.0,34.0
1784620447.126311,118.550,1980,3201,0.0,0.0,34.0
1784620447.136346,118.550,1980,3201,0.0,0.0,34.0
1784620447.146309,118.550,1980,3201,0.0,0.0,34.0
1784620447.156273,118.550,1980,3201,0.0,0.0,34.0
1784620447.166255,118.550,1980,3201,0.0,0.0,34.0
1784620447.176343,118.550,1980,3201,0.0,0.0,34.0
1784620447.186239,118.550,1980,3201,0.0,0.0,34.0
1784620447.196351,118.550,1980,3201,0.0,0.0,34.0
1784620447.206284,118.550,1980,3201,0.0,0.0,34.0
1784620447.216318,118.550,1980,3201,0.0,0.0,34.0
1784620447.226240,118.577,1980,3201,0.0,0.0,34.0
1784620447.236240,118.577,1980,3201,0.0,0.0,34.0
1784620447.246240,118.577,1980,3201,0.0,0.0,34.0
1784620447.256240,118.577,1980,3201,0.0,0.0,34.0
1784620447.266239,118.577,1980,3201,0.0,0.0,34.0
1784620447.276241,118.577,1980,3201,0.0,0.0,34.0
1784620447.286239,118.577,1980,3201,0.0,0.0,34.0
1784620447.296241,118.577,1980,3201,0.0,0.0,34.0
1784620447.306240,118.577,1980,3201,0.0,0.0,34.0
1784620447.316240,118.577,1980,3201,0.0,0.0,34.0
1784620447.326314,118.605,1980,3201,0.0,0.0,34.0
1784620447.336239,118.605,1980,3201,0.0,0.0,34.0
1784620447.346238,118.605,1980,3201,0.0,0.0,34.0
1784620447.356238,118.605,1980,3201,0.0,0.0,34.0
1784620447.366237,118.605,1980,3201,0.0,0.0,34.0
1784620447.376362,118.605,1980,3201,0.0,0.0,34.0
1784620447.386239,118.605,1980,3201,0.0,0.0,34.0
1784620447.396282,118.605,1980,3201,0.0,0.0,34.0
1784620447.406287,118.605,1980,3201,0.0,0.0,34.0
1784620447.416249,118.605,1980,3201,0.0,0.0,34.0
1784620447.426248,118.546,1980,3201,0.0,0.0,34.0
1784620447.436248,118.546,1980,3201,0.0,0.0,34.0
1784620447.446251,118.546,1980,3201,0.0,0.0,34.0
1784620447.456286,118.546,1980,3201,0.0,0.0,34.0
1784620447.466260,118.546,1980,3201,0.0,0.0,34.0
1784620447.476305,118.546,1980,3201,0.0,0.0,34.0
1784620447.486239,118.546,1980,3201,0.0,0.0,34.0
1784620447.496249,118.546,1980,3201,0.0,0.0,34.0
1784620447.506248,118.546,1980,3201,0.0,0.0,34.0
1784620447.516249,118.546,1980,3201,0.0,0.0,34.0
1784620447.526285,118.523,1980,3201,0.0,0.0,34.0
1784620447.536280,118.523,1980,3201,0.0,0.0,34.0
1784620447.546284,118.523,1980,3201,0.0,0.0,34.0
1784620447.556249,118.523,1980,3201,0.0,0.0,34.0
1784620447.566249,118.523,1980,3201,0.0,0.0,34.0
1784620447.576249,118.523,1980,3201,0.0,0.0,34.0
1784620447.586239,118.523,1980,3201,0.0,0.0,34.0
1784620447.596285,118.523,1980,3201,0.0,0.0,34.0
1784620447.606288,118.523,1980,3201,0.0,0.0,34.0
1784620447.616283,118.523,1980,3201,0.0,0.0,34.0
1784620447.626248,118.511,1980,3201,0.0,0.0,34.0
1784620447.636248,118.511,1980,3201,0.0,0.0,34.0
1784620447.646248,118.511,1980,3201,0.0,0.0,34.0
1784620447.656268,118.511,1980,3201,0.0,0.0,34.0
1784620447.666283,118.511,1980,3201,0.0,0.0,34.0
1784620447.676287,118.511,1980,3201,0.0,0.0,34.0
1784620447.686239,118.511,1980,3201,0.0,0.0,34.0
1784620447.696249,118.511,1980,3201,0.0,0.0,34.0
1784620447.706291,118.511,1980,3201,0.0,0.0,34.0
1784620447.716283,118.511,1980,3201,0.0,0.0,34.0
1784620447.726257,118.505,1980,3201,0.0,0.0,34.0
1784620447.736251,118.505,1980,3201,0.0,0.0,34.0
1784620447.746255,118.505,1980,3201,0.0,0.0,34.0
1784620447.756248,118.505,1980,3201,0.0,0.0,34.0
1784620447.766248,118.505,1980,3201,0.0,0.0,34.0
1784620447.776249,118.505,1980,3201,0.0,0.0,34.0
1784620447.786212,118.505,1980,3201,0.0,0.0,34.0
1784620447.796317,118.505,1980,3201,0.0,0.0,34.0
1784620447.806259,118.505,1980,3201,0.0,0.0,34.0
1784620447.816264,118.505,1980,3201,0.0,0.0,34.0
1784620447.826248,118.493,1980,3201,0.0,0.0,34.0
1784620447.836283,118.493,1980,3201,0.0,0.0,34.0
1784620447.846297,118.493,1980,3201,0.0,0.0,34.0
1784620447.856333,118.493,1980,3201,0.0,0.0,34.0
1784620447.866295,118.493,1980,3201,0.0,0.0,34.0
1784620447.876258,118.493,1980,3201,0.0,0.0,34.0
1784620447.886273,118.493,1980,3201,0.0,0.0,34.0
1784620447.896248,118.493,1980,3201,0.0,0.0,34.0
1784620447.906292,118.493,1980,3201,0.0,0.0,34.0
1784620447.916286,118.493,1980,3201,0.0,0.0,34.0
1784620447.926249,118.472,1980,3201,0.0,0.0,34.0
1784620447.936284,118.472,1980,3201,0.0,0.0,34.0
1784620447.946360,118.472,1980,3201,0.0,0.0,34.0
1784620447.956262,118.472,1980,3201,0.0,0.0,34.0
1784620447.966287,118.472,1980,3201,0.0,0.0,34.0
1784620447.976372,118.472,1980,3201,0.0,0.0,34.0
1784620447.986356,118.472,1980,3201,0.0,0.0,34.0
1784620447.996299,118.472,1980,3201,0.0,0.0,34.0
1784620448.006283,118.472,1980,3201,0.0,0.0,34.0
1784620448.016317,118.472,1980,3201,0.0,0.0,34.0
1784620448.026312,118.457,1980,3201,0.0,0.0,34.0
1784620448.036295,118.457,1980,3201,0.0,0.0,34.0
1784620448.046290,118.457,1980,3201,0.0,0.0,34.0
1784620448.056355,118.457,1980,3201,0.0,0.0,34.0
1784620448.066287,118.457,1980,3201,0.0,0.0,34.0
1784620448.076404,118.457,1980,3201,0.0,0.0,34.0
1784620448.086254,118.457,1980,3201,0.0,0.0,34.0
1784620448.096279,118.457,1980,3201,0.0,0.0,34.0
1784620448.106252,118.457,1980,3201,0.0,0.0,34.0
1784620448.116288,118.457,1980,3201,0.0,0.0,34.0
1784620448.126293,118.454,1980,3201,0.0,0.0,34.0
1784620448.136249,118.454,1980,3201,0.0,0.0,34.0
1784620448.146261,118.454,1980,3201,0.0,0.0,34.0
1784620448.156248,118.454,1980,3201,0.0,0.0,34.0
1784620448.166249,118.454,1980,3201,0.0,0.0,34.0
1784620448.176249,118.454,1980,3201,0.0,0.0,34.0
1784620448.186256,118.454,1980,3201,0.0,0.0,34.0
1784620448.196260,118.454,1980,3201,0.0,0.0,34.0
1784620448.206264,118.454,1980,3201,0.0,0.0,34.0
1784620448.216258,118.454,1980,3201,0.0,0.0,34.0
1784620448.226263,118.433,1980,3201,0.0,0.0,34.0
1784620448.236328,118.433,1980,3201,0.0,0.0,34.0
1784620448.246261,118.433,1980,3201,0.0,0.0,34.0
1784620448.256255,118.433,1980,3201,0.0,0.0,34.0
1784620448.266249,118.433,1980,3201,0.0,0.0,34.0
1784620448.276325,118.433,1980,3201,0.0,0.0,34.0
1784620448.286241,118.433,1980,3201,0.0,0.0,34.0
1784620448.296240,118.433,1980,3201,0.0,0.0,34.0
1784620448.306240,118.433,1980,3201,0.0,0.0,34.0
1784620448.316240,118.433,1980,3201,0.0,0.0,34.0
1784620448.326240,118.446,1980,3201,0.0,0.0,34.0
1784620448.336240,118.446,1980,3201,0.0,0.0,34.0
1784620448.346241,118.446,1980,3201,0.0,0.0,34.0
1784620448.356240,118.446,1980,3201,0.0,0.0,34.0
1784620448.366243,118.446,1980,3201,0.0,0.0,34.0
1784620448.376240,118.446,1980,3201,0.0,0.0,34.0
1784620448.386240,118.446,1980,3201,0.0,0.0,34.0
1784620448.396305,118.446,1980,3201,0.0,0.0,34.0
1784620448.406241,118.446,1980,3201,0.0,0.0,34.0
1784620448.416237,118.446,1980,3201,0.0,0.0,34.0
1784620448.426238,118.436,1980,3201,0.0,0.0,34.0
1784620448.436238,118.436,1980,3201,0.0,0.0,34.0
1784620448.446334,118.436,1980,3201,0.0,0.0,34.0
1784620448.456288,118.436,1980,3201,0.0,0.0,34.0
1784620448.466249,118.436,1980,3201,0.0,0.0,34.0
1784620448.476286,118.436,1980,3201,0.0,0.0,34.0
1784620448.486250,118.436,1980,3201,0.0,0.0,34.0
1784620448.496248,118.436,1980,3201,0.0,0.0,34.0
1784620448.506259,118.436,1980,3201,0.0,0.0,34.0
1784620448.516263,118.436,1980,3201,0.0,0.0,34.0
1784620448.526249,118.435,1980,3201,0.0,0.0,34.0
1784620448.536261,118.435,1980,3201,0.0,0.0,34.0
1784620448.546250,118.435,1980,3201,0.0,0.0,34.0
