t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784621029.751583,152.484,1980,3201,0.0,0.0,36.0
1784621029.761665,152.484,1980,3201,0.0,0.0,36.0
1784621029.771659,152.484,1980,3201,0.0,0.0,36.0
1784621029.781656,152.484,1980,3201,0.0,0.0,36.0
1784621029.791657,152.484,1980,3201,0.0,0.0,36.0
1784621029.801658,152.484,1980,3201,0.0,0.0,36.0
1784621029.811656,152.484,1980,3201,0.0,0.0,36.0
1784621029.821656,152.484,1980,3201,0.0,0.0,36.0
1784621029.831656,152.484,1980,3201,0.0,0.0,36.0
1784621029.841872,152.484,1980,3201,0.0,0.0,36.0
1784621029.851656,144.732,1980,3201,0.0,0.0,36.0
1784621029.861656,144.732,1980,3201,0.0,0.0,36.0
1784621029.871656,144.732,1980,3201,51.0,20.0,36.0
1784621029.881653,144.732,1980,3201,51.0,20.0,36.0
1784621029.891658,144.732,1980,3201,51.0,20.0,39.0
1784621029.901657,144.732,1980,3201,51.0,20.0,39.0
1784621029.911656,144.732,1980,3201,51.0,20.0,39.0
1784621029.921656,144.732,1980,3201,51.0,20.0,39.0
1784621029.931656,144.732,1965,3201,51.0,20.0,39.0
1784621029.941656,144.732,1965,3201,51.0,20.0,39.0
1784621029.951656,164.669,1965,3201,51.0,20.0,39.0
1784621029.961656,164.669,1965,3201,51.0,20.0,39.0
1784621029.971656,164.669,1965,3201,51.0,20.0,39.0
1784621029.981656,164.669,1965,3201,51.0,20.0,39.0
1784621029.991656,164.669,1965,3201,51.0,20.0,39.0
1784621030.001637,164.669,1965,3201,51.0,20.0,39.0
1784621030.011650,164.669,1965,3201,51.0,20.0,39.0
1784621030.021665,164.669,1965,3201,51.0,20.0,39.0
1784621030.031711,164.669,1965,3201,51.0,20.0,39.0
1784621030.041666,164.669,1965,3201,51.0,20.0,39.0
1784621030.051666,187.460,1965,3201,51.0,20.0,39.0
1784621030.061673,187.460,1965,3201,51.0,20.0,39.0
1784621030.071666,187.460,1965,3201,90.0,53.0,39.0
1784621030.081666,187.460,1965,3201,90.0,53.0,39.0
1784621030.091764,187.460,1965,3201,90.0,53.0,39.0
1784621030.101667,187.460,1965,3201,90.0,53.0,39.0
1784621030.111664,187.460,1965,3201,90.0,53.0,39.0
1784621030.121665,187.460,1965,3201,90.0,53.0,39.0
1784621030.131665,187.460,1965,3201,90.0,53.0,39.0
1784621030.141664,187.460,1965,3201,90.0,53.0,39.0
1784621030.151664,210.813,1965,3201,90.0,53.0,39.0
1784621030.161664,210.813,1965,3201,90.0,53.0,39.0
1784621030.171666,210.813,1965,3201,90.0,53.0,39.0
1784621030.181664,210.813,1965,3201,90.0,53.0,39.0
1784621030.191674,210.813,1965,3201,90.0,53.0,39.0
1784621030.201668,210.813,1965,3201,90.0,53.0,39.0
