t_rel_s,measured_w,predicted_w
0.000,386.91,146.85
0.200,420.36,418.88
0.400,420.23,392.44
0.600,421.08,394.57
0.800,421.87,426.11
1.000,412.51,428.60
1.200,382.27,431.07
1.400,385.27,433.48
1.600,389.44,435.97
1.800,392.62,392.35
2.000,394.88,440.11
2.200,397.77,256.99
2.400,401.98,614.97
2.600,407.20,206.16
2.800,421.69,417.29
3.000,416.95,404.33
3.200,410.76,390.17
3.400,404.39,419.71
3.600,395.62,407.65
3.800,377.76,395.26
4.000,380.48,426.93
4.200,382.92,399.07
4.400,381.11,369.62
4.600,378.61,398.62
4.800,378.63,400.11
5.000,379.04,431.15
5.200,379.45,316.21
5.400,383.00,382.42
5.600,383.74,355.02
5.800,380.65,411.02
6.000,375.32,427.56
6.200,372.58,387.22
6.400,377.61,333.55
6.600,390.41,422.52
6.800,392.73,394.44
7.000,395.91,394.08
7.200,398.90,408.64
7.400,392.93,408.90
7.600,382.77,410.62
7.800,384.40,357.22
8.000,383.92,370.74
8.200,381.75,382.30
8.400,379.56,411.84
8.600,375.58,414.26
8.800,372.59,383.75
9.000,370.45,409.52
9.200,368.58,383.22
9.400,368.61,397.54
9.600,370.38,361.15
9.800,381.71,392.78
10.000,382.67,407.66
10.200,385.80,334.93
10.400,394.69,374.63
10.600,396.76,360.39
10.800,391.88,330.30
11.000,395.22,402.46
11.200,400.08,379.17
11.400,399.43,426.59
11.600,399.63,414.16
11.800,397.47,415.82
12.000,396.53,401.31
12.200,395.89,396.27
12.400,390.54,394.27
12.600,390.11,408.94
12.800,390.62,363.09
13.000,391.90,385.98
13.200,406.83,255.74
13.400,429.91,376.37
13.600,433.38,421.90
13.800,435.69,407.69
14.000,438.62,424.25
14.200,429.55,441.99
14.400,409.04,412.99
14.600,410.67,429.36
14.800,411.54,414.69
15.000,411.41,410.90
15.200,411.09,424.99
15.400,409.55,363.65
15.600,411.44,420.22
15.800,408.88,380.70
16.000,402.11,378.05
16.200,394.09,407.28
16.400,386.74,422.17
16.600,377.96,410.80
16.800,373.41,412.95
17.000,384.36,280.13
17.200,413.14,407.24
17.400,419.16,406.53
17.600,423.64,391.24
17.800,427.91,437.83
18.000,426.78,373.84
18.200,404.85,373.56
18.400,405.82,387.71
