t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784621187.324692,157.541,1980,3201,0.0,0.0,36.0
1784621187.334780,153.707,1980,3201,0.0,0.0,36.0
1784621187.344774,153.707,1980,3201,0.0,0.0,36.0
1784621187.354773,153.707,1980,3201,1.0,0.0,36.0
1784621187.364773,153.707,1980,3201,1.0,0.0,36.0
1784621187.374773,153.707,1980,3201,1.0,0.0,36.0
1784621187.384773,153.707,1980,3201,1.0,0.0,36.0
1784621187.394807,153.707,1980,3201,1.0,0.0,36.0
1784621187.404776,153.707,1980,3201,1.0,0.0,36.0
1784621187.414780,153.707,1980,3201,1.0,0.0,36.0
1784621187.425069,153.707,1980,3201,1.0,0.0,36.0
1784621187.434773,135.963,1980,3201,1.0,0.0,36.0
1784621187.444774,135.963,1980,3201,1.0,0.0,36.0
1784621187.454773,135.963,1980,3201,1.0,0.0,36.0
1784621187.464773,135.963,1980,3201,1.0,0.0,36.0
1784621187.474775,135.963,1980,3201,1.0,0.0,37.0
1784621187.484779,135.963,1980,3201,1.0,0.0,37.0
1784621187.494773,135.963,1980,3201,1.0,0.0,37.0
1784621187.504773,135.963,1980,3201,1.0,0.0,37.0
1784621187.514772,135.963,1980,3201,1.0,0.0,37.0
1784621187.524773,135.963,1980,3201,1.0,0.0,37.0
1784621187.534764,153.932,1980,3201,1.0,0.0,37.0
1784621187.544774,153.932,1980,3201,1.0,0.0,37.0
1784621187.554773,153.932,1980,3201,87.0,54.0,37.0
1784621187.564773,153.932,1980,3201,87.0,54.0,37.0
1784621187.574773,153.932,1980,3201,87.0,54.0,38.0
1784621187.584773,153.932,1980,3201,87.0,54.0,38.0
1784621187.594774,153.932,1980,3201,87.0,54.0,38.0
1784621187.604772,153.932,1980,3201,87.0,54.0,38.0
1784621187.614773,153.932,1980,3201,87.0,54.0,38.0
1784621187.624773,153.932,1980,3201,87.0,54.0,38.0
1784621187.634772,174.558,1980,3201,87.0,54.0,38.0
1784621187.644763,174.558,1980,3201,87.0,54.0,38.0
1784621187.654772,174.558,1980,3201,87.0,54.0,38.0
1784621187.664773,174.558,1980,3201,87.0,54.0,38.0
1784621187.674773,174.558,1980,3201,87.0,54.0,39.0
1784621187.684772,174.558,1980,3201,87.0,54.0,39.0
1784621187.694764,174.558,1980,3201,87.0,54.0,39.0
1784621187.704773,174.558,1980,3201,87.0,54.0,39.0
1784621187.714774,174.558,1980,3201,87.0,54.0,39.0
1784621187.724773,174.558,1980,3201,87.0,54.0,39.0
1784621187.734773,196.474,1980,3201,87.0,54.0,39.0
1784621187.744773,196.474,1980,3201,87.0,54.0,39.0
1784621187.754986,196.474,1980,3201,88.0,54.0,39.0
1784621187.764766,196.474,1980,3201,88.0,54.0,39.0
1784621187.774772,196.474,1980,3201,88.0,54.0,39.0
1784621187.784773,196.474,1980,3201,88.0,54.0,39.0
1784621187.794777,196.474,1980,3201,88.0,54.0,39.0
1784621187.804762,196.474,1980,3201,88.0,54.0,39.0
1784621187.814772,196.474,1980,3201,88.0,54.0,39.0
1784621187.824772,196.474,1980,3201,88.0,54.0,39.0
1784621187.834773,217.722,1980,3201,88.0,54.0,39.0
1784621187.844774,217.722,1980,3201,88.0,54.0,39.0
1784621187.854773,217.722,1980,3201,88.0,54.0,39.0
1784621187.864765,217.722,1980,3201,88.0,54.0,39.0
1784621187.874772,217.722,1980,3201,88.0,54.0,39.0
1784621187.884774,217.722,1980,3201,88.0,54.0,39.0
1784621187.894773,217.722,1980,3201,88.0,54.0,39.0
1784621187.904773,217.722,1980,3201,88.0,54.0,39.0
1784621187.914762,217.722,1980,3201,88.0,54.0,39.0
1784621187.924772,217.722,1980,3201,88.0,54.0,39.0
1784621187.934772,217.722,1980,3201,88.0,54.0,39.0
1784621187.944773,235.962,1980,3201,88.0,54.0,39.0
1784621187.954773,235.962,1980,3201,88.0,54.0,39.0
1784621187.964773,235.962,1980,3201,88.0,54.0,39.0
1784621187.974773,235.962,1980,3201,88.0,54.0,39.0
1784621187.984775,235.962,1980,3201,88.0,54.0,39.0
1784621187.994779,235.962,1980,3201,88.0,54.0,39.0
1784621188.004776,235.962,1980,3201,88.0,54.0,39.0
1784621188.014789,235.962,1980,3201,88.0,54.0,39.0
1784621188.024762,235.962,1980,3201,88.0,54.0,39.0
1784621188.034772,235.962,1980,3201,88.0,54.0,39.0
1784621188.044773,259.145,1980,3201,88.0,54.0,39.0
1784621188.054774,259.145,1980,3201,88.0,54.0,39.0
1784621188.064773,259.145,1980,3201,88.0,54.0,39.0
1784621188.074773,259.145,1980,3201,88.0,54.0,39.0
1784621188.084868,259.145,1980,3201,88.0,54.0,39.0
1784621188.094781,259.145,1980,3201,88.0,54.0,39.0
1784621188.104826,259.145,1980,3201,88.0,54.0,39.0
1784621188.114773,259.145,1980,3201,88.0,54.0,39.0
1784621188.124773,259.145,1980,3201,88.0,54.0,39.0
1784621188.135113,259.145,1980,3201,88.0,54.0,39.0
1784621188.144772,279.716,1980,3201,88.0,54.0,39.0
1784621188.154773,279.716,1980,3201,88.0,54.0,39.0
1784621188.164773,279.716,1980,3201,88.0,54.0,39.0
1784621188.174804,279.716,1980,3201,88.0,54.0,39.0
1784621188.184767,279.716,1980,3201,88.0,54.0,39.0
1784621188.194773,279.716,1980,3201,88.0,54.0,39.0
1784621188.204773,279.716,1980,3201,88.0,54.0,39.0
1784621188.214773,279.716,1980,3201,88.0,54.0,39.0
1784621188.224772,279.716,1980,3201,88.0,54.0,39.0
1784621188.234773,279.716,1980,3201,88.0,54.0,39.0
1784621188.244773,300.958,1980,3201,88.0,54.0,39.0
1784621188.254773,300.958,1980,3201,88.0,54.0,39.0
1784621188.264772,300.958,1980,3201,88.0,54.0,39.0
1784621188.274774,300.958,1980,3201,88.0,54.0,39.0
1784621188.284765,300.958,1980,3201,88.0,54.0,39.0
1784621188.294765,300.958,1980,3201,88.0,54.0,39.0
1784621188.304765,300.958,1980,3201,88.0,54.0,39.0
1784621188.314760,300.958,1980,3201,88.0,54.0,39.0
1784621188.324763,300.958,1980,3201,88.0,54.0,39.0
1784621188.334764,300.958,1980,3201,88.0,54.0,39.0
1784621188.344764,322.508,1980,3201,88.0,54.0,39.0
1784621188.355021,322.508,1980,3201,88.0,54.0,39.0
1784621188.364764,322.508,1980,3201,88.0,54.0,39.0
1784621188.374764,322.508,1980,3201,88.0,54.0,39.0
1784621188.384764,322.508,1980,3201,88.0,54.0,39.0
1784621188.394765,322.508,1980,3201,88.0,54.0,39.0
1784621188.404764,322.508,1980,3201,88.0,54.0,39.0
1784621188.414764,322.508,1980,3201,88.0,54.0,39.0
1784621188.424765,322.508,1980,3201,88.0,54.0,39.0
1784621188.434765,322.508,1980,3201,88.0,54.0,39.0
1784621188.444882,329.119,1980,3201,88.0,54.0,39.0
1784621188.454776,329.119,1980,3201,88.0,54.0,39.0
1784621188.464767,329.119,1980,3201,88.0,54.0,39.0
1784621188.474781,329.119,1980,3201,88.0,54.0,39.0
1784621188.484775,329.119,1980,3201,88.0,54.0,40.0
1784621188.494773,329.119,1980,3201,88.0,54.0,40.0
1784621188.504772,329.119,1980,3201,88.0,54.0,40.0
1784621188.514773,329.119,1980,3201,88.0,54.0,40.0
1784621188.524764,329.119,1980,3201,88.0,54.0,40.0
1784621188.534774,329.119,1980,3201,88.0,54.0,40.0
1784621188.544772,329.205,1980,3201,88.0,54.0,40.0
1784621188.554772,329.205,1980,3201,88.0,54.0,40.0
