t_rel_s,measured_w,predicted_w
0.000,328.00,402.05
0.200,326.92,402.43
0.400,326.76,350.02
0.600,327.19,366.62
0.800,328.10,381.22
1.000,329.87,381.53
1.200,332.55,424.62
1.400,334.42,230.17
1.600,337.63,542.55
1.800,341.10,375.13
2.000,345.48,405.98
2.200,352.56,394.59
2.400,363.47,442.34
2.600,369.27,428.24
2.800,373.50,412.25
3.000,380.57,408.56
3.200,380.92,351.77
3.400,388.19,430.93
3.600,391.19,445.27
3.800,401.82,332.31
4.000,415.31,362.08
4.200,420.13,408.13
4.400,414.43,436.79
4.600,411.64,434.90
4.800,402.79,431.70
5.000,387.62,418.79
5.200,382.33,390.81
5.400,380.93,422.55
5.600,380.67,422.41
5.800,381.32,415.45
6.000,385.09,414.90
6.200,387.31,368.93
6.400,385.91,378.59
6.600,400.58,343.23
6.800,404.71,388.39
7.000,401.91,390.99
7.200,403.54,439.31
7.400,407.18,393.84
7.600,394.96,378.27
7.800,391.46,392.81
8.000,395.55,438.96
8.200,395.82,378.29
8.400,395.28,394.31
8.600,397.79,412.14
8.800,399.82,379.32
9.000,404.55,441.31
9.200,403.98,408.05
9.400,398.53,394.74
9.600,393.06,395.28
9.800,387.50,338.92
10.000,393.62,358.33
10.200,397.15,388.08
10.400,400.18,399.92
10.600,402.01,431.88
10.800,404.77,419.85
11.000,395.07,405.21
11.200,390.98,404.82
11.400,393.60,446.95
11.600,394.97,402.89
11.800,394.44,418.77
12.000,392.99,400.69
12.200,390.96,413.80
12.400,387.15,420.58
12.600,385.60,418.23
12.800,380.98,428.61
13.000,374.36,399.50
13.200,366.90,413.49
13.400,361.24,413.73
13.600,358.29,361.31
13.800,368.21,407.18
14.000,370.56,421.92
14.200,371.67,435.91
14.400,373.87,420.75
14.600,372.00,432.08
14.800,359.98,416.99
15.000,356.93,403.94
15.200,361.29,379.67
15.400,367.38,410.13
15.600,370.52,395.59
15.800,373.35,353.67
16.000,383.60,378.73
16.200,384.07,387.48
16.400,386.02,380.24
16.600,389.65,397.18
16.800,391.17,399.32
17.000,385.04,400.73
17.200,387.79,388.40
17.400,386.64,360.36
17.600,409.32,281.99
17.800,437.82,426.45
18.000,447.42,410.39
18.200,451.36,428.91
18.400,458.04,427.94
18.600,444.81,380.79
18.800,424.53,411.99
19.000,425.75,428.51
19.200,427.47,328.20
19.400,425.19,374.62
19.600,422.79,393.64
19.800,424.82,442.21
20.000,423.45,424.80
20.200,426.80,281.49
20.400,460.84,406.91
20.600,462.92,422.73
20.800,459.07,423.45
21.000,456.13,390.79
21.200,450.97,425.39
21.400,420.27,438.72
21.600,419.59,391.66
21.800,420.22,441.04
22.000,426.91,357.18
22.200,430.35,386.86
22.400,426.60,368.24
22.600,426.68,295.09
22.800,451.76,421.71
23.000,447.46,362.38
23.200,447.61,386.69
23.400,452.24,404.54
23.600,457.30,438.61
23.800,433.98,359.29
24.000,437.90,440.74
24.200,437.24,427.36
24.400,436.97,413.61
24.600,437.45,366.29
24.800,463.05,259.97
25.000,478.37,367.57
25.200,480.92,401.97
25.400,485.99,413.52
25.600,487.35,398.88
25.800,463.53,398.64
26.000,445.23,397.04
26.200,442.49,363.05
26.400,440.09,401.80
26.600,439.72,418.16
26.800,440.18,433.99
27.000,448.32,357.04
27.200,458.50,412.13
27.400,461.54,413.84
27.600,467.26,423.80
27.800,465.64,397.13
28.000,451.21,426.21
28.200,436.19,438.84
28.400,421.39,436.61
28.600,406.17,422.31
28.800,398.72,431.78
29.000,394.08,380.85
29.200,388.96,410.70
29.400,388.55,438.93
29.600,383.53,397.75
29.800,375.41,396.52
30.000,375.37,362.11
30.200,380.37,419.59
30.400,375.26,364.24
30.600,377.20,410.77
30.800,380.49,398.31
31.000,379.36,430.59
31.200,373.82,433.17
31.400,377.84,387.75
31.600,380.26,370.26
31.800,385.86,403.06
32.000,389.26,390.82
32.200,391.48,392.27
32.400,395.24,388.08
32.600,396.69,410.97
32.800,393.39,367.42
33.000,390.71,391.63
33.200,388.06,421.19
33.400,382.29,419.49
33.600,377.28,420.90
33.800,374.09,407.97
34.000,371.93,409.11
34.200,374.24,391.61
34.400,374.72,417.86
34.600,375.62,419.36
34.800,375.99,416.98
35.000,376.73,430.49
35.200,371.65,373.70
35.400,372.74,359.45
35.600,377.95,404.88
35.800,379.26,406.35
36.000,380.68,378.69
36.200,385.65,424.96
36.400,385.46,427.38
36.600,384.25,383.07
36.800,387.23,384.52
37.000,387.84,357.06
37.200,392.04,374.98
37.400,395.62,422.96
37.600,401.75,362.42
37.800,414.10,408.53
38.000,420.06,430.70
38.200,417.72,417.51
38.400,414.69,386.25
38.600,409.58,341.83
38.800,419.90,388.06
39.000,420.89,406.64
39.200,425.39,425.19
39.400,432.39,440.22
39.600,438.46,371.10
39.800,423.72,446.01
40.000,420.05,444.82
40.200,417.71,399.05
40.400,414.43,379.34
40.600,435.11,134.43
40.800,476.38,395.97
41.000,486.61,417.03
41.200,496.71,416.43
41.400,506.04,450.63
41.600,491.26,450.24
41.800,454.68,388.38
42.000,453.95,390.65
42.200,458.84,383.42
42.400,466.94,422.86
42.600,471.56,438.97
42.800,473.50,421.17
43.000,475.02,422.79
43.200,479.55,369.54
43.400,473.54,464.61
43.600,472.70,323.66
43.800,470.64,408.54
44.000,468.12,440.41
44.200,456.23,440.61
44.400,448.85,426.84
44.600,444.68,441.68
44.800,441.60,404.94
45.000,434.40,438.96
45.200,425.50,427.65
45.400,415.64,427.63
45.600,403.86,442.93
45.800,390.60,434.18
46.000,377.85,432.22
46.200,370.25,421.61
46.400,361.98,448.70
46.600,354.13,435.52
46.800,347.45,432.95
47.000,345.21,446.72
47.130,342.55,431.66
