t_rel_s,measured_w,predicted_w
0.000,295.61,260.63
0.200,293.69,300.29
0.400,292.37,300.32
0.600,286.85,300.36
0.800,286.35,287.17
1.000,285.23,300.42
1.200,285.74,300.45
1.400,286.72,287.26
1.600,284.30,300.52
1.800,277.07,287.32
2.000,283.75,287.35
2.200,282.51,300.62
2.400,285.12,287.41
2.600,283.16,300.68
2.800,285.43,287.47
3.000,280.92,274.20
3.200,285.50,287.06
3.400,284.97,287.09
3.600,286.30,300.34
3.800,287.26,300.37
4.000,287.23,300.40
4.200,286.23,287.21
4.400,287.82,300.47
4.600,287.47,287.27
4.800,281.63,300.53
5.000,284.98,287.34
5.200,285.26,287.37
5.400,284.06,300.63
5.600,285.99,287.43
5.800,283.87,300.69
6.000,285.57,287.49
6.200,283.98,287.52
6.400,287.90,287.14
6.600,287.83,300.34
6.800,291.75,287.15
7.000,288.06,287.08
7.200,286.96,300.30
7.400,289.08,287.11
7.600,288.42,300.36
7.800,287.10,300.40
8.000,289.34,300.43
8.200,287.41,287.24
8.400,288.26,300.50
8.600,282.40,287.30
8.800,286.67,287.33
9.000,284.04,300.59
9.200,285.94,287.39
9.400,285.98,300.66
9.600,285.18,287.45
9.800,286.47,287.48
10.000,284.65,287.38
10.200,286.76,273.87
10.400,287.94,300.34
10.600,292.18,287.15
10.800,290.44,300.41
11.000,288.86,300.44
11.200,288.65,287.25
11.400,286.70,300.50
11.600,286.89,287.31
11.800,288.49,300.57
12.000,291.57,287.37
12.200,289.78,287.40
12.400,289.56,300.67
12.600,287.73,287.46
12.800,289.02,300.73
13.000,291.26,287.52
13.200,289.71,274.11
13.400,292.43,300.29
13.600,292.19,300.32
13.800,294.22,287.14
14.000,293.32,300.39
14.200,296.12,300.42
14.400,294.89,300.45
14.600,293.36,287.26
14.800,289.22,300.52
15.000,290.82,287.32
15.200,289.24,287.35
15.400,291.22,300.62
15.600,291.16,287.41
15.800,290.08,287.44
16.000,293.18,300.71
16.200,289.64,287.50
16.400,293.26,287.13
16.600,294.03,287.14
16.800,294.08,300.39
17.000,296.38,300.42
17.200,295.70,300.45
17.400,295.04,287.26
17.600,292.49,300.52
17.800,292.53,287.32
18.000,291.66,287.35
18.200,291.35,300.61
18.400,290.12,287.41
18.600,291.19,300.68
18.800,291.05,287.47
19.000,291.30,287.50
19.200,293.53,300.77
19.400,281.90,273.84
19.600,293.99,300.30
19.800,295.88,300.33
