t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784663850.031479,1784663850.031479,mixed,1,0,32,0.0001,26,1,
1784663850.031479,1784663850.045752,mixed,4,0,112,0.0002,66,4,
1784663850.045752,1784663850.059155,decode,4,0,112,0.0002,0,4,
1784663850.059155,1784663850.071721,decode,4,0,128,0.0003,0,4,
1784663850.071721,1784663850.084050,decode,4,0,128,0.0003,0,4,
1784663850.084050,1784663850.096483,decode,4,0,128,0.0003,0,4,
1784663850.096483,1784663850.109127,decode,3,0,96,0.0002,0,4,
1784663850.109127,1784663850.121533,decode,3,0,112,0.0002,0,3,
1784663850.121533,1784663850.133899,decode,3,0,112,0.0002,0,3,
1784663850.133899,1784663850.146308,decode,3,0,128,0.0003,0,3,
1784663850.146308,1784663850.158685,decode,3,0,128,0.0003,0,3,
1784663850.158685,1784663850.171048,decode,3,0,128,0.0003,0,3,
1784663850.171048,1784663850.183403,decode,3,0,128,0.0003,0,3,
1784663850.183403,1784663850.195855,decode,2,0,80,0.0002,0,3,
1784663850.195855,1784663850.208153,decode,2,0,80,0.0002,0,2,
1784663850.208153,1784663850.220424,decode,2,0,80,0.0002,0,2,
1784663850.220424,1784663850.232734,decode,2,0,80,0.0002,0,2,
1784663850.232734,1784663850.245020,decode,2,0,80,0.0002,0,2,
1784663850.245020,1784663850.257344,decode,2,0,80,0.0002,0,2,
1784663850.257344,1784663850.269655,decode,2,0,96,0.0002,0,2,
1784663850.269655,1784663850.281953,decode,2,0,96,0.0002,0,2,
1784663850.281953,1784663850.294224,decode,2,0,96,0.0002,0,2,
1784663850.294224,1784663850.306472,decode,2,0,96,0.0002,0,2,
1784663850.306472,1784663850.318752,decode,2,0,112,0.0002,0,2,
1784663850.318752,1784663850.331056,decode,2,0,112,0.0002,0,2,
1784663850.331056,1784663850.343338,decode,2,0,112,0.0002,0,2,
1784663850.343338,1784663850.355593,decode,2,0,112,0.0002,0,2,
1784663850.355593,1784663850.367863,decode,2,0,112,0.0002,0,2,
1784663850.367863,1784663850.380166,decode,2,0,112,0.0002,0,2,
1784663850.380166,1784663850.392385,decode,2,0,112,0.0002,0,2,
1784663850.392385,1784663850.404611,decode,2,0,112,0.0002,0,2,
1784663850.404611,1784663850.416905,decode,2,0,112,0.0002,0,2,
1784663850.416905,1784663850.429183,decode,2,0,112,0.0002,0,2,
1784663850.429183,1784663850.441473,decode,2,0,112,0.0002,0,2,
1784663850.441473,1784663850.453759,decode,2,0,112,0.0002,0,2,
1784663850.453759,1784663850.465986,decode,2,0,128,0.0003,0,2,
1784663850.465986,1784663850.478311,decode,2,0,128,0.0003,0,2,
1784663850.478311,1784663850.490636,decode,2,0,128,0.0003,0,2,
1784663850.490636,1784663850.502951,decode,2,0,128,0.0003,0,2,
1784663850.502951,1784663850.515217,decode,2,0,144,0.0003,0,2,
1784663850.515217,1784663850.527495,decode,2,0,144,0.0003,0,2,
1784663850.527495,1784663850.539795,decode,2,0,144,0.0003,0,2,
1784663850.539795,1784663850.552084,decode,2,0,144,0.0003,0,2,
1784663850.552084,1784663850.564423,decode,2,0,144,0.0003,0,2,
1784663850.564423,1784663850.576626,decode,2,0,144,0.0003,0,2,
1784663850.576626,1784663850.588903,decode,2,0,144,0.0003,0,2,
1784663850.588903,1784663850.601185,decode,2,0,144,0.0003,0,2,
1784663850.601185,1784663850.613480,decode,2,0,144,0.0003,0,2,
1784663850.613480,1784663850.625767,decode,2,0,144,0.0003,0,2,
1784663850.625767,1784663850.638039,decode,2,0,144,0.0003,0,2,
1784663850.638039,1784663850.650335,decode,2,0,144,0.0003,0,2,
1784663850.650335,1784663850.662651,decode,2,0,160,0.0004,0,2,
1784663850.662651,1784663850.674946,decode,2,0,160,0.0004,0,2,
1784663850.674946,1784663850.687351,decode,2,0,160,0.0004,0,2,
