t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784663849.976713,77.267,1410,1512,0.0,0.0,39.0
1784663849.986781,77.267,1410,1512,0.0,0.0,39.0
1784663849.996773,77.267,1410,1512,0.0,0.0,39.0
1784663850.006772,77.267,1410,1512,0.0,0.0,39.0
1784663850.016788,77.267,1410,1512,0.0,0.0,39.0
1784663850.026789,77.267,1410,1512,0.0,0.0,39.0
1784663850.036791,77.538,1410,1512,0.0,0.0,39.0
1784663850.046789,77.538,1410,1512,0.0,0.0,39.0
1784663850.056787,77.538,1410,1512,0.0,0.0,39.0
1784663850.066789,77.538,1410,1512,0.0,0.0,39.0
1784663850.076789,77.538,1410,1512,0.0,0.0,41.0
1784663850.086788,77.538,1410,1512,0.0,0.0,41.0
1784663850.096788,77.538,1410,1512,0.0,0.0,41.0
1784663850.106786,77.538,1410,1512,0.0,0.0,41.0
1784663850.116787,77.538,1395,1512,0.0,0.0,41.0
1784663850.126789,77.538,1395,1512,0.0,0.0,41.0
1784663850.136788,267.340,1395,1512,0.0,0.0,41.0
1784663850.146787,267.340,1395,1512,0.0,0.0,41.0
1784663850.156787,267.340,1395,1512,0.0,0.0,41.0
1784663850.166790,267.340,1395,1512,0.0,0.0,41.0
1784663850.176790,267.340,1395,1512,0.0,0.0,42.0
1784663850.186789,267.340,1395,1512,0.0,0.0,42.0
1784663850.196786,267.340,1395,1512,0.0,0.0,42.0
1784663850.206789,267.340,1395,1512,0.0,0.0,42.0
1784663850.216789,267.340,1410,1512,0.0,0.0,42.0
1784663850.226788,267.340,1410,1512,0.0,0.0,42.0
1784663850.236787,280.835,1410,1512,0.0,0.0,42.0
1784663850.246787,280.835,1410,1512,0.0,0.0,42.0
1784663850.256790,280.835,1410,1512,0.0,0.0,42.0
1784663850.266789,280.835,1410,1512,0.0,0.0,42.0
1784663850.276788,280.835,1410,1512,0.0,0.0,42.0
1784663850.286788,280.835,1410,1512,0.0,0.0,42.0
1784663850.296788,280.835,1410,1512,0.0,0.0,42.0
1784663850.306785,280.835,1410,1512,0.0,0.0,42.0
1784663850.316788,280.835,1410,1512,0.0,0.0,42.0
1784663850.326789,280.835,1410,1512,0.0,0.0,42.0
1784663850.336789,279.552,1410,1512,0.0,0.0,42.0
1784663850.346789,279.552,1410,1512,0.0,0.0,42.0
1784663850.356786,279.552,1410,1512,92.0,77.0,42.0
1784663850.366787,279.552,1410,1512,92.0,77.0,42.0
1784663850.376789,279.552,1410,1512,92.0,77.0,42.0
1784663850.386786,279.552,1410,1512,92.0,77.0,42.0
1784663850.396787,279.552,1410,1512,92.0,77.0,42.0
1784663850.406787,279.552,1410,1512,92.0,77.0,42.0
1784663850.416973,279.552,1410,1512,92.0,77.0,42.0
1784663850.426736,279.552,1410,1512,92.0,77.0,42.0
1784663850.436736,279.552,1410,1512,92.0,77.0,42.0
1784663850.446787,285.223,1410,1512,92.0,77.0,42.0
1784663850.456788,285.223,1410,1512,92.0,77.0,42.0
1784663850.466735,285.223,1410,1512,92.0,77.0,42.0
1784663850.476788,285.223,1410,1512,92.0,77.0,43.0
1784663850.486735,285.223,1410,1512,92.0,77.0,43.0
1784663850.496735,285.223,1410,1512,92.0,77.0,43.0
1784663850.506735,285.223,1410,1512,92.0,77.0,43.0
1784663850.516735,285.223,1410,1512,92.0,77.0,43.0
1784663850.526735,285.223,1410,1512,92.0,77.0,43.0
1784663850.536736,285.223,1410,1512,92.0,77.0,43.0
1784663850.546736,285.135,1410,1512,92.0,77.0,43.0
1784663850.556734,285.135,1410,1512,92.0,77.0,43.0
1784663850.566735,285.135,1410,1512,95.0,80.0,43.0
1784663850.576735,285.135,1410,1512,95.0,80.0,43.0
1784663850.586738,285.135,1410,1512,95.0,80.0,43.0
1784663850.596736,285.135,1410,1512,95.0,80.0,43.0
1784663850.606738,285.135,1410,1512,95.0,80.0,43.0
1784663850.616754,285.135,1410,1512,95.0,80.0,43.0
1784663850.626735,285.135,1410,1512,95.0,80.0,43.0
1784663850.636738,285.135,1410,1512,95.0,80.0,43.0
1784663850.646739,289.914,1410,1512,95.0,80.0,43.0
1784663850.656738,289.914,1410,1512,95.0,80.0,43.0
1784663850.666739,289.914,1410,1512,95.0,80.0,43.0
1784663850.676738,289.914,1410,1512,95.0,80.0,43.0
1784663850.686740,289.914,1410,1512,95.0,80.0,43.0
1784663850.696738,289.914,1410,1512,95.0,80.0,43.0
1784663850.706738,289.914,1410,1512,95.0,80.0,43.0
1784663850.716738,289.914,1410,1512,95.0,80.0,43.0
1784663850.726737,289.914,1410,1512,95.0,80.0,43.0
1784663850.736737,289.914,1410,1512,95.0,80.0,43.0
1784663850.746750,279.060,1410,1512,95.0,80.0,43.0
1784663850.756742,279.060,1410,1512,95.0,80.0,43.0
1784663850.766791,279.060,1410,1512,95.0,80.0,43.0
1784663850.776731,279.060,1410,1512,95.0,80.0,43.0
1784663850.786732,279.060,1410,1512,95.0,80.0,43.0
1784663850.796792,279.060,1410,1512,95.0,80.0,43.0
1784663850.806789,279.060,1410,1512,95.0,80.0,43.0
1784663850.816789,279.060,1410,1512,95.0,80.0,43.0
1784663850.826732,279.060,1410,1512,95.0,80.0,43.0
1784663850.836735,279.060,1410,1512,95.0,80.0,43.0
1784663850.846843,278.390,1410,1512,95.0,80.0,43.0
1784663850.856738,278.390,1410,1512,95.0,80.0,43.0
1784663850.866787,278.390,1410,1512,95.0,80.0,43.0
1784663850.876790,278.390,1410,1512,95.0,80.0,43.0
1784663850.886733,278.390,1410,1512,95.0,80.0,43.0
1784663850.896734,278.390,1410,1512,95.0,80.0,43.0
1784663850.906788,278.390,1410,1512,95.0,80.0,43.0
1784663850.916789,278.390,1410,1512,95.0,80.0,43.0
1784663850.926790,278.390,1410,1512,95.0,80.0,43.0
1784663850.936733,278.390,1410,1512,95.0,80.0,43.0
1784663850.946732,280.623,1410,1512,95.0,80.0,43.0
1784663850.956739,280.623,1410,1512,95.0,80.0,43.0
1784663850.966783,280.623,1410,1512,95.0,80.0,43.0
1784663850.976788,280.623,1410,1512,95.0,80.0,43.0
1784663850.986734,280.623,1410,1512,95.0,80.0,43.0
1784663850.996733,280.623,1410,1512,95.0,80.0,43.0
1784663851.006736,280.623,1410,1512,95.0,80.0,43.0
1784663851.016791,280.623,1410,1512,95.0,80.0,43.0
1784663851.026790,280.623,1410,1512,95.0,80.0,43.0
1784663851.036788,280.623,1410,1512,95.0,80.0,43.0
1784663851.046733,285.031,1410,1512,95.0,80.0,43.0
1784663851.056732,285.031,1410,1512,95.0,80.0,43.0
1784663851.066788,285.031,1410,1512,95.0,80.0,43.0
1784663851.076789,285.031,1410,1512,95.0,80.0,43.0
1784663851.086789,285.031,1410,1512,95.0,80.0,43.0
