t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,prefill_tokens,decode_tokens,n_iters
1784664080.195864,0.2000,58.7640,2.552255e+11,4.806924e+11,4.805666e+11,15,17,17
1784664080.395864,0.2000,58.8475,2.403064e+11,8.116817e+11,8.111323e+11,25,29,16
1784664080.595864,0.2000,56.8775,2.404364e+11,1.879294e+12,1.877314e+12,80,45,16
1784664080.795864,0.2000,57.3117,2.407530e+11,2.752200e+12,2.749121e+12,103,80,16
1784664080.995864,0.2000,56.7106,2.259199e+11,2.301626e+12,2.299546e+12,62,91,15
1784664081.195864,0.2000,58.2167,2.412920e+11,2.497479e+12,2.496118e+12,37,129,16
1784664081.395864,0.2000,58.9686,2.413885e+11,1.686001e+12,1.686001e+12,0,112,16
1784664081.595864,0.2000,58.6103,2.266350e+11,3.010857e+12,3.007844e+12,69,131,15
1784664081.795865,0.2000,58.6612,2.270188e+11,2.665158e+12,2.664165e+12,21,156,15
1784664081.995864,0.2000,58.7982,2.426006e+11,3.734876e+12,3.732117e+12,55,193,16
1784664082.195865,0.2000,58.8975,2.277528e+11,3.013567e+12,3.012316e+12,20,180,15
1784664082.395864,0.2000,58.2977,2.279835e+11,2.623065e+12,2.622996e+12,0,174,15
1784664082.595865,0.2000,58.4536,2.279772e+11,2.277829e+12,2.277757e+12,0,151,15
1784664082.795865,0.2000,58.5689,2.433661e+11,2.595659e+12,2.594471e+12,14,158,16
1784664082.995865,0.2000,59.0688,2.284595e+11,2.686554e+12,2.684938e+12,20,158,15
1784664083.195865,0.2000,59.3743,2.287762e+11,2.748184e+12,2.746242e+12,20,162,15
1784664083.395865,0.2000,58.8077,2.288056e+11,2.853154e+12,2.851424e+12,19,170,15
1784664083.595865,0.2000,58.9124,2.289922e+11,3.018923e+12,3.017273e+12,20,180,15
1784664083.795865,0.2000,58.0611,2.291306e+11,2.974994e+12,2.972799e+12,21,176,15
1784664083.995865,0.2000,58.6460,2.283840e+11,3.018911e+12,3.014841e+12,46,154,15
1784664084.195865,0.2000,60.2179,2.429278e+11,3.031714e+12,3.027988e+12,45,156,16
1784664084.395865,0.2000,57.5664,2.269139e+11,1.598147e+12,1.598084e+12,0,106,15
1784664084.595865,0.2000,57.3591,2.272075e+11,2.321981e+12,2.319706e+12,35,119,15
1784664084.795865,0.2000,57.7492,2.426216e+11,1.931083e+12,1.931083e+12,0,128,16
1784664084.995865,0.2000,57.2299,2.270251e+11,2.833748e+12,2.829293e+12,71,117,15
1784664085.195865,0.2000,57.5432,2.420050e+11,2.442003e+12,2.438933e+12,48,114,16
1784664085.395865,0.2000,57.5031,2.272369e+11,2.306092e+12,2.304814e+12,20,133,15
