t_rel_s,measured_w,predicted_w
0.000,293.82,328.95
0.200,294.24,313.21
0.400,284.39,281.65
0.600,286.56,297.79
0.800,283.55,282.11
1.000,291.08,298.28
1.200,294.84,330.19
1.400,293.05,266.84
1.600,293.31,299.07
1.800,293.99,299.49
2.000,294.49,299.80
2.200,291.49,316.05
2.400,292.27,316.05
2.600,292.84,316.24
2.800,295.34,300.49
3.000,296.87,300.80
3.200,294.04,300.82
3.400,294.56,301.03
3.600,290.31,301.15
3.800,293.23,268.31
4.000,301.09,299.73
4.200,287.83,314.93
4.400,286.80,299.27
4.600,288.75,331.49
4.800,286.15,283.13
5.000,287.72,314.88
5.200,287.52,299.30
5.400,292.57,283.30
5.600,285.65,283.33
5.800,293.52,299.57
6.000,291.53,299.71
6.200,296.57,316.11
6.400,290.35,268.34
6.600,292.19,300.42
6.800,311.65,268.79
7.000,300.76,317.08
7.200,298.39,300.63
7.400,293.44,300.60
7.600,294.38,268.42
7.800,300.61,300.99
8.000,296.94,285.27
8.200,295.10,301.50
8.400,303.26,285.76
8.600,303.56,301.62
8.800,305.04,301.58
9.000,302.56,318.01
9.200,299.65,286.14
9.400,293.26,269.95
9.600,293.28,286.20
9.800,297.52,237.09
10.000,298.68,285.16
10.200,296.02,284.94
10.400,281.45,285.20
10.600,296.69,301.76
10.800,296.62,317.86
11.000,302.14,301.16
11.200,299.43,301.19
11.400,298.03,301.65
11.600,319.29,318.16
11.800,296.78,285.67
12.000,296.18,285.69
12.200,298.39,302.43
12.400,297.40,303.00
12.600,303.93,286.99
12.800,297.90,303.26
13.000,304.55,286.66
13.200,304.09,318.72
13.400,300.02,284.92
13.600,299.35,284.26
13.800,296.31,331.95
14.000,292.29,315.90
14.200,293.70,316.15
14.400,295.28,315.97
14.600,292.96,299.87
14.800,296.29,284.02
15.000,298.33,299.91
15.200,292.07,299.83
15.400,287.72,283.36
15.600,296.16,282.70
15.800,288.53,298.53
16.000,303.68,298.95
16.200,299.15,283.15
16.400,300.09,283.41
16.600,295.82,331.88
16.800,301.40,284.19
17.000,304.92,300.61
17.200,300.26,284.77
17.400,296.65,269.02
17.600,300.44,317.88
17.800,299.08,318.15
18.000,293.19,286.31
18.200,294.75,318.77
18.400,306.36,253.51
18.600,298.33,301.61
18.800,294.93,317.48
19.000,304.08,252.60
19.200,300.00,269.07
19.400,297.62,236.49
19.600,291.81,316.96
19.800,299.05,316.97
20.000,297.61,284.71
20.200,296.42,269.12
20.400,298.06,317.83
20.600,298.57,301.39
20.800,300.14,284.89
21.000,306.54,300.97
21.200,296.18,333.60
21.400,298.30,301.58
21.600,296.48,302.22
21.800,297.32,270.00
