t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784663736.710452,75.865,1410,1512,0.0,0.0,34.0
1784663736.720530,75.865,1410,1512,0.0,0.0,34.0
1784663736.730530,75.865,1410,1512,0.0,0.0,34.0
1784663736.740532,75.865,1410,1512,0.0,0.0,34.0
1784663736.750530,75.865,1410,1512,0.0,0.0,34.0
1784663736.760738,75.865,1410,1512,0.0,0.0,34.0
1784663736.770734,78.022,1410,1512,0.0,0.0,34.0
1784663736.780733,78.022,1410,1512,0.0,0.0,34.0
1784663736.790734,78.022,1410,1512,0.0,0.0,34.0
1784663736.800735,78.022,1410,1512,0.0,0.0,34.0
1784663736.810735,78.022,1410,1512,0.0,0.0,34.0
1784663736.820734,78.022,1410,1512,0.0,0.0,34.0
1784663736.830517,78.022,1410,1512,0.0,0.0,34.0
1784663736.840516,78.022,1410,1512,0.0,0.0,34.0
1784663736.850516,78.022,1410,1512,0.0,0.0,34.0
1784663736.860517,78.022,1410,1512,0.0,0.0,34.0
1784663736.870516,76.073,1410,1512,0.0,0.0,34.0
1784663736.880516,76.073,1410,1512,0.0,0.0,34.0
1784663736.890517,76.073,1410,1512,0.0,0.0,34.0
1784663736.900515,76.073,1410,1512,0.0,0.0,34.0
1784663736.910516,76.073,1410,1512,0.0,0.0,34.0
1784663736.920515,76.073,1410,1512,0.0,0.0,34.0
1784663736.930721,76.073,1410,1512,0.0,0.0,34.0
1784663736.940736,76.073,1410,1512,0.0,0.0,34.0
1784663736.950735,76.073,1410,1512,0.0,0.0,34.0
1784663736.960734,76.073,1410,1512,0.0,0.0,34.0
1784663736.970734,75.845,1410,1512,0.0,0.0,34.0
1784663736.980735,75.845,1410,1512,0.0,0.0,34.0
1784663736.990734,75.845,1410,1512,0.0,0.0,34.0
1784663737.000735,75.845,1410,1512,0.0,0.0,34.0
1784663737.010734,75.845,1410,1512,0.0,0.0,34.0
1784663737.020733,75.845,1410,1512,0.0,0.0,34.0
1784663737.030734,75.845,1410,1512,0.0,0.0,34.0
1784663737.040735,75.845,1410,1512,0.0,0.0,34.0
1784663737.050734,75.845,1410,1512,0.0,0.0,34.0
1784663737.060733,75.845,1410,1512,0.0,0.0,34.0
1784663737.070528,75.845,1410,1512,0.0,0.0,34.0
1784663737.080734,75.845,1410,1512,0.0,0.0,34.0
1784663737.090736,75.845,1410,1512,0.0,0.0,34.0
1784663737.100738,75.845,1410,1512,0.0,0.0,34.0
1784663737.110733,75.845,1410,1512,0.0,0.0,34.0
1784663737.120735,75.845,1410,1512,0.0,0.0,34.0
1784663737.130738,75.845,1410,1512,0.0,0.0,34.0
1784663737.140735,75.845,1410,1512,0.0,0.0,34.0
1784663737.150735,75.845,1410,1512,0.0,0.0,34.0
1784663737.160735,75.845,1410,1512,0.0,0.0,34.0
1784663737.170735,75.942,1410,1512,0.0,0.0,34.0
1784663737.180735,75.942,1410,1512,0.0,0.0,34.0
1784663737.190734,75.942,1410,1512,0.0,0.0,34.0
1784663737.200738,75.942,1410,1512,0.0,0.0,34.0
1784663737.210735,75.942,1410,1512,0.0,0.0,34.0
1784663737.220736,75.942,1410,1512,0.0,0.0,34.0
1784663737.230737,75.942,1410,1512,0.0,0.0,34.0
1784663737.240732,75.942,1410,1512,0.0,0.0,34.0
1784663737.250679,75.942,1410,1512,0.0,0.0,34.0
1784663737.260734,75.942,1410,1512,0.0,0.0,34.0
1784663737.270735,75.942,1410,1512,0.0,0.0,34.0
1784663737.280735,75.553,1410,1512,0.0,0.0,34.0
1784663737.290734,75.553,1410,1512,0.0,0.0,34.0
1784663737.300735,75.553,1410,1512,0.0,0.0,34.0
1784663737.310734,75.553,1410,1512,0.0,0.0,34.0
1784663737.320734,75.553,1410,1512,0.0,0.0,34.0
1784663737.330735,75.553,1410,1512,0.0,0.0,34.0
1784663737.340735,75.553,1410,1512,0.0,0.0,34.0
1784663737.350734,75.553,1410,1512,0.0,0.0,34.0
1784663737.360734,75.553,1410,1512,0.0,0.0,34.0
1784663737.370739,75.553,1410,1512,0.0,0.0,34.0
1784663737.380734,75.768,1410,1512,0.0,0.0,34.0
1784663737.390733,75.768,1410,1512,0.0,0.0,34.0
1784663737.400733,75.768,1410,1512,0.0,0.0,34.0
1784663737.410733,75.768,1410,1512,0.0,0.0,34.0
1784663737.420733,75.768,1410,1512,0.0,0.0,34.0
1784663737.430735,75.768,1410,1512,0.0,0.0,34.0
1784663737.440733,75.768,1410,1512,0.0,0.0,34.0
1784663737.450733,75.768,1410,1512,0.0,0.0,34.0
1784663737.460734,75.768,1410,1512,0.0,0.0,34.0
1784663737.470515,75.768,1410,1512,0.0,0.0,34.0
1784663737.480515,75.844,1410,1512,0.0,0.0,34.0
1784663737.490515,75.844,1410,1512,0.0,0.0,34.0
1784663737.500517,75.844,1410,1512,0.0,0.0,34.0
1784663737.510515,75.844,1410,1512,0.0,0.0,34.0
1784663737.520516,75.844,1410,1512,0.0,0.0,34.0
1784663737.530515,75.844,1410,1512,0.0,0.0,34.0
1784663737.540515,75.844,1410,1512,0.0,0.0,34.0
1784663737.550715,75.844,1410,1512,0.0,0.0,34.0
1784663737.560735,75.844,1410,1512,0.0,0.0,34.0
1784663737.570735,75.844,1410,1512,0.0,0.0,34.0
1784663737.580732,75.942,1410,1512,0.0,0.0,34.0
1784663737.590515,75.942,1410,1512,0.0,0.0,34.0
1784663737.600736,75.942,1410,1512,0.0,0.0,34.0
1784663737.610734,75.942,1410,1512,0.0,0.0,34.0
1784663737.620734,75.942,1410,1512,0.0,0.0,34.0
1784663737.630737,75.942,1410,1512,0.0,0.0,34.0
1784663737.640735,75.942,1410,1512,0.0,0.0,34.0
1784663737.650734,75.942,1410,1512,0.0,0.0,34.0
1784663737.660733,75.942,1410,1512,0.0,0.0,34.0
1784663737.670735,75.942,1410,1512,0.0,0.0,34.0
1784663737.680735,75.747,1410,1512,0.0,0.0,34.0
1784663737.690516,75.747,1410,1512,0.0,0.0,34.0
1784663737.700737,75.747,1410,1512,0.0,0.0,34.0
1784663737.710736,75.747,1410,1512,0.0,0.0,34.0
1784663737.720737,75.747,1410,1512,0.0,0.0,34.0
1784663737.730737,75.747,1410,1512,0.0,0.0,34.0
1784663737.740735,75.747,1410,1512,0.0,0.0,34.0
1784663737.750735,75.747,1410,1512,0.0,0.0,34.0
1784663737.760736,75.747,1410,1512,0.0,0.0,34.0
1784663737.770736,75.747,1410,1512,0.0,0.0,34.0
