t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784664301.921688,76.975,1410,1512,0.0,0.0,40.0
1784664301.931735,76.975,1410,1512,0.0,0.0,40.0
1784664301.941731,76.975,1410,1512,0.0,0.0,40.0
1784664301.951730,76.975,1410,1512,0.0,0.0,40.0
1784664301.961747,76.975,1410,1512,0.0,0.0,40.0
1784664301.971736,76.975,1410,1512,0.0,0.0,40.0
1784664301.981735,342.476,1410,1512,0.0,0.0,40.0
1784664301.991737,342.476,1410,1512,0.0,0.0,40.0
1784664302.001735,342.476,1410,1512,0.0,0.0,40.0
1784664302.011735,342.476,1410,1512,0.0,0.0,40.0
1784664302.021736,342.476,1410,1512,0.0,0.0,44.0
1784664302.031736,342.476,1410,1512,0.0,0.0,44.0
1784664302.041734,342.476,1410,1512,0.0,0.0,44.0
1784664302.051738,342.476,1410,1512,0.0,0.0,44.0
1784664302.061735,342.476,1095,1512,0.0,0.0,44.0
1784664302.071753,342.476,1095,1512,0.0,0.0,44.0
1784664302.081766,216.223,1095,1512,0.0,0.0,44.0
1784664302.091764,216.223,1095,1512,0.0,0.0,44.0
1784664302.101732,216.223,1095,1512,31.0,13.0,44.0
1784664302.111765,216.223,1095,1512,31.0,13.0,44.0
1784664302.121764,216.223,1095,1512,31.0,13.0,43.0
1784664302.131764,216.223,1095,1512,31.0,13.0,43.0
1784664302.141731,216.223,1095,1512,31.0,13.0,43.0
1784664302.151765,216.223,1095,1512,31.0,13.0,43.0
1784664302.161767,216.223,1095,1512,31.0,13.0,43.0
1784664302.171764,216.223,1395,1512,31.0,13.0,43.0
1784664302.181733,216.223,1395,1512,31.0,13.0,43.0
1784664302.191767,273.878,1395,1512,31.0,13.0,43.0
1784664302.201765,273.878,1395,1512,31.0,13.0,43.0
1784664302.211763,273.878,1395,1512,31.0,13.0,43.0
1784664302.221732,273.878,1395,1512,31.0,13.0,43.0
1784664302.231772,273.878,1395,1512,31.0,13.0,43.0
1784664302.241767,273.878,1395,1512,31.0,13.0,43.0
1784664302.251766,273.878,1395,1512,31.0,13.0,43.0
1784664302.261766,273.878,1410,1512,31.0,13.0,43.0
1784664302.271736,273.878,1410,1512,31.0,13.0,43.0
1784664302.281769,273.878,1410,1512,31.0,13.0,43.0
1784664302.291766,273.878,1410,1512,31.0,13.0,43.0
1784664302.301764,273.878,1410,1512,94.0,65.0,43.0
1784664302.311732,273.878,1410,1512,94.0,65.0,43.0
1784664302.321766,273.878,1410,1512,94.0,65.0,44.0
1784664302.331768,273.878,1410,1512,94.0,65.0,44.0
1784664302.341765,273.878,1410,1512,94.0,65.0,44.0
1784664302.351764,273.878,1410,1512,94.0,65.0,44.0
1784664302.361768,273.878,1410,1512,94.0,65.0,44.0
1784664302.371767,273.878,1410,1512,94.0,65.0,44.0
1784664302.381765,288.559,1410,1512,94.0,65.0,44.0
1784664302.391767,288.559,1410,1512,94.0,65.0,44.0
1784664302.401737,288.559,1410,1512,94.0,65.0,44.0
1784664302.411766,288.559,1410,1512,94.0,65.0,44.0
1784664302.421766,288.559,1410,1512,94.0,65.0,44.0
1784664302.431766,288.559,1410,1512,94.0,65.0,44.0
1784664302.441732,288.559,1410,1512,94.0,65.0,44.0
1784664302.451768,288.559,1410,1512,94.0,65.0,44.0
1784664302.461767,288.559,1410,1512,94.0,65.0,44.0
1784664302.471767,288.559,1410,1512,94.0,65.0,44.0
1784664302.481732,286.094,1410,1512,94.0,65.0,44.0
1784664302.491767,286.094,1410,1512,94.0,65.0,44.0
1784664302.501767,286.094,1410,1512,94.0,77.0,44.0
1784664302.511765,286.094,1410,1512,94.0,77.0,44.0
1784664302.521766,286.094,1410,1512,94.0,77.0,44.0
1784664302.531736,286.094,1410,1512,94.0,77.0,44.0
1784664302.541766,286.094,1410,1512,94.0,77.0,44.0
1784664302.551766,286.094,1410,1512,94.0,77.0,44.0
1784664302.561765,286.094,1410,1512,94.0,77.0,44.0
