t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784664227.309383,1784664227.309383,mixed,1,0,16,0.0000,11,1,
1784664227.309383,1784664227.330060,mixed,4,0,192,0.0004,149,4,
1784664227.330060,1784664227.343690,decode,3,0,80,0.0002,0,4,
1784664227.343690,1784664227.356360,decode,3,0,80,0.0002,0,3,
1784664227.356360,1784664227.368861,decode,3,0,80,0.0002,0,3,
1784664227.368861,1784664227.381407,decode,3,0,80,0.0002,0,3,
1784664227.381407,1784664227.393802,decode,3,0,96,0.0002,0,3,
1784664227.393802,1784664227.406116,decode,3,0,96,0.0002,0,3,
1784664227.406116,1784664227.418492,decode,3,0,96,0.0002,0,3,
1784664227.418492,1784664227.431005,decode,3,0,96,0.0002,0,3,
1784664227.431005,1784664227.443341,decode,3,0,96,0.0002,0,3,
1784664227.443341,1784664227.455746,decode,3,0,112,0.0002,0,3,
1784664227.455746,1784664227.468085,decode,3,0,128,0.0003,0,3,
1784664227.468085,1784664227.480458,decode,3,0,128,0.0003,0,3,
1784664227.480458,1784664227.492882,decode,3,0,128,0.0003,0,3,
1784664227.492882,1784664227.505201,decode,3,0,128,0.0003,0,3,
1784664227.505201,1784664227.517453,decode,3,0,128,0.0003,0,3,
1784664227.517453,1784664227.529756,decode,3,0,128,0.0003,0,3,
1784664227.529756,1784664227.542127,decode,3,0,128,0.0003,0,3,
1784664227.542127,1784664227.554483,decode,3,0,128,0.0003,0,3,
1784664227.554483,1784664227.566811,decode,3,0,128,0.0003,0,3,
1784664227.566811,1784664227.579062,decode,3,0,128,0.0003,0,3,
1784664227.579062,1784664227.591428,decode,3,0,144,0.0003,0,3,
1784664227.591428,1784664227.603810,decode,3,0,144,0.0003,0,3,
1784664227.603810,1784664227.616188,decode,3,0,144,0.0003,0,3,
1784664227.616188,1784664227.628478,decode,3,0,144,0.0003,0,3,
1784664227.628478,1784664227.640840,decode,3,0,144,0.0003,0,3,
1784664227.640840,1784664227.653244,decode,3,0,160,0.0004,0,3,
1784664227.653244,1784664227.665586,decode,3,0,176,0.0004,0,3,
1784664227.665586,1784664227.677817,decode,3,0,176,0.0004,0,3,
1784664227.677817,1784664227.690274,decode,2,0,112,0.0002,0,3,
1784664227.690274,1784664227.702641,decode,2,0,112,0.0002,0,2,
1784664227.702641,1784664227.714941,decode,2,0,112,0.0002,0,2,
1784664227.714941,1784664227.727201,decode,2,0,112,0.0002,0,2,
1784664227.727201,1784664227.739395,decode,2,0,112,0.0002,0,2,
1784664227.739395,1784664227.751636,decode,2,0,112,0.0002,0,2,
1784664227.751636,1784664227.763975,decode,2,0,112,0.0002,0,2,
1784664227.763975,1784664227.776349,decode,2,0,112,0.0002,0,2,
1784664227.776349,1784664227.788513,decode,2,0,128,0.0003,0,2,
1784664227.788513,1784664227.800779,decode,2,0,128,0.0003,0,2,
1784664227.800779,1784664227.813123,decode,2,0,128,0.0003,0,2,
1784664227.813123,1784664227.825536,decode,2,0,128,0.0003,0,2,
1784664227.825536,1784664227.837789,decode,2,0,128,0.0003,0,2,
1784664227.837789,1784664227.849997,decode,2,0,144,0.0003,0,2,
1784664227.849997,1784664227.862223,decode,2,0,144,0.0003,0,2,
1784664227.862223,1784664227.874479,decode,2,0,144,0.0003,0,2,
1784664227.874479,1784664227.886741,decode,2,0,144,0.0003,0,2,
1784664227.886741,1784664227.898976,decode,2,0,144,0.0003,0,2,
1784664227.898976,1784664227.911159,decode,2,0,144,0.0003,0,2,
1784664227.911159,1784664227.923484,decode,2,0,144,0.0003,0,2,
1784664227.923484,1784664227.935711,decode,2,0,144,0.0003,0,2,
1784664227.935711,1784664227.947887,decode,2,0,144,0.0003,0,2,
1784664227.947887,1784664227.960175,decode,2,0,144,0.0003,0,2,
1784664227.960175,1784664227.972498,decode,2,0,144,0.0003,0,2,
1784664227.972498,1784664227.984869,decode,2,0,160,0.0004,0,2,
1784664227.984869,1784664227.997146,decode,2,0,160,0.0004,0,2,
1784664227.997146,1784664228.009429,decode,2,0,160,0.0004,0,2,
1784664228.009429,1784664228.021687,decode,2,0,160,0.0004,0,2,
1784664228.021687,1784664228.033992,decode,2,0,160,0.0004,0,2,
1784664228.033992,1784664228.046299,decode,2,0,176,0.0004,0,2,
1784664228.046299,1784664228.058556,decode,2,0,176,0.0004,0,2,
1784664228.058556,1784664228.070753,decode,2,0,176,0.0004,0,2,
1784664228.070753,1784664228.083072,decode,2,0,176,0.0004,0,2,
1784664228.083072,1784664228.095319,decode,2,0,176,0.0004,0,2,
1784664228.095319,1784664228.107596,decode,2,0,176,0.0004,0,2,
1784664228.107596,1784664228.119794,decode,2,0,176,0.0004,0,2,
1784664228.119794,1784664228.132023,decode,2,0,176,0.0004,0,2,
1784664228.132023,1784664228.144263,decode,2,0,176,0.0004,0,2,
1784664228.144263,1784664228.156598,decode,2,0,176,0.0004,0,2,
