t_rel_s,measured_w,predicted_w
0.000,268.78,184.68
0.200,273.29,280.10
0.400,287.14,307.49
0.600,282.68,280.33
0.800,283.74,294.09
1.000,282.55,294.21
1.200,282.79,294.33
1.400,282.34,294.45
1.600,281.53,280.89
1.800,280.63,294.69
2.000,284.17,294.81
2.200,288.21,294.93
2.400,276.85,295.05
2.600,284.13,281.45
2.800,283.14,295.29
3.000,282.48,295.41
3.200,301.46,240.04
3.400,281.77,266.85
3.600,284.65,294.08
3.800,285.97,294.20
4.000,285.01,294.32
4.200,285.15,294.44
4.400,284.62,280.88
4.600,283.21,294.68
4.800,282.82,294.80
5.000,281.30,294.92
5.200,286.94,295.04
5.400,287.10,281.44
5.600,284.42,295.28
5.800,283.93,295.40
6.000,282.64,281.77
6.200,286.58,295.63
6.400,285.16,268.13
6.600,286.23,252.98
6.800,266.79,266.34
7.000,287.22,293.70
7.200,287.49,293.82
7.400,289.60,293.95
7.600,290.80,307.72
7.800,290.31,294.20
8.000,287.74,280.65
8.200,287.86,294.43
8.400,287.02,294.55
8.600,285.55,294.68
8.800,284.30,294.80
9.000,283.67,294.92
9.200,285.15,281.32
9.400,289.82,295.15
9.600,287.69,295.28
9.800,311.06,144.40
10.000,310.54,282.54
10.200,279.65,282.34
10.400,283.70,296.23
10.600,287.17,282.56
10.800,286.39,296.47
11.000,283.68,282.78
11.200,285.60,296.70
11.400,285.24,283.00
11.600,286.10,296.94
11.800,286.75,283.22
12.000,284.77,297.18
12.200,287.46,283.44
12.400,284.15,297.41
12.600,286.98,283.66
12.800,285.48,297.65
13.000,287.86,283.88
13.200,315.33,117.15
13.400,320.01,267.09
13.600,263.96,239.54
13.800,279.40,294.30
14.000,285.73,280.74
14.200,285.18,294.54
14.400,282.26,294.66
14.600,287.87,281.08
14.800,286.20,294.89
15.000,285.89,295.01
15.200,282.09,281.41
15.400,290.42,295.25
15.600,287.27,295.37
15.800,285.44,281.75
16.000,284.32,295.61
16.200,288.87,295.73
16.400,286.29,282.08
16.600,285.95,253.83
16.800,269.43,267.03
17.000,292.30,294.10
17.200,286.81,294.23
17.400,286.59,294.35
17.600,286.30,294.47
17.800,285.79,280.90
18.000,287.23,294.70
18.200,291.31,294.83
18.400,289.93,294.95
18.600,290.06,295.07
18.800,288.90,295.19
19.000,287.76,281.58
19.200,285.57,295.43
19.400,285.08,295.55
19.600,292.72,295.67
19.800,291.17,254.16
20.000,291.17,293.93
20.200,290.42,279.89
20.400,295.60,307.26
20.600,287.81,293.76
20.800,289.34,293.88
21.000,293.32,280.28
21.200,293.55,294.00
21.400,295.98,294.12
21.600,289.57,294.24
21.800,289.63,294.36
22.000,289.40,294.48
22.200,289.95,280.92
22.400,289.31,294.72
22.600,289.77,294.84
22.800,287.73,294.96
23.000,288.23,267.48
23.200,292.18,280.49
23.400,285.20,294.26
23.600,287.69,294.38
23.800,288.01,280.82
24.000,287.26,294.62
24.200,286.19,253.59
24.400,293.76,130.32
24.600,251.03,294.54
24.800,281.72,294.67
25.000,285.16,294.79
25.200,288.34,281.20
25.400,292.38,295.02
25.600,290.27,295.15
25.800,289.50,295.27
26.000,288.47,281.65
26.200,287.13,295.50
26.400,286.00,281.67
26.600,292.27,280.28
26.800,290.25,294.04
27.000,289.25,280.50
27.200,289.27,294.27
27.400,288.43,294.39
27.600,288.08,294.52
27.800,291.46,280.36
28.000,291.66,294.13
28.200,287.97,294.25
28.400,320.55,266.99
28.600,294.54,280.76
28.800,287.09,280.64
29.000,287.14,294.42
29.200,286.43,294.54
29.400,289.80,267.18
29.600,292.71,280.98
29.800,296.80,280.28
30.000,291.04,293.92
30.200,289.65,294.04
30.400,289.39,294.16
30.600,288.14,294.28
30.800,286.43,280.73
31.000,285.84,280.53
31.200,292.93,294.15
31.400,291.20,294.27
31.600,290.16,294.39
31.800,290.72,294.51
32.000,289.36,280.94
32.200,288.33,294.75
32.400,287.68,294.87
32.600,286.65,280.99
32.800,290.31,280.54
33.000,292.09,266.80
33.200,272.56,280.52
33.400,289.17,294.29
33.600,292.14,294.42
33.800,291.80,294.54
34.000,291.76,294.66
34.200,290.93,267.22
34.400,291.55,280.74
34.600,288.09,267.04
34.800,284.91,253.11
35.000,280.54,294.18
35.200,288.93,294.30
35.400,288.18,253.36
35.600,267.15,294.45
35.800,288.87,280.85
36.000,286.63,266.71
36.200,288.21,293.79
36.400,285.51,293.91
36.600,287.26,294.04
36.800,290.83,294.16
37.000,292.08,294.28
37.200,291.84,280.73
37.400,290.82,294.51
37.600,290.22,294.64
37.800,308.55,280.79
38.000,288.66,280.82
38.200,287.20,294.62
38.400,294.37,294.74
38.600,292.92,294.83
38.800,267.87,130.33
39.000,251.67,294.51
39.200,288.69,280.82
39.400,289.88,280.33
39.600,287.16,293.91
39.800,286.27,280.38
40.000,289.00,294.14
40.200,291.35,294.27
40.400,291.48,294.39
40.600,291.27,294.51
40.800,290.35,294.63
41.000,290.09,281.05
41.200,288.59,280.64
41.400,288.50,294.39
41.600,287.26,294.52
41.800,286.60,294.64
42.000,292.29,294.76
42.200,289.49,253.37
42.400,291.07,294.47
42.600,307.15,266.76
42.800,286.49,293.87
43.000,288.90,280.34
43.200,288.75,294.10
43.400,288.02,294.22
43.600,287.71,294.35
43.800,286.18,294.47
44.000,293.46,294.59
44.200,293.00,281.01
44.400,292.20,280.92
44.600,274.94,294.66
44.800,285.75,294.78
45.000,287.07,281.19
45.200,289.33,295.01
45.400,293.74,294.84
45.600,292.07,294.72
45.800,291.75,294.22
46.000,294.34,293.70
46.200,295.47,307.36
46.388,298.98,292.07
