t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784664456.998399,1784664456.998399,mixed,1,0,16,0.0000,11,1,
1784664456.998399,1784664457.010907,mixed,2,0,48,0.0001,22,2,
1784664457.010907,1784664457.024199,decode,2,0,48,0.0001,0,2,
1784664457.024199,1784664457.036420,decode,2,0,48,0.0001,0,2,
1784664457.036420,1784664457.048621,decode,2,0,48,0.0001,0,2,
1784664457.048621,1784664457.060916,decode,2,0,48,0.0001,0,2,
1784664457.060916,1784664457.073299,decode,2,0,64,0.0001,0,2,
1784664457.073299,1784664457.085557,decode,2,0,64,0.0001,0,2,
1784664457.085557,1784664457.097761,decode,2,0,64,0.0001,0,2,
1784664457.097761,1784664457.109998,decode,2,0,64,0.0001,0,2,
1784664457.109998,1784664457.122249,decode,2,0,64,0.0001,0,2,
1784664457.122249,1784664457.134637,decode,2,0,64,0.0001,0,2,
1784664457.134637,1784664457.146879,decode,2,0,80,0.0002,0,2,
1784664457.146879,1784664457.159093,decode,2,0,80,0.0002,0,2,
1784664457.159093,1784664457.171441,decode,2,0,80,0.0002,0,2,
1784664457.171441,1784664457.183745,decode,2,0,80,0.0002,0,2,
1784664457.183745,1784664457.196035,decode,2,0,80,0.0002,0,2,
1784664457.196035,1784664457.208278,decode,2,0,80,0.0002,0,2,
1784664457.208278,1784664457.220492,decode,2,0,80,0.0002,0,2,
1784664457.220492,1784664457.232730,decode,2,0,80,0.0002,0,2,
1784664457.232730,1784664457.245137,decode,2,0,80,0.0002,0,2,
1784664457.245137,1784664457.257363,decode,2,0,80,0.0002,0,2,
1784664457.257363,1784664457.269598,decode,2,0,96,0.0002,0,2,
1784664457.269598,1784664457.281862,decode,2,0,96,0.0002,0,2,
1784664457.281862,1784664457.294241,decode,2,0,96,0.0002,0,2,
1784664457.294241,1784664457.306458,decode,2,0,96,0.0002,0,2,
1784664457.306458,1784664457.318784,decode,2,0,96,0.0002,0,2,
