t_rel_s,measured_w,predicted_w
0.000,222.52,92.57
0.200,146.56,295.68
0.400,286.33,244.96
0.600,255.91,313.04
0.800,281.68,313.29
1.000,285.71,313.49
1.200,279.02,347.74
1.400,285.65,263.08
1.600,273.32,331.92
1.800,286.45,298.17
2.000,294.70,298.50
2.200,346.65,333.19
2.400,279.55,333.59
2.600,295.74,316.81
2.800,307.32,300.25
3.000,295.83,318.27
3.200,295.29,197.96
3.400,271.00,321.36
3.600,291.40,233.78
3.800,319.83,163.55
4.000,253.10,287.33
4.200,292.93,321.94
4.400,293.79,321.77
4.600,297.07,321.65
4.800,295.19,304.08
5.000,287.60,304.48
5.200,288.07,303.67
5.400,285.67,286.02
5.600,291.04,285.43
5.800,292.61,320.84
6.000,296.66,286.40
6.200,330.62,304.90
6.400,298.80,128.63
6.600,280.32,269.95
6.800,291.68,252.21
7.000,293.03,322.91
7.200,297.15,302.97
7.400,278.57,303.14
7.600,289.32,268.04
7.800,289.24,301.99
8.000,300.63,302.53
8.200,303.09,303.17
8.400,318.59,286.48
8.600,294.33,304.04
8.800,336.00,268.87
9.000,277.58,337.99
9.200,311.52,285.17
9.400,290.36,284.70
9.600,298.34,285.00
9.800,335.09,145.43
10.000,284.22,284.25
10.200,294.86,284.14
10.400,300.62,318.07
10.600,295.71,317.61
10.800,299.76,335.28
11.000,317.19,301.20
11.200,300.85,301.38
11.400,291.67,318.50
11.600,298.16,336.17
11.800,305.73,283.66
12.000,291.09,300.84
12.200,293.74,301.44
12.400,292.97,318.88
12.600,310.91,319.46
12.800,296.36,302.27
13.000,303.90,319.69
13.200,298.72,336.42
13.400,284.86,248.88
13.600,299.64,248.48
13.800,307.47,334.59
14.000,299.07,334.26
14.200,298.93,334.28
14.400,300.88,317.24
14.600,298.36,316.92
14.800,332.19,300.05
15.000,302.09,265.71
15.200,267.14,300.28
15.400,277.95,300.65
15.600,291.89,282.77
15.800,302.47,282.00
16.000,306.40,282.31
16.200,304.27,230.76
16.400,280.37,299.99
16.600,293.13,334.45
16.800,300.84,300.14
17.000,296.57,317.50
17.200,306.41,283.08
17.400,295.06,179.65
17.600,284.87,164.29
17.800,267.72,324.16
18.000,299.02,289.25
18.200,273.03,307.46
18.400,290.95,218.44
18.600,298.76,290.62
18.800,289.71,308.84
19.000,290.71,254.72
19.200,294.60,219.05
19.400,285.92,201.22
19.600,254.73,273.58
19.800,267.81,291.65
20.000,288.59,273.72
20.200,297.28,93.89
20.400,301.81,168.13
20.600,248.70,260.80
20.800,280.78,260.69
21.000,294.99,279.00
21.200,284.89,297.92
21.400,288.47,260.82
21.600,293.59,297.56
21.800,288.67,204.90
22.000,288.63,260.25
22.200,287.08,219.60
22.400,274.15,219.97
22.600,275.70,112.48
22.800,284.00,241.37
23.000,301.76,223.86
23.200,296.62,187.01
23.400,291.24,297.53
23.600,285.85,242.26
23.800,292.38,242.89
24.000,283.24,280.44
24.200,293.15,243.35
24.400,295.97,280.18
24.600,315.58,112.83
24.800,309.12,75.65
25.000,271.98,227.37
25.200,279.13,265.99
