t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784664917.900124,76.941,1410,1512,24.0,25.0,40.0
1784664917.910191,76.941,1410,1512,24.0,25.0,40.0
1784664917.920185,76.941,1410,1512,24.0,25.0,40.0
1784664917.930187,76.941,1410,1512,24.0,25.0,40.0
1784664917.940203,76.941,1410,1512,24.0,25.0,40.0
1784664917.950200,76.941,1410,1512,24.0,25.0,40.0
1784664917.960203,76.941,1410,1512,24.0,25.0,40.0
1784664917.970203,76.941,1410,1512,24.0,25.0,40.0
1784664917.980201,76.941,1410,1512,24.0,25.0,40.0
1784664917.990200,76.941,1410,1512,24.0,25.0,40.0
1784664918.000202,76.941,1410,1512,24.0,25.0,44.0
1784664918.010202,76.941,1410,1512,24.0,25.0,44.0
1784664918.020202,76.941,1410,1512,24.0,25.0,44.0
1784664918.030201,76.941,1410,1512,24.0,25.0,44.0
1784664918.040203,76.941,1290,1512,24.0,25.0,44.0
1784664918.050201,76.941,1290,1512,24.0,25.0,44.0
1784664918.060201,369.773,1290,1512,24.0,25.0,44.0
1784664918.070204,369.773,1290,1512,24.0,25.0,44.0
1784664918.080200,369.773,1290,1512,0.0,0.0,44.0
1784664918.090534,369.773,1290,1512,0.0,0.0,44.0
1784664918.100204,369.773,1290,1512,0.0,0.0,43.0
1784664918.110202,369.773,1290,1512,0.0,0.0,43.0
1784664918.120200,369.773,1290,1512,0.0,0.0,43.0
1784664918.130199,369.773,1290,1512,0.0,0.0,43.0
1784664918.140199,369.773,1395,1512,0.0,0.0,43.0
1784664918.150201,369.773,1395,1512,0.0,0.0,43.0
1784664918.160203,260.270,1395,1512,0.0,0.0,43.0
1784664918.170203,260.270,1395,1512,0.0,0.0,43.0
1784664918.180200,260.270,1395,1512,0.0,0.0,43.0
1784664918.190199,260.270,1395,1512,0.0,0.0,43.0
1784664918.200204,260.270,1395,1512,0.0,0.0,44.0
1784664918.210202,260.270,1395,1512,0.0,0.0,44.0
1784664918.220201,260.270,1395,1512,0.0,0.0,44.0
1784664918.230201,260.270,1395,1512,0.0,0.0,44.0
1784664918.240200,260.270,1410,1512,0.0,0.0,44.0
1784664918.250202,260.270,1410,1512,0.0,0.0,44.0
1784664918.260202,286.211,1410,1512,0.0,0.0,44.0
1784664918.270202,286.211,1410,1512,0.0,0.0,44.0
1784664918.280201,286.211,1410,1512,85.0,59.0,44.0
1784664918.290199,286.211,1410,1512,85.0,59.0,44.0
1784664918.300461,286.211,1410,1512,85.0,59.0,44.0
1784664918.310203,286.211,1410,1512,85.0,59.0,44.0
1784664918.320200,286.211,1410,1512,85.0,59.0,44.0
1784664918.330202,286.211,1410,1512,85.0,59.0,44.0
1784664918.340200,286.211,1410,1512,85.0,59.0,44.0
1784664918.350200,286.211,1410,1512,85.0,59.0,44.0
1784664918.360202,294.327,1410,1512,85.0,59.0,44.0
1784664918.370203,294.327,1410,1512,85.0,59.0,44.0
1784664918.380200,294.327,1410,1512,85.0,59.0,44.0
1784664918.390201,294.327,1410,1512,85.0,59.0,44.0
1784664918.400198,294.327,1410,1512,85.0,59.0,44.0
1784664918.410203,294.327,1410,1512,85.0,59.0,44.0
1784664918.420201,294.327,1410,1512,85.0,59.0,44.0
1784664918.430202,294.327,1410,1512,85.0,59.0,44.0
1784664918.440200,294.327,1410,1512,85.0,59.0,44.0
1784664918.450200,294.327,1410,1512,85.0,59.0,44.0
1784664918.460204,294.530,1410,1512,85.0,59.0,44.0
1784664918.470201,294.530,1410,1512,85.0,59.0,44.0
1784664918.480200,294.530,1410,1512,94.0,76.0,44.0
1784664918.490203,294.530,1410,1512,94.0,76.0,44.0
1784664918.500199,294.530,1410,1512,94.0,76.0,44.0
1784664918.510412,294.530,1410,1512,94.0,76.0,44.0
1784664918.520203,294.530,1410,1512,94.0,76.0,44.0
1784664918.530200,294.530,1410,1512,94.0,76.0,44.0
1784664918.540201,294.530,1410,1512,94.0,76.0,44.0
1784664918.550199,294.530,1410,1512,94.0,76.0,44.0
1784664918.560199,297.657,1410,1512,94.0,76.0,44.0
1784664918.570199,297.657,1410,1512,94.0,76.0,44.0
1784664918.580203,297.657,1410,1512,94.0,76.0,44.0
1784664918.590200,297.657,1410,1512,94.0,76.0,44.0
1784664918.600200,297.657,1410,1512,94.0,76.0,44.0
1784664918.610199,297.657,1410,1512,94.0,76.0,44.0
1784664918.620203,297.657,1410,1512,94.0,76.0,44.0
1784664918.630201,297.657,1410,1512,94.0,76.0,44.0
1784664918.640201,297.657,1410,1512,94.0,76.0,44.0
1784664918.650200,297.657,1410,1512,94.0,76.0,44.0
1784664918.660201,300.301,1410,1512,94.0,76.0,44.0
1784664918.670201,300.301,1410,1512,94.0,76.0,44.0
1784664918.680201,300.301,1410,1512,94.0,77.0,44.0
1784664918.690201,300.301,1410,1512,94.0,77.0,44.0
1784664918.700201,300.301,1410,1512,94.0,77.0,45.0
1784664918.710200,300.301,1410,1512,94.0,77.0,45.0
1784664918.720201,300.301,1410,1512,94.0,77.0,45.0
1784664918.730200,300.301,1410,1512,94.0,77.0,45.0
1784664918.740201,300.301,1410,1512,94.0,77.0,45.0
1784664918.750200,300.301,1410,1512,94.0,77.0,45.0
1784664918.760198,299.903,1410,1512,94.0,77.0,45.0
1784664918.770202,299.903,1410,1512,94.0,77.0,45.0
1784664918.780201,299.903,1410,1512,94.0,77.0,45.0
1784664918.790202,299.903,1410,1512,94.0,77.0,45.0
1784664918.800200,299.903,1410,1512,94.0,77.0,45.0
1784664918.810199,299.903,1410,1512,94.0,77.0,45.0
1784664918.820201,299.903,1410,1512,94.0,77.0,45.0
1784664918.830205,299.903,1410,1512,94.0,77.0,45.0
1784664918.840201,299.903,1410,1512,94.0,77.0,45.0
1784664918.850201,299.903,1410,1512,94.0,77.0,45.0
1784664918.860200,299.903,1410,1512,94.0,77.0,45.0
1784664918.870206,299.892,1410,1512,94.0,77.0,45.0
1784664918.880203,299.892,1410,1512,94.0,77.0,45.0
1784664918.890202,299.892,1410,1512,94.0,77.0,45.0
1784664918.900201,299.892,1410,1512,94.0,77.0,45.0
1784664918.910200,299.892,1410,1512,94.0,77.0,45.0
1784664918.920203,299.892,1410,1512,94.0,77.0,45.0
1784664918.930202,299.892,1410,1512,94.0,77.0,45.0
1784664918.940203,299.892,1410,1512,94.0,77.0,45.0
1784664918.950202,299.892,1410,1512,94.0,77.0,45.0
1784664918.960200,299.892,1410,1512,94.0,77.0,45.0
1784664918.970203,291.219,1410,1512,94.0,77.0,45.0
1784664918.980202,291.219,1410,1512,94.0,77.0,45.0
1784664918.990201,291.219,1410,1512,94.0,77.0,45.0
1784664919.000201,291.219,1410,1512,94.0,77.0,45.0
1784664919.010200,291.219,1410,1512,94.0,77.0,45.0
1784664919.020201,291.219,1410,1512,94.0,77.0,45.0
1784664919.030204,291.219,1410,1512,94.0,77.0,45.0
1784664919.040202,291.219,1410,1512,94.0,77.0,45.0
1784664919.050200,291.219,1410,1512,94.0,77.0,45.0
1784664919.060199,291.219,1410,1512,94.0,77.0,45.0
1784664919.070201,289.839,1410,1512,94.0,77.0,45.0
1784664919.080205,289.839,1410,1512,94.0,77.0,45.0
1784664919.090203,289.839,1410,1512,94.0,77.0,45.0
1784664919.100200,289.839,1410,1512,94.0,77.0,45.0
1784664919.110201,289.839,1410,1512,94.0,77.0,45.0
1784664919.120204,289.839,1410,1512,94.0,77.0,45.0
1784664919.130203,289.839,1410,1512,94.0,77.0,45.0
1784664919.140202,289.839,1410,1512,94.0,77.0,45.0
1784664919.150201,289.839,1410,1512,94.0,77.0,45.0
1784664919.160202,289.839,1410,1512,94.0,77.0,45.0
1784664919.170205,291.589,1410,1512,94.0,77.0,45.0
1784664919.180202,291.589,1410,1512,94.0,77.0,45.0
1784664919.190201,291.589,1410,1512,94.0,77.0,45.0
1784664919.200202,291.589,1410,1512,94.0,77.0,45.0
1784664919.210199,291.589,1410,1512,94.0,77.0,45.0
1784664919.220202,291.589,1410,1512,94.0,77.0,45.0
1784664919.230203,291.589,1410,1512,94.0,77.0,45.0
1784664919.240200,291.589,1410,1512,94.0,77.0,45.0
1784664919.250200,291.589,1410,1512,94.0,77.0,45.0
1784664919.260513,291.589,1410,1512,94.0,77.0,45.0
1784664919.270203,291.279,1410,1512,94.0,77.0,45.0
1784664919.280202,291.279,1410,1512,94.0,77.0,45.0
1784664919.290201,291.279,1410,1512,94.0,76.0,45.0
1784664919.300200,291.279,1410,1512,94.0,76.0,45.0
1784664919.310201,291.279,1410,1512,94.0,76.0,45.0
1784664919.320201,291.279,1410,1512,94.0,76.0,45.0
1784664919.330204,291.279,1410,1512,94.0,76.0,45.0
1784664919.340200,291.279,1410,1512,94.0,76.0,45.0
1784664919.350199,291.279,1410,1512,94.0,76.0,45.0
1784664919.360203,291.279,1410,1512,94.0,76.0,45.0
1784664919.370204,300.127,1410,1512,94.0,76.0,45.0
1784664919.380200,300.127,1410,1512,94.0,76.0,45.0
1784664919.390198,300.127,1410,1512,94.0,76.0,45.0
1784664919.400203,300.127,1410,1512,94.0,76.0,45.0
1784664919.410202,300.127,1410,1512,94.0,76.0,45.0
1784664919.420203,300.127,1410,1512,94.0,76.0,45.0
1784664919.430201,300.127,1410,1512,94.0,76.0,45.0
1784664919.440199,300.127,1410,1512,94.0,76.0,45.0
1784664919.450202,300.127,1410,1512,94.0,76.0,45.0
1784664919.460203,300.127,1410,1512,94.0,76.0,45.0
1784664919.470201,303.233,1410,1512,94.0,76.0,45.0
1784664919.480200,303.233,1410,1512,94.0,76.0,45.0
