t_rel_s,measured_w,predicted_w
0.000,291.51,250.94
0.200,277.46,289.09
0.400,279.51,301.92
0.600,282.39,289.37
0.800,278.10,289.50
1.000,279.86,289.63
1.200,280.31,289.77
1.400,281.95,289.91
1.600,282.98,277.30
1.800,279.29,290.17
2.000,283.27,290.30
2.200,281.38,290.43
2.400,279.80,290.57
2.600,282.32,277.92
2.800,282.20,290.83
3.000,283.42,263.83
3.200,270.33,288.98
3.400,280.24,289.12
3.600,284.07,289.25
3.800,281.08,302.09
4.000,283.34,289.53
4.200,279.79,289.66
4.400,281.24,289.80
4.600,282.74,289.93
4.800,282.68,290.07
5.000,284.65,290.20
5.200,284.92,277.58
5.400,285.23,290.46
5.600,283.16,290.60
5.800,281.69,290.73
6.000,282.35,251.35
6.200,282.75,301.59
6.400,286.48,289.06
6.600,287.25,289.19
6.800,287.56,289.33
7.000,285.86,289.46
7.200,285.66,289.59
7.400,286.83,289.73
7.600,287.03,289.86
7.800,287.04,290.00
8.000,284.86,290.13
8.200,283.21,290.27
8.400,285.69,290.40
8.600,285.21,290.54
8.800,285.96,290.67
9.000,283.60,251.56
9.200,270.39,301.58
9.400,287.29,289.04
9.600,286.92,289.18
9.800,283.68,289.31
10.000,289.51,302.15
10.200,287.65,276.87
10.400,285.97,289.71
10.600,288.00,289.85
10.800,288.93,289.98
11.000,289.28,290.12
11.200,289.84,290.25
11.400,289.30,290.38
11.600,287.55,290.52
11.800,287.23,290.65
12.000,286.02,264.45
12.200,282.49,288.84
12.400,285.28,288.97
12.600,288.21,289.11
12.800,287.74,289.24
13.000,287.38,302.08
13.200,288.41,289.52
13.400,286.78,289.66
13.600,288.26,289.79
13.800,287.55,289.92
14.000,289.42,290.06
14.200,289.77,290.19
14.400,289.86,290.33
14.600,289.37,290.46
14.800,288.71,277.82
15.000,290.56,264.63
15.200,279.70,288.82
15.400,287.75,288.96
15.600,287.63,301.78
15.800,287.23,289.24
16.000,289.56,289.37
16.200,287.24,238.67
16.400,286.36,340.48
16.600,287.24,289.78
16.800,289.52,289.91
17.000,290.26,290.05
17.200,290.46,290.18
17.400,291.69,290.32
17.600,292.14,290.45
17.800,289.87,290.58
18.000,289.54,252.09
18.200,274.93,301.53
18.400,288.59,289.00
18.600,287.65,289.14
18.800,287.90,289.27
19.000,288.27,289.41
19.200,288.14,289.54
19.400,289.52,289.68
19.600,290.78,289.81
19.800,291.34,289.94
20.000,291.35,290.08
20.200,288.95,290.21
20.400,286.52,290.35
20.600,289.36,290.48
20.800,288.47,290.62
21.000,288.44,265.02
21.200,293.44,276.28
21.400,283.87,289.08
21.600,290.01,289.22
21.800,288.46,289.36
22.000,289.70,289.49
22.200,289.22,289.62
22.400,289.44,289.76
22.600,287.09,289.89
22.800,287.80,290.03
23.000,288.99,290.16
23.200,289.56,290.30
23.400,289.12,290.43
23.600,287.23,290.57
23.800,287.38,290.70
24.000,289.64,278.05
24.200,307.87,263.62
24.400,287.07,289.03
24.600,289.74,289.17
24.800,287.57,289.30
25.000,289.38,289.44
25.200,289.48,289.57
25.400,288.20,289.71
25.600,287.92,289.84
25.800,289.03,289.98
26.000,289.64,290.11
26.200,291.03,290.25
26.400,289.82,290.38
26.600,287.46,290.52
26.800,290.78,277.87
27.000,289.80,290.78
27.200,285.24,263.92
27.400,283.54,288.94
27.600,289.70,289.07
27.800,289.06,289.21
28.000,292.19,302.04
28.200,290.24,289.48
28.400,290.97,289.62
28.600,291.56,289.75
28.800,289.18,289.89
29.000,288.69,290.02
29.200,289.36,290.16
29.400,290.23,290.29
29.600,289.82,277.66
29.800,290.05,290.56
30.000,289.02,290.69
30.200,290.50,251.49
30.400,274.08,301.65
30.600,286.03,289.11
30.800,289.97,289.25
31.000,292.33,289.38
31.200,290.86,289.52
31.400,289.33,289.65
31.600,289.30,289.78
31.800,288.74,289.92
32.000,288.51,290.06
32.200,289.22,290.19
32.400,290.12,290.33
32.600,291.14,290.46
32.800,290.99,290.60
33.000,292.40,290.73
33.200,291.92,251.73
33.400,292.94,288.99
33.600,285.91,289.13
33.800,289.87,289.26
34.000,290.16,289.40
34.200,287.85,289.53
34.400,291.55,289.66
34.600,291.54,289.80
34.800,289.13,289.94
35.000,289.89,290.07
35.200,291.09,290.20
35.400,292.80,290.34
35.600,289.62,290.47
35.800,287.84,290.61
36.000,290.79,277.96
36.200,290.28,264.87
36.400,279.12,288.91
36.600,287.88,289.04
36.800,290.95,289.17
37.000,289.88,302.01
37.200,292.07,289.45
37.400,289.48,289.59
37.600,289.59,289.72
37.800,291.07,289.86
38.000,292.46,289.99
38.200,292.61,290.13
38.400,293.36,277.32
38.600,289.84,290.02
38.800,294.53,277.40
39.000,289.62,290.28
39.200,291.04,264.74
39.400,291.90,288.99
39.600,290.07,289.13
39.800,290.80,289.26
40.000,288.88,289.40
40.200,288.58,289.53
40.400,290.41,289.67
40.600,291.54,289.80
40.800,292.45,289.94
41.000,292.41,290.07
41.200,288.47,277.45
