t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784665070.448663,1784665070.448663,mixed,1,0,48,0.0001,35,1,
1784665070.448663,1784665070.461534,mixed,2,0,96,0.0002,35,2,
1784665070.461534,1784665070.473076,decode,2,0,96,0.0002,0,2,
1784665070.473076,1784665070.484503,decode,2,0,96,0.0002,0,2,
1784665070.484503,1784665070.496014,decode,2,0,96,0.0002,0,2,
1784665070.496014,1784665070.507571,decode,2,0,96,0.0002,0,2,
1784665070.507571,1784665070.519005,decode,2,0,96,0.0002,0,2,
1784665070.519005,1784665070.530469,decode,2,0,96,0.0002,0,2,
1784665070.530469,1784665070.541919,decode,2,0,96,0.0002,0,2,
1784665070.541919,1784665070.553352,decode,2,0,96,0.0002,0,2,
1784665070.553352,1784665070.564885,decode,2,0,96,0.0002,0,2,
1784665070.564885,1784665070.576299,decode,2,0,96,0.0002,0,2,
1784665070.576299,1784665070.587730,decode,2,0,96,0.0002,0,2,
1784665070.587730,1784665070.599249,decode,2,0,96,0.0002,0,2,
1784665070.599249,1784665070.610709,decode,2,0,112,0.0002,0,2,
1784665070.610709,1784665070.622173,decode,2,0,128,0.0003,0,2,
1784665070.622173,1784665070.633686,decode,2,0,128,0.0003,0,2,
1784665070.633686,1784665070.645075,decode,2,0,128,0.0003,0,2,
1784665070.645075,1784665070.656600,decode,2,0,128,0.0003,0,2,
1784665070.656600,1784665070.668114,decode,2,0,128,0.0003,0,2,
1784665070.668114,1784665070.679506,decode,2,0,128,0.0003,0,2,
1784665070.679506,1784665070.690956,decode,2,0,128,0.0003,0,2,
1784665070.690956,1784665070.702353,decode,2,0,128,0.0003,0,2,
1784665070.702353,1784665070.713788,decode,2,0,128,0.0003,0,2,
1784665070.713788,1784665070.725242,decode,2,0,128,0.0003,0,2,
1784665070.725242,1784665070.736779,decode,2,0,128,0.0003,0,2,
1784665070.736779,1784665070.748217,decode,2,0,128,0.0003,0,2,
1784665070.748217,1784665070.759712,decode,2,0,128,0.0003,0,2,
1784665070.759712,1784665070.771224,decode,2,0,128,0.0003,0,2,
1784665070.771224,1784665070.782666,decode,2,0,128,0.0003,0,2,
1784665070.782666,1784665070.794130,decode,2,0,144,0.0003,0,2,
1784665070.794130,1784665070.805583,decode,2,0,160,0.0003,0,2,
1784665070.805583,1784665070.817147,decode,2,0,160,0.0003,0,2,
1784665070.817147,1784665070.828642,decode,2,0,160,0.0003,0,2,
1784665070.828642,1784665070.840020,decode,2,0,160,0.0003,0,2,
1784665070.840020,1784665070.851570,decode,2,0,160,0.0003,0,2,
1784665070.851570,1784665070.862991,decode,2,0,160,0.0003,0,2,
1784665070.862991,1784665070.874446,decode,2,0,160,0.0003,0,2,
1784665070.874446,1784665070.885871,decode,2,0,160,0.0003,0,2,
1784665070.885871,1784665070.897294,decode,2,0,160,0.0003,0,2,
1784665070.897294,1784665070.908840,decode,2,0,160,0.0003,0,2,
1784665070.908840,1784665070.920352,decode,2,0,160,0.0003,0,2,
1784665070.920352,1784665070.931791,decode,2,0,160,0.0003,0,2,
1784665070.931791,1784665070.943236,decode,2,0,160,0.0003,0,2,
1784665070.943236,1784665070.954749,decode,2,0,160,0.0003,0,2,
1784665070.954749,1784665070.966221,decode,2,0,160,0.0003,0,2,
1784665070.966221,1784665070.977696,decode,2,0,176,0.0004,0,2,
1784665070.977696,1784665070.989217,decode,2,0,192,0.0004,0,2,
1784665070.989217,1784665071.000812,decode,2,0,192,0.0004,0,2,
1784665071.000812,1784665071.012216,decode,2,0,192,0.0004,0,2,
1784665071.012216,1784665071.023634,decode,2,0,192,0.0004,0,2,
1784665071.023634,1784665071.035073,decode,2,0,192,0.0004,0,2,
1784665071.035073,1784665071.046542,decode,2,0,192,0.0004,0,2,
1784665071.046542,1784665071.058027,decode,2,0,192,0.0004,0,2,
1784665071.058027,1784665071.069496,decode,2,0,192,0.0004,0,2,
1784665071.069496,1784665071.080918,decode,2,0,192,0.0004,0,2,
1784665071.080918,1784665071.092331,decode,2,0,192,0.0004,0,2,
1784665071.092331,1784665071.103788,decode,2,0,192,0.0004,0,2,
1784665071.103788,1784665071.115269,decode,2,0,192,0.0004,0,2,
1784665071.115269,1784665071.126829,decode,2,0,192,0.0004,0,2,
1784665071.126829,1784665071.138278,decode,2,0,192,0.0004,0,2,
1784665071.138278,1784665071.149834,decode,2,0,192,0.0004,0,2,
1784665071.149834,1784665071.161329,decode,2,0,208,0.0004,0,2,
1784665071.161329,1784665071.172734,decode,2,0,224,0.0005,0,2,
1784665071.172734,1784665071.184217,decode,2,0,224,0.0005,0,2,
1784665071.184217,1784665071.195639,decode,2,0,224,0.0005,0,2,
1784665071.195639,1784665071.207119,decode,2,0,224,0.0005,0,2,
1784665071.207119,1784665071.218654,decode,2,0,224,0.0005,0,2,
1784665071.218654,1784665071.230083,decode,2,0,224,0.0005,0,2,
1784665071.230083,1784665071.241618,decode,2,0,224,0.0005,0,2,
1784665071.241618,1784665071.253006,decode,2,0,224,0.0005,0,2,
1784665071.253006,1784665071.264529,decode,2,0,224,0.0005,0,2,
1784665071.264529,1784665071.275999,decode,2,0,224,0.0005,0,2,
1784665071.275999,1784665071.287438,decode,2,0,224,0.0005,0,2,
1784665071.287438,1784665071.298906,decode,2,0,224,0.0005,0,2,
1784665071.298906,1784665071.310416,decode,2,0,224,0.0005,0,2,
1784665071.310416,1784665071.321961,decode,2,0,224,0.0005,0,2,
