t_rel_s,measured_w,predicted_w
0.000,282.62,340.69
0.200,285.71,357.53
0.400,287.25,307.71
0.600,309.42,308.24
0.800,290.30,325.43
1.000,297.79,309.17
1.200,297.10,343.31
1.400,292.29,293.21
1.600,292.25,327.66
1.800,297.72,294.42
2.000,305.19,329.04
2.200,290.95,329.76
2.400,296.47,347.53
2.600,300.51,313.81
2.800,299.85,314.04
3.000,296.23,314.68
3.200,294.14,297.60
3.400,298.51,315.57
3.600,296.67,315.76
3.800,298.63,263.07
4.000,292.32,297.34
4.200,299.95,331.17
4.400,294.07,313.67
4.600,291.10,331.24
4.800,299.83,279.31
5.000,298.87,313.33
5.200,295.94,329.97
5.400,292.75,278.96
5.600,291.56,296.28
5.800,301.93,314.18
6.000,312.04,297.55
6.200,285.56,315.21
6.400,296.17,263.78
6.600,293.86,315.78
6.800,297.04,194.66
7.000,282.46,368.56
7.200,295.16,316.61
7.400,312.59,298.27
7.600,303.74,281.03
7.800,294.26,299.03
8.000,304.20,299.37
8.200,291.67,282.85
8.400,297.00,265.35
8.600,288.50,300.72
8.800,290.57,283.10
9.000,293.74,317.94
9.200,307.81,265.13
9.400,288.50,299.67
9.600,298.89,264.90
9.800,287.64,229.88
10.000,295.40,282.42
10.200,297.59,264.55
10.400,285.48,299.25
10.600,301.96,281.52
10.800,302.37,316.91
11.000,293.48,282.62
11.200,304.27,300.34
11.400,298.67,299.79
11.600,284.06,317.36
11.800,297.94,282.26
12.000,295.39,299.12
12.200,293.60,299.55
12.400,304.38,299.67
12.600,297.33,317.39
12.800,298.42,300.54
13.000,285.04,300.44
13.200,295.63,317.37
13.400,297.03,298.65
13.600,303.76,279.96
13.800,292.96,330.67
14.000,296.90,347.16
14.200,297.04,330.02
14.400,296.31,330.25
14.600,299.45,313.17
14.800,294.57,313.73
15.000,297.49,296.64
15.200,293.61,297.01
15.400,301.04,313.12
15.600,299.83,278.28
15.800,302.07,312.44
16.000,302.70,312.68
16.200,297.53,278.97
16.400,302.87,279.36
16.600,313.16,331.53
16.800,296.96,280.06
17.000,296.19,314.08
17.200,290.05,280.01
17.400,296.09,263.53
17.600,288.21,316.40
17.800,305.97,299.60
18.000,309.64,300.16
18.200,293.51,300.69
18.400,280.08,230.64
18.600,296.48,299.98
18.800,297.03,299.82
19.000,296.29,265.37
19.200,293.51,248.05
19.400,307.20,230.12
19.600,303.38,317.11
19.800,301.10,299.96
20.000,295.98,264.84
20.200,285.00,282.42
20.400,302.35,300.53
20.600,301.50,300.70
20.800,300.82,265.82
21.000,286.48,283.37
21.200,296.63,317.98
21.400,297.19,265.45
21.600,291.73,283.84
21.800,304.74,266.33
22.000,297.40,266.21
22.200,291.23,248.90
22.400,295.45,266.31
22.600,292.41,266.87
22.800,289.51,267.29
23.000,303.12,266.17
23.200,293.69,248.40
23.400,290.59,299.64
23.600,299.93,265.39
23.800,303.87,283.85
24.000,304.80,300.85
24.200,299.07,266.02
24.400,287.90,283.84
24.600,290.72,249.20
24.800,300.68,266.71
25.000,304.19,249.69
25.200,294.29,285.72
25.400,299.98,267.65
25.600,308.07,268.28
25.800,304.15,268.18
26.000,297.08,214.42
26.200,298.10,250.20
26.400,286.49,285.58
26.600,293.81,285.62
26.800,298.89,285.43
27.000,304.95,232.20
27.200,300.64,301.18
27.400,310.00,301.77
27.600,293.38,284.37
27.800,297.36,266.70
28.000,296.57,302.67
28.200,301.60,303.21
28.400,300.67,320.88
28.600,299.80,285.09
28.800,296.64,266.76
29.000,288.65,283.66
29.200,294.99,318.37
29.400,296.96,335.25
29.600,297.04,282.33
29.800,301.53,264.08
30.000,293.02,297.44
30.200,298.16,279.60
30.400,300.24,296.93
30.600,297.33,314.57
30.800,294.15,296.82
31.000,293.33,314.04
31.200,294.92,297.09
31.400,290.64,314.10
31.600,298.39,245.65
31.800,296.39,315.38
32.000,298.17,316.26
32.200,297.25,264.96
32.400,296.62,264.75
32.600,294.58,299.50
32.800,314.94,248.13
33.000,293.87,301.49
33.200,289.98,301.46
33.400,303.55,283.44
33.600,293.04,282.92
33.800,294.38,317.87
34.000,287.67,299.55
34.200,288.66,299.35
34.400,296.52,282.12
34.600,299.99,299.78
34.800,297.42,283.07
35.000,283.34,282.97
35.200,286.69,265.81
35.400,295.67,247.30
35.600,293.32,299.46
35.800,305.53,264.97
36.000,289.59,264.80
