t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784664730.810131,73.793,1410,1512,0.0,0.0,34.0
1784664730.820197,73.793,1410,1512,0.0,0.0,34.0
1784664730.830197,73.793,1410,1512,0.0,0.0,34.0
1784664730.840198,73.793,1410,1512,0.0,0.0,34.0
1784664730.850213,73.793,1410,1512,0.0,0.0,34.0
1784664730.860206,73.793,1410,1512,0.0,0.0,34.0
1784664730.870420,73.793,1410,1512,0.0,0.0,34.0
1784664730.880414,74.695,1410,1512,0.0,0.0,34.0
1784664730.890413,74.695,1410,1512,0.0,0.0,34.0
1784664730.900412,74.695,1410,1512,0.0,0.0,34.0
1784664730.910210,74.695,1410,1512,0.0,0.0,34.0
1784664730.920415,74.695,1410,1512,0.0,0.0,34.0
1784664730.930413,74.695,1410,1512,0.0,0.0,34.0
1784664730.940413,74.695,1410,1512,0.0,0.0,34.0
1784664730.950411,74.695,1410,1512,0.0,0.0,34.0
1784664730.960414,74.695,1410,1512,0.0,0.0,34.0
1784664730.970412,74.695,1410,1512,0.0,0.0,34.0
1784664730.980414,74.695,1410,1512,0.0,0.0,34.0
1784664730.990413,74.695,1410,1512,0.0,0.0,34.0
1784664731.000412,74.695,1410,1512,0.0,0.0,34.0
1784664731.010414,74.695,1410,1512,0.0,0.0,34.0
1784664731.020413,74.695,1410,1512,0.0,0.0,34.0
1784664731.030413,74.695,1410,1512,0.0,0.0,34.0
1784664731.040413,74.695,1410,1512,0.0,0.0,34.0
1784664731.050414,74.695,1410,1512,0.0,0.0,34.0
1784664731.060413,74.695,1410,1512,0.0,0.0,34.0
1784664731.070414,74.871,1410,1512,0.0,0.0,34.0
1784664731.080412,74.871,1410,1512,0.0,0.0,34.0
1784664731.090415,74.871,1410,1512,0.0,0.0,34.0
1784664731.100414,74.871,1410,1512,0.0,0.0,34.0
1784664731.110413,74.871,1410,1512,0.0,0.0,34.0
1784664731.120413,74.871,1410,1512,0.0,0.0,34.0
1784664731.130414,74.871,1410,1512,0.0,0.0,34.0
1784664731.140413,74.871,1410,1512,0.0,0.0,34.0
1784664731.150414,74.871,1410,1512,0.0,0.0,34.0
1784664731.160413,74.871,1410,1512,0.0,0.0,34.0
1784664731.170413,74.208,1410,1512,0.0,0.0,34.0
1784664731.180199,74.208,1410,1512,0.0,0.0,34.0
1784664731.190418,74.208,1410,1512,0.0,0.0,34.0
1784664731.200412,74.208,1410,1512,0.0,0.0,34.0
1784664731.210413,74.208,1410,1512,0.0,0.0,34.0
1784664731.220413,74.208,1410,1512,0.0,0.0,34.0
1784664731.230413,74.208,1410,1512,0.0,0.0,34.0
1784664731.240411,74.208,1410,1512,0.0,0.0,34.0
1784664731.250411,74.208,1410,1512,0.0,0.0,34.0
1784664731.260256,74.208,1410,1512,0.0,0.0,34.0
1784664731.270420,74.781,1410,1512,0.0,0.0,34.0
1784664731.280413,74.781,1410,1512,0.0,0.0,34.0
1784664731.290412,74.781,1410,1512,0.0,0.0,34.0
1784664731.300411,74.781,1410,1512,0.0,0.0,34.0
1784664731.310413,74.781,1410,1512,0.0,0.0,34.0
1784664731.320411,74.781,1410,1512,0.0,0.0,34.0
1784664731.330413,74.781,1410,1512,0.0,0.0,34.0
1784664731.340412,74.781,1410,1512,0.0,0.0,34.0
1784664731.350412,74.781,1410,1512,0.0,0.0,34.0
1784664731.360411,74.781,1410,1512,0.0,0.0,34.0
