t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784665145.693805,1784665145.693805,mixed,1,0,16,0.0000,11,1,
1784665145.693805,1784665145.705305,decode,1,0,16,0.0000,0,1,
1784665145.705305,1784665145.716687,decode,1,0,16,0.0000,0,1,
1784665145.716687,1784665145.728122,decode,1,0,16,0.0000,0,1,
1784665145.728122,1784665145.739664,decode,1,0,16,0.0000,0,1,
1784665145.739664,1784665145.751096,decode,1,0,16,0.0000,0,1,
1784665145.751096,1784665145.762454,decode,1,0,32,0.0001,0,1,
1784665145.762454,1784665145.773846,decode,1,0,32,0.0001,0,1,
1784665145.773846,1784665145.785241,decode,1,0,32,0.0001,0,1,
1784665145.785241,1784665145.796618,decode,1,0,32,0.0001,0,1,
1784665145.796618,1784665145.808061,decode,1,0,32,0.0001,0,1,
1784665145.808061,1784665145.819478,decode,1,0,32,0.0001,0,1,
1784665145.819478,1784665145.830879,decode,1,0,32,0.0001,0,1,
1784665145.830879,1784665145.842271,decode,1,0,32,0.0001,0,1,
1784665145.842271,1784665145.853653,decode,1,0,32,0.0001,0,1,
1784665145.853653,1784665145.865157,decode,1,0,32,0.0001,0,1,
1784665145.865157,1784665145.876457,decode,1,0,32,0.0001,0,1,
1784665145.876457,1784665145.887872,decode,1,0,32,0.0001,0,1,
1784665145.887872,1784665145.899341,decode,1,0,32,0.0001,0,1,
1784665145.899341,1784665145.910753,decode,1,0,32,0.0001,0,1,
1784665145.910753,1784665145.922129,decode,1,0,32,0.0001,0,1,
1784665145.922129,1784665145.933531,decode,1,0,32,0.0001,0,1,
1784665145.933531,1784665145.944963,decode,1,0,48,0.0001,0,1,
1784665145.944963,1784665145.956361,decode,1,0,48,0.0001,0,1,
1784665145.956361,1784665145.967834,decode,1,0,48,0.0001,0,1,
1784665145.967834,1784665145.979249,decode,1,0,48,0.0001,0,1,
1784665145.979249,1784665145.990650,decode,1,0,48,0.0001,0,1,
1784665145.990650,1784665146.002061,decode,1,0,48,0.0001,0,1,
1784665146.002061,1784665146.013400,decode,1,0,48,0.0001,0,1,
1784665146.013400,1784665146.024788,decode,1,0,48,0.0001,0,1,
1784665146.024788,1784665146.036279,decode,1,0,48,0.0001,0,1,
1784665146.036279,1784665146.047659,decode,1,0,48,0.0001,0,1,
1784665146.047659,1784665146.059037,decode,1,0,48,0.0001,0,1,
1784665146.059037,1784665146.070461,decode,1,0,48,0.0001,0,1,
1784665146.070461,1784665146.081898,decode,1,0,48,0.0001,0,1,
1784665146.081898,1784665146.093292,decode,1,0,48,0.0001,0,1,
1784665146.093292,1784665146.104678,decode,1,0,48,0.0001,0,1,
1784665146.104678,1784665146.116093,decode,1,0,48,0.0001,0,1,
1784665146.116093,1784665146.127471,decode,1,0,64,0.0001,0,1,
1784665146.127471,1784665146.138935,decode,1,0,64,0.0001,0,1,
1784665146.138935,1784665146.150378,decode,1,0,64,0.0001,0,1,
1784665146.150378,1784665146.161772,decode,1,0,64,0.0001,0,1,
1784665146.161772,1784665146.173148,decode,1,0,64,0.0001,0,1,
