t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784665295.056133,77.441,1410,1512,0.0,0.0,40.0
1784665295.066200,77.441,1410,1512,0.0,0.0,40.0
1784665295.076193,77.441,1410,1512,0.0,0.0,40.0
1784665295.086196,77.441,1410,1512,0.0,0.0,40.0
1784665295.096195,77.441,1410,1512,0.0,0.0,40.0
1784665295.106195,77.441,1410,1512,0.0,0.0,40.0
1784665295.116193,226.780,1410,1512,0.0,0.0,40.0
1784665295.126194,226.780,1410,1512,0.0,0.0,40.0
1784665295.136193,226.780,1410,1512,0.0,0.0,40.0
1784665295.146215,226.780,1410,1512,0.0,0.0,40.0
1784665295.156212,226.780,1410,1512,0.0,0.0,45.0
1784665295.166210,226.780,1410,1512,0.0,0.0,45.0
1784665295.176200,226.780,1410,1512,0.0,0.0,45.0
1784665295.186213,226.780,1410,1512,0.0,0.0,45.0
1784665295.196211,226.780,1140,1512,0.0,0.0,45.0
1784665295.206214,226.780,1140,1512,0.0,0.0,45.0
1784665295.216210,275.448,1140,1512,0.0,0.0,45.0
1784665295.226209,275.448,1140,1512,0.0,0.0,45.0
1784665295.236200,275.448,1140,1512,53.0,17.0,45.0
1784665295.246210,275.448,1140,1512,53.0,17.0,45.0
1784665295.256209,275.448,1140,1512,53.0,17.0,44.0
1784665295.266208,275.448,1140,1512,53.0,17.0,44.0
1784665295.276199,275.448,1140,1512,53.0,17.0,44.0
1784665295.286211,275.448,1140,1512,53.0,17.0,44.0
1784665295.296209,275.448,1380,1512,53.0,17.0,44.0
1784665295.306211,275.448,1380,1512,53.0,17.0,44.0
1784665295.316389,282.689,1380,1512,53.0,17.0,44.0
1784665295.326213,282.689,1380,1512,53.0,17.0,44.0
1784665295.336199,282.689,1380,1512,53.0,17.0,44.0
1784665295.346210,282.689,1380,1512,53.0,17.0,44.0
1784665295.356614,282.689,1380,1512,53.0,17.0,44.0
1784665295.366211,282.689,1380,1512,53.0,17.0,44.0
1784665295.376198,282.689,1380,1512,53.0,17.0,44.0
1784665295.386211,282.689,1380,1512,53.0,17.0,44.0
1784665295.396211,282.689,1410,1512,53.0,17.0,44.0
1784665295.406265,282.689,1410,1512,53.0,17.0,44.0
1784665295.416209,293.536,1410,1512,53.0,17.0,44.0
1784665295.426209,293.536,1410,1512,53.0,17.0,44.0
1784665295.436197,293.536,1410,1512,94.0,71.0,44.0
1784665295.446194,293.536,1410,1512,94.0,71.0,44.0
1784665295.456211,293.536,1410,1512,94.0,71.0,44.0
1784665295.466209,293.536,1410,1512,94.0,71.0,44.0
1784665295.476198,293.536,1410,1512,94.0,71.0,44.0
1784665295.486208,293.536,1410,1512,94.0,71.0,44.0
1784665295.496216,293.536,1410,1512,94.0,71.0,44.0
1784665295.506211,293.536,1410,1512,94.0,71.0,44.0
1784665295.516210,293.536,1410,1512,94.0,71.0,44.0
1784665295.526210,290.724,1410,1512,94.0,71.0,44.0
1784665295.536197,290.724,1410,1512,94.0,71.0,44.0
1784665295.546209,290.724,1410,1512,94.0,71.0,44.0
