t_rel_s,measured_w,predicted_w
0.000,307.67,73.49
0.200,302.46,89.71
0.400,295.97,301.07
0.600,289.83,301.52
0.800,298.78,318.30
1.000,301.79,302.45
1.200,298.24,319.30
1.400,292.88,303.38
1.600,296.91,303.83
1.800,298.75,287.17
2.000,305.36,303.98
2.200,305.05,320.94
2.400,295.59,304.92
2.600,295.63,305.36
2.800,301.12,305.81
3.000,295.00,306.25
3.200,301.92,306.72
3.400,302.62,240.36
3.600,301.02,357.69
3.800,302.57,257.19
4.000,315.51,73.49
4.200,279.68,234.32
4.400,267.11,299.02
4.600,278.59,299.47
4.800,284.24,267.45
5.000,282.08,300.05
5.200,284.38,284.27
5.400,285.01,300.91
5.600,283.17,268.67
5.800,286.66,301.09
6.000,284.99,285.23
6.200,287.83,285.64
6.400,283.58,302.39
6.600,286.93,286.45
6.800,289.26,286.82
7.000,288.48,303.66
7.200,291.06,287.62
7.400,291.58,288.03
7.600,287.96,288.42
7.800,292.55,288.44
8.000,320.11,136.90
8.200,285.11,311.63
8.400,297.44,312.14
8.600,296.55,312.51
8.800,300.15,312.66
9.000,302.39,313.17
9.200,298.18,329.72
9.400,307.92,265.97
9.600,316.69,314.66
9.800,301.03,315.18
10.000,294.65,315.69
10.200,302.41,316.21
10.400,301.11,316.73
10.600,291.94,300.61
10.800,295.88,317.06
11.000,300.42,317.58
11.200,300.84,301.77
11.400,316.88,203.77
11.600,316.05,137.38
11.800,281.50,313.26
12.000,282.53,296.38
12.200,293.99,296.74
12.400,299.44,312.79
12.600,295.26,313.31
12.800,296.49,313.82
13.000,300.63,314.34
13.200,300.37,298.75
13.400,296.77,315.34
13.600,293.12,315.85
13.800,297.63,300.17
14.000,298.63,316.86
14.200,300.45,284.68
14.400,302.33,301.22
14.600,302.07,317.99
14.800,299.67,302.15
15.000,289.64,269.44
15.200,299.65,137.23
15.400,260.46,312.81
15.600,282.37,281.07
15.800,268.68,297.43
16.000,293.64,297.47
16.200,290.69,297.91
16.400,294.48,314.44
16.600,297.71,314.96
16.800,296.18,282.86
17.000,298.26,315.33
17.200,296.69,235.02
17.400,282.65,300.85
17.600,295.17,317.58
17.800,301.32,301.77
18.000,296.35,285.28
18.200,298.60,301.95
18.400,301.93,302.40
18.600,293.73,319.26
18.800,304.07,171.48
19.000,299.11,154.14
19.200,284.63,315.79
19.400,298.62,316.31
19.600,297.97,284.23
19.800,295.43,316.72
20.000,297.99,300.97
20.200,298.55,317.72
20.400,299.83,301.91
20.600,292.91,301.99
20.800,303.93,302.31
21.000,298.37,285.59
21.200,299.09,317.97
21.400,303.63,302.13
21.600,300.93,286.12
21.800,296.57,302.57
22.000,299.11,319.44
22.200,298.27,303.51
22.400,300.26,303.97
22.600,295.40,105.66
22.800,286.54,89.93
23.000,256.19,221.63
23.200,266.40,254.74
23.400,266.28,271.53
23.600,270.46,255.32
23.800,269.98,254.12
24.000,261.41,254.07
24.200,267.91,270.81
24.400,265.15,254.64
24.600,266.68,271.39
24.800,267.74,271.62
25.000,270.85,238.64
25.200,272.32,271.93
25.400,268.60,238.91
25.600,267.79,272.02
25.800,270.44,255.75
26.000,271.54,272.60
26.200,273.70,239.57
26.400,269.48,272.72
26.600,274.06,256.38
26.800,270.27,273.30
27.000,272.43,256.93
27.200,272.36,273.74
27.400,303.69,200.53
27.600,284.26,326.48
27.800,301.94,311.21
28.000,304.02,232.16
28.200,322.25,106.06
28.400,272.92,172.15
28.600,245.89,271.08
28.800,266.88,238.28
29.000,268.64,271.39
29.200,271.95,255.18
29.400,270.74,255.36
29.600,268.34,255.41
29.800,272.51,255.69
30.000,273.45,255.78
30.200,274.74,255.84
30.400,273.91,272.71
30.600,271.13,256.40
30.800,275.28,273.32
31.000,276.04,256.92
31.200,273.19,257.20
31.400,276.74,274.20
31.600,275.45,257.73
31.800,278.43,258.00
32.000,302.55,139.41
32.200,271.86,270.69
32.400,269.80,271.00
32.600,271.58,254.84
32.800,270.69,271.02
33.000,279.27,296.85
33.200,301.19,297.20
33.400,294.12,313.40
33.600,295.83,313.92
33.800,297.02,297.79
34.000,297.32,314.17
34.200,320.48,186.19
34.400,323.30,155.79
34.600,281.13,271.32
34.800,288.39,285.24
35.000,297.95,299.07
35.200,297.43,315.56
35.400,295.92,316.08
35.600,300.37,316.59
35.800,300.11,300.72
36.000,345.90,184.81
36.200,291.07,311.85
36.400,296.76,328.31
36.600,298.24,296.83
36.800,292.25,312.87
37.000,299.35,313.07
37.200,298.28,313.26
37.400,297.48,313.73
37.600,299.66,297.78
37.800,297.17,314.30
