t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784665449.855233,1784665449.855233,mixed,1,0,16,0.0000,11,1,
1784665449.855233,1784665449.867339,mixed,2,0,48,0.0001,25,2,
1784665449.867339,1784665449.878808,decode,2,0,48,0.0001,0,2,
1784665449.878808,1784665449.890107,decode,2,0,48,0.0001,0,2,
1784665449.890107,1784665449.901569,decode,2,0,48,0.0001,0,2,
1784665449.901569,1784665449.913030,decode,2,0,48,0.0001,0,2,
1784665449.913030,1784665449.924499,decode,2,0,64,0.0001,0,2,
1784665449.924499,1784665449.935925,decode,2,0,64,0.0001,0,2,
1784665449.935925,1784665449.947406,decode,2,0,64,0.0001,0,2,
1784665449.947406,1784665449.958802,decode,2,0,80,0.0002,0,2,
1784665449.958802,1784665449.970258,decode,2,0,80,0.0002,0,2,
1784665449.970258,1784665449.981611,decode,2,0,80,0.0002,0,2,
1784665449.981611,1784665449.993018,decode,2,0,80,0.0002,0,2,
1784665449.993018,1784665450.004499,decode,2,0,80,0.0002,0,2,
1784665450.004499,1784665450.015921,decode,2,0,80,0.0002,0,2,
1784665450.015921,1784665450.027322,decode,2,0,80,0.0002,0,2,
1784665450.027322,1784665450.038748,decode,2,0,80,0.0002,0,2,
1784665450.038748,1784665450.050176,decode,2,0,80,0.0002,0,2,
1784665450.050176,1784665450.061523,decode,2,0,80,0.0002,0,2,
1784665450.061523,1784665450.072961,decode,2,0,80,0.0002,0,2,
1784665450.072961,1784665450.084414,decode,2,0,80,0.0002,0,2,
1784665450.084414,1784665450.095853,decode,2,0,80,0.0002,0,2,
1784665450.095853,1784665450.107330,decode,2,0,96,0.0002,0,2,
1784665450.107330,1784665450.118721,decode,2,0,96,0.0002,0,2,
1784665450.118721,1784665450.130205,decode,2,0,96,0.0002,0,2,
1784665450.130205,1784665450.141587,decode,2,0,112,0.0002,0,2,
1784665450.141587,1784665450.153020,decode,2,0,112,0.0002,0,2,
1784665450.153020,1784665450.164421,decode,2,0,112,0.0002,0,2,
1784665450.164421,1784665450.175939,decode,2,0,112,0.0002,0,2,
1784665450.175939,1784665450.187358,decode,2,0,112,0.0002,0,2,
1784665450.187358,1784665450.198733,decode,2,0,112,0.0002,0,2,
1784665450.198733,1784665450.210172,decode,2,0,112,0.0002,0,2,
1784665450.210172,1784665450.221562,decode,2,0,112,0.0002,0,2,
1784665450.221562,1784665450.233000,decode,2,0,112,0.0002,0,2,
1784665450.233000,1784665450.244448,decode,2,0,112,0.0002,0,2,
1784665450.244448,1784665450.255825,decode,2,0,112,0.0002,0,2,
1784665450.255825,1784665450.267340,decode,2,0,112,0.0002,0,2,
1784665450.267340,1784665450.278707,decode,2,0,112,0.0002,0,2,
1784665450.278707,1784665450.290104,decode,2,0,128,0.0003,0,2,
1784665450.290104,1784665450.301543,decode,2,0,128,0.0003,0,2,
1784665450.301543,1784665450.312901,decode,2,0,128,0.0003,0,2,
1784665450.312901,1784665450.324319,decode,2,0,144,0.0003,0,2,
1784665450.324319,1784665450.335734,decode,2,0,144,0.0003,0,2,
1784665450.335734,1784665450.347312,decode,2,0,144,0.0003,0,2,
