t_rel_s,measured_w,predicted_w
0.000,274.25,381.77
0.200,290.83,381.91
0.400,295.45,286.23
0.600,270.31,345.75
0.800,287.55,346.17
1.000,293.44,327.29
1.200,294.44,386.40
1.400,291.96,308.84
1.600,278.97,349.06
1.800,297.59,349.81
2.000,300.57,330.65
2.200,273.58,351.99
2.400,296.85,372.57
2.600,298.92,333.35
2.800,294.32,314.29
3.000,250.24,335.49
3.200,313.88,113.87
3.400,276.94,420.69
3.600,301.65,236.97
3.800,325.91,156.20
4.000,283.93,281.02
4.200,284.15,362.96
4.400,294.80,319.83
4.600,295.52,340.40
4.800,308.35,319.18
5.000,303.40,339.57
5.200,291.90,299.43
5.400,291.67,298.71
5.600,299.49,318.94
5.800,300.72,338.84
6.000,295.55,298.36
6.200,275.06,319.90
6.400,322.86,197.34
6.600,303.05,220.71
6.800,278.92,242.21
7.000,298.61,326.84
7.200,295.39,305.34
7.400,292.50,284.70
7.600,294.89,261.58
7.800,299.60,303.56
8.000,301.54,281.76
8.200,298.44,278.47
8.400,280.66,278.60
8.600,275.99,299.84
8.800,284.35,238.90
9.000,274.59,322.79
9.200,296.23,281.34
9.400,314.13,240.19
9.600,296.68,281.85
9.800,289.15,136.02
10.000,272.09,242.65
10.200,292.12,242.64
10.400,281.20,304.68
10.600,289.14,283.96
10.800,295.59,325.48
11.000,289.63,283.07
11.200,282.67,280.27
11.400,285.66,319.59
11.600,300.29,339.84
11.800,284.91,299.55
12.000,276.54,279.06
12.200,299.44,298.49
12.400,298.16,318.96
12.600,301.05,319.01
12.800,302.64,318.39
13.000,296.65,297.60
13.200,293.17,357.72
13.400,294.89,296.83
13.600,284.07,176.19
13.800,272.80,320.30
14.000,285.74,340.13
14.200,298.35,356.70
14.400,302.39,314.69
14.600,297.72,374.20
14.800,283.16,314.46
15.000,284.05,234.42
15.200,310.21,295.63
15.400,291.01,316.10
15.600,300.35,316.34
15.800,282.79,236.87
16.000,268.55,277.51
16.200,286.33,216.31
16.400,281.91,299.04
16.600,298.57,340.32
16.800,300.61,299.50
17.000,303.78,300.04
17.200,296.81,279.40
17.400,310.28,218.34
17.600,302.43,94.87
17.800,291.10,223.38
18.000,273.51,265.06
18.200,275.24,284.76
18.400,275.41,221.64
18.600,287.96,264.77
18.800,291.12,265.34
19.000,294.41,265.87
19.200,284.94,180.76
19.400,294.77,224.29
19.600,315.08,225.08
19.800,292.63,290.42
20.000,293.13,268.20
20.200,350.79,95.40
20.400,304.65,95.76
20.600,264.78,252.00
20.800,292.69,252.31
21.000,288.71,252.47
21.200,294.58,274.50
21.400,300.14,273.33
21.600,302.12,250.79
21.800,305.45,229.05
22.000,257.45,206.54
22.200,304.28,205.82
22.400,301.37,228.24
22.600,307.89,95.99
22.800,300.23,186.94
23.000,280.22,210.10
23.200,291.36,164.77
23.400,294.43,274.35
23.600,305.05,252.20
23.800,292.62,204.14
24.000,299.04,290.06
24.200,294.17,268.51
24.400,291.68,247.37
24.600,296.99,182.07
24.800,292.07,73.49
25.000,293.89,96.12
25.200,277.13,232.22
25.400,296.51,255.51
25.600,292.94,209.80
25.800,289.39,231.80
26.000,291.91,208.75
26.200,296.39,186.52
26.400,300.49,232.88
26.600,286.89,256.35
26.800,290.31,272.79
27.000,306.50,140.56
27.200,292.28,275.28
27.400,296.50,275.75
27.600,291.59,254.01
27.800,297.29,254.24
28.000,297.73,299.68
28.200,293.77,298.62
28.400,300.45,297.58
28.600,294.90,296.82
28.800,294.59,229.27
29.000,294.59,250.17
29.200,261.02,293.61
29.400,296.68,316.07
29.600,305.80,249.48
29.800,284.20,183.31
30.000,292.41,207.10
30.200,286.49,296.38
30.400,282.67,207.59
30.600,283.17,308.79
30.800,306.69,284.29
31.000,303.68,325.90
31.200,303.75,283.04
31.400,287.72,322.54
31.600,287.96,238.47
31.800,316.26,300.59
32.000,327.82,278.65
32.200,280.82,257.27
32.400,282.25,277.58
32.600,287.05,318.54
32.800,298.76,277.97
33.000,304.40,299.27
33.200,305.30,320.68
33.400,296.26,320.66
33.600,287.97,319.66
33.800,299.82,319.59
34.000,311.08,258.77
34.200,317.75,300.79
34.400,294.08,297.74
34.600,291.11,317.06
34.800,303.91,355.33
35.000,302.45,314.85
35.200,330.81,255.48
35.400,283.60,236.01
35.600,272.43,317.78
35.800,297.17,295.46
36.000,287.54,295.61
36.200,293.48,336.39
36.400,298.47,335.54
36.600,295.96,275.70
36.800,277.78,255.15
37.000,288.64,275.16
37.200,295.30,275.84
37.400,300.04,337.15
37.600,302.33,195.85
37.800,264.34,299.59
38.000,303.32,341.46
38.200,304.22,300.35
38.400,286.76,300.62
38.600,329.16,177.32
38.800,282.49,137.23
39.000,274.94,307.34
39.200,287.28,286.89
39.400,289.08,265.70
39.600,302.92,244.29
39.800,290.43,307.13
40.000,293.78,284.61
40.200,315.91,242.74
40.400,278.46,221.64
40.600,294.21,95.00
40.800,304.96,73.49
