t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784662917.665827,1784662917.665827,mixed,1,0,32,0.0000,25,1,
1784662917.665827,1784662917.707971,mixed,16,0,560,0.0005,407,16,
1784662917.707971,1784662917.722650,decode,16,0,576,0.0005,0,16,
1784662917.722650,1784662917.734766,decode,16,0,576,0.0005,0,16,
1784662917.734766,1784662917.746758,decode,16,0,608,0.0006,0,16,
1784662917.746758,1784662917.758717,decode,16,0,624,0.0006,0,16,
1784662917.758717,1784662917.770771,decode,16,0,624,0.0006,0,16,
1784662917.770771,1784662917.782828,decode,15,0,592,0.0006,0,16,
1784662917.782828,1784662917.794754,decode,15,0,640,0.0006,0,15,
1784662917.794754,1784662917.806658,decode,15,0,640,0.0006,0,15,
1784662917.806658,1784662917.818571,decode,15,0,656,0.0006,0,15,
1784662917.818571,1784662917.830568,decode,15,0,656,0.0006,0,15,
1784662917.830568,1784662917.842512,decode,14,0,624,0.0006,0,15,
1784662917.842512,1784662917.854410,decode,14,0,656,0.0006,0,14,
1784662917.854410,1784662917.866282,decode,14,0,656,0.0006,0,14,
1784662917.866282,1784662917.878138,decode,14,0,672,0.0006,0,14,
1784662917.878138,1784662917.889994,decode,14,0,688,0.0007,0,14,
1784662917.889994,1784662917.901886,decode,14,0,704,0.0007,0,14,
1784662917.901886,1784662917.913824,decode,14,0,720,0.0007,0,14,
1784662917.913824,1784662917.925718,decode,14,0,720,0.0007,0,14,
1784662917.925718,1784662917.937525,decode,14,0,752,0.0007,0,14,
1784662917.937525,1784662917.949447,decode,14,0,768,0.0007,0,14,
1784662917.949447,1784662917.961380,decode,14,0,768,0.0007,0,14,
1784662917.961380,1784662917.973246,decode,14,0,768,0.0007,0,14,
1784662917.973246,1784662917.985115,decode,14,0,816,0.0008,0,14,
1784662917.985115,1784662917.997009,decode,14,0,816,0.0008,0,14,
1784662917.997009,1784662918.008843,decode,14,0,832,0.0008,0,14,
1784662918.008843,1784662918.020687,decode,14,0,832,0.0008,0,14,
1784662918.020687,1784662918.032565,decode,14,0,848,0.0008,0,14,
1784662918.032565,1784662918.044435,decode,14,0,880,0.0008,0,14,
1784662918.044435,1784662918.056301,decode,14,0,880,0.0008,0,14,
1784662918.056301,1784662918.068170,decode,14,0,896,0.0008,0,14,
1784662918.068170,1784662918.080030,decode,14,0,912,0.0009,0,14,
1784662918.080030,1784662918.091902,decode,14,0,928,0.0009,0,14,
1784662918.091902,1784662918.103814,decode,14,0,944,0.0009,0,14,
1784662918.103814,1784662918.115650,decode,14,0,944,0.0009,0,14,
1784662918.115650,1784662918.127526,decode,14,0,976,0.0009,0,14,
1784662918.127526,1784662918.139390,decode,14,0,992,0.0009,0,14,
