t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,prefill_tokens,decode_tokens,n_iters
1784662845.442827,0.2000,57.0745,2.405824e+11,3.001815e+12,2.999150e+12,147,65,17
1784662845.642827,0.2000,57.8168,2.406576e+11,9.634343e+11,9.634343e+11,0,68,17
1784662845.842827,0.2000,58.5552,2.548863e+11,1.020613e+12,1.020613e+12,0,72,18
1784662846.042827,0.2000,57.7473,2.407934e+11,9.643848e+11,9.643848e+11,0,68,17
1784662846.242827,0.2000,57.9188,2.407842e+11,1.687879e+12,1.685490e+12,54,65,17
1784662846.442827,0.2000,57.4551,2.407668e+11,1.559586e+12,1.558103e+12,42,68,17
1784662846.642827,0.2000,57.4640,2.408338e+11,9.646674e+11,9.646674e+11,0,68,17
1784662846.842827,0.2000,57.6871,2.408999e+11,9.651298e+11,9.651298e+11,0,68,17
1784662847.042827,0.2000,57.8967,2.409659e+11,9.655922e+11,9.655922e+11,0,68,17
1784662847.242827,0.2000,58.0051,2.410320e+11,9.660546e+11,9.660546e+11,0,68,17
1784662847.442827,0.2000,58.0371,2.408778e+11,1.149537e+12,1.148803e+12,14,67,17
1784662847.642828,0.2000,58.4132,2.409457e+11,9.654509e+11,9.654509e+11,0,68,17
1784662847.842827,0.2000,58.6293,2.410127e+11,9.659198e+11,9.659198e+11,0,68,17
1784662848.042828,0.2000,58.5516,2.410421e+11,1.250257e+12,1.248937e+12,21,67,17
1784662848.242827,0.2000,58.9810,2.409824e+11,9.657571e+11,9.657078e+11,0,68,17
1784662848.442828,0.2000,58.0250,2.408090e+11,1.248182e+12,1.247305e+12,21,67,17
1784662848.642828,0.2000,58.4382,2.408769e+11,9.649692e+11,9.649692e+11,0,68,17
1784662848.842828,0.2000,58.6086,2.409430e+11,9.654317e+11,9.654317e+11,0,68,17
1784662849.042828,0.2000,58.4483,2.410090e+11,9.658941e+11,9.658941e+11,0,68,17
1784662849.242828,0.2000,58.1437,2.410751e+11,9.663565e+11,9.663565e+11,0,68,17
1784662849.442828,0.2000,58.1070,2.408632e+11,1.177759e+12,1.176981e+12,16,67,17
1784662849.642828,0.2000,58.4023,2.409310e+11,9.653482e+11,9.653482e+11,0,68,17
1784662849.842828,0.2000,58.5703,2.409971e+11,9.658106e+11,9.658106e+11,0,68,17
1784662850.042828,0.2000,58.6545,2.410641e+11,9.662794e+11,9.662794e+11,0,68,17
1784662850.242828,0.2000,57.9946,2.411311e+11,9.667483e+11,9.667483e+11,0,68,17
1784662850.442828,0.2000,57.8442,2.409852e+11,1.363410e+12,1.361663e+12,29,67,17
1784662850.642828,0.2000,57.9466,2.410274e+11,9.660225e+11,9.660225e+11,0,68,17
1784662850.842828,0.2000,58.4085,2.410843e+11,9.523701e+11,9.522802e+11,0,67,17
1784662851.042828,0.2000,58.9850,2.410733e+11,1.236524e+12,1.235015e+12,20,67,17
1784662851.242828,0.2000,59.2998,2.409274e+11,1.419695e+12,1.417821e+12,33,67,17
1784662851.442828,0.2000,59.1040,2.265675e+11,1.446372e+12,1.444567e+12,39,63,16
1784662851.642828,0.2000,58.5487,2.549459e+11,1.021031e+12,1.021031e+12,0,72,18
1784662851.842828,0.2000,58.6375,2.408503e+11,9.647830e+11,9.647830e+11,0,68,17
1784662852.042829,0.2000,58.2974,2.409164e+11,9.652454e+11,9.652454e+11,0,68,17
1784662852.242828,0.2000,58.1310,2.409824e+11,9.657078e+11,9.657078e+11,0,68,17
1784662852.442829,0.2000,58.3036,2.407824e+11,1.389724e+12,1.388525e+12,32,66,17
1784662852.642828,0.2000,58.9045,2.407310e+11,9.639481e+11,9.639481e+11,0,68,17
1784662852.842829,0.2000,58.8700,2.407971e+11,9.644105e+11,9.644105e+11,0,68,17
1784662853.042829,0.2000,58.4112,2.408632e+11,9.648729e+11,9.648729e+11,0,68,17
1784662853.242829,0.2000,58.1974,2.409292e+11,9.653353e+11,9.653353e+11,0,68,17
1784662853.442829,0.2000,58.3695,2.409953e+11,9.657977e+11,9.657977e+11,0,68,17
1784662853.642829,0.2000,58.5651,2.409806e+11,1.221266e+12,1.220225e+12,19,67,17
1784662853.842829,0.2000,58.8212,2.409329e+11,9.653610e+11,9.653610e+11,0,68,17
1784662854.042829,0.2000,58.6098,2.409999e+11,9.658299e+11,9.658299e+11,0,68,17
1784662854.242829,0.2000,58.4350,2.410659e+11,9.662923e+11,9.662923e+11,0,68,17
1784662854.442829,0.2000,58.4445,2.409228e+11,1.206638e+12,1.205680e+12,18,67,17
1784662854.642829,0.2000,58.7375,2.409246e+11,1.220874e+12,1.219833e+12,19,67,17
1784662854.842829,0.2000,58.7426,2.409283e+11,9.653289e+11,9.653289e+11,0,68,17
1784662855.042829,0.2000,58.8952,2.409944e+11,9.657913e+11,9.657913e+11,0,68,17
1784662855.242829,0.2000,59.0408,2.408017e+11,1.446875e+12,1.445222e+12,36,66,17
1784662855.442829,0.2000,57.9162,2.407852e+11,1.148495e+12,1.148154e+12,14,67,17
1784662855.642829,0.2000,58.9765,2.406439e+11,9.633379e+11,9.633379e+11,0,68,17
1784662855.842829,0.2000,59.3485,2.548716e+11,1.020510e+12,1.020510e+12,0,72,18
1784662856.042830,0.2000,59.1801,2.407806e+11,9.642949e+11,9.642949e+11,0,68,17
1784662856.242829,0.2000,58.8420,2.408476e+11,9.647637e+11,9.647637e+11,0,68,17
1784662856.442830,0.2000,59.0545,2.409136e+11,9.652261e+11,9.652261e+11,0,68,17
1784662856.642829,0.2000,58.7123,2.409797e+11,9.656886e+11,9.656886e+11,0,68,17
1784662856.842830,0.2000,58.4365,2.410457e+11,9.661510e+11,9.661510e+11,0,68,17
1784662857.042830,0.2000,58.7376,2.411127e+11,9.666198e+11,9.666198e+11,0,68,17
1784662857.242830,0.2000,58.9362,2.411054e+11,1.137218e+12,1.136255e+12,13,67,17
1784662857.442830,0.2000,58.9119,2.410989e+11,9.665235e+11,9.665235e+11,0,68,17
1784662857.642830,0.2000,58.5422,2.411173e+11,1.307544e+12,1.306026e+12,25,67,17
1784662857.842830,0.2000,58.6887,2.408356e+11,1.673943e+12,1.671709e+12,52,66,17
1784662858.042830,0.2000,58.4929,2.408255e+11,9.646096e+11,9.646096e+11,0,68,17
1784662858.242830,0.2000,58.4441,2.407063e+11,1.374650e+12,1.373851e+12,30,67,17
1784662858.442830,0.2000,58.8462,2.407209e+11,9.638774e+11,9.638774e+11,0,68,17
1784662858.642830,0.2000,59.0939,2.407622e+11,1.503116e+12,1.501508e+12,39,67,17
1784662858.842830,0.2000,58.7548,2.408264e+11,9.646160e+11,9.646160e+11,0,68,17
1784662859.042830,0.2000,58.8949,2.408934e+11,9.650848e+11,9.650848e+11,0,68,17
1784662859.242830,0.2000,59.1743,2.551368e+11,1.022366e+12,1.022366e+12,0,72,18
1784662859.442830,0.2000,58.5444,2.410301e+11,9.660418e+11,9.660418e+11,0,68,17
1784662859.642830,0.2000,58.7873,2.268776e+11,1.562960e+12,1.559862e+12,47,63,16
1784662859.842830,0.2000,58.8352,2.409558e+11,1.221060e+12,1.220052e+12,19,67,17
1784662860.042830,0.2000,58.8723,2.409375e+11,9.653931e+11,9.653931e+11,0,68,17
1784662860.242830,0.2000,59.0142,2.551836e+11,1.022694e+12,1.022694e+12,0,72,18
1784662860.442831,0.2000,59.0724,2.268914e+11,9.094924e+11,9.094924e+11,0,64,16
1784662860.642830,0.2000,58.4008,2.411366e+11,9.667868e+11,9.667868e+11,0,68,17
1784662860.842831,0.2000,58.4945,2.409989e+11,1.547511e+12,1.545587e+12,43,66,17
1784662861.042830,0.2000,58.5306,2.407641e+11,1.815105e+12,1.812614e+12,61,67,17
1784662861.242831,0.2000,58.8770,2.408476e+11,9.647637e+11,9.647637e+11,0,68,17
1784662861.442831,0.2000,59.1497,2.408604e+11,1.277073e+12,1.275946e+12,23,67,17
1784662861.642831,0.2000,58.9039,2.409118e+11,9.652133e+11,9.652133e+11,0,68,17
