t_rel_s,measured_w,predicted_w
0.000,285.37,272.49
0.200,289.08,299.06
0.400,292.78,312.39
0.600,288.74,299.19
0.800,289.59,272.66
1.000,287.28,285.90
1.200,287.32,299.23
1.400,288.44,299.29
1.600,289.48,299.35
1.800,290.03,299.41
2.000,290.19,286.00
2.200,292.07,299.33
2.400,293.15,299.39
2.600,292.76,286.15
2.800,294.91,299.37
3.000,290.13,285.94
3.200,292.19,299.27
3.400,293.04,299.33
3.600,292.24,299.39
3.800,290.72,299.45
4.000,290.53,285.99
4.200,292.01,299.32
4.400,292.85,299.38
4.600,293.27,299.44
4.800,289.97,299.51
5.000,289.22,286.09
5.200,289.73,299.41
5.400,292.04,299.46
5.600,294.92,286.17
5.800,296.50,286.04
6.000,295.52,259.33
6.200,292.74,312.44
6.400,293.19,299.24
6.600,291.49,299.30
6.800,290.66,299.37
7.000,291.52,272.66
7.200,294.52,299.13
7.400,294.35,299.19
7.600,292.06,299.25
7.800,290.99,299.32
8.000,291.85,299.38
8.200,292.83,286.09
8.400,294.11,299.32
8.600,293.05,299.38
8.800,292.17,299.44
9.000,292.22,286.04
9.200,293.69,286.04
9.400,293.71,299.32
9.600,294.48,299.38
9.800,295.20,272.67
10.000,289.58,285.93
10.200,294.88,299.05
10.400,296.74,312.37
10.600,295.90,299.18
10.800,294.21,299.24
11.000,295.27,299.30
11.200,293.56,299.36
11.400,292.18,299.43
11.600,293.69,299.49
11.800,294.68,286.20
12.000,294.56,299.48
12.200,292.71,286.22
12.400,293.44,272.70
12.600,292.46,299.22
12.800,292.22,285.85
13.000,294.23,299.12
13.200,295.47,285.90
13.400,293.77,299.22
13.600,294.47,299.28
13.800,295.87,312.62
14.000,292.72,299.41
14.200,293.94,272.88
14.400,294.18,286.07
14.600,294.36,299.32
14.800,295.07,312.67
15.000,295.36,286.17
15.200,292.00,299.51
15.400,292.47,272.85
15.600,292.65,285.90
15.800,294.39,299.24
16.000,295.75,285.98
16.200,294.52,299.30
16.400,296.81,272.78
16.600,295.88,286.10
16.800,292.48,299.44
17.000,293.06,299.50
17.200,294.82,286.23
17.400,292.50,286.00
17.600,294.98,285.94
17.800,293.83,299.27
18.000,295.29,299.33
18.200,296.01,299.39
18.400,295.32,286.09
18.600,294.33,285.93
18.800,294.41,299.19
19.000,292.91,299.25
19.200,293.35,299.31
19.400,295.13,299.38
19.600,296.34,299.42
19.800,297.55,286.11
20.000,291.76,272.75
20.200,306.91,299.32
20.400,293.73,285.91
20.600,293.84,299.24
20.800,294.33,286.01
21.000,294.88,299.33
21.200,296.07,286.05
21.400,296.66,299.35
21.600,293.15,286.04
21.800,294.69,299.23
22.000,294.31,299.29
22.200,295.98,286.03
22.400,292.10,299.33
22.600,295.05,299.39
22.800,294.20,299.45
23.000,291.40,285.98
23.200,294.16,299.32
23.400,294.41,206.44
23.600,294.85,392.38
23.800,294.85,286.10
24.000,297.00,286.03
24.200,295.07,285.93
24.400,296.18,299.13
24.600,297.46,299.19
24.800,295.66,299.25
25.000,293.85,299.31
25.200,294.17,299.38
25.400,295.06,299.44
25.600,295.81,299.49
25.800,294.87,286.16
26.000,296.46,286.01
26.200,297.29,299.31
26.400,293.87,299.35
26.600,300.11,286.03
26.800,295.98,285.91
27.000,298.01,299.18
27.200,295.00,299.24
27.400,295.74,259.37
27.600,293.49,299.07
27.800,298.66,285.85
28.000,296.19,299.17
28.200,297.57,299.23
28.400,295.96,285.99
28.600,294.82,299.28
28.800,298.61,299.34
29.000,295.81,285.98
29.200,293.53,299.27
29.400,296.87,285.98
29.600,290.93,299.30
29.800,295.81,299.36
30.000,297.41,299.42
30.200,299.34,299.48
30.400,295.57,286.10
30.600,292.08,286.09
30.800,291.18,299.43
31.000,296.69,272.85
31.200,299.74,299.39
31.400,299.95,286.10
31.600,299.54,285.93
31.800,295.24,299.26
32.000,296.59,285.88
32.200,301.94,312.38
32.400,298.33,299.18
32.600,299.92,299.24
32.800,295.63,299.30
33.000,295.68,286.05
33.200,289.42,285.98
33.400,294.01,299.31
33.600,295.56,299.38
33.800,297.32,299.44
34.000,298.13,299.47
34.200,297.62,272.75
34.400,295.47,285.96
34.600,246.29,113.46
34.800,130.85,232.81
35.000,282.06,299.17
35.200,300.38,285.85
35.400,298.16,285.85
35.600,301.58,312.37
35.800,302.05,299.17
36.000,294.54,299.24
36.200,297.61,285.95
36.400,296.41,299.24
36.600,295.62,299.30
36.800,295.86,299.36
37.000,297.57,286.10
37.200,299.17,299.43
37.400,299.52,286.05
37.600,300.28,285.93
37.800,296.32,299.25
38.000,296.23,299.32
38.200,301.41,285.92
38.400,300.44,299.21
38.600,297.24,299.27
38.800,293.52,299.33
39.000,296.80,299.39
39.200,297.03,299.45
39.400,297.31,299.52
39.600,298.42,299.58
39.800,299.29,299.64
40.000,296.04,286.21
40.200,292.36,299.55
40.400,296.65,286.11
40.600,297.32,285.94
40.800,298.08,299.27
41.000,301.49,259.42
41.200,299.11,259.26
41.400,298.28,285.76
41.600,299.75,299.07
41.800,300.45,299.13
42.000,295.93,299.19
42.200,296.46,285.97
42.400,294.21,285.97
42.600,297.68,312.56
42.800,301.55,299.35
43.000,297.05,299.41
43.200,296.65,299.47
43.400,298.55,299.54
43.600,298.47,286.10
43.800,299.53,299.42
44.000,300.47,286.16
44.200,298.43,299.32
44.400,298.82,285.95
44.600,299.60,299.19
44.800,301.30,285.92
45.000,296.64,299.24
45.200,297.54,299.31
45.400,296.58,299.19
45.600,293.17,299.16
45.800,293.57,299.12
46.000,290.01,299.11
46.200,290.58,299.14
46.400,290.15,299.17
46.600,292.60,299.21
46.800,292.08,299.24
47.000,289.74,299.24
47.200,297.08,299.03
47.400,297.79,299.05
47.566,298.36,315.81
