t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784662993.173808,78.124,1410,1512,0.0,0.0,40.0
1784662993.183881,78.124,1410,1512,0.0,0.0,40.0
1784662993.193874,78.124,1410,1512,0.0,0.0,40.0
1784662993.203868,78.124,1410,1512,0.0,0.0,40.0
1784662993.213886,78.124,1410,1512,0.0,0.0,40.0
1784662993.223885,78.124,1410,1512,0.0,0.0,40.0
1784662993.233886,78.124,1410,1512,0.0,0.0,40.0
1784662993.243885,78.124,1410,1512,0.0,0.0,40.0
1784662993.253884,78.124,1410,1512,0.0,0.0,40.0
1784662993.263885,78.124,1410,1512,0.0,0.0,40.0
1784662993.273883,78.124,1410,1512,0.0,0.0,44.0
1784662993.283888,78.124,1410,1512,0.0,0.0,44.0
1784662993.293885,78.124,1410,1512,0.0,0.0,44.0
1784662993.303884,78.124,1410,1512,0.0,0.0,44.0
1784662993.313884,78.124,1095,1512,0.0,0.0,44.0
1784662993.323886,78.124,1095,1512,0.0,0.0,44.0
1784662993.335528,354.211,1095,1512,0.0,0.0,44.0
1784662993.343885,354.211,1095,1512,0.0,0.0,44.0
1784662993.353884,354.211,1095,1512,45.0,18.0,44.0
1784662993.363885,354.211,1095,1512,45.0,18.0,44.0
1784662993.373885,354.211,1095,1512,45.0,18.0,44.0
1784662993.383886,354.211,1095,1512,45.0,18.0,44.0
1784662993.393883,354.211,1095,1512,45.0,18.0,44.0
1784662993.403886,354.211,1095,1512,45.0,18.0,44.0
1784662993.413883,354.211,1320,1512,45.0,18.0,44.0
1784662993.423885,354.211,1320,1512,45.0,18.0,44.0
1784662993.433899,237.233,1320,1512,45.0,18.0,44.0
1784662993.443885,237.233,1320,1512,45.0,18.0,44.0
1784662993.453886,237.233,1320,1512,45.0,18.0,44.0
1784662993.463885,237.233,1320,1512,45.0,18.0,44.0
1784662993.473884,237.233,1320,1512,45.0,18.0,44.0
1784662993.483886,237.233,1320,1512,45.0,18.0,44.0
1784662993.493885,237.233,1320,1512,45.0,18.0,44.0
1784662993.503884,237.233,1320,1512,45.0,18.0,44.0
1784662993.513883,237.233,1380,1512,45.0,18.0,44.0
1784662993.523883,237.233,1380,1512,45.0,18.0,44.0
1784662993.533887,300.083,1380,1512,45.0,18.0,44.0
1784662993.543884,300.083,1380,1512,45.0,18.0,44.0
1784662993.553885,300.083,1380,1512,91.0,64.0,44.0
1784662993.563884,300.083,1380,1512,91.0,64.0,44.0
1784662993.573875,300.083,1380,1512,91.0,64.0,44.0
1784662993.583883,300.083,1380,1512,91.0,64.0,44.0
1784662993.593884,300.083,1380,1512,91.0,64.0,44.0
1784662993.603884,300.083,1380,1512,91.0,64.0,44.0
1784662993.613886,300.083,1335,1512,91.0,64.0,44.0
1784662993.623886,300.083,1335,1512,91.0,64.0,44.0
1784662993.633885,292.402,1335,1512,91.0,64.0,44.0
1784662993.643883,292.402,1335,1512,91.0,64.0,44.0
1784662993.653886,292.402,1335,1512,91.0,64.0,44.0
1784662993.663884,292.402,1335,1512,91.0,64.0,44.0
1784662993.674377,292.402,1335,1512,91.0,64.0,44.0
1784662993.683873,292.402,1335,1512,91.0,64.0,44.0
1784662993.693883,292.402,1335,1512,91.0,64.0,44.0
1784662993.703885,292.402,1335,1512,91.0,64.0,44.0
1784662993.713995,292.402,1350,1512,91.0,64.0,44.0
1784662993.723883,292.402,1350,1512,91.0,64.0,44.0
1784662993.733884,301.110,1350,1512,91.0,64.0,44.0
1784662993.743885,301.110,1350,1512,91.0,64.0,44.0
1784662993.753883,301.110,1350,1512,92.0,74.0,44.0
1784662993.763873,301.110,1350,1512,92.0,74.0,44.0
1784662993.773882,301.110,1350,1512,92.0,74.0,45.0
1784662993.783876,301.110,1350,1512,92.0,74.0,45.0
1784662993.793885,301.110,1350,1512,92.0,74.0,45.0
1784662993.803874,301.110,1350,1512,92.0,74.0,45.0
1784662993.813872,301.110,1365,1512,92.0,74.0,45.0
1784662993.823874,301.110,1365,1512,92.0,74.0,45.0
1784662993.833874,305.513,1365,1512,92.0,74.0,45.0
1784662993.843967,305.513,1365,1512,92.0,74.0,45.0
1784662993.853872,305.513,1365,1512,92.0,74.0,45.0
1784662993.863873,305.513,1365,1512,92.0,74.0,45.0
1784662993.873874,305.513,1365,1512,92.0,74.0,45.0
1784662993.883874,305.513,1365,1512,92.0,74.0,45.0
1784662993.893873,305.513,1365,1512,92.0,74.0,45.0
1784662993.903873,305.513,1365,1512,92.0,74.0,45.0
1784662993.913871,305.513,1350,1512,92.0,74.0,45.0
1784662993.923871,305.513,1350,1512,92.0,74.0,45.0
1784662993.933872,287.180,1350,1512,92.0,74.0,45.0
1784662993.943871,287.180,1350,1512,92.0,74.0,45.0
1784662993.953871,287.180,1350,1512,92.0,75.0,45.0
1784662993.963872,287.180,1350,1512,92.0,75.0,45.0
1784662993.973871,287.180,1350,1512,92.0,75.0,45.0
1784662993.983871,287.180,1350,1512,92.0,75.0,45.0
1784662993.993871,287.180,1350,1512,92.0,75.0,45.0
1784662994.003871,287.180,1350,1512,92.0,75.0,45.0
1784662994.013870,287.180,1365,1512,92.0,75.0,45.0
1784662994.023871,287.180,1365,1512,92.0,75.0,45.0
1784662994.033874,287.180,1365,1512,92.0,75.0,45.0
1784662994.043870,303.040,1365,1512,92.0,75.0,45.0
1784662994.053873,303.040,1365,1512,92.0,75.0,45.0
1784662994.063872,303.040,1365,1512,92.0,75.0,45.0
1784662994.073886,303.040,1365,1512,92.0,75.0,45.0
1784662994.083882,303.040,1365,1512,92.0,75.0,45.0
1784662994.093882,303.040,1365,1512,92.0,75.0,45.0
1784662994.103884,303.040,1365,1512,92.0,75.0,45.0
1784662994.113883,303.040,1350,1512,92.0,75.0,45.0
1784662994.123885,303.040,1350,1512,92.0,75.0,45.0
1784662994.133883,303.040,1350,1512,92.0,75.0,45.0
1784662994.143882,307.381,1350,1512,92.0,75.0,45.0
1784662994.153884,307.381,1350,1512,91.0,75.0,45.0
1784662994.163882,307.381,1350,1512,91.0,75.0,45.0
1784662994.173883,307.381,1350,1512,91.0,75.0,45.0
1784662994.183883,307.381,1350,1512,91.0,75.0,45.0
1784662994.193883,307.381,1350,1512,91.0,75.0,45.0
1784662994.203886,307.381,1350,1512,91.0,75.0,45.0
1784662994.213884,307.381,1350,1512,91.0,75.0,45.0
1784662994.223883,307.381,1350,1512,91.0,75.0,45.0
1784662994.233884,307.381,1350,1512,91.0,75.0,45.0
1784662994.243885,292.888,1350,1512,91.0,75.0,45.0
1784662994.253883,292.888,1350,1512,91.0,75.0,45.0
1784662994.263882,292.888,1350,1512,91.0,75.0,45.0
1784662994.273881,292.888,1350,1512,91.0,75.0,45.0
1784662994.283884,292.888,1350,1512,91.0,75.0,45.0
1784662994.293884,292.888,1350,1512,91.0,75.0,45.0
1784662994.303884,292.888,1350,1512,91.0,75.0,45.0
1784662994.313882,292.888,1365,1512,91.0,75.0,45.0
1784662994.323885,292.888,1365,1512,91.0,75.0,45.0
1784662994.333883,292.888,1365,1512,91.0,75.0,45.0
1784662994.343882,285.514,1365,1512,91.0,75.0,45.0
1784662994.353882,285.514,1365,1512,92.0,75.0,45.0
1784662994.363883,285.514,1365,1512,92.0,75.0,45.0
1784662994.373886,285.514,1365,1512,92.0,75.0,45.0
1784662994.383885,285.514,1365,1512,92.0,75.0,45.0
1784662994.393883,285.514,1365,1512,92.0,75.0,45.0
1784662994.403884,285.514,1365,1512,92.0,75.0,45.0
1784662994.413883,285.514,1365,1512,92.0,75.0,45.0
1784662994.423882,285.514,1365,1512,92.0,75.0,45.0
1784662994.433883,285.514,1365,1512,92.0,75.0,45.0
1784662994.443882,314.098,1365,1512,92.0,75.0,45.0
1784662994.453885,314.098,1365,1512,92.0,75.0,45.0
1784662994.463883,314.098,1365,1512,92.0,75.0,45.0
1784662994.473884,314.098,1365,1512,92.0,75.0,45.0
1784662994.483916,314.098,1365,1512,92.0,75.0,45.0
1784662994.493886,314.098,1365,1512,92.0,75.0,45.0
1784662994.503882,314.098,1365,1512,92.0,75.0,45.0
1784662994.513882,314.098,1365,1512,92.0,75.0,45.0
1784662994.523883,314.098,1365,1512,92.0,75.0,45.0
1784662994.533883,314.098,1365,1512,92.0,75.0,45.0
1784662994.543885,298.886,1365,1512,92.0,75.0,45.0
1784662994.553884,298.886,1365,1512,91.0,74.0,45.0
1784662994.563882,298.886,1365,1512,91.0,74.0,45.0
1784662994.573882,298.886,1365,1512,91.0,74.0,45.0
1784662994.583884,298.886,1365,1512,91.0,74.0,45.0
1784662994.593882,298.886,1365,1512,91.0,74.0,45.0
1784662994.603884,298.886,1365,1512,91.0,74.0,45.0
1784662994.613882,298.886,1365,1512,91.0,74.0,45.0
1784662994.623884,298.886,1365,1512,91.0,74.0,45.0
1784662994.633884,298.886,1365,1512,91.0,74.0,45.0
1784662994.643883,300.394,1365,1512,91.0,74.0,45.0
1784662994.653882,300.394,1365,1512,91.0,74.0,45.0
1784662994.663884,300.394,1365,1512,91.0,74.0,45.0
1784662994.673882,300.394,1365,1512,91.0,74.0,45.0
1784662994.683882,300.394,1365,1512,91.0,74.0,45.0
1784662994.693883,300.394,1365,1512,91.0,74.0,45.0
1784662994.704123,300.394,1365,1512,91.0,74.0,45.0
1784662994.713884,300.394,1365,1512,91.0,74.0,45.0
1784662994.723884,300.394,1365,1512,91.0,74.0,45.0
1784662994.733883,300.394,1365,1512,91.0,74.0,45.0
1784662994.743882,288.836,1365,1512,91.0,74.0,45.0
1784662994.753883,288.836,1365,1512,92.0,75.0,45.0
1784662994.763883,288.836,1365,1512,92.0,75.0,45.0
1784662994.773882,288.836,1365,1512,92.0,75.0,45.0
1784662994.783882,288.836,1365,1512,92.0,75.0,45.0
1784662994.793882,288.836,1365,1512,92.0,75.0,45.0
1784662994.803887,288.836,1365,1512,92.0,75.0,45.0
1784662994.813883,288.836,1365,1512,92.0,75.0,45.0
1784662994.823883,288.836,1365,1512,92.0,75.0,45.0
1784662994.833883,288.836,1365,1512,92.0,75.0,45.0
1784662994.843882,302.943,1365,1512,92.0,75.0,45.0
1784662994.853883,302.943,1365,1512,92.0,75.0,45.0
1784662994.863882,302.943,1365,1512,92.0,75.0,45.0
1784662994.873883,302.943,1365,1512,92.0,75.0,46.0
1784662994.883883,302.943,1365,1512,92.0,75.0,46.0
1784662994.893884,302.943,1365,1512,92.0,75.0,46.0
1784662994.903882,302.943,1365,1512,92.0,75.0,46.0
1784662994.913883,302.943,1365,1512,92.0,75.0,46.0
1784662994.923882,302.943,1365,1512,92.0,75.0,46.0
1784662994.933882,302.943,1365,1512,92.0,75.0,46.0
1784662994.943882,296.962,1365,1512,92.0,75.0,46.0
1784662994.953883,296.962,1365,1512,92.0,75.0,46.0
1784662994.963882,296.962,1365,1512,92.0,75.0,46.0
1784662994.973883,296.962,1365,1512,92.0,75.0,46.0
1784662994.983883,296.962,1365,1512,92.0,75.0,46.0
1784662994.993883,296.962,1365,1512,92.0,75.0,46.0
1784662995.003882,296.962,1365,1512,92.0,75.0,46.0
1784662995.013881,296.962,1380,1512,92.0,75.0,46.0
1784662995.023883,296.962,1380,1512,92.0,75.0,46.0
1784662995.033883,296.962,1380,1512,92.0,75.0,46.0
1784662995.043884,301.994,1380,1512,92.0,75.0,46.0
1784662995.053883,301.994,1380,1512,92.0,75.0,46.0
1784662995.063883,301.994,1380,1512,92.0,75.0,46.0
1784662995.073883,301.994,1380,1512,92.0,75.0,46.0
1784662995.083884,301.994,1380,1512,92.0,75.0,46.0
1784662995.093882,301.994,1380,1512,92.0,75.0,46.0
1784662995.103882,301.994,1380,1512,92.0,75.0,46.0
1784662995.113882,301.994,1380,1512,92.0,75.0,46.0
1784662995.123884,301.994,1380,1512,92.0,75.0,46.0
1784662995.133884,301.994,1380,1512,92.0,75.0,46.0
1784662995.143884,297.272,1380,1512,92.0,75.0,46.0
1784662995.153882,297.272,1380,1512,92.0,75.0,46.0
1784662995.163882,297.272,1380,1512,92.0,76.0,46.0
1784662995.173883,297.272,1380,1512,92.0,76.0,46.0
1784662995.183882,297.272,1380,1512,92.0,76.0,46.0
1784662995.193882,297.272,1380,1512,92.0,76.0,46.0
1784662995.203882,297.272,1380,1512,92.0,76.0,46.0
1784662995.213884,297.272,1380,1512,92.0,76.0,46.0
1784662995.223882,297.272,1380,1512,92.0,76.0,46.0
1784662995.233882,297.272,1380,1512,92.0,76.0,46.0
1784662995.243882,293.811,1380,1512,92.0,76.0,46.0
1784662995.253883,293.811,1380,1512,92.0,76.0,46.0
1784662995.263882,293.811,1380,1512,92.0,76.0,46.0
1784662995.273883,293.811,1380,1512,92.0,76.0,46.0
1784662995.283882,293.811,1380,1512,92.0,76.0,46.0
1784662995.293883,293.811,1380,1512,92.0,76.0,46.0
1784662995.303883,293.811,1380,1512,92.0,76.0,46.0
1784662995.313872,293.811,1380,1512,92.0,76.0,46.0
1784662995.323882,293.811,1380,1512,92.0,76.0,46.0
1784662995.333871,293.811,1380,1512,92.0,76.0,46.0
1784662995.343883,290.226,1380,1512,92.0,76.0,46.0
1784662995.353872,290.226,1380,1512,92.0,76.0,46.0
1784662995.363871,290.226,1380,1512,93.0,76.0,46.0
1784662995.373872,290.226,1380,1512,93.0,76.0,46.0
1784662995.383872,290.226,1380,1512,93.0,76.0,46.0
1784662995.393873,290.226,1380,1512,93.0,76.0,46.0
1784662995.403872,290.226,1380,1512,93.0,76.0,46.0
1784662995.413872,290.226,1380,1512,93.0,76.0,46.0
1784662995.423872,290.226,1395,1512,93.0,76.0,46.0
1784662995.433872,290.226,1395,1512,93.0,76.0,46.0
1784662995.443872,307.189,1395,1512,93.0,76.0,46.0
1784662995.453872,307.189,1395,1512,93.0,76.0,46.0
1784662995.463872,307.189,1395,1512,93.0,76.0,46.0
1784662995.473871,307.189,1395,1512,93.0,76.0,46.0
1784662995.483871,307.189,1395,1512,93.0,76.0,46.0
1784662995.493871,307.189,1395,1512,93.0,76.0,46.0
1784662995.503871,307.189,1395,1512,93.0,76.0,46.0
1784662995.513871,307.189,1395,1512,93.0,76.0,46.0
1784662995.523872,307.189,1380,1512,93.0,76.0,46.0
1784662995.533871,307.189,1380,1512,93.0,76.0,46.0
1784662995.543873,307.096,1380,1512,93.0,76.0,46.0
1784662995.553871,307.096,1380,1512,93.0,76.0,46.0
1784662995.563874,307.096,1380,1512,93.0,75.0,46.0
1784662995.573871,307.096,1380,1512,93.0,75.0,46.0
1784662995.583871,307.096,1380,1512,93.0,75.0,46.0
1784662995.593871,307.096,1380,1512,93.0,75.0,46.0
1784662995.603873,307.096,1380,1512,93.0,75.0,46.0
1784662995.613840,307.096,1380,1512,93.0,75.0,46.0
1784662995.623871,307.096,1395,1512,93.0,75.0,46.0
1784662995.633872,307.096,1395,1512,93.0,75.0,46.0
1784662995.643885,297.040,1395,1512,93.0,75.0,46.0
1784662995.653884,297.040,1395,1512,93.0,75.0,46.0
1784662995.663885,297.040,1395,1512,93.0,75.0,46.0
1784662995.673882,297.040,1395,1512,93.0,75.0,46.0
1784662995.683870,297.040,1395,1512,93.0,75.0,46.0
1784662995.693875,297.040,1395,1512,93.0,75.0,46.0
1784662995.703883,297.040,1395,1512,93.0,75.0,46.0
1784662995.713884,297.040,1395,1512,93.0,75.0,46.0
1784662995.723872,297.040,1395,1512,93.0,75.0,46.0
1784662995.733885,297.040,1395,1512,93.0,75.0,46.0
1784662995.743884,299.364,1395,1512,93.0,75.0,46.0
1784662995.753885,299.364,1395,1512,93.0,75.0,46.0
1784662995.763882,299.364,1395,1512,93.0,75.0,46.0
1784662995.773870,299.364,1395,1512,93.0,75.0,46.0
1784662995.783882,299.364,1395,1512,93.0,75.0,46.0
1784662995.793883,299.364,1395,1512,93.0,75.0,46.0
1784662995.803882,299.364,1395,1512,93.0,75.0,46.0
1784662995.813872,299.364,1395,1512,93.0,75.0,46.0
1784662995.823884,299.364,1410,1512,93.0,75.0,46.0
1784662995.833876,299.364,1410,1512,93.0,75.0,46.0
1784662995.843883,296.831,1410,1512,93.0,75.0,46.0
1784662995.853882,296.831,1410,1512,93.0,75.0,46.0
1784662995.863872,296.831,1410,1512,93.0,75.0,46.0
1784662995.873883,296.831,1410,1512,93.0,75.0,46.0
1784662995.883886,296.831,1410,1512,93.0,75.0,46.0
1784662995.893883,296.831,1410,1512,93.0,75.0,46.0
1784662995.903872,296.831,1410,1512,93.0,75.0,46.0
1784662995.913884,296.831,1410,1512,93.0,75.0,46.0
1784662995.923885,296.831,1410,1512,93.0,75.0,46.0
1784662995.933882,296.831,1410,1512,93.0,75.0,46.0
1784662995.943884,310.108,1410,1512,93.0,75.0,46.0
1784662995.953883,310.108,1410,1512,93.0,75.0,46.0
1784662995.963885,310.108,1410,1512,93.0,75.0,46.0
1784662995.973884,310.108,1410,1512,93.0,75.0,46.0
1784662995.983883,310.108,1410,1512,93.0,75.0,46.0
1784662995.993992,310.108,1410,1512,93.0,75.0,46.0
1784662996.003885,310.108,1410,1512,93.0,75.0,46.0
1784662996.013883,310.108,1410,1512,93.0,75.0,46.0
1784662996.023882,310.108,1395,1512,93.0,75.0,46.0
1784662996.033871,310.108,1395,1512,93.0,75.0,46.0
1784662996.043883,289.459,1395,1512,93.0,75.0,46.0
1784662996.053885,289.459,1395,1512,93.0,75.0,46.0
1784662996.063883,289.459,1395,1512,93.0,75.0,46.0
1784662996.073871,289.459,1395,1512,93.0,75.0,46.0
1784662996.083884,289.459,1395,1512,93.0,75.0,46.0
1784662996.093883,289.459,1395,1512,93.0,75.0,46.0
