t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784663069.308247,77.543,1410,1512,0.0,0.0,40.0
1784663069.318309,77.543,1410,1512,0.0,0.0,40.0
1784663069.328307,77.543,1410,1512,0.0,0.0,40.0
1784663069.338307,77.543,1410,1512,0.0,0.0,40.0
1784663069.348316,77.543,1410,1512,0.0,0.0,40.0
1784663069.358308,77.543,1410,1512,0.0,0.0,40.0
1784663069.368313,80.699,1410,1512,0.0,0.0,40.0
1784663069.378314,80.699,1410,1512,0.0,0.0,40.0
1784663069.388312,80.699,1410,1512,0.0,0.0,40.0
1784663069.398313,80.699,1410,1512,0.0,0.0,40.0
1784663069.408311,80.699,1410,1512,0.0,0.0,42.0
1784663069.418308,80.699,1410,1512,0.0,0.0,42.0
1784663069.428311,80.699,1410,1512,0.0,0.0,42.0
1784663069.438313,80.699,1410,1512,0.0,0.0,42.0
1784663069.448313,80.699,1410,1512,0.0,0.0,42.0
1784663069.458314,80.699,1410,1512,0.0,0.0,42.0
1784663069.468325,282.337,1410,1512,0.0,0.0,42.0
1784663069.478322,282.337,1410,1512,0.0,0.0,42.0
1784663069.488324,282.337,1410,1512,0.0,0.0,42.0
1784663069.498312,282.337,1410,1512,0.0,0.0,42.0
1784663069.508488,282.337,1410,1512,0.0,0.0,43.0
1784663069.518326,282.337,1410,1512,0.0,0.0,43.0
1784663069.528325,282.337,1410,1512,0.0,0.0,43.0
1784663069.538328,282.337,1410,1512,0.0,0.0,43.0
1784663069.548315,282.337,1410,1512,0.0,0.0,43.0
1784663069.558324,282.337,1410,1512,0.0,0.0,43.0
1784663069.568323,290.310,1410,1512,0.0,0.0,43.0
1784663069.578310,290.310,1410,1512,0.0,0.0,43.0
1784663069.588330,290.310,1410,1512,0.0,0.0,43.0
1784663069.598329,290.310,1410,1512,0.0,0.0,43.0
1784663069.608324,290.310,1410,1512,0.0,0.0,44.0
1784663069.618326,290.310,1410,1512,0.0,0.0,44.0
1784663069.628325,290.310,1410,1512,0.0,0.0,44.0
1784663069.638323,290.310,1410,1512,0.0,0.0,44.0
1784663069.648323,290.310,1410,1512,0.0,0.0,44.0
1784663069.658310,290.310,1410,1512,0.0,0.0,44.0
1784663069.668312,290.310,1410,1512,0.0,0.0,44.0
1784663069.678328,288.645,1410,1512,0.0,0.0,44.0
1784663069.688326,288.645,1410,1512,88.0,75.0,44.0
1784663069.698325,288.645,1410,1512,88.0,75.0,44.0
1784663069.708327,288.645,1410,1512,88.0,75.0,44.0
1784663069.718324,288.645,1410,1512,88.0,75.0,44.0
1784663069.728323,288.645,1410,1512,88.0,75.0,44.0
1784663069.738312,288.645,1410,1512,88.0,75.0,44.0
1784663069.748312,288.645,1410,1512,88.0,75.0,44.0
1784663069.758330,288.645,1410,1512,88.0,75.0,44.0
1784663069.768327,288.645,1410,1512,88.0,75.0,44.0
1784663069.778324,296.364,1410,1512,88.0,75.0,44.0
1784663069.788326,296.364,1410,1512,88.0,75.0,44.0
1784663069.798324,296.364,1410,1512,88.0,75.0,44.0
1784663069.808322,296.364,1410,1512,88.0,75.0,44.0
1784663069.818311,296.364,1410,1512,88.0,75.0,44.0
1784663069.828310,296.364,1410,1512,88.0,75.0,44.0
1784663069.838329,296.364,1410,1512,88.0,75.0,44.0
1784663069.848328,296.364,1410,1512,88.0,75.0,44.0
1784663069.858325,296.364,1410,1512,88.0,75.0,44.0
1784663069.868326,294.026,1410,1512,88.0,75.0,44.0
1784663069.878325,294.026,1410,1512,88.0,75.0,44.0
1784663069.888323,294.026,1410,1512,95.0,82.0,44.0
1784663069.898311,294.026,1410,1512,95.0,82.0,44.0
1784663069.908311,294.026,1410,1512,95.0,82.0,44.0
1784663069.918327,294.026,1410,1512,95.0,82.0,44.0
1784663069.928328,294.026,1410,1512,95.0,82.0,44.0
1784663069.938326,294.026,1410,1512,95.0,82.0,44.0
1784663069.948325,294.026,1410,1512,95.0,82.0,44.0
1784663069.958326,294.026,1410,1512,95.0,82.0,44.0
1784663069.968323,294.527,1410,1512,95.0,82.0,44.0
1784663069.978321,294.527,1410,1512,95.0,82.0,44.0
1784663069.988312,294.527,1410,1512,95.0,82.0,44.0
1784663069.998325,294.527,1410,1512,95.0,82.0,44.0
1784663070.008328,294.527,1410,1512,95.0,82.0,44.0
1784663070.018327,294.527,1410,1512,95.0,82.0,44.0
1784663070.028323,294.527,1410,1512,95.0,82.0,44.0
1784663070.038324,294.527,1410,1512,95.0,82.0,44.0
1784663070.048323,294.527,1410,1512,95.0,82.0,44.0
1784663070.058323,294.527,1410,1512,95.0,82.0,44.0
1784663070.068311,294.527,1410,1512,95.0,82.0,44.0
1784663070.078324,290.804,1410,1512,95.0,82.0,44.0
1784663070.088329,290.804,1410,1512,95.0,82.0,44.0
1784663070.098329,290.804,1410,1512,94.0,81.0,44.0
1784663070.108324,290.804,1410,1512,94.0,81.0,44.0
1784663070.118324,290.804,1410,1512,94.0,81.0,44.0
1784663070.128326,290.804,1410,1512,94.0,81.0,44.0
1784663070.138323,290.804,1410,1512,94.0,81.0,44.0
1784663070.148311,290.804,1410,1512,94.0,81.0,44.0
1784663070.158458,290.804,1410,1512,94.0,81.0,44.0
1784663070.168325,290.804,1410,1512,94.0,81.0,44.0
1784663070.178327,292.480,1410,1512,94.0,81.0,44.0
1784663070.188325,292.480,1410,1512,94.0,81.0,44.0
1784663070.198324,292.480,1410,1512,94.0,81.0,44.0
1784663070.208325,292.480,1410,1512,94.0,81.0,44.0
1784663070.218323,292.480,1410,1512,94.0,81.0,44.0
1784663070.228311,292.480,1410,1512,94.0,81.0,44.0
1784663070.238312,292.480,1410,1512,94.0,81.0,44.0
1784663070.248323,292.480,1410,1512,94.0,81.0,44.0
1784663070.258327,292.480,1410,1512,94.0,81.0,44.0
1784663070.268327,292.480,1410,1512,94.0,81.0,44.0
1784663070.278323,300.474,1410,1512,94.0,81.0,44.0
1784663070.288324,300.474,1410,1512,94.0,81.0,44.0
1784663070.298323,300.474,1410,1512,94.0,81.0,44.0
1784663070.308311,300.474,1410,1512,94.0,81.0,44.0
1784663070.318311,300.474,1410,1512,94.0,81.0,45.0
1784663070.328325,300.474,1410,1512,94.0,81.0,45.0
1784663070.338327,300.474,1410,1512,94.0,81.0,45.0
1784663070.348327,300.474,1410,1512,94.0,81.0,45.0
1784663070.358323,300.474,1410,1512,94.0,81.0,45.0
1784663070.368324,300.474,1410,1512,94.0,81.0,45.0
1784663070.378325,295.194,1410,1512,94.0,81.0,45.0
1784663070.388311,295.194,1410,1512,94.0,81.0,45.0
1784663070.398311,295.194,1410,1512,94.0,81.0,45.0
1784663070.408325,295.194,1410,1512,94.0,81.0,45.0
1784663070.418323,295.194,1410,1512,94.0,81.0,45.0
1784663070.428325,295.194,1410,1512,94.0,81.0,45.0
1784663070.438324,295.194,1410,1512,94.0,81.0,45.0
1784663070.448322,295.194,1410,1512,94.0,81.0,45.0
1784663070.458310,295.194,1410,1512,94.0,81.0,45.0
1784663070.468440,295.194,1410,1512,94.0,81.0,45.0
1784663070.478325,296.378,1410,1512,94.0,81.0,45.0
1784663070.488324,296.378,1410,1512,94.0,81.0,45.0
1784663070.498323,296.378,1410,1512,95.0,82.0,45.0
1784663070.508326,296.378,1410,1512,95.0,82.0,45.0
1784663070.518326,296.378,1410,1512,95.0,82.0,45.0
1784663070.528321,296.378,1410,1512,95.0,82.0,45.0
1784663070.538312,296.378,1410,1512,95.0,82.0,45.0
1784663070.548311,296.378,1410,1512,95.0,82.0,45.0
1784663070.558324,296.378,1410,1512,95.0,82.0,45.0
1784663070.568323,296.378,1410,1512,95.0,82.0,45.0
1784663070.578325,293.343,1410,1512,95.0,82.0,45.0
1784663070.588325,293.343,1410,1512,95.0,82.0,45.0
1784663070.598325,293.343,1410,1512,95.0,82.0,45.0
1784663070.608323,293.343,1410,1512,95.0,82.0,45.0
1784663070.618312,293.343,1410,1512,95.0,82.0,45.0
1784663070.628311,293.343,1410,1512,95.0,82.0,45.0
1784663070.638325,293.343,1410,1512,95.0,82.0,45.0
1784663070.648314,293.343,1410,1512,95.0,82.0,45.0
1784663070.658313,293.343,1410,1512,95.0,82.0,45.0
1784663070.668311,293.343,1410,1512,95.0,82.0,45.0
1784663070.678312,289.346,1410,1512,95.0,82.0,45.0
1784663070.688322,289.346,1410,1512,95.0,82.0,45.0
1784663070.698311,289.346,1410,1512,93.0,81.0,45.0
1784663070.708314,289.346,1410,1512,93.0,81.0,45.0
1784663070.718313,289.346,1410,1512,93.0,81.0,45.0
1784663070.728313,289.346,1410,1512,93.0,81.0,45.0
1784663070.738314,289.346,1410,1512,93.0,81.0,45.0
1784663070.748311,289.346,1410,1512,93.0,81.0,45.0
1784663070.758315,289.346,1410,1512,93.0,81.0,45.0
1784663070.768313,289.346,1410,1512,93.0,81.0,45.0
1784663070.778310,288.456,1410,1512,93.0,81.0,45.0
1784663070.788312,288.456,1410,1512,93.0,81.0,45.0
1784663070.798315,288.456,1410,1512,93.0,81.0,45.0
1784663070.808313,288.456,1410,1512,93.0,81.0,45.0
1784663070.818313,288.456,1410,1512,93.0,81.0,45.0
1784663070.828312,288.456,1410,1512,93.0,81.0,45.0
1784663070.838312,288.456,1410,1512,93.0,81.0,45.0
1784663070.848312,288.456,1410,1512,93.0,81.0,45.0
1784663070.858313,288.456,1410,1512,93.0,81.0,45.0
1784663070.868311,288.456,1410,1512,93.0,81.0,45.0
1784663070.878314,286.014,1410,1512,93.0,81.0,45.0
1784663070.888312,286.014,1410,1512,93.0,81.0,45.0
1784663070.898311,286.014,1410,1512,95.0,81.0,45.0
1784663070.908312,286.014,1410,1512,95.0,81.0,45.0
1784663070.918310,286.014,1410,1512,95.0,81.0,45.0
1784663070.928316,286.014,1410,1512,95.0,81.0,45.0
1784663070.938311,286.014,1410,1512,95.0,81.0,45.0
1784663070.948310,286.014,1410,1512,95.0,81.0,45.0
1784663070.958313,286.014,1410,1512,95.0,81.0,45.0
1784663070.968314,286.014,1410,1512,95.0,81.0,45.0
1784663070.978312,295.533,1410,1512,95.0,81.0,45.0
1784663070.988312,295.533,1410,1512,95.0,81.0,45.0
1784663070.998324,295.533,1410,1512,95.0,81.0,45.0
1784663071.008324,295.533,1410,1512,95.0,81.0,45.0
1784663071.018308,295.533,1410,1512,95.0,81.0,45.0
