t_rel_s,measured_w,predicted_w
0.000,295.35,310.69
0.200,290.18,325.55
0.400,288.92,266.38
0.600,294.57,296.22
0.800,294.32,296.32
1.000,291.59,296.43
1.200,294.52,326.27
1.400,290.37,281.73
1.600,301.03,296.74
1.800,297.87,296.97
2.000,294.42,297.08
2.200,300.03,327.05
2.400,297.72,312.34
2.600,295.99,312.27
2.800,301.15,297.41
3.000,300.27,312.32
3.200,302.03,297.51
3.400,300.64,297.48
3.600,300.53,312.50
3.800,300.29,267.93
4.000,297.39,282.67
4.200,297.89,327.03
4.400,300.24,297.19
4.600,295.19,311.84
4.800,295.21,297.15
5.000,294.68,297.36
5.200,293.19,312.33
5.400,295.63,282.57
5.600,294.09,282.57
5.800,296.22,297.56
6.000,295.74,312.22
6.200,304.39,297.47
6.400,296.70,282.61
6.600,297.59,312.34
6.800,308.88,252.65
7.000,301.34,327.28
7.200,298.01,297.37
7.400,297.20,312.37
7.600,297.97,267.63
7.800,297.43,297.66
8.000,303.93,282.86
8.200,293.58,297.72
8.400,297.50,282.61
8.600,298.87,297.59
8.800,298.81,312.58
9.000,298.17,312.67
9.200,307.49,282.70
9.400,300.56,282.72
9.600,294.89,282.77
9.800,289.22,148.38
10.000,296.72,432.09
10.200,299.63,282.76
10.400,294.55,282.96
10.600,295.70,297.99
10.800,300.31,297.56
11.000,297.66,327.13
11.200,297.98,297.39
11.400,300.45,312.40
11.600,295.09,297.35
11.800,287.01,312.29
12.000,297.84,297.25
12.200,302.73,282.33
12.400,299.84,312.16
12.600,297.23,297.20
12.800,291.76,311.85
13.000,294.60,297.02
13.200,294.77,311.81
13.400,293.51,311.74
13.600,296.64,282.09
13.800,307.53,297.08
14.000,295.63,326.88
14.200,297.34,326.69
14.400,301.09,326.66
14.600,298.48,297.01
14.800,297.06,312.00
15.000,296.37,297.16
15.200,295.22,282.27
15.400,295.59,311.79
15.600,298.57,296.75
15.800,293.21,266.92
16.000,293.92,311.55
16.200,294.96,296.91
16.400,299.67,267.31
16.600,298.42,282.17
16.800,301.12,312.08
17.000,302.88,282.23
17.200,296.03,282.19
17.400,296.19,297.29
17.600,305.80,267.67
17.800,296.77,312.70
18.000,299.13,327.89
18.200,313.46,283.15
