t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784662725.989710,73.001,1410,1512,0.0,0.0,34.0
1784662725.999788,73.001,1410,1512,0.0,0.0,34.0
1784662726.009736,73.001,1410,1512,0.0,0.0,34.0
1784662726.019789,73.001,1410,1512,0.0,0.0,34.0
1784662726.029791,73.001,1410,1512,0.0,0.0,34.0
1784662726.039790,73.001,1410,1512,0.0,0.0,34.0
1784662726.049994,76.455,1410,1512,0.0,0.0,34.0
1784662726.059992,76.455,1410,1512,0.0,0.0,34.0
1784662726.069990,76.455,1410,1512,0.0,0.0,34.0
1784662726.079988,76.455,1410,1512,0.0,0.0,34.0
1784662726.089989,76.455,1410,1512,0.0,0.0,34.0
1784662726.099991,76.455,1410,1512,0.0,0.0,34.0
1784662726.109734,76.455,1410,1512,0.0,0.0,34.0
1784662726.119990,76.455,1410,1512,0.0,0.0,34.0
1784662726.129993,76.455,1410,1512,0.0,0.0,34.0
1784662726.139993,76.455,1410,1512,0.0,0.0,34.0
1784662726.149990,73.774,1410,1512,0.0,0.0,34.0
1784662726.159992,73.774,1410,1512,0.0,0.0,34.0
1784662726.169992,73.774,1410,1512,0.0,0.0,34.0
1784662726.179994,73.774,1410,1512,0.0,0.0,34.0
1784662726.189991,73.774,1410,1512,0.0,0.0,34.0
1784662726.199992,73.774,1410,1512,0.0,0.0,34.0
1784662726.209738,73.774,1410,1512,0.0,0.0,34.0
1784662726.219992,73.774,1410,1512,0.0,0.0,34.0
1784662726.229786,73.774,1410,1512,0.0,0.0,34.0
1784662726.239992,73.774,1410,1512,0.0,0.0,34.0
1784662726.249990,73.787,1410,1512,0.0,0.0,34.0
1784662726.259990,73.787,1410,1512,0.0,0.0,34.0
1784662726.269784,73.787,1410,1512,0.0,0.0,34.0
1784662726.279991,73.787,1410,1512,0.0,0.0,34.0
1784662726.289991,73.787,1410,1512,0.0,0.0,34.0
1784662726.299990,73.787,1410,1512,0.0,0.0,34.0
1784662726.309736,73.787,1410,1512,0.0,0.0,34.0
1784662726.319991,73.787,1410,1512,0.0,0.0,34.0
1784662726.329990,73.787,1410,1512,0.0,0.0,34.0
1784662726.339992,73.787,1410,1512,0.0,0.0,34.0
1784662726.349991,73.417,1410,1512,0.0,0.0,34.0
1784662726.359992,73.417,1410,1512,0.0,0.0,34.0
1784662726.369991,73.417,1410,1512,0.0,0.0,34.0
1784662726.379991,73.417,1410,1512,0.0,0.0,34.0
1784662726.389991,73.417,1410,1512,0.0,0.0,34.0
1784662726.399991,73.417,1410,1512,0.0,0.0,34.0
1784662726.409735,73.417,1410,1512,0.0,0.0,34.0
1784662726.419989,73.417,1410,1512,0.0,0.0,34.0
1784662726.429807,73.417,1410,1512,0.0,0.0,34.0
1784662726.439996,73.417,1410,1512,0.0,0.0,34.0
1784662726.449992,73.891,1410,1512,0.0,0.0,34.0
1784662726.459991,73.891,1410,1512,0.0,0.0,34.0
1784662726.469990,73.891,1410,1512,0.0,0.0,34.0
