t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784663142.142861,77.136,1410,1512,0.0,0.0,40.0
1784663142.152926,77.136,1410,1512,0.0,0.0,40.0
1784663142.162923,77.136,1410,1512,0.0,0.0,40.0
1784663142.172939,77.136,1410,1512,0.0,0.0,40.0
1784663142.182943,77.136,1410,1512,0.0,0.0,40.0
1784663142.192937,77.136,1410,1512,0.0,0.0,40.0
1784663142.202937,79.920,1410,1512,0.0,0.0,40.0
1784663142.212937,79.920,1410,1512,0.0,0.0,40.0
1784663142.222935,79.920,1410,1512,0.0,0.0,40.0
1784663142.232939,79.920,1410,1512,0.0,0.0,40.0
1784663142.242940,79.920,1410,1512,0.0,0.0,42.0
1784663142.252937,79.920,1410,1512,0.0,0.0,42.0
1784663142.262941,79.920,1410,1512,0.0,0.0,42.0
1784663142.272939,79.920,1410,1512,0.0,0.0,42.0
1784663142.282937,79.920,1410,1512,0.0,0.0,42.0
1784663142.292936,79.920,1410,1512,0.0,0.0,42.0
1784663142.302936,290.329,1410,1512,0.0,0.0,42.0
1784663142.312939,290.329,1410,1512,0.0,0.0,42.0
1784663142.322939,290.329,1410,1512,41.0,35.0,42.0
1784663142.332939,290.329,1410,1512,41.0,35.0,42.0
1784663142.342940,290.329,1410,1512,41.0,35.0,43.0
1784663142.352938,290.329,1410,1512,41.0,35.0,43.0
1784663142.362937,290.329,1410,1512,41.0,35.0,43.0
1784663142.372936,290.329,1410,1512,41.0,35.0,43.0
1784663142.382937,290.329,1410,1512,41.0,35.0,43.0
1784663142.392939,290.329,1410,1512,41.0,35.0,43.0
1784663142.402939,291.017,1410,1512,41.0,35.0,43.0
1784663142.412940,291.017,1410,1512,41.0,35.0,43.0
1784663142.422937,291.017,1410,1512,41.0,35.0,43.0
1784663142.432939,291.017,1410,1512,41.0,35.0,43.0
1784663142.442938,291.017,1410,1512,41.0,35.0,43.0
1784663142.452937,291.017,1410,1512,41.0,35.0,43.0
1784663142.462934,291.017,1410,1512,41.0,35.0,43.0
1784663142.472941,291.017,1410,1512,41.0,35.0,43.0
1784663142.482938,291.017,1410,1512,41.0,35.0,43.0
1784663142.492938,291.017,1410,1512,41.0,35.0,43.0
1784663142.502938,291.404,1410,1512,41.0,35.0,43.0
1784663142.512942,291.404,1410,1512,41.0,35.0,43.0
1784663142.522938,291.404,1410,1512,94.0,82.0,43.0
1784663142.532936,291.404,1410,1512,94.0,82.0,43.0
1784663142.542936,291.404,1410,1512,94.0,82.0,44.0
1784663142.552935,291.404,1410,1512,94.0,82.0,44.0
1784663142.562937,291.404,1410,1512,94.0,82.0,44.0
1784663142.572938,291.404,1410,1512,94.0,82.0,44.0
1784663142.582937,291.404,1410,1512,94.0,82.0,44.0
1784663142.592938,291.404,1410,1512,94.0,82.0,44.0
1784663142.602937,291.808,1410,1512,94.0,82.0,44.0
1784663142.612937,291.808,1410,1512,94.0,82.0,44.0
1784663142.622937,291.808,1410,1512,94.0,82.0,44.0
1784663142.632937,291.808,1410,1512,94.0,82.0,44.0
1784663142.642939,291.808,1410,1512,94.0,82.0,44.0
1784663142.652938,291.808,1410,1512,94.0,82.0,44.0
1784663142.662939,291.808,1410,1512,94.0,82.0,44.0
1784663142.672936,291.808,1410,1512,94.0,82.0,44.0
1784663142.682936,291.808,1410,1512,94.0,82.0,44.0
1784663142.692937,291.808,1410,1512,94.0,82.0,44.0
1784663142.702938,293.746,1410,1512,94.0,82.0,44.0
1784663142.712935,293.746,1410,1512,94.0,82.0,44.0
1784663142.722940,293.746,1410,1512,95.0,82.0,44.0
1784663142.732938,293.746,1410,1512,95.0,82.0,44.0
1784663142.742941,293.746,1410,1512,95.0,82.0,44.0
1784663142.752938,293.746,1410,1512,95.0,82.0,44.0
1784663142.762939,293.746,1410,1512,95.0,82.0,44.0
1784663142.772938,293.746,1410,1512,95.0,82.0,44.0
1784663142.782935,293.746,1410,1512,95.0,82.0,44.0
1784663142.792936,293.746,1410,1512,95.0,82.0,44.0
1784663142.802940,295.689,1410,1512,95.0,82.0,44.0
1784663142.812938,295.689,1410,1512,95.0,82.0,44.0
1784663142.822939,295.689,1410,1512,95.0,82.0,44.0
1784663142.832937,295.689,1410,1512,95.0,82.0,44.0
1784663142.842936,295.689,1410,1512,95.0,82.0,44.0
1784663142.852937,295.689,1410,1512,95.0,82.0,44.0
1784663142.862938,295.689,1410,1512,95.0,82.0,44.0
1784663142.872935,295.689,1410,1512,95.0,82.0,44.0
1784663142.882934,295.689,1410,1512,95.0,82.0,44.0
1784663142.892941,295.689,1410,1512,95.0,82.0,44.0
1784663142.902937,293.851,1410,1512,95.0,82.0,44.0
1784663142.912937,293.851,1410,1512,95.0,82.0,44.0
1784663142.922935,293.851,1410,1512,95.0,82.0,44.0
1784663142.932939,293.851,1410,1512,95.0,82.0,44.0
1784663142.942937,293.851,1410,1512,95.0,82.0,44.0
1784663142.952936,293.851,1410,1512,95.0,82.0,44.0
1784663142.962935,293.851,1410,1512,95.0,82.0,44.0
1784663142.972939,293.851,1410,1512,95.0,82.0,44.0
1784663142.982937,293.851,1410,1512,95.0,82.0,44.0
1784663142.992937,293.851,1410,1512,95.0,82.0,44.0
1784663143.002937,293.742,1410,1512,95.0,82.0,44.0
1784663143.012939,293.742,1410,1512,95.0,82.0,44.0
1784663143.022938,293.742,1410,1512,95.0,82.0,44.0
1784663143.032937,293.742,1410,1512,95.0,82.0,44.0
1784663143.042936,293.742,1410,1512,95.0,82.0,44.0
1784663143.052940,293.742,1410,1512,95.0,82.0,44.0
1784663143.062937,293.742,1410,1512,95.0,82.0,44.0
1784663143.072938,293.742,1410,1512,95.0,82.0,44.0
1784663143.082936,293.742,1410,1512,95.0,82.0,44.0
1784663143.092935,293.742,1410,1512,95.0,82.0,44.0
1784663143.102937,291.501,1410,1512,95.0,82.0,44.0
1784663143.112936,291.501,1410,1512,95.0,82.0,44.0
1784663143.122936,291.501,1410,1512,94.0,82.0,44.0
1784663143.132934,291.501,1410,1512,94.0,82.0,44.0
1784663143.142928,291.501,1410,1512,94.0,82.0,44.0
1784663143.152937,291.501,1410,1512,94.0,82.0,44.0
1784663143.162926,291.501,1410,1512,94.0,82.0,44.0
1784663143.172935,291.501,1410,1512,94.0,82.0,44.0
1784663143.182926,291.501,1410,1512,94.0,82.0,44.0
1784663143.192926,291.501,1410,1512,94.0,82.0,44.0
1784663143.202925,288.648,1410,1512,94.0,82.0,44.0
1784663143.212924,288.648,1410,1512,94.0,82.0,44.0
1784663143.222928,288.648,1410,1512,94.0,82.0,44.0
1784663143.232927,288.648,1410,1512,94.0,82.0,44.0
1784663143.242927,288.648,1410,1512,94.0,82.0,45.0
1784663143.252925,288.648,1410,1512,94.0,82.0,45.0
1784663143.262925,288.648,1410,1512,94.0,82.0,45.0
1784663143.272927,288.648,1410,1512,94.0,82.0,45.0
1784663143.282925,288.648,1410,1512,94.0,82.0,45.0
1784663143.292925,288.648,1410,1512,94.0,82.0,45.0
1784663143.302926,288.648,1410,1512,94.0,82.0,45.0
1784663143.312928,299.004,1410,1512,94.0,82.0,45.0
1784663143.322926,299.004,1410,1512,95.0,82.0,45.0
1784663143.332926,299.004,1410,1512,95.0,82.0,45.0
1784663143.342925,299.004,1410,1512,95.0,82.0,45.0
1784663143.352925,299.004,1410,1512,95.0,82.0,45.0
1784663143.362925,299.004,1410,1512,95.0,82.0,45.0
1784663143.372924,299.004,1410,1512,95.0,82.0,45.0
1784663143.382987,299.004,1410,1512,95.0,82.0,45.0
1784663143.392927,299.004,1410,1512,95.0,82.0,45.0
1784663143.402926,296.583,1410,1512,95.0,82.0,45.0
1784663143.412926,296.583,1410,1512,95.0,82.0,45.0
1784663143.422927,296.583,1410,1512,95.0,82.0,45.0
1784663143.432926,296.583,1410,1512,95.0,82.0,45.0
1784663143.442944,296.583,1410,1512,95.0,82.0,45.0
1784663143.452923,296.583,1410,1512,95.0,82.0,45.0
1784663143.462921,296.583,1410,1512,95.0,82.0,45.0
1784663143.472940,296.583,1410,1512,95.0,82.0,45.0
1784663143.482930,296.583,1410,1512,95.0,82.0,45.0
1784663143.492939,296.583,1410,1512,95.0,82.0,45.0
1784663143.502938,296.583,1410,1512,95.0,82.0,45.0
1784663143.512935,296.492,1410,1512,95.0,82.0,45.0
1784663143.522923,296.492,1410,1512,95.0,82.0,45.0
1784663143.532923,296.492,1410,1512,95.0,82.0,45.0
1784663143.542922,296.492,1410,1512,95.0,82.0,45.0
1784663143.552940,296.492,1410,1512,95.0,82.0,45.0
1784663143.562942,296.492,1410,1512,95.0,82.0,45.0
1784663143.572938,296.492,1410,1512,95.0,82.0,45.0
1784663143.582938,296.492,1410,1512,95.0,82.0,45.0
1784663143.592936,296.492,1410,1512,95.0,82.0,45.0
1784663143.602924,290.233,1410,1512,95.0,82.0,45.0
1784663143.612922,290.233,1410,1512,95.0,82.0,45.0
1784663143.622939,290.233,1410,1512,95.0,82.0,45.0
1784663143.632938,290.233,1410,1512,95.0,82.0,45.0
1784663143.642942,290.233,1410,1512,95.0,82.0,45.0
1784663143.652937,290.233,1410,1512,95.0,82.0,45.0
1784663143.662938,290.233,1410,1512,95.0,82.0,45.0
1784663143.672923,290.233,1410,1512,95.0,82.0,45.0
1784663143.682922,290.233,1410,1512,95.0,82.0,45.0
1784663143.692941,290.233,1410,1512,95.0,82.0,45.0
1784663143.702942,290.233,1410,1512,95.0,82.0,45.0
1784663143.712940,287.861,1410,1512,95.0,82.0,45.0
1784663143.722939,287.861,1410,1512,94.0,80.0,45.0
1784663143.732937,287.861,1410,1512,94.0,80.0,45.0
1784663143.742936,287.861,1410,1512,94.0,80.0,45.0
1784663143.752936,287.861,1410,1512,94.0,80.0,45.0
1784663143.762935,287.861,1410,1512,94.0,80.0,45.0
1784663143.772943,287.861,1410,1512,94.0,80.0,45.0
1784663143.782941,287.861,1410,1512,94.0,80.0,45.0
1784663143.792938,287.861,1410,1512,94.0,80.0,45.0
1784663143.802938,287.861,1410,1512,94.0,80.0,45.0
1784663143.812938,292.575,1410,1512,94.0,80.0,45.0
1784663143.822936,292.575,1410,1512,94.0,80.0,45.0
1784663143.832937,292.575,1410,1512,94.0,80.0,45.0
1784663143.842939,292.575,1410,1512,94.0,80.0,45.0
1784663143.852941,292.575,1410,1512,94.0,80.0,45.0
1784663143.862940,292.575,1410,1512,94.0,80.0,45.0
1784663143.872938,292.575,1410,1512,94.0,80.0,45.0
1784663143.882937,292.575,1410,1512,94.0,80.0,45.0
1784663143.892938,292.575,1410,1512,94.0,80.0,45.0
1784663143.902936,292.575,1410,1512,94.0,80.0,45.0
1784663143.912940,290.603,1410,1512,94.0,80.0,45.0
1784663143.922938,290.603,1410,1512,95.0,80.0,45.0
1784663143.932936,290.603,1410,1512,95.0,80.0,45.0
1784663143.942941,290.603,1410,1512,95.0,80.0,45.0
1784663143.952937,290.603,1410,1512,95.0,80.0,45.0
1784663143.962936,290.603,1410,1512,95.0,80.0,45.0
1784663143.972936,290.603,1410,1512,95.0,80.0,45.0
1784663143.982936,290.603,1410,1512,95.0,80.0,45.0
1784663143.992938,290.603,1410,1512,95.0,80.0,45.0
1784663144.002939,290.603,1410,1512,95.0,80.0,45.0
