t_rel_s,measured_w,predicted_w
0.000,285.90,233.00
0.200,261.07,299.43
0.400,290.82,299.49
0.600,288.91,286.27
0.800,291.74,299.59
1.000,296.40,285.94
1.200,292.12,299.27
1.400,293.43,299.33
1.600,294.56,299.39
1.800,287.96,299.45
2.000,290.37,299.51
2.200,290.03,299.58
2.400,291.58,286.15
2.600,291.23,299.46
2.800,290.77,299.53
3.000,290.89,285.94
3.200,291.06,299.10
3.400,293.48,299.16
3.600,294.64,299.22
3.800,293.54,299.29
4.000,289.17,285.89
4.200,292.08,299.20
4.400,291.43,299.26
4.600,292.88,299.33
4.800,292.59,299.39
5.000,294.70,299.45
5.200,296.70,299.51
5.400,291.17,286.11
5.600,291.81,286.10
5.800,292.32,299.44
6.000,293.39,272.79
6.200,295.28,299.28
6.400,293.12,299.34
6.600,294.17,299.40
6.800,295.60,299.47
7.000,291.79,286.07
7.200,292.10,299.34
7.400,290.90,299.40
7.600,292.68,299.46
7.800,292.02,299.52
8.000,293.51,299.58
8.200,293.25,299.64
8.400,293.48,286.30
8.600,292.35,299.53
8.800,293.16,286.21
9.000,293.88,259.52
9.200,285.74,299.36
9.400,290.27,299.42
9.600,294.27,299.48
9.800,294.26,299.54
10.000,295.71,286.22
10.200,294.79,299.44
10.400,294.77,286.21
10.600,295.54,299.56
10.800,295.08,299.62
11.000,295.46,299.68
11.200,295.79,299.74
11.400,295.39,273.17
11.600,278.74,299.90
11.800,291.53,299.93
12.000,294.30,286.48
12.200,312.84,206.84
12.400,271.00,286.97
12.600,294.58,300.36
12.800,291.26,300.43
13.000,296.92,300.49
13.200,294.77,273.68
13.400,291.71,300.37
13.600,295.20,300.43
13.800,292.29,300.49
14.000,295.06,287.20
14.200,294.08,300.61
14.400,293.40,300.67
14.600,296.15,220.55
14.800,241.15,287.71
15.000,286.71,301.12
15.200,290.70,180.75
15.400,286.39,287.27
15.600,294.59,300.17
15.800,292.80,300.23
16.000,291.90,286.96
16.200,294.05,300.35
16.400,293.58,286.91
16.600,293.76,220.27
16.800,293.79,366.94
17.000,292.51,300.36
17.200,293.56,300.43
17.400,294.33,300.49
17.600,293.75,287.20
17.800,294.38,273.56
18.000,288.20,299.73
18.200,293.69,286.40
18.400,294.96,286.02
18.600,295.81,299.19
18.800,296.17,299.25
19.000,296.07,299.31
19.200,296.87,299.38
19.400,295.69,286.08
19.600,289.66,299.32
19.800,295.36,299.38
20.000,297.38,299.45
20.200,295.15,299.51
20.400,294.10,299.57
20.600,294.62,299.63
20.800,295.70,273.04
21.000,289.58,299.47
21.200,293.06,299.51
21.400,308.23,286.16
21.600,298.70,286.01
21.800,295.58,286.07
22.000,295.17,299.41
22.200,296.26,299.47
22.400,296.59,286.19
22.600,297.53,299.29
22.800,297.01,299.35
23.000,295.12,299.41
23.200,294.93,299.47
23.400,295.00,299.54
23.600,296.01,299.60
23.800,296.72,299.64
24.000,296.21,286.14
24.200,295.54,299.48
24.400,295.80,285.97
24.600,295.78,285.78
24.800,297.08,299.06
25.000,297.69,299.12
25.200,296.90,299.19
25.400,295.51,299.22
25.600,294.62,285.83
25.800,294.99,285.86
26.000,293.28,299.17
26.200,290.96,299.23
26.400,294.60,286.02
26.600,296.07,299.36
26.800,297.40,299.42
27.000,297.94,286.01
27.200,298.33,299.31
27.400,297.34,299.38
27.600,297.59,286.06
27.800,287.03,299.37
28.000,294.45,299.44
28.200,294.72,299.50
28.400,296.75,299.56
28.600,325.11,126.79
28.800,302.79,286.13
29.000,287.14,286.09
29.200,282.82,299.27
29.400,297.02,285.92
29.600,299.96,285.97
29.800,296.44,299.30
30.000,296.12,299.37
30.200,295.90,299.43
30.400,296.45,299.49
30.600,297.21,299.55
30.800,297.26,286.06
31.000,298.03,299.34
31.200,298.40,299.40
31.400,299.86,299.46
31.600,300.78,299.52
31.800,297.90,286.09
32.000,296.46,286.08
32.200,299.60,299.17
32.400,285.07,272.59
32.600,282.70,299.19
32.800,294.89,299.25
33.000,296.82,285.99
33.200,298.95,299.20
33.400,298.02,299.26
33.600,297.74,299.32
33.800,303.23,285.99
34.000,298.51,299.25
34.200,297.02,299.31
34.400,297.02,299.37
34.600,296.12,299.43
34.800,297.17,286.05
35.000,296.17,299.32
35.200,295.44,285.89
35.400,297.48,299.22
35.600,297.58,299.28
35.800,297.84,299.34
36.000,299.12,286.09
36.200,301.03,299.21
36.400,299.90,299.27
36.600,296.32,299.33
36.800,294.89,285.99
37.000,294.86,299.19
37.200,296.59,299.25
37.400,297.59,299.32
37.600,298.12,286.10
37.800,298.40,286.02
38.000,298.41,285.98
38.200,290.58,285.93
38.400,287.87,299.26
38.600,300.38,299.33
38.800,300.57,299.39
39.000,298.49,299.45
39.200,293.54,286.02
39.400,296.98,299.36
39.600,297.01,286.14
39.800,297.21,286.14
40.000,298.42,299.29
40.200,298.30,299.36
40.400,299.18,299.42
40.600,300.57,299.48
40.800,299.19,299.54
41.000,297.10,259.70
41.200,256.14,273.12
41.400,294.43,299.61
41.600,297.73,299.67
41.800,297.58,299.73
42.000,296.65,299.80
42.200,288.34,273.19
42.400,286.33,299.85
42.600,298.40,299.91
42.800,300.39,299.97
43.000,301.76,273.22
43.200,298.17,299.87
43.400,297.30,299.93
43.600,298.45,300.00
43.800,298.50,300.06
44.000,299.01,300.12
44.200,300.12,272.91
44.400,299.39,299.27
44.600,297.82,299.33
44.800,298.29,299.39
45.000,298.70,299.45
45.200,300.27,299.34
45.400,295.85,299.13
45.600,293.07,285.91
45.800,294.28,299.22
46.000,293.60,299.08
46.200,292.45,299.04
46.400,291.44,299.07
46.600,289.58,299.10
46.800,289.91,299.14
47.000,290.91,299.17
47.189,291.84,313.11
