t_rel_s,measured_w,predicted_w
0.000,301.52,328.84
0.200,290.00,328.88
0.400,319.79,249.35
0.600,311.44,297.75
0.800,297.16,313.92
1.000,290.33,298.13
1.200,294.71,346.45
1.400,293.02,266.25
1.600,289.07,330.55
1.800,304.42,298.71
2.000,294.12,298.93
2.200,279.67,331.74
2.400,284.92,332.03
2.600,302.12,316.16
2.800,296.77,284.17
3.000,270.49,316.71
3.200,300.32,219.85
3.400,241.37,317.84
3.600,288.32,236.67
3.800,295.45,188.16
4.000,273.37,286.22
4.200,285.53,335.29
4.400,294.21,302.27
4.600,292.56,334.85
4.800,296.88,302.06
5.000,296.14,301.94
5.200,294.81,301.97
5.400,294.36,301.92
5.600,296.68,301.86
5.800,297.74,301.96
6.000,300.30,285.97
6.200,296.75,318.90
6.400,308.63,138.98
6.600,280.55,269.86
6.800,304.13,285.74
7.000,296.11,317.90
7.200,296.77,285.11
7.400,291.00,332.78
7.600,293.44,284.06
7.800,294.84,316.68
8.000,301.36,300.69
8.200,299.65,316.98
8.400,285.21,268.38
8.600,286.28,316.83
8.800,273.98,268.45
9.000,283.47,333.15
9.200,295.21,284.58
9.400,277.84,301.08
9.600,296.51,284.59
9.800,289.46,155.06
10.000,275.05,285.91
10.200,291.66,285.70
10.400,294.85,301.95
10.600,299.20,318.67
10.800,297.81,319.06
11.000,293.56,302.56
11.200,289.28,302.28
11.400,296.48,302.55
11.600,297.64,335.23
11.800,306.00,286.06
12.000,284.57,285.86
12.200,301.27,318.10
12.400,295.90,301.82
12.600,298.28,318.44
12.800,299.39,317.91
13.000,293.18,301.36
13.200,294.68,332.03
13.400,304.59,266.67
13.600,275.51,251.26
13.800,277.75,332.27
14.000,295.20,332.34
14.200,304.22,332.45
14.400,299.49,316.13
14.600,301.26,315.89
14.800,281.01,300.10
15.000,288.51,251.86
15.200,271.32,300.60
15.400,278.58,300.44
15.600,304.21,267.86
15.800,327.12,284.76
16.000,280.14,301.18
16.200,315.31,220.19
16.400,281.53,269.60
16.600,298.28,335.29
16.800,302.02,286.40
17.000,292.31,285.32
17.200,299.81,285.43
17.400,316.99,171.66
17.600,303.95,123.38
17.800,256.98,305.86
18.000,301.21,273.03
18.200,295.07,306.34
18.400,303.34,223.36
18.600,282.69,289.67
18.800,297.95,322.75
19.000,300.77,272.58
19.200,298.76,223.01
19.400,294.44,223.08
19.600,299.82,305.80
19.800,297.08,305.60
20.000,298.89,255.97
20.200,316.49,90.36
20.400,281.58,207.95
20.600,280.70,291.37
20.800,301.24,274.97
21.000,301.86,291.87
21.200,298.94,308.57
21.400,294.00,291.63
21.600,295.41,289.32
21.800,323.84,238.68
22.000,286.44,255.26
22.200,299.07,238.96
22.400,297.96,255.45
22.600,295.56,123.62
22.800,278.51,273.87
23.000,285.04,241.06
23.200,289.65,241.36
23.400,295.19,307.69
23.600,306.92,273.91
23.800,299.24,273.78
24.000,298.45,307.52
24.200,301.04,273.94
24.400,292.61,287.85
24.600,296.43,156.23
24.800,290.35,90.44
25.000,294.68,258.33
25.200,297.67,292.29
25.400,301.06,275.91
25.600,300.87,259.19
25.800,291.23,276.17
26.000,295.86,225.65
26.200,291.48,225.66
26.400,292.44,292.78
26.600,296.81,292.83
26.800,301.61,240.48
27.000,315.77,207.56
27.200,303.11,290.80
27.400,306.43,323.58
27.600,297.34,290.38
27.800,299.12,290.35
28.000,299.92,307.39
28.200,297.71,324.27
28.400,298.02,307.54
28.600,298.61,305.40
28.800,287.99,302.58
29.000,291.87,286.24
29.200,282.61,319.19
29.400,298.29,335.25
29.600,292.85,269.92
29.800,296.24,187.91
30.000,290.26,302.25
30.200,305.95,285.80
30.400,303.22,269.30
30.600,287.73,332.80
30.800,299.71,300.35
31.000,306.15,316.73
31.200,303.30,300.60
31.400,301.54,316.77
31.600,328.51,236.14
31.800,288.72,285.03
32.000,283.48,334.43
32.200,288.80,252.82
32.400,288.85,285.10
32.600,291.21,317.53
32.800,299.89,269.12
33.000,293.73,301.68
33.200,298.21,333.61
33.400,302.58,300.17
33.600,295.56,316.18
33.800,299.93,332.05
34.000,317.71,283.81
34.200,304.76,316.30
34.400,298.17,284.22
34.600,292.77,316.76
34.800,292.07,333.04
35.000,295.68,283.85
35.200,290.84,251.88
35.400,317.25,252.35
35.600,285.84,317.16
35.800,296.18,284.57
36.000,305.31,284.65
36.200,303.67,332.92
36.400,297.78,317.09
36.600,290.23,268.89
36.800,299.71,252.82
37.000,294.68,253.19
37.200,294.47,286.06
37.400,292.45,302.21
37.600,311.49,220.78
37.800,297.95,302.76
