t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784666013.619111,1784666013.619111,mixed,1,0,32,0.0003,29,1,
1784666013.619111,1784666013.663980,mixed,16,0,608,0.0048,471,16,
1784666013.663980,1784666013.682368,decode,16,0,640,0.0050,0,16,
1784666013.682368,1784666013.699647,decode,16,0,656,0.0052,0,16,
1784666013.699647,1784666013.716588,decode,16,0,688,0.0054,0,16,
1784666013.716588,1784666013.733468,decode,16,0,688,0.0054,0,16,
1784666013.733468,1784666013.750351,decode,16,0,688,0.0054,0,16,
1784666013.750351,1784666013.767149,decode,16,0,704,0.0055,0,16,
1784666013.767149,1784666013.783911,decode,16,0,736,0.0058,0,16,
1784666013.783911,1784666013.800717,decode,16,0,768,0.0061,0,16,
1784666013.800717,1784666013.817407,decode,16,0,784,0.0062,0,16,
1784666013.817407,1784666013.834186,decode,16,0,784,0.0062,0,16,
1784666013.834186,1784666013.850898,decode,16,0,800,0.0063,0,16,
1784666013.850898,1784666013.867547,decode,16,0,816,0.0064,0,16,
1784666013.867547,1784666013.884246,decode,16,0,832,0.0066,0,16,
1784666013.884246,1784666013.901064,decode,16,0,832,0.0066,0,16,
1784666013.901064,1784666013.917740,decode,16,0,832,0.0066,0,16,
1784666013.917740,1784666013.934512,decode,16,0,864,0.0068,0,16,
1784666013.934512,1784666013.951267,decode,16,0,896,0.0071,0,16,
1784666013.951267,1784666013.967955,decode,16,0,912,0.0072,0,16,
1784666013.967955,1784666013.984644,decode,16,0,944,0.0074,0,16,
1784666013.984644,1784666014.001366,decode,16,0,944,0.0074,0,16,
1784666014.001366,1784666014.018056,decode,16,0,944,0.0074,0,16,
1784666014.018056,1784666014.034820,decode,16,0,960,0.0076,0,16,
1784666014.034820,1784666014.051697,decode,15,0,928,0.0073,0,16,
1784666014.051697,1784666014.068167,decode,15,0,960,0.0076,0,15,
1784666014.068167,1784666014.084718,decode,15,0,976,0.0077,0,15,
1784666014.084718,1784666014.101240,decode,15,0,976,0.0077,0,15,
