t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784666013.558805,76.649,1410,1512,0.0,0.0,39.0
1784666013.568872,76.649,1410,1512,0.0,0.0,39.0
1784666013.578865,76.649,1410,1512,0.0,0.0,39.0
1784666013.588861,76.649,1410,1512,0.0,0.0,39.0
1784666013.598878,76.649,1410,1512,0.0,0.0,39.0
1784666013.608881,76.649,1410,1512,0.0,0.0,39.0
1784666013.619241,76.649,1410,1512,0.0,0.0,39.0
1784666013.628869,76.649,1410,1512,0.0,0.0,39.0
1784666013.638870,76.649,1410,1512,0.0,0.0,39.0
1784666013.648880,76.649,1410,1512,0.0,0.0,39.0
1784666013.658881,76.649,1410,1512,0.0,0.0,43.0
1784666013.668881,76.649,1410,1512,0.0,0.0,43.0
1784666013.678869,76.649,1410,1512,0.0,0.0,43.0
1784666013.688870,76.649,1410,1512,0.0,0.0,43.0
1784666013.698869,76.649,1410,1512,0.0,0.0,43.0
1784666013.708870,76.649,1335,1512,0.0,0.0,43.0
1784666013.718869,76.649,1335,1512,0.0,0.0,43.0
1784666013.728869,304.865,1335,1512,0.0,0.0,43.0
1784666013.738869,304.865,1335,1512,5.0,4.0,43.0
1784666013.748870,304.865,1335,1512,5.0,4.0,43.0
1784666013.758869,304.865,1335,1512,5.0,4.0,42.0
1784666013.768868,304.865,1335,1512,5.0,4.0,42.0
1784666013.778870,304.865,1335,1512,5.0,4.0,42.0
1784666013.788869,304.865,1335,1512,5.0,4.0,42.0
1784666013.798869,304.865,1395,1512,5.0,4.0,42.0
1784666013.808869,304.865,1395,1512,5.0,4.0,42.0
1784666013.818868,304.865,1395,1512,5.0,4.0,42.0
1784666013.828870,252.289,1395,1512,5.0,4.0,42.0
1784666013.838868,252.289,1395,1512,5.0,4.0,42.0
1784666013.848868,252.289,1395,1512,5.0,4.0,42.0
1784666013.858870,252.289,1395,1512,5.0,4.0,42.0
1784666013.868868,252.289,1395,1512,5.0,4.0,42.0
1784666013.878870,252.289,1395,1512,5.0,4.0,42.0
1784666013.888869,252.289,1395,1512,5.0,4.0,42.0
1784666013.898870,252.289,1410,1512,5.0,4.0,42.0
1784666013.908869,252.289,1410,1512,5.0,4.0,42.0
1784666013.918870,272.136,1410,1512,5.0,4.0,42.0
1784666013.928868,272.136,1410,1512,5.0,4.0,42.0
1784666013.938869,272.136,1410,1512,95.0,61.0,42.0
1784666013.948868,272.136,1410,1512,95.0,61.0,42.0
1784666013.958869,272.136,1410,1512,95.0,61.0,43.0
1784666013.968881,272.136,1410,1512,95.0,61.0,43.0
1784666013.978880,272.136,1410,1512,95.0,61.0,43.0
1784666013.988881,272.136,1410,1512,95.0,61.0,43.0
1784666013.998882,272.136,1410,1512,95.0,61.0,43.0
1784666014.008882,272.136,1410,1512,95.0,61.0,43.0
1784666014.018878,272.136,1410,1512,95.0,61.0,43.0
1784666014.028882,279.077,1410,1512,95.0,61.0,43.0
1784666014.038880,279.077,1410,1512,95.0,61.0,43.0
1784666014.048884,279.077,1410,1512,95.0,61.0,43.0
1784666014.058881,279.077,1410,1512,95.0,61.0,43.0
1784666014.068879,279.077,1410,1512,95.0,61.0,43.0
1784666014.078882,279.077,1410,1512,95.0,61.0,43.0
1784666014.088882,279.077,1410,1512,95.0,61.0,43.0
1784666014.098882,279.077,1410,1512,95.0,61.0,43.0
1784666014.108880,279.077,1410,1512,95.0,61.0,43.0
1784666014.118881,278.188,1410,1512,95.0,61.0,43.0
1784666014.128882,278.188,1410,1512,95.0,61.0,43.0
1784666014.138880,278.188,1410,1512,95.0,69.0,43.0
1784666014.148882,278.188,1410,1512,95.0,69.0,43.0
1784666014.158884,278.188,1410,1512,95.0,69.0,43.0
1784666014.168881,278.188,1410,1512,95.0,69.0,43.0
1784666014.178884,278.188,1410,1512,95.0,69.0,43.0
1784666014.188881,278.188,1410,1512,95.0,69.0,43.0
1784666014.198882,278.188,1410,1512,95.0,69.0,43.0
1784666014.208880,278.188,1410,1512,95.0,69.0,43.0
1784666014.218881,278.188,1410,1512,95.0,69.0,43.0
1784666014.228881,282.091,1410,1512,95.0,69.0,43.0
1784666014.238881,282.091,1410,1512,95.0,69.0,43.0
1784666014.248883,282.091,1410,1512,95.0,69.0,43.0
1784666014.258881,282.091,1410,1512,95.0,69.0,43.0
1784666014.268879,282.091,1410,1512,95.0,69.0,43.0
1784666014.278880,282.091,1410,1512,95.0,69.0,43.0
1784666014.288879,282.091,1410,1512,95.0,69.0,43.0
1784666014.298882,282.091,1410,1512,95.0,69.0,43.0
1784666014.308879,282.091,1410,1512,95.0,69.0,43.0
1784666014.318879,282.091,1410,1512,95.0,69.0,43.0
1784666014.328880,290.002,1410,1512,95.0,69.0,43.0
1784666014.338880,290.002,1410,1512,95.0,70.0,43.0
1784666014.348880,290.002,1410,1512,95.0,70.0,43.0
1784666014.358880,290.002,1410,1512,95.0,70.0,43.0
1784666014.368878,290.002,1410,1512,95.0,70.0,43.0
1784666014.378880,290.002,1410,1512,95.0,70.0,43.0
1784666014.388879,290.002,1410,1512,95.0,70.0,43.0
1784666014.398880,290.002,1410,1512,95.0,70.0,43.0
1784666014.408879,290.002,1410,1512,95.0,70.0,43.0
1784666014.418880,290.002,1410,1512,95.0,70.0,43.0
1784666014.428880,280.553,1410,1512,95.0,70.0,43.0
1784666014.438881,280.553,1410,1512,95.0,70.0,43.0
1784666014.448879,280.553,1410,1512,95.0,70.0,43.0
1784666014.458879,280.553,1410,1512,95.0,70.0,43.0
1784666014.468880,280.553,1410,1512,95.0,70.0,43.0
1784666014.478881,280.553,1410,1512,95.0,70.0,43.0
1784666014.488879,280.553,1410,1512,95.0,70.0,43.0
1784666014.498881,280.553,1410,1512,95.0,70.0,43.0
1784666014.508880,280.553,1410,1512,95.0,70.0,43.0
1784666014.518879,276.805,1410,1512,95.0,70.0,43.0
1784666014.528879,276.805,1410,1512,95.0,70.0,43.0
1784666014.538879,276.805,1410,1512,95.0,70.0,43.0
1784666014.548880,276.805,1410,1512,95.0,70.0,43.0
1784666014.558879,276.805,1410,1512,95.0,70.0,43.0
1784666014.568879,276.805,1410,1512,95.0,70.0,43.0
1784666014.578880,276.805,1410,1512,95.0,70.0,43.0
1784666014.588881,276.805,1410,1512,95.0,70.0,43.0
1784666014.598878,276.805,1410,1512,95.0,70.0,43.0
1784666014.608879,276.805,1410,1512,95.0,70.0,43.0
1784666014.618879,276.384,1410,1512,95.0,70.0,43.0
1784666014.628879,276.384,1410,1512,95.0,70.0,43.0
1784666014.638880,276.384,1410,1512,95.0,70.0,43.0
1784666014.648879,276.384,1410,1512,95.0,70.0,43.0
1784666014.658880,276.384,1410,1512,95.0,70.0,44.0
1784666014.668880,276.384,1410,1512,95.0,70.0,44.0
1784666014.678880,276.384,1410,1512,95.0,70.0,44.0
1784666014.688880,276.384,1410,1512,95.0,70.0,44.0
1784666014.698880,276.384,1410,1512,95.0,70.0,44.0
1784666014.708868,276.384,1410,1512,95.0,70.0,44.0
1784666014.718881,278.894,1410,1512,95.0,70.0,44.0
1784666014.728880,278.894,1410,1512,95.0,70.0,44.0
1784666014.738880,278.894,1410,1512,95.0,71.0,44.0
1784666014.748880,278.894,1410,1512,95.0,71.0,44.0
1784666014.758879,278.894,1410,1512,95.0,71.0,44.0
1784666014.768878,278.894,1410,1512,95.0,71.0,44.0
1784666014.779199,278.894,1410,1512,95.0,71.0,44.0
1784666014.788863,278.894,1410,1512,95.0,71.0,44.0
1784666014.798879,278.894,1410,1512,95.0,71.0,44.0
1784666014.808879,278.894,1410,1512,95.0,71.0,44.0
1784666014.818879,278.894,1410,1512,95.0,71.0,44.0
1784666014.828878,280.422,1410,1512,95.0,71.0,44.0
1784666014.838879,280.422,1410,1512,95.0,71.0,44.0
1784666014.848878,280.422,1410,1512,95.0,71.0,44.0
1784666014.858882,280.422,1410,1512,95.0,71.0,44.0
1784666014.868879,280.422,1410,1512,95.0,71.0,44.0
1784666014.878877,280.422,1410,1512,95.0,71.0,44.0
1784666014.888879,280.422,1410,1512,95.0,71.0,44.0
1784666014.898879,280.422,1410,1512,95.0,71.0,44.0
1784666014.908879,280.422,1410,1512,95.0,71.0,44.0
1784666014.918880,280.422,1410,1512,95.0,71.0,44.0
1784666014.928880,283.909,1410,1512,95.0,71.0,44.0
1784666014.938879,283.909,1410,1512,95.0,71.0,44.0
1784666014.948879,283.909,1410,1512,95.0,71.0,44.0
1784666014.958879,283.909,1410,1512,95.0,71.0,44.0
1784666014.968881,283.909,1410,1512,95.0,71.0,44.0
1784666014.978878,283.909,1410,1512,95.0,71.0,44.0
1784666014.988880,283.909,1410,1512,95.0,71.0,44.0
1784666014.998879,283.909,1410,1512,95.0,71.0,44.0
1784666015.008912,283.909,1410,1512,95.0,71.0,44.0
1784666015.018878,283.909,1410,1512,95.0,71.0,44.0
1784666015.028878,283.093,1410,1512,95.0,71.0,44.0
1784666015.038879,283.093,1410,1512,95.0,71.0,44.0
