t_rel_s,measured_w,predicted_w
0.000,337.97,98.87
0.200,273.26,335.92
0.400,292.69,316.87
0.600,298.27,344.89
0.800,291.28,274.10
1.000,290.06,302.53
1.200,292.80,279.03
1.400,289.04,333.52
1.600,289.83,284.51
1.800,284.28,340.04
2.000,290.88,236.13
2.200,292.09,345.68
2.400,304.65,238.67
2.600,289.91,295.18
2.800,293.45,353.20
3.000,306.36,300.53
3.200,295.84,302.22
3.400,300.49,333.42
3.600,293.19,307.36
3.800,294.55,279.72
4.000,296.02,340.65
4.200,290.26,343.36
4.400,297.66,316.41
4.600,294.68,349.25
4.800,297.53,321.34
5.000,293.46,355.04
5.200,292.71,357.93
5.400,296.65,193.90
5.600,294.11,300.62
5.800,300.94,303.41
6.000,289.52,358.34
6.200,295.12,256.85
6.400,289.79,309.51
6.600,285.48,284.84
6.800,304.80,286.44
7.000,305.38,234.82
7.200,312.33,261.66
7.400,282.29,317.43
7.600,299.40,264.53
7.800,301.39,183.65
8.000,284.19,319.22
8.200,305.37,322.36
8.400,302.11,325.22
8.600,296.31,298.61
8.800,302.52,329.20
9.000,305.16,331.97
9.200,293.32,305.88
9.400,301.86,365.85
9.600,304.33,310.36
9.800,310.22,282.58
10.000,303.45,313.71
10.200,307.22,346.49
10.400,300.82,349.30
10.600,308.76,320.73
10.800,296.17,286.08
11.000,304.71,232.91
11.200,291.50,341.20
11.400,311.54,289.48
11.600,304.70,291.52
11.800,290.37,291.95
12.000,297.02,266.05
12.200,297.84,321.96
12.400,290.60,239.64
12.600,293.41,183.77
12.800,294.03,291.05
13.000,301.25,264.97
13.200,298.82,292.36
13.400,300.30,265.81
13.600,295.09,350.41
13.800,299.21,295.67
14.000,300.52,269.41
14.200,292.74,269.63
14.400,295.59,271.23
14.600,303.49,272.73
14.800,289.03,273.64
15.000,290.35,332.18
15.200,296.71,247.18
15.400,298.71,305.36
15.600,301.18,335.19
15.800,298.62,308.88
16.000,294.73,311.59
16.200,304.77,283.14
16.400,303.06,212.62
16.600,261.88,340.74
16.800,291.65,290.13
17.000,288.44,264.20
17.200,293.15,264.52
17.400,297.28,237.66
17.600,297.20,237.65
17.800,305.53,293.51
18.000,296.91,210.34
18.200,302.34,236.88
18.400,299.21,346.93
18.600,297.61,238.92
18.800,302.04,211.27
19.000,299.23,322.07
19.200,302.93,268.93
19.400,299.07,297.80
19.600,309.14,269.93
19.800,322.72,185.89
20.000,294.05,267.90
20.200,303.80,352.00
20.400,304.45,270.20
20.600,309.02,328.09
20.800,300.07,301.89
21.000,285.94,331.93
21.200,294.04,304.69
