t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784666173.928739,77.462,1410,1512,0.0,0.0,40.0
1784666173.938806,77.462,1410,1512,0.0,0.0,40.0
1784666173.948800,77.462,1410,1512,0.0,0.0,40.0
1784666173.958816,77.462,1410,1512,0.0,0.0,40.0
1784666173.968816,77.462,1410,1512,0.0,0.0,40.0
1784666173.978815,77.462,1410,1512,0.0,0.0,40.0
1784666173.988818,78.607,1410,1512,0.0,0.0,40.0
1784666173.998815,78.607,1410,1512,0.0,0.0,40.0
1784666174.008817,78.607,1410,1512,0.0,0.0,40.0
1784666174.018815,78.607,1410,1512,0.0,0.0,40.0
1784666174.028820,78.607,1410,1512,0.0,0.0,41.0
1784666174.038818,78.607,1410,1512,0.0,0.0,41.0
1784666174.048816,78.607,1410,1512,0.0,0.0,41.0
1784666174.058819,78.607,1410,1512,0.0,0.0,41.0
1784666174.068815,78.607,1410,1512,0.0,0.0,41.0
1784666174.078815,78.607,1410,1512,0.0,0.0,41.0
1784666174.088817,254.756,1410,1512,0.0,0.0,41.0
1784666174.098815,254.756,1410,1512,0.0,0.0,41.0
1784666174.108817,254.756,1410,1512,11.0,8.0,41.0
1784666174.118818,254.756,1410,1512,11.0,8.0,41.0
1784666174.128815,254.756,1410,1512,11.0,8.0,42.0
1784666174.138819,254.756,1410,1512,11.0,8.0,42.0
1784666174.148816,254.756,1410,1512,11.0,8.0,42.0
1784666174.158816,254.756,1410,1512,11.0,8.0,42.0
1784666174.168818,254.756,1410,1512,11.0,8.0,42.0
1784666174.178820,254.756,1410,1512,11.0,8.0,42.0
1784666174.188814,264.169,1410,1512,11.0,8.0,42.0
1784666174.198819,264.169,1410,1512,11.0,8.0,42.0
1784666174.208817,264.169,1410,1512,11.0,8.0,42.0
1784666174.218802,264.169,1410,1512,11.0,8.0,42.0
1784666174.228816,264.169,1410,1512,11.0,8.0,43.0
1784666174.238817,264.169,1410,1512,11.0,8.0,43.0
1784666174.248864,264.169,1410,1512,11.0,8.0,43.0
1784666174.258816,264.169,1410,1512,11.0,8.0,43.0
1784666174.268815,264.169,1410,1512,11.0,8.0,43.0
1784666174.278819,264.169,1410,1512,11.0,8.0,43.0
1784666174.288817,266.099,1410,1512,11.0,8.0,43.0
1784666174.298815,266.099,1410,1512,11.0,8.0,43.0
1784666174.308819,266.099,1410,1512,92.0,71.0,43.0
1784666174.318818,266.099,1410,1512,92.0,71.0,43.0
1784666174.328800,266.099,1410,1512,92.0,71.0,43.0
1784666174.338816,266.099,1410,1512,92.0,71.0,43.0
1784666174.348817,266.099,1410,1512,92.0,71.0,43.0
1784666174.358800,266.099,1410,1512,92.0,71.0,43.0
1784666174.368816,266.099,1410,1512,92.0,71.0,43.0
1784666174.378817,266.099,1410,1512,92.0,71.0,43.0
1784666174.388801,266.003,1410,1512,92.0,71.0,43.0
1784666174.398816,266.003,1410,1512,92.0,71.0,43.0
1784666174.408817,266.003,1410,1512,92.0,71.0,43.0
1784666174.418801,266.003,1410,1512,92.0,71.0,43.0
1784666174.428816,266.003,1410,1512,92.0,71.0,43.0
1784666174.438815,266.003,1410,1512,92.0,71.0,43.0
1784666174.448802,266.003,1410,1512,92.0,71.0,43.0
1784666174.458818,266.003,1410,1512,92.0,71.0,43.0
1784666174.468816,266.003,1410,1512,92.0,71.0,43.0
1784666174.478800,266.003,1410,1512,92.0,71.0,43.0
1784666174.488817,266.003,1410,1512,92.0,71.0,43.0
1784666174.498815,267.508,1410,1512,92.0,71.0,43.0
1784666174.508817,267.508,1410,1512,92.0,71.0,43.0
1784666174.518816,267.508,1410,1512,95.0,74.0,43.0
1784666174.528817,267.508,1410,1512,95.0,74.0,43.0
1784666174.538815,267.508,1410,1512,95.0,74.0,43.0
1784666174.548815,267.508,1410,1512,95.0,74.0,43.0
1784666174.558807,267.508,1410,1512,95.0,74.0,43.0
1784666174.568815,267.508,1410,1512,95.0,74.0,43.0
1784666174.578815,267.508,1410,1512,95.0,74.0,43.0
1784666174.588815,267.508,1410,1512,95.0,74.0,43.0
1784666174.598816,266.225,1410,1512,95.0,74.0,43.0
1784666174.608814,266.225,1410,1512,95.0,74.0,43.0
