t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784665815.464264,75.232,1410,1512,0.0,0.0,34.0
1784665815.474329,75.232,1410,1512,0.0,0.0,34.0
1784665815.484326,75.232,1410,1512,0.0,0.0,34.0
1784665815.494340,75.232,1410,1512,0.0,0.0,34.0
1784665815.504342,75.232,1410,1512,0.0,0.0,34.0
1784665815.514340,75.232,1410,1512,0.0,0.0,34.0
1784665815.524346,75.621,1410,1512,0.0,0.0,34.0
1784665815.534341,75.621,1410,1512,0.0,0.0,34.0
1784665815.544553,75.621,1410,1512,0.0,0.0,34.0
1784665815.554545,75.621,1410,1512,0.0,0.0,34.0
1784665815.564546,75.621,1410,1512,0.0,0.0,34.0
1784665815.574544,75.621,1410,1512,0.0,0.0,34.0
1784665815.584546,75.621,1410,1512,0.0,0.0,34.0
1784665815.594543,75.621,1410,1512,0.0,0.0,34.0
1784665815.604544,75.621,1410,1512,0.0,0.0,34.0
1784665815.614544,75.621,1410,1512,0.0,0.0,34.0
1784665815.624546,75.211,1410,1512,0.0,0.0,34.0
1784665815.634544,75.211,1410,1512,0.0,0.0,34.0
1784665815.644340,75.211,1410,1512,0.0,0.0,34.0
1784665815.654548,75.211,1410,1512,0.0,0.0,34.0
1784665815.664545,75.211,1410,1512,0.0,0.0,34.0
1784665815.674546,75.211,1410,1512,0.0,0.0,34.0
1784665815.684545,75.211,1410,1512,0.0,0.0,34.0
1784665815.694544,75.211,1410,1512,0.0,0.0,34.0
1784665815.704454,75.211,1410,1512,0.0,0.0,34.0
1784665815.714544,75.211,1410,1512,0.0,0.0,34.0
1784665815.724544,75.244,1410,1512,0.0,0.0,34.0
1784665815.734543,75.244,1410,1512,0.0,0.0,34.0
1784665815.744545,75.244,1410,1512,0.0,0.0,34.0
1784665815.754543,75.244,1410,1512,0.0,0.0,34.0
1784665815.764336,75.244,1410,1512,0.0,0.0,34.0
1784665815.774543,75.244,1410,1512,0.0,0.0,34.0
1784665815.784544,75.244,1410,1512,0.0,0.0,34.0
1784665815.794543,75.244,1410,1512,0.0,0.0,34.0
1784665815.804543,75.244,1410,1512,0.0,0.0,34.0
1784665815.814546,75.244,1410,1512,0.0,0.0,34.0
1784665815.824543,75.232,1410,1512,0.0,0.0,34.0
1784665815.834336,75.232,1410,1512,0.0,0.0,34.0
1784665815.844549,75.232,1410,1512,0.0,0.0,34.0
1784665815.854337,75.232,1410,1512,0.0,0.0,34.0
1784665815.864542,75.232,1410,1512,0.0,0.0,34.0
1784665815.874543,75.232,1410,1512,0.0,0.0,34.0
1784665815.884544,75.232,1410,1512,0.0,0.0,34.0
1784665815.894544,75.232,1410,1512,0.0,0.0,34.0
1784665815.904544,75.232,1410,1512,0.0,0.0,34.0
1784665815.914544,75.232,1410,1512,0.0,0.0,34.0
1784665815.924342,75.440,1410,1512,0.0,0.0,34.0
1784665815.934544,75.440,1410,1512,0.0,0.0,34.0
1784665815.944339,75.440,1410,1512,0.0,0.0,34.0
1784665815.954342,75.440,1410,1512,0.0,0.0,34.0
1784665815.964343,75.440,1410,1512,0.0,0.0,34.0
1784665815.974342,75.440,1410,1512,0.0,0.0,34.0
1784665815.984554,75.440,1410,1512,0.0,0.0,34.0
1784665815.994543,75.440,1410,1512,0.0,0.0,34.0
1784665816.004544,75.440,1410,1512,0.0,0.0,34.0
1784665816.014546,75.440,1410,1512,0.0,0.0,34.0
1784665816.024545,75.427,1410,1512,0.0,0.0,34.0
1784665816.034545,75.427,1410,1512,0.0,0.0,34.0
1784665816.044546,75.427,1410,1512,0.0,0.0,34.0
1784665816.054544,75.427,1410,1512,0.0,0.0,34.0
1784665816.064546,75.427,1410,1512,0.0,0.0,34.0
1784665816.074545,75.427,1410,1512,0.0,0.0,34.0
1784665816.084543,75.427,1410,1512,0.0,0.0,34.0
1784665816.094545,75.427,1410,1512,0.0,0.0,34.0
1784665816.104543,75.427,1410,1512,0.0,0.0,34.0
1784665816.114545,75.427,1410,1512,0.0,0.0,34.0
1784665816.124339,74.928,1410,1512,0.0,0.0,34.0
1784665816.134548,74.928,1410,1512,0.0,0.0,34.0
1784665816.144545,74.928,1410,1512,0.0,0.0,34.0
1784665816.154544,74.928,1410,1512,0.0,0.0,34.0
1784665816.164547,74.928,1410,1512,0.0,0.0,34.0
1784665816.174545,74.928,1410,1512,0.0,0.0,34.0
1784665816.184544,74.928,1410,1512,0.0,0.0,34.0
1784665816.194546,74.928,1410,1512,0.0,0.0,34.0
1784665816.204544,74.928,1410,1512,0.0,0.0,34.0
1784665816.214544,74.928,1410,1512,0.0,0.0,34.0
1784665816.224553,75.232,1410,1512,0.0,0.0,34.0
1784665816.234543,75.232,1410,1512,0.0,0.0,34.0
1784665816.244544,75.232,1410,1512,0.0,0.0,34.0
1784665816.254543,75.232,1410,1512,0.0,0.0,34.0
1784665816.264546,75.232,1410,1512,0.0,0.0,34.0
1784665816.274543,75.232,1410,1512,0.0,0.0,34.0
1784665816.284542,75.232,1410,1512,0.0,0.0,34.0
1784665816.294337,75.232,1410,1512,0.0,0.0,34.0
1784665816.304545,75.232,1410,1512,0.0,0.0,34.0
1784665816.314545,75.232,1410,1512,0.0,0.0,34.0
1784665816.324544,75.232,1410,1512,0.0,0.0,34.0
1784665816.334544,75.309,1410,1512,0.0,0.0,34.0
1784665816.344543,75.309,1410,1512,0.0,0.0,34.0
1784665816.354542,75.309,1410,1512,0.0,0.0,34.0
1784665816.364547,75.309,1410,1512,0.0,0.0,34.0
1784665816.374543,75.309,1410,1512,0.0,0.0,34.0
1784665816.384545,75.309,1410,1512,0.0,0.0,34.0
1784665816.394544,75.309,1410,1512,0.0,0.0,34.0
1784665816.404543,75.309,1410,1512,0.0,0.0,34.0
1784665816.414545,75.309,1410,1512,0.0,0.0,34.0
1784665816.424545,75.309,1410,1512,0.0,0.0,34.0
1784665816.434544,75.427,1410,1512,0.0,0.0,34.0
1784665816.444542,75.427,1410,1512,0.0,0.0,34.0
1784665816.454543,75.427,1410,1512,0.0,0.0,34.0
1784665816.464545,75.427,1410,1512,0.0,0.0,34.0
1784665816.474545,75.427,1410,1512,0.0,0.0,34.0
1784665816.484544,75.427,1410,1512,0.0,0.0,34.0
1784665816.494544,75.427,1410,1512,0.0,0.0,34.0
1784665816.504544,75.427,1410,1512,0.0,0.0,34.0
1784665816.514544,75.427,1410,1512,0.0,0.0,34.0
1784665816.524545,75.427,1410,1512,0.0,0.0,34.0
1784665816.534544,75.102,1410,1512,0.0,0.0,34.0
1784665816.544546,75.102,1410,1512,0.0,0.0,34.0
1784665816.554543,75.102,1410,1512,0.0,0.0,34.0
1784665816.564546,75.102,1410,1512,0.0,0.0,34.0
1784665816.574544,75.102,1410,1512,0.0,0.0,34.0
1784665816.584544,75.102,1410,1512,0.0,0.0,34.0
1784665816.594544,75.102,1410,1512,0.0,0.0,34.0
1784665816.604543,75.102,1410,1512,0.0,0.0,34.0
1784665816.614544,75.102,1410,1512,0.0,0.0,34.0
1784665816.624568,75.199,1410,1512,0.0,0.0,34.0
1784665816.634545,75.199,1410,1512,0.0,0.0,34.0
1784665816.644339,75.199,1410,1512,0.0,0.0,34.0
1784665816.654332,75.199,1410,1512,0.0,0.0,34.0
1784665816.664546,75.199,1410,1512,0.0,0.0,34.0
1784665816.674543,75.199,1410,1512,0.0,0.0,34.0
