t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1784666252.256032,1784666252.256032,mixed,1,0,16,0.0001,11,1,
1784666252.256032,1784666252.271955,decode,1,0,16,0.0001,0,1,
1784666252.271955,1784666252.287388,decode,1,0,16,0.0001,0,1,
1784666252.287388,1784666252.302689,decode,1,0,16,0.0001,0,1,
1784666252.302689,1784666252.318183,decode,1,0,16,0.0001,0,1,
1784666252.318183,1784666252.333481,decode,1,0,16,0.0001,0,1,
1784666252.333481,1784666252.348791,decode,1,0,32,0.0003,0,1,
1784666252.348791,1784666252.364110,decode,1,0,32,0.0003,0,1,
1784666252.364110,1784666252.379401,decode,1,0,32,0.0003,0,1,
1784666252.379401,1784666252.394759,decode,1,0,32,0.0003,0,1,
1784666252.394759,1784666252.410079,decode,1,0,32,0.0003,0,1,
1784666252.410079,1784666252.425422,decode,1,0,32,0.0003,0,1,
1784666252.425422,1784666252.440743,decode,1,0,32,0.0003,0,1,
1784666252.440743,1784666252.456150,decode,1,0,32,0.0003,0,1,
1784666252.456150,1784666252.471418,decode,1,0,32,0.0003,0,1,
1784666252.471418,1784666252.486744,decode,1,0,32,0.0003,0,1,
1784666252.486744,1784666252.502141,decode,1,0,32,0.0003,0,1,
1784666252.502141,1784666252.517452,decode,1,0,32,0.0003,0,1,
1784666252.517452,1784666252.532693,decode,1,0,32,0.0003,0,1,
1784666252.532693,1784666252.548016,decode,1,0,32,0.0003,0,1,
1784666252.548016,1784666252.563594,decode,1,0,32,0.0003,0,1,
1784666252.563594,1784666252.578970,decode,1,0,32,0.0003,0,1,
1784666252.578970,1784666252.594284,decode,1,0,48,0.0004,0,1,
1784666252.594284,1784666252.609595,decode,1,0,48,0.0004,0,1,
1784666252.609595,1784666252.624934,decode,1,0,48,0.0004,0,1,
1784666252.624934,1784666252.640258,decode,1,0,48,0.0004,0,1,
1784666252.640258,1784666252.655657,decode,1,0,48,0.0004,0,1,
1784666252.655657,1784666252.670947,decode,1,0,48,0.0004,0,1,
1784666252.670947,1784666252.686368,decode,1,0,48,0.0004,0,1,
1784666252.686368,1784666252.701630,decode,1,0,48,0.0004,0,1,
1784666252.701630,1784666252.716974,decode,1,0,48,0.0004,0,1,
1784666252.716974,1784666252.732398,decode,1,0,48,0.0004,0,1,
1784666252.732398,1784666252.747664,decode,1,0,48,0.0004,0,1,
1784666252.747664,1784666252.763025,decode,1,0,48,0.0004,0,1,
1784666252.763025,1784666252.778374,decode,1,0,48,0.0004,0,1,
1784666252.778374,1784666252.793658,decode,1,0,48,0.0004,0,1,
1784666252.793658,1784666252.809294,decode,1,0,48,0.0004,0,1,
1784666252.809294,1784666252.824677,decode,1,0,48,0.0004,0,1,
1784666252.824677,1784666252.839947,decode,1,0,64,0.0005,0,1,
1784666252.839947,1784666252.855342,decode,1,0,64,0.0005,0,1,
1784666252.855342,1784666252.870586,decode,1,0,64,0.0005,0,1,
1784666252.870586,1784666252.885937,decode,1,0,64,0.0005,0,1,
1784666252.885937,1784666252.901263,decode,1,0,64,0.0005,0,1,
1784666252.901263,1784666252.916685,decode,1,0,64,0.0005,0,1,
1784666252.916685,1784666252.931957,decode,1,0,64,0.0005,0,1,
1784666252.931957,1784666252.947282,decode,1,0,64,0.0005,0,1,
1784666252.947282,1784666252.962607,decode,1,0,64,0.0005,0,1,
1784666252.962607,1784666252.978041,decode,1,0,64,0.0005,0,1,
1784666252.978041,1784666252.993396,decode,1,0,64,0.0005,0,1,
1784666252.993396,1784666253.008623,decode,1,0,64,0.0005,0,1,
1784666253.008623,1784666253.023990,decode,1,0,64,0.0005,0,1,
1784666253.023990,1784666253.039396,decode,1,0,64,0.0005,0,1,
1784666253.039396,1784666253.054917,decode,1,0,64,0.0005,0,1,
1784666253.054917,1784666253.070335,decode,1,0,64,0.0005,0,1,
1784666253.070335,1784666253.085704,decode,1,0,80,0.0006,0,1,
1784666253.085704,1784666253.101159,decode,1,0,80,0.0006,0,1,
1784666253.101159,1784666253.116556,decode,1,0,80,0.0006,0,1,
1784666253.116556,1784666253.131919,decode,1,0,80,0.0006,0,1,
1784666253.131919,1784666253.147325,decode,1,0,80,0.0006,0,1,
1784666253.147325,1784666253.162784,decode,1,0,80,0.0006,0,1,
1784666253.162784,1784666253.178215,decode,1,0,80,0.0006,0,1,
1784666253.178215,1784666253.193636,decode,1,0,80,0.0006,0,1,
1784666253.193636,1784666253.209035,decode,1,0,80,0.0006,0,1,
1784666253.209035,1784666253.224434,decode,1,0,80,0.0006,0,1,
1784666253.224434,1784666253.239915,decode,1,0,80,0.0006,0,1,
1784666253.239915,1784666253.255249,decode,1,0,80,0.0006,0,1,
1784666253.255249,1784666253.270712,decode,1,0,80,0.0006,0,1,
1784666253.270712,1784666253.286020,decode,1,0,80,0.0006,0,1,
1784666253.286020,1784666253.301703,decode,1,0,80,0.0006,0,1,
1784666253.301703,1784666253.317150,decode,1,0,80,0.0006,0,1,
1784666253.317150,1784666253.332626,decode,1,0,96,0.0008,0,1,
1784666253.332626,1784666253.348003,decode,1,0,96,0.0008,0,1,
1784666253.348003,1784666253.363388,decode,1,0,96,0.0008,0,1,
1784666253.363388,1784666253.378871,decode,1,0,96,0.0008,0,1,
1784666253.378871,1784666253.394222,decode,1,0,96,0.0008,0,1,
1784666253.394222,1784666253.409620,decode,1,0,96,0.0008,0,1,
1784666253.409620,1784666253.425063,decode,1,0,96,0.0008,0,1,
1784666253.425063,1784666253.440502,decode,1,0,96,0.0008,0,1,
1784666253.440502,1784666253.455872,decode,1,0,96,0.0008,0,1,
1784666253.455872,1784666253.471271,decode,1,0,96,0.0008,0,1,
1784666253.471271,1784666253.486681,decode,1,0,96,0.0008,0,1,
1784666253.486681,1784666253.502184,decode,1,0,96,0.0008,0,1,
1784666253.502184,1784666253.517509,decode,1,0,96,0.0008,0,1,
1784666253.517509,1784666253.533005,decode,1,0,96,0.0008,0,1,
1784666253.533005,1784666253.548574,decode,1,0,96,0.0008,0,1,
1784666253.548574,1784666253.564000,decode,1,0,96,0.0008,0,1,
1784666253.564000,1784666253.579506,decode,1,0,112,0.0009,0,1,
1784666253.579506,1784666253.594868,decode,1,0,112,0.0009,0,1,
1784666253.594868,1784666253.610304,decode,1,0,112,0.0009,0,1,
1784666253.610304,1784666253.625679,decode,1,0,112,0.0009,0,1,
1784666253.625679,1784666253.641177,decode,1,0,112,0.0009,0,1,
1784666253.641177,1784666253.656601,decode,1,0,112,0.0009,0,1,
1784666253.656601,1784666253.671940,decode,1,0,112,0.0009,0,1,
1784666253.671940,1784666253.687335,decode,1,0,112,0.0009,0,1,
1784666253.687335,1784666253.702796,decode,1,0,112,0.0009,0,1,
1784666253.702796,1784666253.718252,decode,1,0,112,0.0009,0,1,
1784666253.718252,1784666253.733567,decode,1,0,112,0.0009,0,1,
1784666253.733567,1784666253.749162,decode,1,0,112,0.0009,0,1,
1784666253.749162,1784666253.764596,decode,1,0,112,0.0009,0,1,
1784666253.764596,1784666253.780007,decode,1,0,112,0.0009,0,1,
1784666253.780007,1784666253.795471,decode,1,0,112,0.0009,0,1,
1784666253.795471,1784666253.810898,decode,1,0,112,0.0009,0,1,
1784666253.810898,1784666253.826286,decode,1,0,128,0.0010,0,1,
1784666253.826286,1784666253.841703,decode,1,0,128,0.0010,0,1,
1784666253.841703,1784666253.857153,decode,1,0,128,0.0010,0,1,
1784666253.857153,1784666253.872470,decode,1,0,128,0.0010,0,1,
1784666253.872470,1784666253.887881,decode,1,0,128,0.0010,0,1,
1784666253.887881,1784666253.903342,decode,1,0,128,0.0010,0,1,
1784666253.903342,1784666253.918892,decode,1,0,128,0.0010,0,1,
1784666253.918892,1784666253.934237,decode,1,0,128,0.0010,0,1,
1784666253.934237,1784666253.949648,decode,1,0,128,0.0010,0,1,
1784666253.949648,1784666253.965057,decode,1,0,128,0.0010,0,1,
1784666253.965057,1784666253.980478,decode,1,0,128,0.0010,0,1,
1784666253.980478,1784666253.995892,decode,1,0,128,0.0010,0,1,
1784666253.995892,1784666254.011304,decode,1,0,128,0.0010,0,1,
1784666254.011304,1784666254.026688,decode,1,0,128,0.0010,0,1,
1784666254.026688,1784666254.042226,decode,1,0,128,0.0010,0,1,
1784666254.042226,1784666254.057696,decode,1,0,128,0.0010,0,1,
1784666254.057696,1784666254.073239,decode,1,0,144,0.0011,0,1,
1784666254.073239,1784666254.088673,decode,1,0,144,0.0011,0,1,
1784666254.088673,1784666254.104242,decode,1,0,144,0.0011,0,1,
1784666254.104242,1784666254.119710,decode,1,0,144,0.0011,0,1,
1784666254.119710,1784666254.135213,decode,1,0,144,0.0011,0,1,
1784666254.135213,1784666254.150626,decode,1,0,144,0.0011,0,1,
1784666254.150626,1784666254.166115,decode,1,0,144,0.0011,0,1,
1784666254.166115,1784666254.181608,decode,1,0,144,0.0011,0,1,
1784666254.181608,1784666254.197089,decode,1,0,144,0.0011,0,1,
1784666254.197089,1784666254.212734,decode,1,0,144,0.0011,0,1,
1784666254.212734,1784666254.228692,decode,1,0,144,0.0011,0,1,
1784666254.228692,1784666254.244174,decode,1,0,144,0.0011,0,1,
1784666254.244174,1784666254.259744,decode,1,0,144,0.0011,0,1,
1784666254.259744,1784666254.275153,decode,1,0,144,0.0011,0,1,
1784666254.275153,1784666254.290710,decode,1,0,144,0.0011,0,1,
1784666254.290710,1784666254.306205,decode,1,0,144,0.0011,0,1,
1784666254.306205,1784666254.321765,decode,1,0,160,0.0013,0,1,
1784666254.321765,1784666254.337237,decode,1,0,160,0.0013,0,1,
1784666254.337237,1784666254.352685,decode,1,0,160,0.0013,0,1,
1784666254.352685,1784666254.368231,decode,1,0,160,0.0013,0,1,
1784666254.368231,1784666254.383695,decode,1,0,160,0.0013,0,1,
1784666254.383695,1784666254.399234,decode,1,0,160,0.0013,0,1,
1784666254.399234,1784666254.414675,decode,1,0,160,0.0013,0,1,
1784666254.414675,1784666254.430190,decode,1,0,160,0.0013,0,1,
1784666254.430190,1784666254.445649,decode,1,0,160,0.0013,0,1,
1784666254.445649,1784666254.461217,decode,1,0,160,0.0013,0,1,
1784666254.461217,1784666254.476599,decode,1,0,160,0.0013,0,1,
1784666254.476599,1784666254.492096,decode,1,0,160,0.0013,0,1,
1784666254.492096,1784666254.507577,decode,1,0,160,0.0013,0,1,
1784666254.507577,1784666254.523071,decode,1,0,160,0.0013,0,1,
1784666254.523071,1784666254.538710,decode,1,0,160,0.0013,0,1,
1784666254.538710,1784666254.554211,decode,1,0,160,0.0013,0,1,
1784666254.554211,1784666254.569676,decode,1,0,176,0.0014,0,1,
1784666254.569676,1784666254.585165,decode,1,0,176,0.0014,0,1,
1784666254.585165,1784666254.600749,decode,1,0,176,0.0014,0,1,
1784666254.600749,1784666254.616241,decode,1,0,176,0.0014,0,1,
1784666254.616241,1784666254.631677,decode,1,0,176,0.0014,0,1,
1784666254.631677,1784666254.647171,decode,1,0,176,0.0014,0,1,
1784666254.647171,1784666254.662710,decode,1,0,176,0.0014,0,1,
1784666254.662710,1784666254.678181,decode,1,0,176,0.0014,0,1,
1784666254.678181,1784666254.693674,decode,1,0,176,0.0014,0,1,
1784666254.693674,1784666254.709150,decode,1,0,176,0.0014,0,1,
1784666254.709150,1784666254.724637,decode,1,0,176,0.0014,0,1,
1784666254.724637,1784666254.740295,decode,1,0,176,0.0014,0,1,
1784666254.740295,1784666254.755872,decode,1,0,176,0.0014,0,1,
1784666254.755872,1784666254.771512,decode,1,0,176,0.0014,0,1,
1784666254.771512,1784666254.787321,decode,1,0,176,0.0014,0,1,
1784666254.787321,1784666254.802836,decode,1,0,176,0.0014,0,1,
1784666254.802836,1784666254.818363,decode,1,0,192,0.0015,0,1,
1784666254.818363,1784666254.833888,decode,1,0,192,0.0015,0,1,
1784666254.833888,1784666254.849318,decode,1,0,192,0.0015,0,1,
1784666254.849318,1784666254.864809,decode,1,0,192,0.0015,0,1,
1784666254.864809,1784666254.880277,decode,1,0,192,0.0015,0,1,
1784666254.880277,1784666254.895761,decode,1,0,192,0.0015,0,1,
1784666254.895761,1784666254.911352,decode,1,0,192,0.0015,0,1,
1784666254.911352,1784666254.926843,decode,1,0,192,0.0015,0,1,
1784666254.926843,1784666254.942364,decode,1,0,192,0.0015,0,1,
1784666254.942364,1784666254.957905,decode,1,0,192,0.0015,0,1,
1784666254.957905,1784666254.973346,decode,1,0,192,0.0015,0,1,
1784666254.973346,1784666254.988840,decode,1,0,192,0.0015,0,1,
1784666254.988840,1784666255.004341,decode,1,0,192,0.0015,0,1,
1784666255.004341,1784666255.019944,decode,1,0,192,0.0015,0,1,
1784666255.019944,1784666255.035524,decode,1,0,192,0.0015,0,1,
1784666255.035524,1784666255.051007,decode,1,0,192,0.0015,0,1,
1784666255.051007,1784666255.066556,decode,1,0,208,0.0016,0,1,
1784666255.066556,1784666255.082124,decode,1,0,208,0.0016,0,1,
1784666255.082124,1784666255.097702,decode,1,0,208,0.0016,0,1,
1784666255.097702,1784666255.113269,decode,1,0,208,0.0016,0,1,
1784666255.113269,1784666255.128908,decode,1,0,208,0.0016,0,1,
1784666255.128908,1784666255.144450,decode,1,0,208,0.0016,0,1,
1784666255.144450,1784666255.160037,decode,1,0,208,0.0016,0,1,
1784666255.160037,1784666255.175768,decode,1,0,208,0.0016,0,1,
1784666255.175768,1784666255.191252,decode,1,0,208,0.0016,0,1,
1784666255.191252,1784666255.206801,decode,1,0,208,0.0016,0,1,
1784666255.206801,1784666255.222398,decode,1,0,208,0.0016,0,1,
1784666255.222398,1784666255.237929,decode,1,0,208,0.0016,0,1,
1784666255.237929,1784666255.253471,decode,1,0,208,0.0016,0,1,
1784666255.253471,1784666255.269105,decode,1,0,208,0.0016,0,1,
1784666255.269105,1784666255.284763,decode,1,0,208,0.0016,0,1,
1784666255.284763,1784666255.300338,decode,1,0,208,0.0016,0,1,
1784666255.300338,1784666255.315929,decode,1,0,224,0.0018,0,1,
1784666255.315929,1784666255.331521,decode,1,0,224,0.0018,0,1,
1784666255.331521,1784666255.347128,decode,1,0,224,0.0018,0,1,
1784666255.347128,1784666255.362770,decode,1,0,224,0.0018,0,1,
1784666255.362770,1784666255.378544,decode,1,0,224,0.0018,0,1,
1784666255.378544,1784666255.394123,decode,1,0,224,0.0018,0,1,
1784666255.394123,1784666255.409694,decode,1,0,224,0.0018,0,1,
1784666255.409694,1784666255.425608,decode,0,0,0,0.0000,0,1,
1784666255.425608,1784666255.425687,idle,0,0,0,0.0000,,,
1784666255.425687,1784666255.443178,mixed,1,0,32,0.0003,21,1,
1784666255.443178,1784666255.458495,decode,1,0,32,0.0003,0,1,
1784666255.458495,1784666255.473833,decode,1,0,32,0.0003,0,1,
1784666255.473833,1784666255.489151,decode,1,0,32,0.0003,0,1,
1784666255.489151,1784666255.504450,decode,1,0,32,0.0003,0,1,
1784666255.504450,1784666255.519897,decode,1,0,32,0.0003,0,1,
1784666255.519897,1784666255.535152,decode,1,0,32,0.0003,0,1,
1784666255.535152,1784666255.550464,decode,1,0,32,0.0003,0,1,
1784666255.550464,1784666255.565789,decode,1,0,32,0.0003,0,1,
1784666255.565789,1784666255.581130,decode,1,0,32,0.0003,0,1,
1784666255.581130,1784666255.596765,decode,1,0,32,0.0003,0,1,
1784666255.596765,1784666255.612043,decode,1,0,32,0.0003,0,1,
1784666255.612043,1784666255.627388,decode,1,0,48,0.0004,0,1,
1784666255.627388,1784666255.642819,decode,1,0,48,0.0004,0,1,
