t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784666404.661549,76.552,1410,1512,0.0,0.0,39.0
1784666404.671611,76.552,1410,1512,0.0,0.0,39.0
1784666404.681612,76.552,1410,1512,0.0,0.0,39.0
1784666404.691608,76.552,1410,1512,0.0,0.0,39.0
1784666404.701607,76.552,1410,1512,0.0,0.0,39.0
1784666404.711608,76.552,1410,1512,0.0,0.0,39.0
1784666404.721615,296.186,1410,1512,0.0,0.0,39.0
1784666404.731616,296.186,1410,1512,0.0,0.0,39.0
1784666404.741616,296.186,1410,1512,0.0,0.0,39.0
1784666404.751616,296.186,1410,1512,0.0,0.0,39.0
1784666404.761618,296.186,1410,1512,0.0,0.0,43.0
1784666404.771616,296.186,1410,1512,0.0,0.0,43.0
1784666404.781617,296.186,1410,1512,0.0,0.0,43.0
1784666404.791615,296.186,1410,1512,0.0,0.0,43.0
1784666404.801617,296.186,1125,1512,0.0,0.0,43.0
1784666404.811618,296.186,1125,1512,0.0,0.0,43.0
1784666404.821615,296.186,1125,1512,0.0,0.0,43.0
1784666404.831615,259.528,1125,1512,0.0,0.0,43.0
1784666404.841614,259.528,1125,1512,0.0,0.0,43.0
1784666404.851616,259.528,1125,1512,0.0,0.0,43.0
1784666404.861615,259.528,1125,1512,0.0,0.0,43.0
1784666404.871615,259.528,1125,1512,0.0,0.0,43.0
1784666404.881616,259.528,1125,1512,0.0,0.0,43.0
1784666404.891613,259.528,1125,1512,0.0,0.0,43.0
1784666404.901632,259.528,1125,1512,0.0,0.0,43.0
1784666404.911627,259.528,1380,1512,0.0,0.0,43.0
1784666404.921630,259.528,1380,1512,0.0,0.0,43.0
1784666404.931627,256.134,1380,1512,0.0,0.0,43.0
1784666404.941611,256.134,1380,1512,0.0,0.0,43.0
1784666404.951629,256.134,1380,1512,0.0,0.0,43.0
1784666404.961613,256.134,1380,1512,0.0,0.0,42.0
1784666404.971630,256.134,1380,1512,0.0,0.0,42.0
1784666404.981626,256.134,1380,1512,0.0,0.0,42.0
1784666404.991629,256.134,1380,1512,0.0,0.0,42.0
1784666405.001630,256.134,1380,1512,0.0,0.0,42.0
1784666405.011625,256.134,1410,1512,0.0,0.0,42.0
1784666405.021628,256.134,1410,1512,0.0,0.0,42.0
1784666405.031630,273.741,1410,1512,0.0,0.0,42.0
1784666405.041626,273.741,1410,1512,72.0,32.0,42.0
1784666405.051630,273.741,1410,1512,72.0,32.0,42.0
1784666405.061626,273.741,1410,1512,72.0,32.0,43.0
1784666405.071629,273.741,1410,1512,72.0,32.0,43.0
1784666405.081626,273.741,1410,1512,72.0,32.0,43.0
1784666405.091628,273.741,1410,1512,72.0,32.0,43.0
1784666405.101629,273.741,1410,1512,72.0,32.0,43.0
1784666405.111626,273.741,1410,1512,72.0,32.0,43.0
1784666405.121628,273.741,1410,1512,72.0,32.0,43.0
1784666405.131629,274.107,1410,1512,72.0,32.0,43.0
1784666405.141629,274.107,1410,1512,72.0,32.0,43.0
1784666405.151627,274.107,1410,1512,72.0,32.0,43.0
1784666405.161625,274.107,1410,1512,72.0,32.0,43.0
1784666405.171629,274.107,1410,1512,72.0,32.0,43.0
