t_rel_s,measured_w,predicted_w
0.000,321.02,75.30
0.200,323.59,75.30
0.400,286.84,276.72
0.600,266.00,297.70
0.800,282.18,298.72
1.000,283.13,279.28
1.200,280.50,300.64
1.400,283.36,260.40
1.600,289.18,302.52
1.800,285.11,303.41
2.000,285.31,304.42
2.200,285.62,305.39
2.400,283.71,285.22
2.600,286.66,307.19
2.800,287.86,265.56
3.000,277.76,308.82
3.200,287.96,288.51
3.400,288.11,310.68
3.600,289.29,311.59
3.800,291.01,291.03
4.000,289.08,313.45
4.200,292.22,292.59
4.400,290.03,315.31
4.600,289.91,294.27
4.800,289.50,295.05
5.000,294.79,249.79
5.200,297.78,75.30
5.400,288.36,255.70
5.600,263.88,276.51
5.800,271.33,297.52
6.000,272.33,257.22
6.200,271.71,277.29
6.400,270.01,257.38
6.600,273.35,277.29
6.800,271.65,298.39
7.000,272.78,278.90
7.200,274.89,279.71
7.400,273.98,280.52
7.600,273.20,301.91
7.800,274.32,261.04
8.000,270.19,261.07
8.200,268.60,282.50
8.400,276.20,282.77
8.600,277.33,283.40
8.800,274.35,262.66
9.000,274.62,263.01
9.200,273.60,284.47
9.400,274.06,285.25
9.600,275.82,286.08
9.800,276.91,286.84
10.000,277.53,266.09
10.200,278.76,265.23
10.400,286.86,172.08
10.600,280.73,269.45
10.800,319.40,290.72
11.000,277.99,271.63
11.200,286.53,251.47
11.400,286.60,310.25
11.600,282.59,291.65
11.800,285.32,312.40
12.000,287.20,293.68
12.200,283.49,274.44
12.400,280.37,295.28
12.600,287.86,316.41
12.800,286.97,175.45
13.000,332.77,217.83
13.200,266.64,278.65
13.400,287.17,299.02
13.600,288.30,279.19
13.800,290.15,299.29
14.000,288.38,300.23
14.200,288.72,301.21
14.400,290.71,302.16
14.600,291.13,303.08
14.800,294.09,303.80
15.000,295.87,261.82
15.200,295.05,234.01
15.400,267.27,273.70
15.600,283.40,312.67
15.800,283.68,193.12
16.000,276.35,290.33
16.200,282.84,291.10
16.400,282.34,292.03
16.600,281.18,292.99
16.800,283.12,293.97
17.000,283.68,273.93
17.200,283.71,294.12
17.400,281.65,295.09
17.600,283.16,292.59
17.800,287.00,290.02
18.000,284.07,270.43
18.200,291.20,290.94
18.400,287.32,232.77
18.600,304.76,237.70
18.800,275.94,299.41
19.000,283.57,279.87
19.200,284.08,301.26
19.400,285.79,302.18
19.600,285.69,281.79
19.800,287.26,218.65
20.000,266.82,236.14
20.200,273.33,236.04
20.400,277.71,296.79
20.600,279.28,195.29
20.800,309.22,214.85
21.000,250.64,274.20
21.200,278.16,295.00
21.400,280.29,295.91
21.600,298.12,197.79
21.800,287.50,301.37
22.000,282.63,281.67
22.200,286.52,303.18
22.400,287.74,304.14
22.600,287.92,305.12
22.800,288.89,284.88
23.000,289.34,284.57
23.200,288.99,263.83
23.400,276.81,304.98
23.600,284.55,258.54
23.800,287.80,279.75
24.000,291.15,300.96
24.200,292.85,301.94
24.400,291.53,303.00
24.600,290.85,282.18
24.800,293.68,217.26
25.000,293.69,293.75
25.200,302.22,155.51
25.400,323.54,75.30
25.600,294.47,226.30
25.800,257.77,226.23
26.000,276.39,246.44
26.200,275.04,288.45
26.400,267.98,267.82
26.600,269.41,268.51
26.800,268.85,268.79
27.000,270.74,247.23
27.200,270.61,268.98
27.400,267.91,269.75
27.600,268.72,270.33
27.800,269.15,270.95
28.000,268.66,271.67
28.200,267.61,272.17
28.400,269.54,272.46
28.600,269.85,272.43
28.800,269.66,273.22
29.000,270.23,251.42
29.200,264.63,226.48
29.400,268.16,269.03
29.600,267.06,269.56
29.800,264.02,270.32
30.000,267.51,270.82
30.200,268.12,271.58
30.400,269.98,249.73
30.600,266.30,248.95
30.800,266.64,202.65
31.000,254.52,266.77
31.200,268.78,248.96
31.400,288.77,287.58
31.600,287.62,267.67
31.800,289.45,307.00
32.000,289.43,308.13
32.200,292.19,269.65
32.400,289.63,308.77
32.600,290.68,309.95
32.800,294.82,311.08
33.000,295.67,292.36
33.200,292.67,313.23
33.400,293.70,233.93
33.600,294.27,96.06
33.800,291.50,203.53
34.000,258.47,268.30
34.200,270.33,268.52
34.400,271.02,224.49
34.600,272.73,288.23
34.800,271.88,267.59
35.000,271.59,289.74
35.200,271.19,268.92
35.400,272.50,269.62
35.600,275.13,269.69
35.800,273.83,247.11
36.000,311.51,159.89
36.200,253.46,287.21
36.400,270.96,222.80
36.600,270.20,285.98
36.800,272.07,244.06
37.000,270.62,264.66
37.200,273.35,265.22
37.400,269.09,265.78
37.600,267.09,266.22
37.800,270.67,265.91
38.000,270.32,266.64
38.200,271.80,288.53
38.400,273.09,267.99
38.600,275.11,268.55
38.800,271.13,290.81
39.000,271.95,269.69
39.200,271.90,241.22
39.400,282.51,295.00
39.600,290.64,216.36
39.800,294.45,117.86
40.000,258.77,223.34
40.200,271.19,264.92
40.400,275.11,286.77
40.600,275.66,287.54
40.800,275.79,288.38
41.000,277.69,267.67
41.200,279.84,267.85
41.400,278.31,224.82
41.600,300.40,222.02
41.800,269.89,285.01
42.000,273.54,241.80
42.200,274.81,263.19
42.400,273.85,242.20
42.600,274.71,283.97
42.800,276.02,284.91
43.000,274.19,242.50
43.200,273.73,263.69
43.400,273.45,284.79
43.600,274.01,285.44
43.800,273.59,286.33
44.000,275.42,265.86
44.200,275.65,287.75
44.400,274.51,288.65
44.600,273.44,245.25
44.800,276.56,266.23
45.000,275.80,288.16
45.200,276.29,292.94
45.400,287.59,291.00
45.600,288.26,311.39
45.800,292.33,312.17
46.000,290.20,293.24
46.200,287.38,313.74
46.400,287.55,292.37
46.600,288.24,304.63
46.800,280.69,323.24
47.000,281.39,303.61
47.200,279.66,321.39
47.400,279.93,300.56
47.600,275.93,318.81
47.800,277.75,317.09
48.000,275.16,297.52
48.200,273.97,316.21
48.400,274.84,316.37
48.600,274.68,316.55
48.800,273.89,316.31
48.939,274.90,314.29
