t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784666566.905862,76.746,1410,1512,0.0,0.0,40.0
1784666566.915931,76.746,1410,1512,0.0,0.0,40.0
1784666566.925924,76.746,1410,1512,0.0,0.0,40.0
1784666566.935938,76.746,1410,1512,0.0,0.0,40.0
1784666566.945941,76.746,1410,1512,0.0,0.0,40.0
1784666566.955939,76.746,1410,1512,0.0,0.0,40.0
1784666566.965939,78.352,1410,1512,0.0,0.0,40.0
1784666566.975938,78.352,1410,1512,0.0,0.0,40.0
1784666566.985923,78.352,1410,1512,0.0,0.0,40.0
1784666566.995941,78.352,1410,1512,0.0,0.0,40.0
1784666567.006105,78.352,1410,1512,0.0,0.0,41.0
1784666567.015939,78.352,1410,1512,0.0,0.0,41.0
1784666567.025938,78.352,1410,1512,0.0,0.0,41.0
1784666567.035939,78.352,1410,1512,0.0,0.0,41.0
1784666567.045939,78.352,1410,1512,0.0,0.0,41.0
1784666567.055938,78.352,1410,1512,0.0,0.0,41.0
1784666567.065940,261.811,1410,1512,0.0,0.0,41.0
1784666567.075941,261.811,1410,1512,0.0,0.0,41.0
1784666567.085924,261.811,1410,1512,0.0,0.0,41.0
1784666567.095940,261.811,1410,1512,0.0,0.0,41.0
1784666567.105940,261.811,1410,1512,0.0,0.0,42.0
1784666567.115925,261.811,1410,1512,0.0,0.0,42.0
1784666567.125939,261.811,1410,1512,0.0,0.0,42.0
1784666567.135940,261.811,1410,1512,0.0,0.0,42.0
1784666567.145923,261.811,1410,1512,0.0,0.0,42.0
1784666567.155938,261.811,1410,1512,0.0,0.0,42.0
1784666567.165938,263.790,1410,1512,0.0,0.0,42.0
1784666567.175925,263.790,1410,1512,0.0,0.0,42.0
1784666567.185937,263.790,1410,1512,0.0,0.0,42.0
1784666567.195938,263.790,1410,1512,0.0,0.0,42.0
1784666567.205924,263.790,1410,1512,0.0,0.0,43.0
1784666567.215940,263.790,1410,1512,0.0,0.0,43.0
1784666567.225937,263.790,1410,1512,0.0,0.0,43.0
1784666567.235924,263.790,1410,1512,0.0,0.0,43.0
1784666567.245939,263.790,1410,1512,0.0,0.0,43.0
1784666567.255937,263.790,1410,1512,0.0,0.0,43.0
1784666567.265924,261.586,1410,1512,0.0,0.0,43.0
1784666567.275939,261.586,1410,1512,0.0,0.0,43.0
1784666567.285938,261.586,1410,1512,78.0,60.0,43.0
1784666567.295989,261.586,1410,1512,78.0,60.0,43.0
1784666567.305938,261.586,1410,1512,78.0,60.0,43.0
1784666567.315939,261.586,1410,1512,78.0,60.0,43.0
1784666567.325938,261.586,1410,1512,78.0,60.0,43.0
1784666567.335939,261.586,1410,1512,78.0,60.0,43.0
1784666567.345939,261.586,1410,1512,78.0,60.0,43.0
1784666567.355937,261.586,1410,1512,78.0,60.0,43.0
1784666567.365939,264.950,1410,1512,78.0,60.0,43.0
1784666567.375939,264.950,1410,1512,78.0,60.0,43.0
