t_rel_s,measured_w,predicted_w
0.000,289.23,333.26
0.200,266.13,333.54
0.400,284.49,226.92
0.600,294.81,294.32
0.800,265.14,317.06
1.000,276.70,274.17
1.200,291.57,341.11
1.400,279.44,275.69
1.600,305.06,299.16
1.800,279.28,299.86
2.000,279.80,323.43
2.200,276.53,303.82
2.400,280.08,350.67
2.600,289.29,305.88
2.800,287.63,284.30
3.000,305.93,333.01
3.200,305.30,194.94
3.400,265.18,318.24
3.600,291.57,197.29
3.800,325.87,150.75
4.000,281.04,278.97
4.200,302.12,331.75
4.400,301.28,307.57
4.600,301.72,360.85
4.800,305.22,284.14
5.000,292.67,311.06
5.200,305.95,285.54
5.400,296.40,282.29
5.600,295.54,306.94
5.800,297.15,307.88
6.000,291.50,306.28
6.200,262.71,307.87
6.400,340.26,127.13
6.600,268.75,237.77
6.800,292.53,236.06
7.000,297.91,343.60
7.200,288.86,314.31
7.400,279.30,287.80
7.600,302.20,262.72
7.800,298.99,291.06
8.000,297.48,318.84
8.200,309.10,293.59
8.400,274.33,266.78
8.600,294.00,295.15
8.800,316.30,238.31
9.000,283.46,347.21
9.200,298.92,238.22
9.400,321.25,260.11
9.600,289.99,284.19
9.800,296.58,101.44
10.000,297.56,235.16
10.200,281.60,263.41
10.400,285.19,291.96
10.600,283.73,291.07
10.800,289.04,345.42
11.000,292.26,290.68
11.200,273.02,264.78
11.400,291.61,292.11
11.600,287.99,346.63
11.800,293.18,265.62
12.000,279.68,290.52
12.200,291.92,259.89
12.400,294.91,329.80
12.600,298.38,303.61
12.800,305.34,330.72
13.000,298.95,305.55
13.200,299.62,329.47
13.400,293.91,251.98
13.600,283.18,179.48
13.800,277.77,363.43
14.000,293.43,337.29
14.200,295.70,336.23
14.400,299.21,307.70
14.600,301.38,307.70
14.800,271.10,306.47
15.000,295.79,227.81
15.200,320.86,278.59
15.400,311.09,297.31
15.600,291.39,270.63
15.800,281.41,245.89
16.000,267.94,271.45
16.200,284.85,174.19
16.400,260.83,251.45
16.600,280.44,350.49
16.800,291.39,275.07
17.000,281.05,301.16
17.200,291.66,276.63
17.400,298.31,176.81
17.600,286.86,75.30
17.800,283.95,265.27
18.000,259.56,238.93
18.200,275.56,322.58
18.400,277.53,185.65
18.600,284.85,298.47
18.800,278.03,298.90
19.000,283.61,270.99
19.200,279.55,215.93
19.400,286.15,185.42
19.600,279.56,266.81
19.800,278.73,295.81
20.000,290.19,269.40
20.200,290.78,104.32
20.400,296.44,135.09
20.600,284.42,285.34
20.800,295.32,255.31
21.000,305.58,287.29
21.200,301.96,319.45
21.400,295.06,258.20
21.600,288.28,286.58
21.800,286.99,226.52
22.000,274.51,229.42
22.200,301.81,198.24
22.400,304.62,260.68
22.600,353.92,107.36
22.800,299.31,173.05
23.000,274.10,239.26
23.200,276.73,174.33
23.400,292.46,304.68
23.600,295.31,269.49
23.800,295.04,238.92
24.000,298.82,305.33
24.200,294.73,272.63
24.400,294.91,272.69
24.600,292.55,174.96
24.800,281.54,75.30
25.000,295.86,146.20
25.200,281.55,251.08
25.400,293.84,275.66
25.600,302.26,208.96
25.800,300.26,243.13
26.000,291.11,210.59
26.200,309.86,177.51
26.400,290.54,246.24
26.600,298.39,281.20
26.800,298.15,248.16
27.000,279.92,145.74
27.200,282.02,249.58
27.400,298.02,318.10
27.600,295.67,281.74
27.800,310.90,248.47
28.000,297.43,284.32
