t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1786426935.427570,0.2000,28.8214,4.250327e+10,5.648912e+10,5.646985e+10,4.248066e+10,2.260992e+07,5.631158e+10,1.582694e+08,14,43,43,14.0,5.631158e+10
1786426935.627570,0.2000,28.9533,4.452670e+10,1.053267e+11,1.052111e+11,4.445651e+10,7.018906e+07,1.047198e+11,4.913234e+08,24,82,45,24.0,1.047198e+11
1786426935.827570,0.2000,28.9297,3.966888e+10,2.357079e+11,2.352015e+11,3.951690e+10,1.519780e+08,2.341376e+11,1.063846e+09,81,156,40,81.0,2.341376e+11
1786426936.027570,0.2000,28.8691,4.083807e+10,3.696351e+11,3.688520e+11,4.050482e+10,3.332506e+08,3.665192e+11,2.332754e+09,101,270,41,101.0,3.665192e+11
1786426936.227570,0.2000,28.8523,4.101148e+10,3.874998e+11,3.868605e+11,4.050482e+10,5.066588e+08,3.833139e+11,3.546612e+09,61,327,41,61.0,3.833139e+11
1786426936.427570,0.2000,28.9391,4.124328e+10,4.629746e+11,4.625773e+11,4.050482e+10,7.384596e+08,4.574081e+11,5.169218e+09,35,428,41,35.0,4.574081e+11
1786426936.627570,0.2000,29.0113,4.528914e+10,4.217692e+11,4.217438e+11,4.445651e+10,8.326349e+08,4.159153e+11,5.828444e+09,0,421,45,0.0,4.159153e+11
1786426936.827570,0.2000,29.2671,4.235939e+10,4.910797e+11,4.901485e+11,4.149274e+10,8.666481e+08,4.840820e+11,6.066536e+09,66,424,42,66.0,4.840820e+11
1786426937.027570,0.2000,29.4665,4.442882e+10,4.753181e+11,4.749969e+11,4.346859e+10,9.602335e+08,4.682752e+11,6.721634e+09,20,454,44,20.0,4.682752e+11
1786426937.227570,0.2000,29.5329,4.428825e+10,4.717730e+11,4.710491e+11,4.346859e+10,8.196588e+08,4.653115e+11,5.737611e+09,53,418,44,53.0,4.653115e+11
1786426937.427570,0.2000,29.5230,4.422867e+10,3.701781e+11,3.698640e+11,4.346859e+10,7.600865e+08,3.645434e+11,5.320606e+09,19,350,44,19.0,3.645434e+11
1786426937.627570,0.2000,29.5156,4.404779e+10,2.836498e+11,2.836365e+11,4.346859e+10,5.792072e+08,2.795820e+11,4.054450e+09,0,283,44,0.0,2.795820e+11
1786426937.827570,0.2000,29.4965,4.510885e+10,2.653956e+11,2.653779e+11,4.445651e+10,6.523453e+08,2.608115e+11,4.566417e+09,0,264,45,0.0,2.608115e+11
1786426938.027570,0.2000,29.4978,4.391194e+10,2.058596e+11,2.056276e+11,4.346859e+10,4.433510e+08,2.025241e+11,3.103457e+09,13,192,44,13.0,2.025241e+11
1786426938.227571,0.2000,29.4189,4.380636e+10,1.912941e+11,1.910576e+11,4.346859e+10,3.377725e+08,1.886932e+11,2.364408e+09,19,172,44,19.0,1.886932e+11
