t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1786426934.130745,121.027,1980,3201,0.0,0.0,30.0
1786426934.140824,121.027,1980,3201,0.0,0.0,30.0
1786426934.150926,121.027,1980,3201,0.0,0.0,30.0
1786426934.160816,121.027,1980,3201,0.0,0.0,30.0
1786426934.170886,121.027,1980,3201,0.0,0.0,30.0
1786426934.180814,121.027,1980,3201,0.0,0.0,30.0
1786426934.190819,116.147,1980,3201,0.0,0.0,30.0
1786426934.200812,116.147,1980,3201,0.0,0.0,30.0
1786426934.210820,116.147,1980,3201,0.0,0.0,30.0
1786426934.220819,116.147,1980,3201,0.0,0.0,30.0
1786426934.230820,116.147,1980,3201,0.0,0.0,30.0
1786426934.240814,116.147,1980,3201,0.0,0.0,30.0
1786426934.250813,116.147,1980,3201,0.0,0.0,30.0
1786426934.260808,116.147,1980,3201,0.0,0.0,30.0
1786426934.270817,116.147,1980,3201,0.0,0.0,30.0
1786426934.280810,116.147,1980,3201,0.0,0.0,30.0
1786426934.290807,118.228,1980,3201,0.0,0.0,30.0
1786426934.300810,118.228,1980,3201,0.0,0.0,30.0
1786426934.310839,118.228,1980,3201,0.0,0.0,30.0
1786426934.320818,118.228,1980,3201,0.0,0.0,30.0
1786426934.330812,118.228,1980,3201,0.0,0.0,30.0
1786426934.340811,118.228,1980,3201,0.0,0.0,30.0
1786426934.350835,118.228,1980,3201,0.0,0.0,30.0
1786426934.360817,118.228,1980,3201,0.0,0.0,30.0
1786426934.370818,118.228,1980,3201,0.0,0.0,30.0
1786426934.380810,118.228,1980,3201,0.0,0.0,30.0
1786426934.390807,120.659,1980,3201,32.0,6.0,30.0
1786426934.400811,120.659,1980,3201,32.0,6.0,30.0
1786426934.410817,120.659,1980,3201,32.0,6.0,30.0
1786426934.420818,120.659,1980,3201,32.0,6.0,30.0
1786426934.430811,120.659,1980,3201,32.0,6.0,30.0
1786426934.440812,120.659,1980,3201,32.0,6.0,30.0
1786426934.450818,120.659,1980,3201,32.0,6.0,30.0
1786426934.460817,120.659,1980,3201,32.0,6.0,30.0
1786426934.470818,120.659,1980,3201,32.0,6.0,30.0
1786426934.480808,120.659,1980,3201,32.0,6.0,30.0
1786426934.490813,123.407,1980,3201,32.0,6.0,30.0
1786426934.500818,123.407,1980,3201,32.0,6.0,30.0
1786426934.510831,123.407,1980,3201,32.0,6.0,30.0
1786426934.520811,123.407,1980,3201,32.0,6.0,30.0
1786426934.530812,123.407,1980,3201,32.0,6.0,30.0
1786426934.540817,123.407,1980,3201,32.0,6.0,30.0
1786426934.550817,123.407,1980,3201,32.0,6.0,30.0
1786426934.560817,123.407,1980,3201,32.0,6.0,30.0
1786426934.570810,123.407,1980,3201,32.0,6.0,30.0
1786426934.580812,123.407,1980,3201,32.0,6.0,30.0
1786426934.590817,125.904,1980,3201,33.0,6.0,30.0
1786426934.600818,125.904,1980,3201,33.0,6.0,30.0
1786426934.611066,125.904,1980,3201,33.0,6.0,30.0
1786426934.620811,125.904,1980,3201,33.0,6.0,30.0
1786426934.630816,125.904,1980,3201,33.0,6.0,30.0
1786426934.640818,125.904,1980,3201,33.0,6.0,30.0
1786426934.650814,125.904,1980,3201,33.0,6.0,30.0
1786426934.660823,125.904,1980,3201,33.0,6.0,30.0
1786426934.670818,125.904,1980,3201,33.0,6.0,30.0
1786426934.680817,125.904,1980,3201,33.0,6.0,30.0
1786426934.690818,128.754,1980,3201,33.0,6.0,30.0
1786426934.700881,128.754,1980,3201,33.0,6.0,30.0
1786426934.710818,128.754,1980,3201,33.0,6.0,30.0
1786426934.720818,128.754,1980,3201,33.0,6.0,30.0
1786426934.730818,128.754,1980,3201,33.0,6.0,30.0
1786426934.740817,128.754,1980,3201,33.0,6.0,30.0
1786426934.750818,128.754,1980,3201,33.0,6.0,30.0
1786426934.760817,128.754,1980,3201,33.0,6.0,30.0
