t_rel_s,measured_w,predicted_w
0.000,144.11,146.45
0.200,144.77,147.92
0.400,144.65,142.96
0.600,144.35,144.52
0.800,144.26,144.64
1.000,144.70,144.80
1.200,145.06,149.19
1.400,146.34,144.87
1.600,147.33,147.83
1.800,147.66,147.01
2.000,147.61,147.69
2.200,147.58,148.29
2.400,147.48,149.06
2.600,147.49,147.47
2.800,147.09,147.39
3.000,147.07,148.05
3.200,146.43,146.64
3.400,145.52,147.38
3.600,144.59,146.75
3.800,144.70,143.89
4.000,144.71,146.85
4.200,145.03,147.67
4.400,145.89,148.35
4.600,146.80,149.11
4.800,146.44,146.24
5.000,146.62,147.52
5.200,146.26,147.43
5.400,145.79,144.60
5.600,145.46,147.55
5.800,145.86,147.70
6.000,145.67,146.22
6.200,146.06,149.21
6.400,146.73,144.10
6.600,147.07,147.70
6.800,146.84,145.55
7.000,147.44,148.57
7.200,147.86,148.46
7.400,148.07,147.62
7.600,148.31,146.82
7.800,149.01,135.28
8.000,148.68,159.15
8.200,148.50,147.63
8.400,148.88,146.31
8.600,148.77,147.12
8.800,148.20,147.64
9.000,147.85,149.01
9.200,147.70,147.58
9.400,146.85,146.73
9.600,146.65,146.05
9.800,146.56,144.67
10.000,146.66,146.89
10.200,146.84,144.91
10.400,146.92,147.92
10.600,147.15,147.86
10.800,148.04,149.34
11.000,148.82,148.36
11.200,148.78,147.62
11.400,149.04,146.71
11.600,148.30,148.12
11.800,147.32,147.40
12.000,146.94,147.47
12.200,146.64,147.51
12.400,146.10,147.53
12.600,146.57,146.87
12.800,146.95,146.92
13.000,146.10,148.39
13.200,145.60,149.00
13.400,145.81,147.46
13.600,145.69,146.74
13.800,145.34,148.88
14.000,145.47,148.09
14.200,145.51,148.81
14.400,145.12,148.14
14.600,145.09,148.09
14.800,145.27,147.28
15.000,144.79,145.84
15.200,144.31,148.05
15.400,144.11,147.42
15.600,143.80,145.97
15.800,143.92,147.53
16.000,144.83,147.67
16.200,146.34,146.21
16.400,147.11,145.59
16.600,147.99,148.59
16.800,148.37,147.08
17.000,148.73,147.10
17.200,148.67,147.12
17.400,149.00,145.57
17.600,148.93,148.97
17.800,148.37,148.30
18.000,147.57,146.28
18.200,146.92,149.18
18.400,146.26,145.47
18.600,145.94,147.55
18.800,145.65,148.25
19.000,145.66,145.47
19.200,146.10,145.47
19.400,146.58,142.74
19.600,146.45,147.89
19.800,147.16,147.90
20.000,148.03,146.56
20.200,148.26,145.92
20.400,148.22,148.60
20.600,148.39,146.92
20.800,148.13,146.75
21.000,147.98,146.88
21.200,147.44,148.37
21.400,146.88,146.05
21.600,146.44,146.79
21.800,145.82,146.06
22.000,145.01,145.36
22.200,145.23,146.04
22.400,145.35,146.16
22.600,145.77,147.02
22.800,146.39,147.07
23.000,146.64,145.63
23.200,146.90,144.20
23.400,148.33,148.67
23.600,148.94,145.70
23.800,149.49,147.95
24.000,150.27,147.94
24.200,150.12,146.30
24.400,149.39,146.83
24.600,148.77,146.19
24.800,147.98,144.80
25.000,147.66,146.17
25.200,147.94,147.80
25.400,147.90,145.66
25.600,147.78,146.47
25.800,148.58,147.23
26.000,149.08,139.89
26.200,148.54,139.79
26.400,147.09,142.71
26.600,146.28,146.50
26.800,146.36,147.28
27.000,146.41,142.11
27.200,146.34,142.14
27.400,146.36,142.69
27.600,146.22,148.31
27.800,145.92,147.60
28.000,144.95,148.45
28.200,144.61,149.03
28.400,145.45,149.62
28.600,146.65,146.68
28.800,145.97,147.34
29.000,145.68,148.66
29.200,145.77,148.72
29.400,145.92,148.05
29.600,145.42,147.42
29.800,145.78,146.05
30.000,145.98,146.79
30.200,145.78,145.35
30.400,146.04,146.97
30.600,147.35,147.10
30.800,148.17,147.13
31.000,149.11,149.28
31.200,150.32,146.95
31.400,150.39,147.60
31.600,149.67,145.34
31.800,149.10,147.62
32.000,148.61,147.59
32.200,147.91,146.28
32.400,147.60,147.07
32.600,147.99,144.98
32.800,148.15,147.01
33.000,148.33,147.81
33.200,148.76,148.65
33.400,149.05,147.82
33.600,148.95,147.73
33.800,148.42,148.35
34.000,147.75,147.43
34.200,147.17,146.59
34.400,146.41,147.38
34.600,145.77,147.49
34.800,145.54,148.25
35.000,145.40,146.14
35.200,145.16,146.09
35.400,145.61,146.87
35.600,146.66,147.71
35.800,147.53,146.37
36.000,148.49,146.56
36.200,149.64,149.54
36.400,150.15,144.99
36.600,149.73,146.94
36.800,149.33,145.53
37.000,149.06,145.46
37.200,148.38,146.98
37.400,148.22,147.93
37.600,148.44,147.39
37.800,148.96,148.77
38.000,149.48,148.54
38.200,149.81,147.49
38.400,149.63,148.10
38.600,149.11,147.47
38.800,149.15,147.52
39.000,148.53,148.28
39.200,147.93,149.12
39.400,147.10,147.63
39.600,146.77,147.63
39.800,146.33,148.92
40.000,145.91,148.16
40.200,146.15,146.76
40.400,147.17,146.16
40.600,147.70,146.96
40.800,147.90,147.71
41.000,148.72,147.22
41.200,149.41,148.83
41.400,149.41,149.39
41.600,149.59,147.66
41.800,149.44,147.53
42.000,148.40,147.48
42.200,147.09,147.46
42.400,146.53,148.28
42.600,145.32,148.41
42.800,145.48,146.88
43.000,146.27,146.93
43.200,147.23,147.60
43.400,147.36,142.60
43.600,148.25,145.64
43.800,149.12,147.29
44.000,149.11,148.03
44.200,149.40,147.73
44.400,150.29,148.45
44.600,149.98,147.63
44.800,148.30,145.90
45.000,147.34,148.74
45.200,146.33,148.80
45.400,145.12,148.03
45.600,144.67,148.04
45.800,144.61,147.34
45.913,144.53,149.10
