t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1786426578.467844,121.510,1980,3201,0.0,0.0,30.0
1786426578.477916,121.510,1980,3201,0.0,0.0,30.0
1786426578.487914,121.510,1980,3201,0.0,0.0,30.0
1786426578.497913,121.510,1980,3201,0.0,0.0,30.0
1786426578.507913,116.795,1980,3201,0.0,0.0,30.0
1786426578.517914,116.795,1980,3201,0.0,0.0,30.0
1786426578.527969,116.795,1980,3201,0.0,0.0,30.0
1786426578.537913,116.795,1980,3201,0.0,0.0,30.0
1786426578.547916,116.795,1980,3201,0.0,0.0,30.0
1786426578.557913,116.795,1980,3201,0.0,0.0,30.0
1786426578.567976,116.795,1980,3201,0.0,0.0,30.0
1786426578.577960,116.795,1980,3201,0.0,0.0,30.0
1786426578.587964,116.795,1980,3201,0.0,0.0,30.0
1786426578.597918,116.795,1980,3201,0.0,0.0,30.0
1786426578.607913,116.104,1980,3201,0.0,0.0,30.0
1786426578.617910,116.104,1980,3201,0.0,0.0,30.0
1786426578.627908,116.104,1980,3201,0.0,0.0,30.0
1786426578.637908,116.104,1980,3201,0.0,0.0,30.0
1786426578.647908,116.104,1980,3201,0.0,0.0,30.0
1786426578.657908,116.104,1980,3201,0.0,0.0,30.0
1786426578.667908,116.104,1980,3201,0.0,0.0,30.0
1786426578.677907,116.104,1980,3201,0.0,0.0,30.0
1786426578.687908,116.104,1980,3201,0.0,0.0,30.0
1786426578.697908,116.104,1980,3201,0.0,0.0,30.0
1786426578.707911,116.123,1980,3201,0.0,0.0,30.0
1786426578.717908,116.123,1980,3201,0.0,0.0,30.0
1786426578.727908,116.123,1980,3201,0.0,0.0,30.0
1786426578.737908,116.123,1980,3201,0.0,0.0,30.0
1786426578.747908,116.123,1980,3201,0.0,0.0,30.0
1786426578.757987,116.123,1980,3201,0.0,0.0,30.0
1786426578.767906,116.123,1980,3201,0.0,0.0,30.0
1786426578.777905,116.123,1980,3201,0.0,0.0,30.0
1786426578.787909,116.123,1980,3201,0.0,0.0,30.0
1786426578.797909,116.123,1980,3201,0.0,0.0,30.0
1786426578.807905,116.064,1980,3201,0.0,0.0,30.0
1786426578.817906,116.064,1980,3201,0.0,0.0,30.0
1786426578.827906,116.064,1980,3201,0.0,0.0,30.0
1786426578.837910,116.064,1980,3201,0.0,0.0,30.0
1786426578.847909,116.064,1980,3201,0.0,0.0,30.0
1786426578.857909,116.064,1980,3201,0.0,0.0,30.0
1786426578.867907,116.064,1980,3201,0.0,0.0,30.0
1786426578.877909,116.064,1980,3201,0.0,0.0,30.0
1786426578.887909,116.064,1980,3201,0.0,0.0,30.0
1786426578.897910,116.064,1980,3201,0.0,0.0,30.0
1786426578.907996,116.078,1980,3201,0.0,0.0,30.0
1786426578.917912,116.078,1980,3201,0.0,0.0,30.0
1786426578.927907,116.078,1980,3201,0.0,0.0,30.0
1786426578.937908,116.078,1980,3201,0.0,0.0,30.0
1786426578.947914,116.078,1980,3201,0.0,0.0,30.0
1786426578.957913,116.078,1980,3201,0.0,0.0,30.0
1786426578.967912,116.078,1980,3201,0.0,0.0,30.0
1786426578.977912,116.078,1980,3201,0.0,0.0,30.0
1786426578.987913,116.078,1980,3201,0.0,0.0,30.0
1786426578.997943,116.078,1980,3201,0.0,0.0,30.0
1786426579.007913,116.089,1980,3201,0.0,0.0,30.0
1786426579.017912,116.089,1980,3201,0.0,0.0,30.0
1786426579.027925,116.089,1980,3201,0.0,0.0,30.0
1786426579.037913,116.089,1980,3201,0.0,0.0,30.0
1786426579.047913,116.089,1980,3201,0.0,0.0,30.0
1786426579.057913,116.089,1980,3201,0.0,0.0,30.0
1786426579.067941,116.089,1980,3201,0.0,0.0,30.0
1786426579.077966,116.089,1980,3201,0.0,0.0,30.0
1786426579.087929,116.089,1980,3201,0.0,0.0,30.0
1786426579.097975,116.089,1980,3201,0.0,0.0,30.0
1786426579.108010,116.054,1980,3201,0.0,0.0,30.0
1786426579.117912,116.054,1980,3201,0.0,0.0,30.0
1786426579.127909,116.054,1980,3201,0.0,0.0,30.0
1786426579.137961,116.054,1980,3201,0.0,0.0,30.0
1786426579.147924,116.054,1980,3201,0.0,0.0,30.0
1786426579.157912,116.054,1980,3201,0.0,0.0,30.0
1786426579.167922,116.054,1980,3201,0.0,0.0,30.0
1786426579.177967,116.054,1980,3201,0.0,0.0,30.0
1786426579.187921,116.054,1980,3201,0.0,0.0,30.0
1786426579.197912,116.054,1980,3201,0.0,0.0,30.0
1786426579.207911,116.054,1980,3201,0.0,0.0,30.0
1786426579.217910,116.054,1980,3201,0.0,0.0,30.0
1786426579.227908,116.054,1980,3201,0.0,0.0,30.0
1786426579.237908,116.054,1980,3201,0.0,0.0,30.0
1786426579.247908,116.054,1980,3201,0.0,0.0,30.0
1786426579.257908,116.054,1980,3201,0.0,0.0,30.0
1786426579.267908,116.054,1980,3201,0.0,0.0,30.0
1786426579.277908,116.054,1980,3201,0.0,0.0,30.0
1786426579.287909,116.054,1980,3201,0.0,0.0,30.0
