t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1786427012.594413,1786427012.594413,mixed,1,0,16,0.0000,10,1,
1786427012.594413,1786427012.605317,decode,1,0,16,0.0000,0,1,
1786427012.605317,1786427012.610139,decode,1,0,16,0.0000,0,1,
1786427012.610139,1786427012.614372,decode,1,0,16,0.0000,0,1,
1786427012.614372,1786427012.618474,decode,1,0,16,0.0000,0,1,
1786427012.618474,1786427012.623308,decode,1,0,16,0.0000,0,1,
1786427012.623308,1786427012.627347,decode,1,0,16,0.0000,0,1,
1786427012.627347,1786427012.631662,decode,1,0,32,0.0000,0,1,
1786427012.631662,1786427012.635770,decode,1,0,32,0.0000,0,1,
1786427012.635770,1786427012.640336,decode,1,0,32,0.0000,0,1,
1786427012.640336,1786427012.644484,decode,1,0,32,0.0000,0,1,
1786427012.644484,1786427012.648890,decode,1,0,32,0.0000,0,1,
1786427012.648890,1786427012.653100,decode,1,0,32,0.0000,0,1,
1786427012.653100,1786427012.657464,decode,1,0,32,0.0000,0,1,
1786427012.657464,1786427012.662055,decode,1,0,32,0.0000,0,1,
1786427012.662055,1786427012.666082,decode,1,0,32,0.0000,0,1,
1786427012.666082,1786427012.670390,decode,1,0,32,0.0000,0,1,
1786427012.670390,1786427012.674784,decode,1,0,32,0.0000,0,1,
1786427012.674784,1786427012.679186,decode,1,0,32,0.0000,0,1,
1786427012.679186,1786427012.683282,decode,1,0,32,0.0000,0,1,
1786427012.683282,1786427012.687578,decode,1,0,32,0.0000,0,1,
1786427012.687578,1786427012.692333,decode,1,0,32,0.0000,0,1,
1786427012.692333,1786427012.696140,decode,1,0,32,0.0000,0,1,
1786427012.696140,1786427012.700534,decode,1,0,48,0.0000,0,1,
1786427012.700534,1786427012.704865,decode,1,0,48,0.0000,0,1,
1786427012.704865,1786427012.709446,decode,1,0,48,0.0000,0,1,
1786427012.709446,1786427012.713695,decode,1,0,48,0.0000,0,1,
1786427012.713695,1786427012.717789,decode,1,0,48,0.0000,0,1,
1786427012.717789,1786427012.722172,decode,1,0,48,0.0000,0,1,
1786427012.722172,1786427012.726426,decode,1,0,48,0.0000,0,1,
1786427012.726426,1786427012.730907,decode,1,0,48,0.0000,0,1,
1786427012.730907,1786427012.734994,decode,1,0,48,0.0000,0,1,
1786427012.734994,1786427012.739447,decode,1,0,48,0.0000,0,1,
1786427012.739447,1786427012.743775,decode,1,0,48,0.0000,0,1,
1786427012.743775,1786427012.747927,decode,1,0,48,0.0000,0,1,
1786427012.747927,1786427012.752532,decode,1,0,48,0.0000,0,1,
1786427012.752532,1786427012.756546,decode,1,0,48,0.0000,0,1,
1786427012.756546,1786427012.761421,decode,1,0,48,0.0000,0,1,
1786427012.761421,1786427012.765461,decode,1,0,48,0.0000,0,1,
1786427012.765461,1786427012.769744,decode,1,0,64,0.0000,0,1,
1786427012.769744,1786427012.773881,decode,1,0,64,0.0000,0,1,
1786427012.773881,1786427012.778115,decode,1,0,64,0.0000,0,1,
1786427012.778115,1786427012.782473,decode,1,0,64,0.0000,0,1,
1786427012.782473,1786427012.786801,decode,1,0,64,0.0000,0,1,
1786427012.786801,1786427012.791207,decode,1,0,64,0.0000,0,1,
1786427012.791207,1786427012.795488,decode,1,0,64,0.0000,0,1,
1786427012.795488,1786427012.799883,decode,1,0,64,0.0000,0,1,
1786427012.799883,1786427012.804044,decode,1,0,64,0.0000,0,1,
1786427012.804044,1786427012.808368,decode,1,0,64,0.0000,0,1,
