t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1786427092.702438,0.2000,28.8054,3.889683e+10,8.362131e+11,8.265023e+11,3.852897e+10,3.678536e+08,8.239273e+11,2.574975e+09,681,153,39,681.0,8.239273e+11
1786427092.902439,0.2000,28.7687,4.398252e+10,1.774719e+11,1.774719e+11,4.346859e+10,5.139333e+08,1.738743e+11,3.597533e+09,0,176,44,0.0,1.738743e+11
1786427093.102438,0.2000,28.8385,4.307462e+10,1.740803e+11,1.740803e+11,4.248066e+10,5.939528e+08,1.699227e+11,4.157669e+09,0,172,43,0.0,1.699227e+11
1786427093.302439,0.2000,28.8573,4.416969e+10,1.787821e+11,1.787821e+11,4.346859e+10,7.011041e+08,1.738743e+11,4.907729e+09,0,176,44,0.0,1.738743e+11
1786427093.502439,0.2000,28.8485,4.325904e+10,1.753713e+11,1.753713e+11,4.248066e+10,7.783711e+08,1.699227e+11,5.448598e+09,0,172,43,0.0,1.699227e+11
1786427093.702439,0.2000,28.8850,4.334515e+10,1.760135e+11,1.759741e+11,4.248066e+10,8.644854e+08,1.699227e+11,6.051398e+09,0,172,43,0.0,1.699227e+11
1786427093.902439,0.2000,28.8743,3.862276e+10,2.508789e+11,2.506008e+11,3.852897e+10,9.378202e+07,2.499444e+11,6.564741e+08,101,152,39,101.0,2.499444e+11
1786427094.102439,0.2000,28.8183,4.366578e+10,1.752547e+11,1.752547e+11,4.346859e+10,1.971978e+08,1.738743e+11,1.380385e+09,0,176,44,0.0,1.738743e+11
1786427094.302439,0.2000,28.8057,4.276634e+10,1.719224e+11,1.719224e+11,4.248066e+10,2.856714e+08,1.699227e+11,1.999700e+09,0,172,43,0.0,1.699227e+11
1786427094.502439,0.2000,28.7620,4.285737e+10,1.725596e+11,1.725596e+11,4.248066e+10,3.767009e+08,1.699227e+11,2.636906e+09,0,172,43,0.0,1.699227e+11
1786427094.702439,0.2000,28.7633,4.394713e+10,1.772242e+11,1.772242e+11,4.346859e+10,4.785439e+08,1.738743e+11,3.349807e+09,0,176,44,0.0,1.738743e+11
1786427094.902439,0.2000,28.8713,4.403895e+10,1.778916e+11,1.778669e+11,4.346859e+10,5.703598e+08,1.738743e+11,3.992519e+09,0,176,44,0.0,1.738743e+11
1786427095.102439,0.2000,28.8782,3.871890e+10,4.638245e+11,4.617013e+11,3.852897e+10,1.899233e+08,4.603719e+11,1.329463e+09,314,152,39,314.0,4.603719e+11
1786427095.302439,0.2000,28.8378,4.378178e+10,1.760667e+11,1.760667e+11,4.346859e+10,3.131965e+08,1.738743e+11,2.192376e+09,0,176,44,0.0,1.738743e+11
1786427095.502439,0.2000,28.8854,4.387694e+10,1.767328e+11,1.767328e+11,4.346859e+10,4.083548e+08,1.738743e+11,2.858484e+09,0,176,44,0.0,1.738743e+11
1786427095.702439,0.2000,28.8472,4.297081e+10,1.733537e+11,1.733537e+11,4.248066e+10,4.901437e+08,1.699227e+11,3.431006e+09,0,172,43,0.0,1.699227e+11
1786427095.902439,0.2000,28.8109,4.406549e+10,1.780527e+11,1.780527e+11,4.346859e+10,5.969019e+08,1.738743e+11,4.178313e+09,0,176,44,0.0,1.738743e+11
1786427096.102439,0.2000,28.7600,4.413981e+10,1.776152e+11,1.775850e+11,4.346859e+10,6.712197e+08,1.728864e+11,4.698538e+09,0,175,44,0.0,1.728864e+11
1786427096.302439,0.2000,28.7717,3.975696e+10,5.495355e+11,5.460257e+11,3.951690e+10,2.400584e+08,5.443453e+11,1.680409e+09,394,157,40,394.0,5.443453e+11
1786427096.502439,0.2000,28.8288,4.283259e+10,1.723862e+11,1.723862e+11,4.248066e+10,3.519283e+08,1.699227e+11,2.463498e+09,0,172,43,0.0,1.699227e+11
1786427096.702439,0.2000,28.8871,4.292225e+10,1.730137e+11,1.730137e+11,4.248066e+10,4.415816e+08,1.699227e+11,3.091071e+09,0,172,43,0.0,1.699227e+11
1786427096.902440,0.2000,28.9696,4.401496e+10,1.776990e+11,1.776990e+11,4.346859e+10,5.463736e+08,1.738743e+11,3.824615e+09,0,176,44,0.0,1.738743e+11
1786427097.102439,0.2000,29.1345,4.411110e+10,1.783720e+11,1.783720e+11,4.346859e+10,6.425149e+08,1.738743e+11,4.497605e+09,0,176,44,0.0,1.738743e+11
1786427097.302440,0.2000,29.2051,4.317843e+10,1.738526e+11,1.738191e+11,4.248066e+10,6.977618e+08,1.689347e+11,4.884333e+09,0,171,43,0.0,1.689347e+11
1786427097.502439,0.2000,29.0832,3.923401e+10,1.586362e+12,1.544118e+12,3.852897e+10,7.050363e+08,1.539183e+12,4.935254e+09,1405,153,39,1405.0,1.539183e+12
1786427097.702440,0.2000,29.1472,4.437377e+10,1.802106e+11,1.802106e+11,4.346859e+10,9.051832e+08,1.738743e+11,6.336283e+09,0,176,44,0.0,1.738743e+11
1786427097.902440,0.2000,29.1506,4.345761e+10,1.767613e+11,1.767613e+11,4.248066e+10,9.769452e+08,1.699227e+11,6.838616e+09,0,172,43,0.0,1.699227e+11
1786427098.102440,0.2000,29.1525,4.354766e+10,1.773916e+11,1.773916e+11,4.248066e+10,1.066992e+09,1.699227e+11,7.468941e+09,0,172,43,0.0,1.699227e+11
1786427098.302440,0.2000,29.0685,4.363849e+10,1.780274e+11,1.780274e+11,4.248066e+10,1.157825e+09,1.699227e+11,8.104772e+09,0,172,43,0.0,1.699227e+11
1786427098.502440,0.2000,29.2108,4.373050e+10,1.786715e+11,1.786715e+11,4.248066e+10,1.249837e+09,1.699227e+11,8.748859e+09,0,172,43,0.0,1.699227e+11
1786427098.702440,0.2000,29.2638,4.153524e+10,2.275241e+12,2.184594e+12,4.050482e+10,1.030423e+09,2.177381e+12,7.212958e+09,2044,160,41,2044.0,2.177381e+12
1786427098.902440,0.2000,29.3425,4.471921e+10,1.826287e+11,1.826287e+11,4.346859e+10,1.250623e+09,1.738743e+11,8.754364e+09,0,176,44,0.0,1.738743e+11
1786427099.102440,0.2000,29.3908,4.379440e+10,1.791188e+11,1.791188e+11,4.248066e+10,1.313735e+09,1.699227e+11,9.196143e+09,0,172,43,0.0,1.699227e+11
1786427099.302440,0.2000,29.5542,4.592910e+10,1.881342e+11,1.881342e+11,4.445651e+10,1.472594e+09,1.778260e+11,1.030816e+10,0,180,45,0.0,1.778260e+11
1786427099.502440,0.2000,29.5608,4.500488e+10,1.846284e+11,1.846284e+11,4.346859e+10,1.536295e+09,1.738743e+11,1.075406e+10,0,176,44,0.0,1.738743e+11
