t_rel_s,measured_w,predicted_w
0.000,144.03,141.41
0.200,143.84,146.21
0.400,144.19,145.59
0.600,144.29,146.33
0.800,144.24,145.72
1.000,144.43,145.77
1.200,144.37,141.23
1.400,144.09,145.99
1.600,144.03,145.38
1.800,143.81,145.44
2.000,143.82,146.18
2.200,144.36,146.25
2.400,144.39,141.29
2.600,144.19,146.07
2.800,144.43,146.14
3.000,144.24,145.52
3.200,144.05,146.26
3.400,143.80,146.31
3.600,143.86,141.99
3.800,144.14,145.43
4.000,144.44,145.49
4.200,144.85,146.23
4.400,145.67,146.29
4.600,146.03,145.66
4.800,145.42,141.63
5.000,145.74,146.47
5.200,145.75,145.85
5.400,145.76,145.91
5.600,145.34,145.97
5.800,146.05,146.04
6.000,146.32,143.19
6.200,146.71,146.71
6.400,146.95,146.08
6.600,147.77,147.53
6.800,147.80,146.90
7.000,147.94,145.54
7.200,148.08,143.95
7.400,147.73,146.03
7.600,148.26,147.45
7.800,149.07,146.17
8.000,148.24,146.23
8.200,146.94,142.85
8.400,146.14,146.71
8.600,144.71,146.77
8.800,143.19,146.84
9.000,142.75,146.23
9.200,143.18,146.97
9.400,143.86,135.42
9.600,142.08,135.83
9.800,141.43,146.64
10.000,142.13,146.71
10.200,141.75,146.10
10.400,141.32,146.16
10.600,143.45,146.91
10.800,144.46,143.94
11.000,144.16,146.68
11.200,144.77,146.07
11.400,144.85,146.82
11.600,144.93,146.88
11.800,145.44,142.85
12.000,147.54,147.41
12.200,148.09,147.48
12.400,148.76,146.85
12.600,149.30,146.92
12.800,149.04,147.68
13.000,147.76,143.98
13.200,146.70,146.61
13.400,146.21,146.68
13.600,145.95,146.75
13.800,145.92,145.45
14.000,145.72,146.19
14.200,146.13,142.75
14.400,146.01,146.73
14.600,145.96,146.12
14.800,145.91,146.87
15.000,145.67,144.13
15.200,145.05,146.17
15.400,144.93,144.02
15.600,144.66,145.98
15.800,144.87,146.05
16.000,145.08,146.11
16.200,145.10,144.08
16.400,145.14,146.15
16.600,145.09,142.68
16.800,144.60,145.37
17.000,144.43,146.11
17.200,144.86,146.85
17.400,145.14,143.58
17.600,145.11,146.40
17.800,145.43,142.88
18.000,145.63,146.95
18.200,145.36,147.01
18.400,145.12,147.08
18.600,145.12,145.53
18.800,145.36,146.23
19.000,145.98,142.84
19.200,146.25,146.31
19.400,146.52,147.06
19.600,146.83,147.13
19.800,147.26,145.28
20.000,147.36,147.42
20.200,147.12,144.16
20.400,146.91,146.26
20.600,146.88,147.01
20.800,146.16,144.98
21.000,145.42,146.11
21.200,145.35,142.77
21.400,145.36,145.98
21.600,145.03,146.05
21.800,145.21,146.11
22.000,145.15,145.47
22.200,144.87,146.15
22.400,145.05,143.45
22.600,145.19,145.35
22.800,145.16,146.09
23.000,144.91,146.16
23.200,144.88,143.48
23.400,144.52,146.23
23.600,144.68,144.18
23.800,144.35,146.68
24.000,144.47,146.75
24.200,144.43,146.82
24.400,144.79,144.78
24.600,144.60,146.13
24.800,144.64,144.72
25.000,144.88,146.65
25.200,145.27,145.36
25.400,144.87,146.74
25.600,144.73,144.73
25.800,145.08,145.45
26.000,145.66,142.86
26.200,146.37,145.73
26.400,145.99,144.42
26.600,146.50,147.15
26.800,146.86,146.45
27.000,147.31,146.48
27.200,146.35,143.51
27.400,146.71,146.12
27.600,146.11,144.81
27.800,145.38,146.14
28.000,144.77,144.22
28.200,144.56,146.35
28.400,144.39,143.55
28.600,145.01,146.28
28.800,145.53,145.64
29.000,145.63,144.96
29.200,145.37,144.12
29.400,144.86,145.49
29.600,144.97,144.17
29.800,145.14,145.59
30.000,145.22,143.59
30.200,145.07,144.94
30.400,145.69,147.04
30.600,145.41,146.42
30.800,145.28,142.97
31.000,145.89,145.73
31.200,145.99,145.10
31.400,146.32,144.31
31.600,145.83,146.40
31.800,145.93,145.78
32.000,146.07,144.32
32.200,146.37,146.40
32.400,146.40,145.75
32.600,146.75,145.64
32.800,146.33,146.37
33.000,145.38,146.43
33.200,145.05,144.72
33.400,144.70,146.09
33.600,144.70,145.45
33.800,144.90,144.67
34.000,145.28,146.08
34.200,144.90,145.47
34.400,146.38,143.82
34.600,148.89,148.20
34.800,149.62,146.81
35.000,149.79,146.72
35.200,150.67,147.49
35.400,149.62,146.77
35.600,147.33,145.36
35.800,146.85,146.78
36.000,146.81,144.07
36.200,146.41,146.05
36.400,146.24,146.11
36.600,145.96,144.11
36.800,145.89,146.05
37.000,145.35,146.12
37.200,145.19,144.07
37.400,145.60,146.06
37.600,145.75,145.44
37.800,146.04,144.11
38.000,146.01,146.05
38.200,145.80,146.11
38.400,145.50,142.73
38.600,145.13,146.11
38.800,144.94,146.18
39.000,144.91,145.50
39.200,145.04,145.42
39.400,144.78,146.16
39.600,145.08,144.06
39.800,145.13,145.38
40.000,145.66,146.12
40.200,145.62,144.09
40.400,145.30,145.40
40.600,144.68,146.14
40.800,144.43,144.06
41.000,143.70,146.07
41.200,143.63,145.46
41.400,143.89,143.07
41.600,146.32,147.34
41.800,147.42,146.70
42.000,148.13,143.84
42.200,148.53,147.37
42.400,148.72,146.72
42.600,147.11,144.26
42.800,146.03,145.40
43.000,145.67,145.47
43.200,144.90,144.05
43.400,144.66,146.06
43.600,144.00,145.44
43.800,144.21,144.09
44.000,143.98,146.04
44.200,144.25,144.75
44.400,144.75,142.80
44.600,145.71,145.55
44.800,145.83,146.29
45.000,145.95,145.61
45.200,146.20,146.16
45.400,145.92,146.14
45.517,145.36,148.72
