t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1786428038.122092,0.2000,37.3155,9.315779e+10,2.518091e+12,2.516193e+12,9.261416e+10,5.436211e+08,2.512931e+12,3.261727e+09,350,464,30,350.0,2.512931e+12
1786428038.322093,0.2000,37.5887,1.154706e+11,1.835065e+12,1.835065e+12,1.142241e+11,1.246429e+09,1.827586e+12,7.478575e+09,0,592,37,0.0,1.827586e+12
1786428038.522092,0.2000,37.5895,1.097509e+11,2.056021e+12,2.053892e+12,1.080499e+11,1.701052e+09,2.043686e+12,1.020631e+10,105,557,35,105.0,2.043686e+12
1786428038.722093,0.2000,37.4877,1.004588e+11,1.904460e+12,1.902438e+12,9.878844e+10,1.670316e+09,1.892416e+12,1.002190e+10,104,509,32,104.0,1.892416e+12
1786428038.922092,0.2000,37.3519,1.134000e+11,1.913191e+12,1.912169e+12,1.111370e+11,2.263024e+09,1.898590e+12,1.357814e+10,41,574,36,41.0,1.898590e+12
1786428039.122093,0.2000,37.4858,1.200743e+11,1.986920e+12,1.986173e+12,1.173113e+11,2.763063e+09,1.969595e+12,1.657838e+10,31,607,38,31.0,1.969595e+12
1786428039.322093,0.2000,37.7200,1.206047e+11,1.943659e+12,1.943048e+12,1.173113e+11,3.293381e+09,1.923287e+12,1.976028e+10,17,606,38,17.0,1.923287e+12
1786428039.522093,0.2000,37.7503,1.102445e+11,2.413592e+12,2.408788e+12,1.080499e+11,2.194670e+09,2.395620e+12,1.316802e+10,222,554,35,222.0,2.395620e+12
1786428039.722093,0.2000,38.0144,1.198202e+11,2.010336e+12,2.009345e+12,1.173113e+11,2.508915e+09,1.994292e+12,1.505349e+10,39,607,38,39.0,1.994292e+12
1786428039.922093,0.2000,38.4650,1.171253e+11,2.041388e+12,2.039483e+12,1.142241e+11,2.901148e+09,2.022076e+12,1.740689e+10,66,589,37,66.0,2.022076e+12
1786428040.122093,0.2000,38.5163,1.132110e+11,2.194966e+12,2.191964e+12,1.111370e+11,2.074018e+09,2.179520e+12,1.244411e+10,135,571,36,135.0,2.179520e+12
1786428040.322093,0.2000,38.4078,1.229564e+11,2.081809e+12,2.080644e+12,1.203984e+11,2.558001e+09,2.065296e+12,1.534801e+10,47,622,39,47.0,2.065296e+12
1786428040.522093,0.2000,38.3874,1.201142e+11,1.893798e+12,1.893798e+12,1.173113e+11,2.802975e+09,1.876980e+12,1.681785e+10,0,608,38,0.0,1.876980e+12
1786428040.722093,0.2000,38.5730,1.141515e+11,2.002249e+12,2.000030e+12,1.111370e+11,3.014459e+09,1.981943e+12,1.808676e+10,68,574,36,68.0,1.981943e+12
1786428040.922093,0.2000,38.2851,1.100661e+11,2.359499e+12,2.355236e+12,1.080499e+11,2.016215e+09,2.343138e+12,1.209729e+10,207,552,35,207.0,2.343138e+12
1786428041.122093,0.2000,38.1998,1.194711e+11,2.008070e+12,2.007251e+12,1.173113e+11,2.159804e+09,1.994292e+12,1.295883e+10,39,607,38,39.0,1.994292e+12
1786428041.322093,0.2000,38.5575,1.165101e+11,2.136994e+12,2.134580e+12,1.142241e+11,2.285961e+09,2.120864e+12,1.371577e+10,101,586,37,101.0,2.120864e+12
1786428041.522093,0.2000,38.4103,1.162229e+11,2.103543e+12,2.101986e+12,1.142241e+11,1.998782e+09,2.089993e+12,1.199269e+10,86,591,37,86.0,2.089993e+12
1786428041.722093,0.2000,38.3250,1.133463e+11,1.912868e+12,1.911846e+12,1.111370e+11,2.209350e+09,1.898590e+12,1.325610e+10,42,573,36,42.0,1.898590e+12
1786428041.922093,0.2000,38.3902,1.230982e+11,1.942573e+12,1.942573e+12,1.203984e+11,2.699756e+09,1.926375e+12,1.619853e+10,0,624,39,0.0,1.926375e+12
1786428042.122093,0.2000,38.5894,1.173409e+11,2.127117e+12,2.124129e+12,1.142241e+11,3.116761e+09,2.105429e+12,1.870057e+10,92,590,37,92.0,2.105429e+12
1786428042.322093,0.2000,38.3454,1.168954e+11,2.155252e+12,2.152328e+12,1.142241e+11,2.671313e+09,2.136300e+12,1.602788e+10,105,587,37,105.0,2.136300e+12
1786428042.522093,0.2000,38.4373,1.134083e+11,2.121649e+12,2.119056e+12,1.111370e+11,2.271281e+09,2.105429e+12,1.362769e+10,110,572,36,110.0,2.105429e+12
1786428042.722094,0.2000,38.5551,1.166032e+11,2.118811e+12,2.116616e+12,1.142241e+11,2.379088e+09,2.102342e+12,1.427453e+10,93,588,37,93.0,2.102342e+12
