t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1786427957.576266,130.887,1980,3201,0.0,0.0,30.0
1786427957.586345,130.887,1980,3201,0.0,0.0,30.0
1786427957.596339,130.887,1980,3201,0.0,0.0,30.0
1786427957.606340,130.887,1980,3201,0.0,0.0,30.0
1786427957.616339,130.887,1980,3201,0.0,0.0,30.0
1786427957.626340,130.887,1980,3201,0.0,0.0,30.0
1786427957.636335,130.887,1980,3201,0.0,0.0,30.0
1786427957.646337,131.675,1980,3201,5.0,2.0,30.0
1786427957.656335,131.675,1980,3201,5.0,2.0,30.0
1786427957.666335,131.675,1980,3201,5.0,2.0,30.0
1786427957.676335,131.675,1980,3201,5.0,2.0,30.0
1786427957.686335,131.675,1980,3201,5.0,2.0,30.0
1786427957.696335,131.675,1980,3201,5.0,2.0,30.0
1786427957.706335,131.675,1980,3201,5.0,2.0,30.0
1786427957.716335,131.675,1980,3201,5.0,2.0,30.0
1786427957.726335,131.675,1980,3201,5.0,2.0,30.0
1786427957.736334,131.675,1980,3201,5.0,2.0,30.0
1786427957.746335,137.929,1980,3201,5.0,2.0,31.0
1786427957.756335,137.929,1980,3201,5.0,2.0,31.0
1786427957.766335,137.929,1980,3201,5.0,2.0,31.0
1786427957.776334,137.929,1980,3201,5.0,2.0,31.0
1786427957.786388,137.929,1980,3201,5.0,2.0,31.0
1786427957.796383,137.929,1980,3201,5.0,2.0,31.0
1786427957.806338,137.929,1980,3201,5.0,2.0,31.0
1786427957.816339,137.929,1980,3201,5.0,2.0,31.0
1786427957.826339,137.929,1980,3201,5.0,2.0,31.0
1786427957.836380,137.929,1980,3201,5.0,2.0,31.0
1786427957.846339,144.682,1980,3201,47.0,17.0,31.0
1786427957.856339,144.682,1980,3201,47.0,17.0,31.0
1786427957.866341,144.682,1980,3201,47.0,17.0,31.0
1786427957.876336,144.682,1980,3201,47.0,17.0,31.0
1786427957.886380,144.682,1980,3201,47.0,17.0,31.0
1786427957.896344,144.682,1980,3201,47.0,17.0,31.0
1786427957.906368,144.682,1980,3201,47.0,17.0,31.0
1786427957.916331,144.682,1980,3201,47.0,17.0,31.0
1786427957.926515,144.682,1980,3201,47.0,17.0,31.0
1786427957.936522,144.682,1980,3201,47.0,17.0,31.0
1786427957.946338,140.203,1980,3201,47.0,17.0,31.0
1786427957.956338,140.203,1980,3201,47.0,17.0,31.0
1786427957.966337,140.203,1980,3201,47.0,17.0,31.0
1786427957.976337,140.203,1980,3201,47.0,17.0,31.0
1786427957.986337,140.203,1980,3201,47.0,17.0,31.0
1786427957.996338,140.203,1980,3201,47.0,17.0,31.0
1786427958.006340,140.203,1980,3201,47.0,17.0,31.0
1786427958.016340,140.203,1980,3201,47.0,17.0,31.0
1786427958.026335,140.203,1980,3201,47.0,17.0,31.0
1786427958.036362,140.203,1980,3201,47.0,17.0,31.0
1786427958.046333,144.941,1980,3201,47.0,17.0,31.0
1786427958.056334,144.941,1980,3201,47.0,17.0,31.0
1786427958.066334,144.941,1980,3201,47.0,17.0,31.0
1786427958.076334,144.941,1980,3201,47.0,17.0,31.0
1786427958.086336,144.941,1980,3201,47.0,17.0,31.0
1786427958.096335,144.941,1980,3201,47.0,17.0,31.0
1786427958.106333,144.941,1980,3201,47.0,17.0,31.0
1786427958.116333,144.941,1980,3201,47.0,17.0,31.0
1786427958.126334,144.941,1980,3201,47.0,17.0,31.0
1786427958.136334,144.941,1980,3201,47.0,17.0,31.0
1786427958.146334,151.987,1980,3201,47.0,17.0,31.0
1786427958.156334,151.987,1980,3201,47.0,17.0,31.0
1786427958.166334,151.987,1980,3201,47.0,17.0,31.0
1786427958.176334,151.987,1980,3201,47.0,17.0,31.0
1786427958.186334,151.987,1980,3201,47.0,17.0,31.0
1786427958.196333,151.987,1980,3201,47.0,17.0,31.0
1786427958.206334,151.987,1980,3201,47.0,17.0,31.0
1786427958.216436,151.987,1980,3201,47.0,17.0,31.0
1786427958.226340,151.987,1980,3201,47.0,17.0,31.0
1786427958.236333,151.987,1980,3201,47.0,17.0,31.0
1786427958.246332,159.091,1980,3201,47.0,17.0,31.0
1786427958.256334,159.091,1980,3201,47.0,17.0,31.0
1786427958.266333,159.091,1980,3201,47.0,17.0,31.0
1786427958.276337,159.091,1980,3201,47.0,17.0,31.0
1786427958.286341,159.091,1980,3201,47.0,17.0,31.0
1786427958.296371,159.091,1980,3201,47.0,17.0,31.0
1786427958.306340,159.091,1980,3201,47.0,17.0,31.0
1786427958.316347,159.091,1980,3201,47.0,17.0,31.0
1786427958.326432,159.091,1980,3201,47.0,17.0,31.0
1786427958.336338,159.091,1980,3201,47.0,17.0,31.0
1786427958.346336,165.378,1980,3201,47.0,17.0,31.0
1786427958.356375,165.378,1980,3201,47.0,17.0,31.0
1786427958.366348,165.378,1980,3201,47.0,17.0,31.0
1786427958.376336,165.378,1980,3201,47.0,17.0,31.0
1786427958.386335,165.378,1980,3201,47.0,17.0,31.0
1786427958.396473,165.378,1980,3201,47.0,17.0,31.0
1786427958.406348,165.378,1980,3201,47.0,17.0,31.0
1786427958.416339,165.378,1980,3201,47.0,17.0,31.0
1786427958.426337,165.378,1980,3201,47.0,17.0,31.0
1786427958.436338,165.378,1980,3201,47.0,17.0,31.0
1786427958.446338,172.195,1980,3201,48.0,17.0,31.0
1786427958.456518,172.195,1980,3201,48.0,17.0,31.0
1786427958.466334,172.195,1980,3201,48.0,17.0,31.0
1786427958.476338,172.195,1980,3201,48.0,17.0,31.0
1786427958.486339,172.195,1980,3201,48.0,17.0,31.0
1786427958.496340,172.195,1980,3201,48.0,17.0,31.0
1786427958.506338,172.195,1980,3201,48.0,17.0,31.0
1786427958.516339,172.195,1980,3201,48.0,17.0,31.0
1786427958.526344,172.195,1980,3201,48.0,17.0,31.0
1786427958.536339,172.195,1980,3201,48.0,17.0,31.0
1786427958.546339,179.221,1980,3201,48.0,17.0,31.0
1786427958.556338,179.221,1980,3201,48.0,17.0,31.0
1786427958.566338,179.221,1980,3201,48.0,17.0,31.0
1786427958.576385,179.221,1980,3201,48.0,17.0,31.0
1786427958.586339,179.221,1980,3201,48.0,17.0,31.0
1786427958.596338,179.221,1980,3201,48.0,17.0,31.0
1786427958.606338,179.221,1980,3201,48.0,17.0,31.0
1786427958.616338,179.221,1980,3201,48.0,17.0,31.0
1786427958.626338,179.221,1980,3201,48.0,17.0,31.0
1786427958.636339,179.221,1980,3201,48.0,17.0,31.0
1786427958.646339,186.412,1980,3201,48.0,17.0,31.0
1786427958.656339,186.412,1980,3201,48.0,17.0,31.0
1786427958.666338,186.412,1980,3201,48.0,17.0,31.0
1786427958.676376,186.412,1980,3201,48.0,17.0,31.0
1786427958.686340,186.412,1980,3201,48.0,17.0,31.0
1786427958.696338,186.412,1980,3201,48.0,17.0,31.0
1786427958.706338,186.412,1980,3201,48.0,17.0,31.0
1786427958.716338,186.412,1980,3201,48.0,17.0,31.0
1786427958.726338,186.412,1980,3201,48.0,17.0,31.0
1786427958.736338,186.412,1980,3201,48.0,17.0,31.0
1786427958.746338,186.646,1980,3201,48.0,17.0,31.0
1786427958.756369,186.646,1980,3201,48.0,17.0,31.0
1786427958.766343,186.646,1980,3201,48.0,17.0,31.0
1786427958.776368,186.646,1980,3201,48.0,17.0,31.0
1786427958.786341,186.646,1980,3201,48.0,17.0,31.0
1786427958.796568,186.646,1980,3201,48.0,17.0,31.0
1786427958.806593,186.646,1980,3201,48.0,17.0,31.0
1786427958.816338,186.646,1980,3201,48.0,17.0,31.0
1786427958.826378,186.646,1980,3201,48.0,17.0,31.0
1786427958.836337,186.646,1980,3201,48.0,17.0,31.0
1786427958.846338,186.978,1980,3201,48.0,17.0,31.0
1786427958.856338,186.978,1980,3201,49.0,17.0,31.0
1786427958.866338,186.978,1980,3201,49.0,17.0,31.0
1786427958.876339,186.978,1980,3201,49.0,17.0,31.0
1786427958.886336,186.978,1980,3201,49.0,17.0,31.0
1786427958.896336,186.978,1980,3201,49.0,17.0,31.0
1786427958.906338,186.978,1980,3201,49.0,17.0,31.0
1786427958.916339,186.978,1980,3201,49.0,17.0,31.0
1786427958.926339,186.978,1980,3201,49.0,17.0,31.0
1786427958.936338,186.978,1980,3201,49.0,17.0,31.0
1786427958.946338,186.250,1980,3201,49.0,17.0,31.0
1786427958.956339,186.250,1980,3201,49.0,17.0,31.0
1786427958.966338,186.250,1980,3201,49.0,17.0,31.0
1786427958.976338,186.250,1980,3201,49.0,17.0,31.0
1786427958.986338,186.250,1980,3201,49.0,17.0,31.0
1786427958.996339,186.250,1980,3201,49.0,17.0,31.0
1786427959.006338,186.250,1980,3201,49.0,17.0,31.0
1786427959.016356,186.250,1980,3201,49.0,17.0,31.0
1786427959.026339,186.250,1980,3201,49.0,17.0,31.0
1786427959.036338,186.250,1980,3201,49.0,17.0,31.0
1786427959.046338,186.551,1980,3201,49.0,17.0,31.0
1786427959.056339,186.551,1980,3201,47.0,17.0,32.0
1786427959.066338,186.551,1980,3201,47.0,17.0,32.0
1786427959.076351,186.551,1980,3201,47.0,17.0,32.0
1786427959.086376,186.551,1980,3201,47.0,17.0,32.0
1786427959.096380,186.551,1980,3201,47.0,17.0,32.0
1786427959.106445,186.551,1980,3201,47.0,17.0,32.0
1786427959.116347,186.551,1980,3201,47.0,17.0,32.0
1786427959.126616,186.551,1980,3201,47.0,17.0,32.0
1786427959.136329,186.551,1980,3201,47.0,17.0,32.0
1786427959.146324,186.670,1980,3201,47.0,17.0,32.0
1786427959.156325,186.670,1980,3201,47.0,17.0,31.0
1786427959.166325,186.670,1980,3201,47.0,17.0,31.0
1786427959.176324,186.670,1980,3201,47.0,17.0,31.0
1786427959.186325,186.670,1980,3201,47.0,17.0,31.0
1786427959.196328,186.670,1980,3201,47.0,17.0,31.0
1786427959.206329,186.670,1980,3201,47.0,17.0,31.0
1786427959.216328,186.670,1980,3201,47.0,17.0,31.0
1786427959.226329,186.670,1980,3201,47.0,17.0,31.0
1786427959.236329,186.670,1980,3201,47.0,17.0,31.0
1786427959.246329,186.704,1980,3201,47.0,17.0,31.0
1786427959.256328,186.704,1980,3201,47.0,17.0,32.0
1786427959.266328,186.704,1980,3201,47.0,17.0,32.0
1786427959.276329,186.704,1980,3201,47.0,17.0,32.0
1786427959.286330,186.704,1980,3201,47.0,17.0,32.0
1786427959.296329,186.704,1980,3201,47.0,17.0,32.0
1786427959.306329,186.704,1980,3201,47.0,17.0,32.0
1786427959.316329,186.704,1980,3201,47.0,17.0,32.0
1786427959.326329,186.704,1980,3201,47.0,17.0,32.0
1786427959.336330,186.704,1980,3201,47.0,17.0,32.0
1786427959.346328,186.953,1980,3201,47.0,17.0,32.0
1786427959.356328,186.953,1980,3201,47.0,17.0,32.0
1786427959.366329,186.953,1980,3201,47.0,17.0,32.0
1786427959.376329,186.953,1980,3201,47.0,17.0,32.0
1786427959.386338,186.953,1980,3201,47.0,17.0,32.0
1786427959.396339,186.953,1980,3201,47.0,17.0,32.0
1786427959.406337,186.953,1980,3201,47.0,17.0,32.0
1786427959.416329,186.953,1980,3201,47.0,17.0,32.0
1786427959.426333,186.953,1980,3201,47.0,17.0,32.0
1786427959.436336,186.953,1980,3201,47.0,17.0,32.0
1786427959.446343,186.924,1980,3201,47.0,17.0,32.0
1786427959.456339,186.924,1980,3201,44.0,15.0,32.0
1786427959.466340,186.924,1980,3201,44.0,15.0,32.0
1786427959.476340,186.924,1980,3201,44.0,15.0,32.0
1786427959.486340,186.924,1980,3201,44.0,15.0,32.0
1786427959.496337,186.924,1980,3201,44.0,15.0,32.0
1786427959.506340,186.924,1980,3201,44.0,15.0,32.0
1786427959.516340,186.924,1980,3201,44.0,15.0,32.0
1786427959.526341,186.924,1980,3201,44.0,15.0,32.0
1786427959.536340,186.924,1980,3201,44.0,15.0,32.0
1786427959.546340,186.924,1980,3201,44.0,15.0,32.0
1786427959.556340,187.144,1980,3201,44.0,15.0,32.0
1786427959.566339,187.144,1980,3201,44.0,15.0,32.0
1786427959.576339,187.144,1980,3201,44.0,15.0,32.0
1786427959.586337,187.144,1980,3201,44.0,15.0,32.0
1786427959.596334,187.144,1980,3201,44.0,15.0,32.0
1786427959.606768,187.144,1980,3201,44.0,15.0,32.0
1786427959.616329,187.144,1980,3201,44.0,15.0,32.0
1786427959.626510,187.144,1980,3201,44.0,15.0,32.0
1786427959.636504,187.144,1980,3201,44.0,15.0,32.0
1786427959.646333,187.144,1980,3201,44.0,15.0,32.0
1786427959.656332,187.085,1980,3201,48.0,17.0,32.0
1786427959.666331,187.085,1980,3201,48.0,17.0,32.0
1786427959.676334,187.085,1980,3201,48.0,17.0,32.0
1786427959.686334,187.085,1980,3201,48.0,17.0,32.0
1786427959.696335,187.085,1980,3201,48.0,17.0,32.0
1786427959.706334,187.085,1980,3201,48.0,17.0,32.0
