t_rel_s,measured_w,predicted_w
0.000,186.51,182.06
0.200,186.65,189.52
0.400,186.88,184.06
0.600,187.06,189.66
0.800,187.18,189.77
1.000,187.52,189.88
1.200,186.79,182.35
1.400,186.25,189.55
1.600,186.06,185.96
1.800,185.74,187.71
2.000,186.31,185.91
2.200,186.95,185.90
2.400,186.65,189.64
2.600,186.15,185.89
2.800,186.05,184.06
3.000,184.67,184.08
3.200,184.51,189.63
3.400,184.79,184.10
3.600,184.98,189.66
3.800,185.54,186.02
4.000,186.51,189.70
4.200,186.70,184.01
4.400,187.17,187.58
4.600,187.61,185.80
4.800,187.49,185.82
5.000,186.99,187.74
5.200,186.78,182.21
5.400,185.90,189.62
5.600,185.28,185.97
5.800,185.65,189.65
6.000,186.86,182.22
6.200,186.97,184.02
6.400,186.50,189.64
6.600,187.00,184.06
6.800,186.83,189.63
7.000,185.98,189.73
7.200,185.91,186.06
7.400,186.68,186.04
7.600,187.00,189.69
7.800,187.57,184.17
8.000,187.47,187.69
8.200,187.32,187.78
8.400,187.29,189.73
8.600,187.11,184.11
8.800,187.02,187.71
9.000,187.49,189.60
9.200,188.12,186.00
9.400,188.29,185.92
9.600,188.30,191.52
9.800,188.13,187.85
10.000,188.09,185.99
10.200,187.52,163.82
10.400,187.58,215.57
10.600,187.65,186.04
10.800,187.38,189.62
11.000,187.09,189.72
11.200,187.47,182.20
11.400,187.42,184.09
11.600,187.07,185.96
11.800,187.02,186.05
12.000,186.85,184.07
12.200,186.60,187.76
12.400,186.57,186.02
12.600,187.17,186.11
12.800,186.82,182.30
13.000,186.55,187.70
13.200,186.02,184.05
13.400,185.76,184.04
13.600,185.06,185.86
13.800,185.23,185.90
14.000,185.28,182.17
14.200,185.62,187.73
14.400,185.85,185.94
14.600,185.91,184.09
14.800,185.60,185.89
15.000,185.62,189.61
15.200,185.22,186.00
15.400,185.54,185.92
15.600,185.75,187.84
15.800,186.09,182.23
16.000,186.72,185.86
16.200,187.34,187.81
16.400,186.84,186.03
16.600,187.06,186.00
16.800,186.94,187.83
17.000,186.04,186.07
17.200,185.66,185.92
17.400,185.82,187.77
17.600,185.50,185.93
17.800,185.52,185.96
18.000,185.08,176.68
18.200,184.66,187.78
18.400,184.37,187.88
18.600,184.01,186.01
18.800,184.02,187.91
19.000,184.75,184.16
19.200,185.61,186.02
19.400,186.13,185.83
19.600,186.55,182.23
19.800,185.87,184.08
20.000,186.39,182.11
20.200,186.41,187.62
20.400,185.84,187.73
20.600,185.75,185.96
20.800,186.05,187.83
21.000,186.22,187.94
21.200,186.76,182.29
21.400,187.00,183.99
21.600,186.78,185.84
21.800,187.07,187.78
22.000,186.45,185.96
22.200,186.00,187.88
22.400,186.06,187.92
22.600,186.56,185.92
22.800,187.30,185.85
23.000,188.25,189.62
23.200,188.64,187.85
23.400,188.95,189.66
23.600,188.89,191.62
23.800,188.85,184.05
24.000,189.01,187.74
24.200,188.94,189.56
24.400,188.60,191.52
24.600,189.00,187.79
24.800,188.54,185.91
25.000,187.92,187.66
25.200,188.21,189.54
25.400,188.69,189.58
25.600,188.67,187.79
25.800,188.66,187.79
26.000,188.86,185.89
26.200,188.85,187.64
26.400,188.46,189.52
26.600,188.73,189.63
26.800,188.87,189.67
27.000,188.58,187.75
27.200,188.44,189.66
27.400,188.55,187.76
27.600,188.52,189.59
27.800,188.65,187.75
28.000,189.00,191.53
28.200,188.75,187.84
28.400,188.69,187.79
28.600,188.52,191.51
28.800,189.19,187.89
29.000,188.82,187.78
29.200,189.02,189.55
29.400,189.24,184.09
29.600,188.94,189.60
29.800,188.28,185.89
30.000,188.89,189.63
30.200,188.61,189.74
30.400,188.40,184.03
30.600,188.43,189.58
30.800,188.13,187.74
31.000,187.68,189.62
31.200,188.36,189.61
31.400,188.82,187.81
31.600,189.57,189.70
31.800,190.13,185.84
32.000,190.18,189.60
32.200,189.55,189.71
32.400,189.30,189.66
32.600,188.94,187.84
32.800,188.76,189.68
33.000,188.28,185.95
33.200,188.07,187.75
33.400,188.13,189.65
33.600,188.14,187.83
33.800,188.07,189.69
34.000,188.24,187.79
34.200,188.57,187.71
34.400,188.73,189.55
34.600,188.38,187.82
34.800,188.45,187.90
35.000,188.85,187.87
35.200,188.81,187.90
35.400,189.00,185.95
35.600,188.81,185.82
35.800,188.37,189.61
36.000,187.55,187.82
36.200,187.34,185.91
36.400,187.61,187.78
36.600,187.96,189.72
36.800,187.65,184.09
37.000,187.78,189.63
37.200,188.34,189.73
37.400,187.65,187.83
37.600,187.75,184.08
37.800,188.65,189.59
38.000,188.26,184.11
38.200,187.79,187.74
38.400,187.92,185.97
38.600,187.44,185.92
38.800,187.08,185.85
39.000,187.55,187.70
39.200,187.86,191.49
39.400,188.16,186.00
39.600,188.70,187.78
39.800,188.61,189.58
40.000,189.06,187.78
40.200,189.02,189.57
40.400,188.58,187.81
40.600,188.37,187.83
40.800,188.04,189.67
41.000,187.90,189.64
41.200,188.60,189.71
41.400,189.33,187.86
41.600,189.16,187.90
41.800,189.69,185.86
42.000,189.77,189.58
42.200,188.91,187.78
42.400,188.52,189.63
42.600,188.21,191.58
42.800,188.15,187.90
43.000,188.03,182.21
43.200,188.32,189.44
43.400,188.16,189.51
43.600,188.50,189.62
43.800,188.51,189.72
44.000,188.38,187.94
44.200,188.62,187.86
44.400,188.61,187.76
44.600,188.36,189.57
44.800,188.71,189.58
45.000,188.61,189.69
45.200,188.17,189.60
45.400,187.96,189.42
45.535,188.29,188.46
