t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1786428194.776090,1786428194.776090,mixed,1,0,32,0.0000,25,1,
1786428194.776090,1786428194.785423,mixed,2,0,64,0.0000,25,2,
1786428194.785423,1786428194.797867,decode,2,0,64,0.0000,0,2,
1786428194.797867,1786428194.802711,decode,2,0,64,0.0000,0,2,
1786428194.802711,1786428194.807726,decode,2,0,64,0.0000,0,2,
1786428194.807726,1786428194.813106,decode,2,0,64,0.0000,0,2,
1786428194.813106,1786428194.817964,decode,2,0,64,0.0000,0,2,
1786428194.817964,1786428194.823195,decode,1,0,32,0.0000,0,2,
1786428194.823195,1786428194.828942,decode,1,0,48,0.0000,0,1,
1786428194.828942,1786428194.833986,decode,1,0,48,0.0000,0,1,
1786428194.833986,1786428194.838923,decode,1,0,48,0.0000,0,1,
1786428194.838923,1786428194.844118,decode,1,0,48,0.0000,0,1,
1786428194.844118,1786428194.849101,decode,1,0,48,0.0000,0,1,
1786428194.849101,1786428194.854054,decode,1,0,48,0.0000,0,1,
1786428194.854054,1786428194.858850,decode,1,0,48,0.0000,0,1,
1786428194.858850,1786428194.864080,decode,1,0,48,0.0000,0,1,
1786428194.864080,1786428194.869078,decode,1,0,48,0.0000,0,1,
1786428194.869078,1786428194.874107,decode,1,0,48,0.0000,0,1,
1786428194.874107,1786428194.879072,decode,1,0,48,0.0000,0,1,
1786428194.879072,1786428194.884070,decode,1,0,48,0.0000,0,1,
1786428194.884070,1786428194.889046,decode,1,0,48,0.0000,0,1,
1786428194.889046,1786428194.894412,decode,1,0,48,0.0000,0,1,
1786428194.894412,1786428194.898999,decode,1,0,48,0.0000,0,1,
1786428194.898999,1786428194.904467,decode,1,0,48,0.0000,0,1,
1786428194.904467,1786428194.908973,decode,1,0,64,0.0000,0,1,
1786428194.908973,1786428194.914431,decode,1,0,64,0.0000,0,1,
1786428194.914431,1786428194.919010,decode,1,0,64,0.0000,0,1,
1786428194.919010,1786428194.923944,decode,1,0,64,0.0000,0,1,
1786428194.923944,1786428194.928952,decode,1,0,64,0.0000,0,1,
1786428194.928952,1786428194.933820,decode,1,0,64,0.0000,0,1,
1786428194.933820,1786428194.938923,decode,1,0,64,0.0000,0,1,
1786428194.938923,1786428194.943830,decode,1,0,64,0.0000,0,1,
1786428194.943830,1786428194.948794,decode,1,0,64,0.0000,0,1,
1786428194.948794,1786428194.953859,decode,1,0,64,0.0000,0,1,
1786428194.953859,1786428194.958690,decode,1,0,64,0.0000,0,1,
1786428194.958690,1786428194.964056,decode,1,0,64,0.0000,0,1,
1786428194.964056,1786428194.968617,decode,1,0,64,0.0000,0,1,
1786428194.968617,1786428194.973789,decode,1,0,64,0.0000,0,1,
1786428194.973789,1786428194.978637,decode,1,0,64,0.0000,0,1,
1786428194.978637,1786428194.983733,decode,1,0,64,0.0000,0,1,
1786428194.983733,1786428194.988602,decode,1,0,80,0.0000,0,1,
1786428194.988602,1786428194.993657,decode,1,0,80,0.0000,0,1,
1786428194.993657,1786428194.998445,decode,1,0,80,0.0000,0,1,
1786428194.998445,1786428195.003864,decode,1,0,80,0.0000,0,1,
1786428195.003864,1786428195.008382,decode,1,0,80,0.0000,0,1,
1786428195.008382,1786428195.013960,decode,1,0,80,0.0000,0,1,
1786428195.013960,1786428195.018371,decode,1,0,80,0.0000,0,1,
1786428195.018371,1786428195.023504,decode,1,0,80,0.0000,0,1,
1786428195.023504,1786428195.028511,decode,1,0,80,0.0000,0,1,
1786428195.028511,1786428195.033478,decode,1,0,80,0.0000,0,1,
1786428195.033478,1786428195.038419,decode,1,0,80,0.0000,0,1,
1786428195.038419,1786428195.043411,decode,1,0,80,0.0000,0,1,
1786428195.043411,1786428195.048391,decode,1,0,80,0.0000,0,1,
1786428195.048391,1786428195.053231,decode,1,0,80,0.0000,0,1,
1786428195.053231,1786428195.058310,decode,1,0,80,0.0000,0,1,
1786428195.058310,1786428195.063500,decode,1,0,80,0.0000,0,1,
1786428195.063500,1786428195.068249,decode,1,0,96,0.0000,0,1,
1786428195.068249,1786428195.073465,decode,1,0,96,0.0000,0,1,
1786428195.073465,1786428195.078491,decode,1,0,96,0.0000,0,1,
1786428195.078491,1786428195.083615,decode,1,0,96,0.0000,0,1,
1786428195.083615,1786428195.088551,decode,1,0,96,0.0000,0,1,
1786428195.088551,1786428195.093442,decode,1,0,96,0.0000,0,1,
1786428195.093442,1786428195.098388,decode,1,0,96,0.0000,0,1,
1786428195.098388,1786428195.103406,decode,1,0,96,0.0000,0,1,
1786428195.103406,1786428195.108082,decode,1,0,96,0.0000,0,1,
1786428195.108082,1786428195.112957,decode,1,0,96,0.0000,0,1,
1786428195.112957,1786428195.117829,decode,1,0,96,0.0000,0,1,
1786428195.117829,1786428195.122981,decode,1,0,96,0.0000,0,1,
1786428195.122981,1786428195.127810,decode,1,0,96,0.0000,0,1,
1786428195.127810,1786428195.133203,decode,1,0,96,0.0000,0,1,
1786428195.133203,1786428195.137832,decode,1,0,96,0.0000,0,1,
1786428195.137832,1786428195.143503,decode,1,0,96,0.0000,0,1,
1786428195.143503,1786428195.148502,decode,1,0,112,0.0000,0,1,
1786428195.148502,1786428195.154124,decode,1,0,112,0.0000,0,1,
1786428195.154124,1786428195.159369,decode,1,0,112,0.0000,0,1,
1786428195.159369,1786428195.164619,decode,1,0,112,0.0000,0,1,
1786428195.164619,1786428195.169903,decode,1,0,112,0.0000,0,1,
1786428195.169903,1786428195.175174,decode,1,0,112,0.0000,0,1,
1786428195.175174,1786428195.180523,decode,1,0,112,0.0000,0,1,
1786428195.180523,1786428195.185903,decode,1,0,112,0.0000,0,1,
1786428195.185903,1786428195.191065,decode,1,0,112,0.0000,0,1,
1786428195.191065,1786428195.196048,decode,1,0,112,0.0000,0,1,
1786428195.196048,1786428195.201015,decode,1,0,112,0.0000,0,1,
1786428195.201015,1786428195.206008,decode,1,0,112,0.0000,0,1,
1786428195.206008,1786428195.210905,decode,1,0,112,0.0000,0,1,
1786428195.210905,1786428195.216007,decode,1,0,112,0.0000,0,1,
1786428195.216007,1786428195.220915,decode,1,0,112,0.0000,0,1,
1786428195.220915,1786428195.226094,decode,1,0,112,0.0000,0,1,
1786428195.226094,1786428195.230853,decode,1,0,128,0.0000,0,1,
1786428195.230853,1786428195.236047,decode,1,0,128,0.0000,0,1,
1786428195.236047,1786428195.240856,decode,1,0,128,0.0000,0,1,
1786428195.240856,1786428195.246035,decode,1,0,128,0.0000,0,1,
1786428195.246035,1786428195.250927,decode,1,0,128,0.0000,0,1,
1786428195.250927,1786428195.256045,decode,1,0,128,0.0000,0,1,
1786428195.256045,1786428195.260721,decode,1,0,128,0.0000,0,1,
1786428195.260721,1786428195.265878,decode,1,0,128,0.0000,0,1,
1786428195.265878,1786428195.270814,decode,1,0,128,0.0000,0,1,
1786428195.270814,1786428195.276034,decode,1,0,128,0.0000,0,1,
1786428195.276034,1786428195.280748,decode,1,0,128,0.0000,0,1,
1786428195.280748,1786428195.285841,decode,1,0,128,0.0000,0,1,
1786428195.285841,1786428195.290829,decode,1,0,128,0.0000,0,1,
1786428195.290829,1786428195.295834,decode,1,0,128,0.0000,0,1,
1786428195.295834,1786428195.300766,decode,1,0,128,0.0000,0,1,
1786428195.300766,1786428195.305807,decode,1,0,128,0.0000,0,1,
1786428195.305807,1786428195.310802,decode,1,0,144,0.0000,0,1,
1786428195.310802,1786428195.315803,decode,1,0,144,0.0000,0,1,
1786428195.315803,1786428195.320576,decode,1,0,144,0.0000,0,1,
1786428195.320576,1786428195.325630,decode,1,0,144,0.0000,0,1,
1786428195.325630,1786428195.330745,decode,1,0,144,0.0000,0,1,
1786428195.330745,1786428195.335727,decode,1,0,144,0.0000,0,1,
1786428195.335727,1786428195.340723,decode,1,0,144,0.0000,0,1,
1786428195.340723,1786428195.345741,decode,1,0,144,0.0000,0,1,
1786428195.345741,1786428195.350742,decode,1,0,144,0.0000,0,1,
1786428195.350742,1786428195.355726,decode,1,0,144,0.0000,0,1,
1786428195.355726,1786428195.360693,decode,1,0,144,0.0000,0,1,
1786428195.360693,1786428195.365721,decode,1,0,144,0.0000,0,1,
1786428195.365721,1786428195.370767,decode,1,0,144,0.0000,0,1,
1786428195.370767,1786428195.375717,decode,1,0,144,0.0000,0,1,
1786428195.375717,1786428195.380722,decode,1,0,144,0.0000,0,1,
1786428195.380722,1786428195.385729,decode,1,0,144,0.0000,0,1,
1786428195.385729,1786428195.390655,decode,1,0,160,0.0000,0,1,
1786428195.390655,1786428195.395713,decode,1,0,160,0.0000,0,1,
1786428195.395713,1786428195.400658,decode,1,0,160,0.0000,0,1,
1786428195.400658,1786428195.405607,decode,1,0,160,0.0000,0,1,
1786428195.405607,1786428195.410734,decode,1,0,160,0.0000,0,1,
1786428195.410734,1786428195.415668,decode,1,0,160,0.0000,0,1,
1786428195.415668,1786428195.420626,decode,1,0,160,0.0000,0,1,
1786428195.420626,1786428195.425589,decode,1,0,160,0.0000,0,1,
1786428195.425589,1786428195.430573,decode,1,0,160,0.0000,0,1,
1786428195.430573,1786428195.435589,decode,1,0,160,0.0000,0,1,
1786428195.435589,1786428195.440602,decode,1,0,160,0.0000,0,1,
1786428195.440602,1786428195.445542,decode,1,0,160,0.0000,0,1,
1786428195.445542,1786428195.450565,decode,1,0,160,0.0000,0,1,
1786428195.450565,1786428195.455558,decode,1,0,160,0.0000,0,1,
