t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1786428509.923991,131.860,1980,3201,0.0,0.0,30.0
1786428509.934062,131.860,1980,3201,0.0,0.0,30.0
1786428509.944059,131.860,1980,3201,0.0,0.0,30.0
1786428509.954147,131.860,1980,3201,0.0,0.0,30.0
1786428509.964067,131.860,1980,3201,0.0,0.0,30.0
1786428509.974064,131.860,1980,3201,0.0,0.0,30.0
1786428509.984027,138.220,1980,3201,0.0,0.0,30.0
1786428509.994060,138.220,1980,3201,0.0,0.0,30.0
1786428510.004060,138.220,1980,3201,0.0,0.0,30.0
1786428510.014060,138.220,1980,3201,0.0,0.0,30.0
1786428510.024060,138.220,1980,3201,0.0,0.0,30.0
1786428510.034060,138.220,1980,3201,0.0,0.0,30.0
1786428510.044054,138.220,1980,3201,0.0,0.0,30.0
1786428510.054358,138.220,1980,3201,0.0,0.0,30.0
1786428510.064058,138.220,1980,3201,0.0,0.0,30.0
1786428510.074056,138.220,1980,3201,0.0,0.0,30.0
1786428510.084053,168.883,1965,3201,0.0,0.0,34.0
1786428510.094053,168.883,1965,3201,0.0,0.0,34.0
1786428510.104061,168.883,1965,3201,0.0,0.0,34.0
1786428510.114059,168.883,1965,3201,0.0,0.0,34.0
1786428510.124063,168.883,1965,3201,0.0,0.0,34.0
1786428510.134063,168.883,1965,3201,0.0,0.0,34.0
1786428510.144507,168.883,1965,3201,0.0,0.0,34.0
1786428510.154063,168.883,1965,3201,0.0,0.0,34.0
1786428510.164058,168.883,1965,3201,0.0,0.0,34.0
1786428510.174063,168.883,1965,3201,0.0,0.0,34.0
1786428510.184188,179.385,1965,3201,45.0,16.0,33.0
1786428510.194062,179.385,1965,3201,45.0,16.0,33.0
1786428510.204062,179.385,1965,3201,45.0,16.0,33.0
1786428510.214063,179.385,1965,3201,45.0,16.0,33.0
1786428510.224059,179.385,1965,3201,45.0,16.0,33.0
1786428510.234062,179.385,1965,3201,45.0,16.0,33.0
1786428510.244062,179.385,1965,3201,45.0,16.0,33.0
1786428510.254064,179.385,1965,3201,45.0,16.0,33.0
1786428510.264064,179.385,1965,3201,45.0,16.0,33.0
1786428510.274153,179.385,1965,3201,45.0,16.0,33.0
1786428510.284063,176.555,1965,3201,45.0,16.0,33.0
1786428510.294063,176.555,1965,3201,45.0,16.0,33.0
1786428510.304062,176.555,1965,3201,45.0,16.0,33.0
1786428510.314063,176.555,1965,3201,45.0,16.0,33.0
1786428510.324061,176.555,1965,3201,45.0,16.0,33.0
1786428510.334062,176.555,1965,3201,45.0,16.0,33.0
1786428510.344062,176.555,1965,3201,45.0,16.0,33.0
1786428510.354059,176.555,1965,3201,45.0,16.0,33.0
1786428510.364057,176.555,1965,3201,45.0,16.0,33.0
1786428510.374066,176.555,1965,3201,45.0,16.0,33.0
1786428510.384063,185.651,1980,3201,48.0,17.0,33.0
1786428510.394058,185.651,1980,3201,48.0,17.0,33.0
1786428510.404174,185.651,1980,3201,48.0,17.0,33.0
1786428510.414064,185.651,1980,3201,48.0,17.0,33.0
1786428510.424064,185.651,1980,3201,48.0,17.0,33.0
1786428510.434063,185.651,1980,3201,48.0,17.0,33.0
1786428510.444059,185.651,1980,3201,48.0,17.0,33.0
1786428510.454062,185.651,1980,3201,48.0,17.0,33.0
1786428510.464061,185.651,1980,3201,48.0,17.0,33.0
1786428510.474062,185.651,1980,3201,48.0,17.0,33.0
1786428510.484062,196.872,1980,3201,48.0,17.0,33.0
1786428510.494061,196.872,1980,3201,48.0,17.0,33.0
1786428510.504573,196.872,1980,3201,48.0,17.0,33.0
1786428510.514063,196.872,1980,3201,48.0,17.0,33.0
1786428510.524061,196.872,1980,3201,48.0,17.0,33.0
1786428510.534062,196.872,1980,3201,48.0,17.0,33.0
1786428510.544065,196.872,1980,3201,48.0,17.0,33.0
1786428510.554061,196.872,1980,3201,48.0,17.0,33.0
1786428510.564062,196.872,1980,3201,48.0,17.0,33.0
1786428510.574063,196.872,1980,3201,48.0,17.0,33.0
1786428510.584067,208.114,1980,3201,46.0,17.0,33.0
1786428510.594448,208.114,1980,3201,46.0,17.0,33.0
1786428510.604063,208.114,1980,3201,46.0,17.0,33.0
1786428510.614062,208.114,1980,3201,46.0,17.0,33.0
1786428510.624063,208.114,1980,3201,46.0,17.0,33.0
1786428510.634072,208.114,1980,3201,46.0,17.0,33.0
1786428510.644062,208.114,1980,3201,46.0,17.0,33.0
1786428510.654060,208.114,1980,3201,46.0,17.0,33.0
