t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1786428589.589799,1786428589.589799,mixed,1,0,16,0.0000,10,1,
1786428589.589799,1786428589.603825,mixed,2,0,48,0.0000,21,2,
1786428589.603825,1786428589.613908,decode,2,0,48,0.0000,0,2,
1786428589.613908,1786428589.619523,decode,2,0,48,0.0000,0,2,
1786428589.619523,1786428589.625051,decode,2,0,48,0.0000,0,2,
1786428589.625051,1786428589.630548,decode,2,0,48,0.0000,0,2,
1786428589.630548,1786428589.635706,decode,2,0,48,0.0000,0,2,
1786428589.635706,1786428589.641022,decode,2,0,64,0.0000,0,2,
1786428589.641022,1786428589.646275,decode,2,0,64,0.0000,0,2,
1786428589.646275,1786428589.651587,decode,2,0,64,0.0000,0,2,
1786428589.651587,1786428589.656320,decode,2,0,64,0.0000,0,2,
1786428589.656320,1786428589.661856,decode,2,0,64,0.0000,0,2,
1786428589.661856,1786428589.666895,decode,2,0,64,0.0000,0,2,
1786428589.666895,1786428589.671882,decode,2,0,80,0.0000,0,2,
1786428589.671882,1786428589.677096,decode,2,0,80,0.0000,0,2,
1786428589.677096,1786428589.682075,decode,2,0,80,0.0000,0,2,
1786428589.682075,1786428589.687765,decode,2,0,80,0.0000,0,2,
1786428589.687765,1786428589.692459,decode,2,0,80,0.0000,0,2,
1786428589.692459,1786428589.697512,decode,2,0,80,0.0000,0,2,
1786428589.697512,1786428589.702921,decode,2,0,80,0.0000,0,2,
1786428589.702921,1786428589.708170,decode,2,0,80,0.0000,0,2,
1786428589.708170,1786428589.712850,decode,2,0,80,0.0000,0,2,
1786428589.712850,1786428589.718318,decode,2,0,80,0.0000,0,2,
1786428589.718318,1786428589.723082,decode,2,0,96,0.0000,0,2,
1786428589.723082,1786428589.728395,decode,2,0,96,0.0000,0,2,
1786428589.728395,1786428589.733241,decode,2,0,96,0.0000,0,2,
1786428589.733241,1786428589.738668,decode,2,0,96,0.0000,0,2,
1786428589.738668,1786428589.743530,decode,2,0,96,0.0000,0,2,
1786428589.743530,1786428589.749049,decode,2,0,96,0.0000,0,2,
1786428589.749049,1786428589.753903,decode,2,0,112,0.0000,0,2,
1786428589.753903,1786428589.758941,decode,2,0,112,0.0000,0,2,
1786428589.758941,1786428589.764347,decode,2,0,112,0.0000,0,2,
1786428589.764347,1786428589.769760,decode,2,0,112,0.0000,0,2,
1786428589.769760,1786428589.774535,decode,2,0,112,0.0000,0,2,
1786428589.774535,1786428589.780055,decode,2,0,112,0.0000,0,2,
1786428589.780055,1786428589.784928,decode,2,0,112,0.0000,0,2,
1786428589.784928,1786428589.790324,decode,2,0,112,0.0000,0,2,
1786428589.790324,1786428589.795166,decode,2,0,112,0.0000,0,2,
1786428589.795166,1786428589.800665,decode,2,0,112,0.0000,0,2,
1786428589.800665,1786428589.805530,decode,2,0,128,0.0000,0,2,
1786428589.805530,1786428589.810737,decode,2,0,128,0.0000,0,2,
1786428589.810737,1786428589.815782,decode,2,0,128,0.0000,0,2,
1786428589.815782,1786428589.821204,decode,2,0,128,0.0000,0,2,
1786428589.821204,1786428589.826164,decode,2,0,128,0.0000,0,2,
1786428589.826164,1786428589.831305,decode,2,0,128,0.0000,0,2,
1786428589.831305,1786428589.836240,decode,2,0,144,0.0000,0,2,
1786428589.836240,1786428589.841509,decode,2,0,144,0.0000,0,2,
1786428589.841509,1786428589.846457,decode,2,0,144,0.0000,0,2,
1786428589.846457,1786428589.851787,decode,2,0,144,0.0000,0,2,
1786428589.851787,1786428589.856728,decode,2,0,144,0.0000,0,2,
1786428589.856728,1786428589.861940,decode,2,0,144,0.0000,0,2,
1786428589.861940,1786428589.867449,decode,2,0,144,0.0000,0,2,
1786428589.867449,1786428589.872599,decode,2,0,144,0.0000,0,2,
1786428589.872599,1786428589.877276,decode,2,0,144,0.0000,0,2,
1786428589.877276,1786428589.882910,decode,2,0,144,0.0000,0,2,
1786428589.882910,1786428589.887669,decode,2,0,160,0.0000,0,2,
1786428589.887669,1786428589.892754,decode,2,0,160,0.0000,0,2,
1786428589.892754,1786428589.897785,decode,2,0,160,0.0000,0,2,
1786428589.897785,1786428589.903204,decode,2,0,160,0.0000,0,2,
1786428589.903204,1786428589.908251,decode,2,0,160,0.0000,0,2,
1786428589.908251,1786428589.913438,decode,2,0,160,0.0000,0,2,
1786428589.913438,1786428589.918584,decode,2,0,176,0.0000,0,2,
1786428589.918584,1786428589.923733,decode,2,0,176,0.0000,0,2,
1786428589.923733,1786428589.928883,decode,2,0,176,0.0000,0,2,
1786428589.928883,1786428589.934046,decode,2,0,176,0.0000,0,2,
1786428589.934046,1786428589.939174,decode,2,0,176,0.0000,0,2,
1786428589.939174,1786428589.944320,decode,2,0,176,0.0000,0,2,
1786428589.944320,1786428589.949522,decode,2,0,176,0.0000,0,2,
1786428589.949522,1786428589.954586,decode,2,0,176,0.0000,0,2,
1786428589.954586,1786428589.959846,decode,2,0,176,0.0000,0,2,
1786428589.959846,1786428589.964931,decode,2,0,176,0.0000,0,2,
1786428589.964931,1786428589.970294,decode,2,0,192,0.0000,0,2,
1786428589.970294,1786428589.975314,decode,2,0,192,0.0000,0,2,
1786428589.975314,1786428589.980607,decode,2,0,192,0.0000,0,2,
1786428589.980607,1786428589.985610,decode,2,0,192,0.0000,0,2,
1786428589.985610,1786428589.991138,decode,2,0,192,0.0000,0,2,
1786428589.991138,1786428589.996135,decode,2,0,192,0.0000,0,2,
1786428589.996135,1786428590.001700,decode,2,0,208,0.0000,0,2,
1786428590.001700,1786428590.006498,decode,2,0,208,0.0000,0,2,
1786428590.006498,1786428590.011627,decode,2,0,208,0.0000,0,2,
1786428590.011627,1786428590.016796,decode,2,0,208,0.0000,0,2,
1786428590.016796,1786428590.022052,decode,2,0,208,0.0000,0,2,
1786428590.022052,1786428590.027079,decode,2,0,208,0.0000,0,2,
1786428590.027079,1786428590.032224,decode,2,0,208,0.0000,0,2,
1786428590.032224,1786428590.037413,decode,2,0,208,0.0000,0,2,
1786428590.037413,1786428590.042602,decode,2,0,208,0.0000,0,2,
1786428590.042602,1786428590.047610,decode,2,0,208,0.0000,0,2,
1786428590.047610,1786428590.052917,decode,2,0,224,0.0000,0,2,
1786428590.052917,1786428590.057927,decode,2,0,224,0.0000,0,2,
1786428590.057927,1786428590.063215,decode,2,0,224,0.0000,0,2,
1786428590.063215,1786428590.068283,decode,2,0,224,0.0000,0,2,
1786428590.068283,1786428590.073372,decode,2,0,224,0.0000,0,2,
1786428590.073372,1786428590.078719,decode,2,0,224,0.0000,0,2,
1786428590.078719,1786428590.083692,decode,2,0,240,0.0001,0,2,
1786428590.083692,1786428590.088942,decode,2,0,240,0.0001,0,2,
1786428590.088942,1786428590.094187,decode,2,0,240,0.0001,0,2,
1786428590.094187,1786428590.099374,decode,2,0,240,0.0001,0,2,
1786428590.099374,1786428590.104489,decode,2,0,240,0.0001,0,2,
1786428590.104489,1786428590.109694,decode,2,0,240,0.0001,0,2,
1786428590.109694,1786428590.114755,decode,2,0,240,0.0001,0,2,
1786428590.114755,1786428590.119973,decode,2,0,240,0.0001,0,2,
